Date,Close,Open,High,Low,Volume
2014-08-28,7.4,8.05,9.0,6.51,11331000.0
2014-08-29,6.01,7.55,7.79,5.65,5323400.0
2014-09-01,5.81,5.9,6.0,5.1,2408700.0
2014-09-02,5.6,5.78,5.78,5.51,1492400.0
2014-09-03,5.76,5.51,6.2,5.51,1660700.0
2014-09-04,5.73,5.98,5.98,5.73,612700.0
2014-09-05,5.62,5.76,5.85,5.6,562200.0
2014-09-08,5.25,5.65,5.65,5.19,1065000.0
2014-09-09,4.9,5.25,5.37,4.9,1102700.0
2014-09-10,4.66,5.0,5.0,4.61,845000.0
2014-09-11,4.61,4.8,4.8,4.6,1032000.0
2014-09-12,4.43,4.65,4.79,4.4,865000.0
2014-09-15,4.3,4.4,4.6,4.3,415000.0
2014-09-16,5.08,4.3,5.9,4.3,3127000.0
2014-09-17,5.18,5.15,5.44,5.15,479600.0
2014-09-18,5.12,5.2,5.4,5.0,449700.0
2014-09-22,5.16,5.2,5.21,5.0,104800.0
2014-09-23,5.21,5.28,5.28,5.07,132200.0
2014-09-24,5.34,5.24,5.43,5.18,256400.0
2014-09-25,5.16,5.45,5.7,5.16,1418200.0
2014-09-26,5.18,5.32,5.32,5.1,197400.0
2014-09-29,5.12,5.35,5.35,5.11,72400.0
2014-09-30,5.09,5.12,5.27,5.09,337600.0
2014-10-01,5.08,5.08,5.15,5.04,151400.0
2014-10-02,5.07,5.08,5.27,5.01,142800.0
2014-10-03,5.04,5.07,5.2,5.04,65700.0
2014-10-07,5.04,5.05,5.06,5.01,73100.0
2014-10-08,5.04,5.05,5.05,4.89,328800.0
2014-10-09,5.0,5.04,5.04,4.93,60200.0
2014-10-10,4.88,5.0,5.0,4.86,228400.0
2014-10-13,4.8,4.85,4.99,4.6,79000.0
2014-10-14,4.6,4.61,4.68,4.3,283000.0
2014-10-15,4.75,4.45,5.0,4.45,160000.0
2014-10-16,4.58,4.6,4.69,4.45,84000.0
2014-10-17,5.1,5.21,5.49,4.8,1262000.0
2014-10-20,5.0,5.35,5.35,4.89,272800.0
2014-10-21,4.99,4.99,5.2,4.95,268400.0
2014-10-22,5.15,5.0,5.18,4.99,59000.0
2014-10-23,5.0,5.13,5.13,5.0,74800.0
2014-10-24,5.0,5.0,5.01,4.9,36100.0
2014-10-27,4.98,4.9,5.0,4.79,112700.0
2014-10-28,4.85,4.93,4.93,4.83,100000.0
2014-10-29,4.72,4.78,4.85,4.72,526000.0
2014-10-30,4.78,4.7,5.0,4.7,240000.0
2014-10-31,4.9,4.9,4.9,4.86,14000.0
2014-11-03,4.8,4.9,4.9,4.8,58000.0
2014-11-04,4.71,4.79,4.8,4.7,142000.0
2014-11-05,4.7,4.7,4.82,4.68,185000.0
2014-11-06,4.6,4.7,4.7,4.55,595000.0
2014-11-07,4.5,4.55,4.6,4.5,290000.0
2014-11-10,4.55,4.55,4.6,4.5,39000.0
2014-11-11,4.2,4.5,4.5,4.1,1996000.0
2014-11-12,4.03,4.14,4.14,3.95,1225000.0
2014-11-13,4.0,4.09,4.3,3.99,381000.0
2014-11-14,3.97,4.0,4.0,3.95,415000.0
2014-11-17,3.95,3.97,4.1,3.9,217000.0
2014-11-18,4.05,3.96,4.07,3.94,109000.0
2014-11-19,3.97,4.05,4.06,3.95,306000.0
2014-11-20,3.99,3.97,4.0,3.96,84000.0
2014-11-21,4.17,4.0,4.21,4.0,485000.0
2014-11-24,4.01,4.01,4.07,4.0,175000.0
2014-11-25,4.43,4.01,4.61,4.01,2056000.0
2014-11-26,4.7,4.43,4.7,4.43,1455000.0
2014-11-27,4.88,4.71,5.12,4.7,2197000.0
2014-11-28,4.99,4.55,5.1,4.55,1564000.0
2014-12-01,4.5,4.91,4.91,4.5,502000.0
2014-12-02,4.3,4.5,4.59,4.3,550000.0
2014-12-03,4.3,4.3,4.37,4.19,241000.0
2014-12-04,4.18,4.3,4.3,4.15,231000.0
2014-12-05,4.19,4.16,4.2,4.08,114000.0
2014-12-09,4.14,4.15,4.35,4.12,439000.0
2014-12-10,4.14,4.14,4.2,4.05,231000.0
2014-12-11,4.11,4.4,4.4,4.01,69000.0
2014-12-12,4.22,4.33,4.33,4.03,31000.0
2014-12-15,4.11,4.1,4.17,4.0,86000.0
2014-12-16,4.03,4.1,4.11,4.03,130000.0
2014-12-17,4.1,4.03,4.1,4.01,121000.0
2014-12-18,4.03,4.16,4.16,4.02,60000.0
2014-12-19,4.1,4.03,4.1,4.03,69000.0
2014-12-22,4.12,4.1,4.14,4.06,76000.0
2014-12-23,4.15,4.1,4.15,4.1,70000.0
2014-12-29,4.2,4.13,4.2,4.13,125000.0
2015-01-05,4.17,4.18,4.25,4.16,211000.0
2015-01-06,4.15,4.14,4.15,4.08,100000.0
2015-01-07,4.17,4.18,4.18,4.06,118000.0
2015-01-08,4.28,4.15,4.45,4.15,370000.0
2015-01-09,4.38,4.3,4.59,4.29,1039000.0
2015-01-12,4.21,4.38,4.46,4.2,112000.0
2015-01-13,4.23,4.21,4.35,4.16,70000.0
2015-01-14,4.2,4.2,4.22,4.15,165000.0
2015-01-19,4.15,4.25,4.25,4.14,108000.0
2015-01-20,4.09,4.15,4.15,4.09,336000.0
2015-01-21,4.07,4.1,4.2,4.06,476000.0
2015-01-22,4.05,4.08,4.08,4.05,196000.0
2015-01-23,4.14,4.21,4.21,4.03,201000.0
2015-01-26,4.15,4.09,4.18,3.99,437000.0
2015-01-27,4.0,4.06,4.1,3.99,303000.0
2015-01-28,4.0,4.0,4.0,3.98,258000.0
2015-01-29,3.9,4.06,4.06,3.8,656000.0
2015-01-30,3.86,4.0,4.0,3.83,141000.0
2015-02-02,3.88,3.98,3.98,3.75,515000.0
2015-02-03,3.85,3.89,3.98,3.8,214000.0
2015-02-04,3.79,3.85,3.95,3.73,566000.0
2015-02-05,3.75,3.78,3.8,3.69,529000.0
2015-02-06,3.7,3.75,3.78,3.7,25000.0
