Date,Close,Open,High,Low,Volume
2019-05-31,3.59,3.42,3.65,3.42,10914000.0
2019-06-03,3.72,3.61,3.75,3.6,10625000.0
2019-06-04,3.65,3.73,3.74,3.59,7916000.0
2019-06-06,3.71,3.65,3.73,3.65,6505000.0
2019-06-07,3.62,3.7,3.7,3.52,3434000.0
2019-06-10,3.44,3.63,3.65,3.44,7145000.0
2019-06-11,3.49,3.44,3.55,3.42,8384000.0
2019-06-13,3.62,3.52,3.65,3.46,6129000.0
2019-06-14,3.55,3.63,3.63,3.5,1608000.0
2019-06-17,3.72,3.55,3.73,3.47,14433000.0
2019-06-18,3.62,3.74,3.8,3.6,15942000.0
2019-06-19,3.64,3.63,3.7,3.57,3876000.0
2019-06-20,3.64,3.62,3.71,3.62,3529000.0
2019-06-21,3.67,3.63,3.67,3.62,5006000.0
2019-06-24,3.64,3.66,3.68,3.64,5399000.0
2019-06-25,3.83,3.64,3.9,3.52,36069000.0
2019-06-26,3.99,3.83,3.99,3.8,12217000.0
2019-06-27,3.98,3.98,3.99,3.9,13068000.0
2019-06-28,3.81,3.99,4.06,3.76,26872000.0
2019-07-01,3.87,3.76,3.87,3.67,8739000.0
2019-07-02,3.87,3.87,3.89,3.86,6687000.0
2019-07-03,3.97,3.89,3.98,3.86,9063000.0
2019-07-04,3.92,3.99,3.99,3.92,1210000.0
2019-07-05,3.86,3.94,3.95,3.83,2776000.0
2019-07-08,3.75,3.85,3.85,3.75,5609000.0
2019-07-09,3.78,3.8,3.8,3.62,11546000.0
2019-07-10,3.78,3.8,3.88,3.78,3084000.0
2019-07-11,3.81,3.83,3.83,3.75,1874000.0
2019-07-12,3.89,3.78,3.9,3.76,2295000.0
2019-07-15,3.98,3.88,3.98,3.86,4574000.0
2019-07-16,3.99,3.98,4.02,3.93,12979000.0
2019-07-17,4.0,4.0,4.02,3.95,5963000.0
2019-07-18,3.97,4.0,4.01,3.85,2600000.0
2019-07-19,4.01,3.97,4.01,3.91,5139000.0
2019-07-22,4.15,4.05,4.16,4.05,31090000.0
2019-07-23,4.15,4.19,4.25,4.11,15201000.0
2019-07-24,4.21,4.15,4.21,4.07,5816000.0
2019-07-25,4.22,4.21,4.29,4.15,5297000.0
2019-07-26,4.26,4.23,4.31,4.18,8772000.0
2019-07-29,4.28,4.28,4.3,4.24,6676000.0
2019-07-30,4.05,4.3,4.3,4.05,9890000.0
2019-07-31,3.99,4.05,4.09,3.92,11681000.0
2019-08-01,3.93,3.96,3.96,3.86,5594000.0
2019-08-02,4.04,3.93,4.04,3.89,1693000.0
2019-08-05,3.87,4.05,4.05,3.87,5074000.0
2019-08-06,3.78,3.84,3.84,3.65,8421000.0
2019-08-07,3.8,3.77,3.86,3.76,3199000.0
2019-08-08,3.9,3.82,3.92,3.82,1884000.0
2019-08-09,3.74,3.9,3.9,3.74,5976000.0
2019-08-13,3.56,3.7,3.7,3.5,6030000.0
2019-08-14,3.66,3.54,3.67,3.54,2010000.0
2019-08-15,3.61,3.58,3.65,3.51,3163000.0
2019-08-16,3.73,3.62,3.76,3.62,2190000.0
2019-08-19,3.77,3.74,3.8,3.74,1250000.0
2019-08-20,3.74,3.79,3.79,3.64,2115000.0
2019-08-22,3.66,3.74,3.74,3.6,2463000.0
2019-08-23,3.54,3.62,3.62,3.5,3861000.0
2019-08-27,3.41,3.5,3.5,3.38,2861000.0
2019-08-28,3.5,3.39,3.5,3.36,2258000.0
2019-08-29,3.47,3.5,3.54,3.43,1045000.0
2019-08-30,3.55,3.43,3.57,3.43,1732000.0
2019-09-02,3.54,3.56,3.61,3.54,1945000.0
2019-09-03,3.48,3.52,3.54,3.44,1873000.0
2019-09-04,3.49,3.46,3.52,3.45,2099000.0
2019-09-05,3.48,3.49,3.52,3.48,1982000.0
2019-09-06,3.43,3.5,3.56,3.4,7085000.0
2019-09-09,3.37,3.4,3.42,3.28,5737000.0
2019-09-10,3.39,3.4,3.43,3.35,1594000.0
2019-09-11,3.41,3.4,3.45,3.38,5808000.0
2019-09-12,3.6,3.45,3.61,3.45,7680000.0
2019-09-13,3.63,3.63,3.69,3.56,2850000.0
2019-09-16,3.64,3.6,3.67,3.58,6385000.0
2019-09-17,3.51,3.6,3.61,3.45,2332000.0
2019-09-18,3.48,3.5,3.52,3.4,3227000.0
2019-09-19,3.44,3.51,3.52,3.43,2261000.0
2019-09-20,3.5,3.47,3.52,3.44,1790000.0
2019-09-23,3.59,3.54,3.59,3.43,12337000.0
2019-09-24,3.59,3.61,3.63,3.56,1744000.0
2019-09-25,3.5,3.6,3.61,3.46,2483000.0
2019-09-26,3.6,3.53,3.6,3.52,7579000.0
2019-09-27,3.59,3.57,3.66,3.57,6295000.0
2019-09-30,3.5,3.58,3.6,3.5,971000.0
2019-10-01,3.48,3.51,3.52,3.47,539000.0
2019-10-02,3.49,3.48,3.49,3.45,839000.0
2019-10-03,3.37,3.45,3.45,3.36,3440000.0
2019-10-04,3.43,3.36,3.45,3.36,930000.0
2019-10-07,3.45,3.48,3.48,3.38,406000.0
2019-10-08,3.43,3.44,3.46,3.38,7117000.0
2019-10-09,3.41,3.49,3.49,3.41,430000.0
2019-10-10,3.43,3.4,3.44,3.37,14359000.0
2019-10-11,3.49,3.45,3.53,3.4,7623000.0
2019-10-14,3.55,3.51,3.56,3.5,1329000.0
2019-10-15,3.53,3.57,3.57,3.45,562000.0
2019-10-16,3.65,3.53,3.69,3.49,5161000.0
2019-10-17,3.65,3.66,3.68,3.6,1583000.0
2019-10-18,3.77,3.65,3.77,3.62,2655000.0
2019-10-21,3.76,3.77,3.78,3.65,2032000.0
2019-10-22,3.65,3.75,3.75,3.65,2742000.0
2019-10-23,3.69,3.65,3.7,3.62,502000.0
2019-10-24,3.68,3.69,3.69,3.65,934000.0
2019-10-25,3.7,3.68,3.7,3.65,1413000.0
2019-10-28,3.56,3.7,3.7,3.53,1997000.0
2019-10-29,3.66,3.56,3.68,3.46,41735000.0
2019-10-30,3.63,3.66,3.66,3.58,769000.0
2019-10-31,3.6,3.63,3.63,3.57,569000.0
2019-11-04,3.64,3.6,3.64,3.6,279000.0
2019-11-05,3.61,3.64,3.64,3.6,402000.0
2019-11-06,3.6,3.61,3.64,3.6,347000.0
2019-11-07,3.58,3.59,3.59,3.5,2219000.0
2019-11-08,3.53,3.53,3.54,3.51,588000.0
2019-11-11,3.5,3.57,3.57,3.5,1216000.0
2019-11-12,3.5,3.5,3.55,3.5,1079000.0
2019-11-13,3.51,3.55,3.55,3.5,505000.0
2019-11-14,3.65,3.53,3.68,3.5,4320000.0
2019-11-15,3.62,3.66,3.71,3.62,2493000.0
2019-11-18,3.51,3.62,3.62,3.51,1052000.0
2019-11-19,3.5,3.52,3.65,3.5,1129000.0
2019-11-20,3.43,3.55,3.55,3.43,3430000.0
2019-11-21,3.38,3.44,3.45,3.38,2652000.0
2019-11-22,3.41,3.38,3.5,3.38,581000.0
2019-11-25,3.4,3.42,3.42,3.39,303000.0
2019-11-26,3.42,3.4,3.46,3.38,632000.0
2019-11-27,3.48,3.43,3.49,3.43,287000.0
2019-11-28,3.39,3.49,3.49,3.39,566000.0
2019-11-29,3.39,3.4,3.4,3.38,2506000.0
2019-12-02,3.36,3.38,3.39,3.32,2067000.0
2019-12-03,3.4,3.37,3.45,3.37,242000.0
2019-12-04,3.39,3.42,3.44,3.38,562000.0
2019-12-05,3.39,3.42,3.42,3.37,364000.0
2019-12-06,3.33,3.41,3.41,3.33,275000.0
2019-12-09,3.33,3.32,3.44,3.32,795000.0
2019-12-10,3.04,3.32,3.32,3.0,19562000.0
2019-12-11,3.05,3.04,3.13,3.04,2014000.0
2019-12-12,3.07,3.05,3.11,3.05,444000.0
2019-12-13,3.08,3.05,3.09,3.05,656000.0
2019-12-16,3.04,3.11,3.13,3.04,1127000.0
2019-12-17,2.94,3.02,3.08,2.85,1407000.0
2019-12-18,3.05,3.06,3.06,2.96,901000.0
2019-12-19,3.05,3.02,3.07,3.02,394000.0
2019-12-20,2.98,3.05,3.05,2.96,448000.0
2019-12-23,2.99,2.96,3.0,2.95,252000.0
2019-12-26,3.01,2.96,3.01,2.96,286000.0
