Date,Close,Open,High,Low,Volume
2012-10-18,0.027,0.025,0.045,0.024,16596000.0
2012-10-19,0.0255,0.0295,0.0295,0.0201,5638000.0
2012-10-22,0.0227,0.0254,0.0254,0.0222,1331000.0
2012-10-23,0.0225,0.0228,0.023,0.022,1260000.0
2012-10-24,0.0223,0.0225,0.0238,0.021,1099000.0
2012-10-25,0.0211,0.0224,0.023,0.0211,393000.0
2012-10-29,0.0205,0.0211,0.0219,0.0205,361000.0
2012-10-30,0.02,0.021,0.0223,0.0188,1161000.0
2012-10-31,0.02,0.0192,0.02,0.019,193000.0
2012-11-05,0.0185,0.02,0.02,0.0185,244000.0
2012-11-06,0.0176,0.0185,0.0185,0.0175,283000.0
2012-11-07,0.0163,0.0174,0.0174,0.014,813000.0
2012-11-08,0.0143,0.0153,0.0159,0.0143,214000.0
2012-11-09,0.0139,0.014,0.0141,0.0138,167000.0
2012-11-12,0.0134,0.0139,0.0139,0.0134,60000.0
2012-11-13,0.0127,0.0126,0.0134,0.0123,484000.0
2012-11-14,0.0121,0.0128,0.013,0.0121,399000.0
2012-11-15,0.0122,0.0121,0.0125,0.0121,185000.0
2012-11-16,0.0119,0.0121,0.0121,0.0118,166000.0
2012-11-19,0.0115,0.0118,0.0118,0.0114,343000.0
2012-11-20,0.0116,0.0116,0.0121,0.0116,181000.0
2012-11-21,0.0116,0.0118,0.0118,0.0116,26000.0
2012-11-22,0.012,0.0116,0.012,0.0116,5000.0
2012-11-23,0.0116,0.0116,0.0122,0.0116,136000.0
2012-11-26,0.0115,0.0115,0.0117,0.0115,11000.0
2012-11-27,0.0114,0.0115,0.0115,0.0114,42000.0
2012-11-28,0.012,0.0115,0.0121,0.0115,162000.0
2012-11-29,0.0126,0.012,0.0126,0.012,33000.0
2012-12-03,0.0122,0.0122,0.0126,0.0122,5000.0
2012-12-04,0.0122,0.0125,0.0126,0.012,169000.0
2012-12-05,0.0118,0.012,0.012,0.0118,108000.0
2012-12-06,0.0118,0.0118,0.0118,0.0118,3000.0
2012-12-07,0.0118,0.0118,0.0118,0.0117,119000.0
2012-12-10,0.0116,0.0118,0.0118,0.0116,50000.0
2012-12-11,0.0116,0.0116,0.0117,0.0116,49000.0
2012-12-12,0.0119,0.0116,0.0119,0.0116,11000.0
2012-12-13,0.0165,0.0119,0.0177,0.0119,6809000.0
2012-12-14,0.014,0.0165,0.0165,0.0134,1648000.0
2012-12-17,0.0133,0.014,0.0146,0.0127,742000.0
2012-12-18,0.0129,0.0121,0.0142,0.0121,255000.0
2012-12-19,0.013,0.0123,0.0134,0.0121,257000.0
2012-12-20,0.0135,0.013,0.0146,0.013,210000.0
2012-12-21,0.014,0.0143,0.0143,0.0135,36000.0
2012-12-26,0.013,0.0134,0.0136,0.013,115000.0
2012-12-27,0.0128,0.013,0.0134,0.0127,113000.0
2012-12-28,0.0125,0.0131,0.0131,0.0125,124000.0
2013-01-02,0.0126,0.0125,0.013,0.0125,135000.0
2013-01-03,0.0131,0.0126,0.0131,0.0126,24000.0
2013-01-04,0.0128,0.0128,0.013,0.0128,167000.0
2013-01-07,0.0126,0.0127,0.013,0.0126,90000.0
2013-01-08,0.0126,0.0126,0.0126,0.0126,183000.0
2013-01-09,0.0134,0.0127,0.0145,0.0127,819000.0
2013-01-10,0.0137,0.0134,0.0137,0.013,135000.0
2013-01-11,0.0131,0.013,0.0135,0.013,63000.0
2013-01-14,0.013,0.0131,0.0131,0.013,70000.0
2013-01-15,0.0131,0.013,0.0131,0.013,173000.0
2013-01-16,0.0128,0.0134,0.0134,0.0128,60000.0
2013-01-17,0.0129,0.0128,0.0129,0.0127,64000.0
2013-01-18,0.0127,0.0127,0.0127,0.0127,15000.0
2013-01-21,0.013,0.0128,0.0132,0.0127,62000.0
2013-01-23,0.013,0.0128,0.013,0.0128,7000.0
2013-01-24,0.0131,0.0129,0.0131,0.0129,33000.0
2013-01-25,0.0131,0.0129,0.0132,0.0129,127000.0
2013-01-28,0.0129,0.0134,0.0139,0.0129,30000.0
2013-01-29,0.0132,0.0129,0.0135,0.0129,324000.0
2013-01-30,0.015,0.0133,0.016,0.0133,1677000.0
2013-01-31,0.0135,0.0148,0.015,0.0135,1101000.0
2013-02-01,0.0137,0.0135,0.0139,0.0134,97000.0
2013-02-04,0.0141,0.0144,0.0144,0.0136,240000.0
2013-02-05,0.0138,0.0138,0.0142,0.0138,79000.0
2013-02-06,0.014,0.014,0.0145,0.0139,165000.0
2013-02-07,0.0144,0.0143,0.0146,0.0143,173000.0
2013-02-08,0.0143,0.0144,0.0145,0.0143,74000.0
2013-02-11,0.014,0.0143,0.0143,0.014,24000.0
2013-02-12,0.0138,0.0139,0.014,0.0138,37000.0
2013-02-13,0.0138,0.0139,0.014,0.0138,52000.0
2013-02-14,0.0138,0.0137,0.0149,0.0137,49000.0
2013-02-15,0.0136,0.0138,0.0138,0.0136,410000.0
2013-02-18,0.0136,0.0135,0.0136,0.0135,64000.0
2013-02-19,0.0135,0.014,0.014,0.0135,104000.0
2013-02-20,0.0135,0.0135,0.0135,0.0135,30000.0
2013-02-21,0.0137,0.0138,0.014,0.0137,41000.0
2013-02-22,0.0139,0.0134,0.0139,0.0134,5000.0
2013-02-25,0.0134,0.0134,0.0137,0.0134,135000.0
2013-02-26,0.0132,0.0134,0.0134,0.0132,165000.0
2013-02-27,0.0133,0.0133,0.0133,0.0132,42000.0
2013-02-28,0.0132,0.0133,0.0133,0.0132,69000.0
2013-03-01,0.0132,0.0132,0.0132,0.0132,35000.0
2013-03-04,0.0133,0.0132,0.0133,0.0131,54000.0
2013-03-05,0.0132,0.0133,0.0134,0.0132,46000.0
2013-03-06,0.0134,0.0132,0.0134,0.0131,89000.0
2013-03-07,0.0132,0.0131,0.0132,0.0131,11000.0
2013-03-08,0.0132,0.0132,0.0132,0.0132,25000.0
