Date,Close,Open,High,Low,Volume
1986-02-13,0.6987,0.6987,0.6987,0.6987,60.0
1986-02-21,0.6987,0.6987,0.6987,0.6987,1000.0
1986-03-05,0.7058,0.7058,0.7058,0.7058,400.0
1986-03-06,0.7058,0.7058,0.7058,0.7058,400.0
1986-03-07,0.7058,0.7058,0.7058,0.7058,700.0
1986-03-20,0.7728,0.7728,0.7728,0.7728,10.0
1986-03-26,0.7411,0.7411,0.7411,0.7411,2040.0
1986-04-03,0.8116,0.8116,0.8116,0.8116,250.0
1986-04-08,0.794,0.794,0.794,0.794,50.0
1986-05-15,0.8704,0.8704,0.8704,0.8704,1180.0
1986-05-27,0.9175,0.9175,0.9175,0.9175,100.0
1986-06-04,0.988,0.988,0.988,0.988,2020.0
1986-06-20,1.0351,1.0351,1.0351,1.0351,80.0
1986-06-23,0.988,0.988,0.988,0.988,20.0
1986-07-09,1.0351,1.0351,1.0351,1.0351,350.0
1986-07-16,1.0586,1.0586,1.0586,1.0586,810.0
1986-07-21,1.0586,1.0586,1.0586,1.0586,1000.0
1986-07-25,1.0821,1.0821,1.0821,1.0821,10.0
1986-07-30,1.0586,1.0351,1.0586,1.0351,16750.0
1986-08-19,1.0586,1.0586,1.0586,1.0586,490.0
1986-08-20,1.1057,1.1057,1.1057,1.1057,350.0
1986-08-22,1.1057,1.1057,1.1292,1.1057,150.0
1986-08-25,1.1762,1.1762,1.1762,1.1762,10.0
1986-08-26,1.2233,1.2233,1.3644,1.2233,30.0
1986-08-28,1.3174,1.3174,1.3174,1.3174,5.0
1986-08-29,1.4585,1.388,1.6467,1.3644,185.0
1986-09-01,1.6938,1.6938,1.6938,1.6938,10.0
1986-09-03,1.7173,1.7173,1.7408,1.7173,15.0
1986-09-04,1.7879,1.7879,1.7879,1.7879,5.0
1986-09-05,1.8349,1.7879,1.882,1.7879,50.0
1986-09-08,1.8349,1.8349,1.8349,1.8349,10.0
1986-09-10,1.929,1.929,1.929,1.929,25.0
1986-09-11,1.8349,1.8349,1.8349,1.8349,10.0
1986-09-12,1.8349,1.8349,1.8349,1.8349,10.0
1986-09-18,1.929,1.882,1.929,1.882,225.0
1986-09-19,1.8349,1.8349,1.9761,1.8349,240.0
1986-09-25,1.8349,1.8349,1.8349,1.8349,50.0
1986-10-02,1.9761,1.9761,1.9761,1.9761,510.0
1986-10-03,1.9761,1.9761,1.9761,1.9761,50.0
1986-10-13,1.882,1.882,1.882,1.882,30.0
1986-10-16,1.9761,1.9761,1.9761,1.9761,50.0
1986-10-17,2.0231,2.0231,2.0231,2.0231,490.0
1986-10-24,1.882,1.882,1.882,1.882,10.0
1986-10-28,1.882,1.882,1.882,1.882,65.0
1986-10-30,1.882,1.882,1.882,1.882,50.0
1986-11-11,1.7879,1.7879,1.7879,1.7879,800.0
1986-11-20,1.8349,1.8349,1.8349,1.8349,10.0
1986-11-21,1.8349,1.8349,1.8349,1.8349,100.0
1986-11-27,1.7879,1.7879,1.8349,1.7879,1940.0
1986-11-28,1.8349,1.8349,1.8349,1.8349,675.0
1986-12-15,1.7879,1.7879,1.7879,1.7879,100.0
1986-12-23,1.8349,1.8349,1.8349,1.8349,20.0
1986-12-24,1.7879,1.7879,1.7879,1.7879,10.0
1986-12-29,1.7644,1.7644,1.7644,1.7644,5.0
1987-01-06,1.7408,1.7408,1.7408,1.7408,45.0
1987-01-08,1.8349,1.8349,1.8349,1.8349,10.0
1987-01-14,1.8349,1.8349,1.8349,1.8349,100.0
1987-01-19,1.7408,1.7408,1.7408,1.7408,100.0
1987-01-30,1.7408,1.7408,1.7408,1.7408,30.0
1987-02-04,1.6938,1.6938,1.6938,1.6938,300.0
1987-02-09,1.7408,1.7408,1.7408,1.7408,5.0
1987-02-10,1.7408,1.7408,1.7408,1.7408,600.0
1987-02-12,1.7056,1.6938,1.7173,1.6938,55.0
1987-02-16,1.6938,1.6938,1.6938,1.6938,965.0
1987-02-19,1.6467,1.6467,1.6467,1.6467,290.0
1987-03-10,1.6467,1.6467,1.6467,1.6467,65.0
1987-03-12,1.6467,1.6467,1.6467,1.6467,10960.0
1987-03-17,1.6467,1.6467,1.6467,1.6467,1085.0
1987-03-18,1.6467,1.6467,1.6467,1.6467,205.0
1987-03-20,1.6467,1.6467,1.6467,1.6467,500.0
1987-03-24,1.6467,1.6467,1.6467,1.6467,70.0
1987-03-27,1.6467,1.6467,1.6467,1.6467,255.0
1987-03-31,1.6467,1.6467,1.6467,1.6467,10.0
1987-04-02,1.6467,1.6467,1.6467,1.6467,155.0
1987-04-10,1.7644,1.7879,1.7879,1.7644,75.0
1987-04-27,1.7408,1.7408,1.7408,1.7408,20.0
1987-04-30,1.7408,1.7408,1.7408,1.7408,70.0
1987-05-22,1.7644,1.7644,1.7644,1.7408,960.0
1987-05-28,1.7644,1.7644,1.7644,1.7644,605.0
1987-06-19,1.7644,1.7644,1.7644,1.7644,5.0
1987-06-23,1.7408,1.7408,1.7408,1.7408,75.0
1987-07-02,1.7408,1.7408,1.7408,1.7408,400.0
1987-07-13,1.7408,1.7408,1.7408,1.7408,110.0
1987-07-15,2.0702,2.0702,2.0702,2.0702,50.0
1987-07-20,2.1643,2.1643,2.1643,2.1643,10.0
1987-07-23,2.1643,2.1643,2.1643,2.1643,75.0
1987-07-24,2.1643,2.1643,2.1643,2.1643,25.0
1987-07-29,1.7644,1.7644,2.2113,1.7644,895.0
1987-08-03,2.3525,2.3525,2.3525,2.3525,10.0
1987-08-04,2.1172,2.1172,2.1172,2.1172,20.0
1987-08-06,2.1643,2.1643,2.1643,2.1643,50.0
1987-08-10,2.1172,2.1172,2.1172,2.1172,60.0
1987-08-11,2.1172,2.1172,2.1172,2.1172,80.0
1987-08-14,2.0702,2.0702,2.0702,2.0702,250.0
1987-08-26,2.2584,2.2584,2.2584,2.2584,20.0
1987-09-04,2.1172,2.1172,2.1172,2.1172,160.0
1987-09-30,1.9761,1.9761,1.9761,1.9761,500.0
1987-10-08,2.0231,2.0231,2.0231,2.0231,200.0
1987-10-13,1.882,1.882,1.882,1.882,40.0
1987-11-06,1.929,1.929,1.929,1.929,50.0
1987-11-13,2.0702,2.0702,2.0702,2.0702,10.0
1987-11-18,2.0702,2.0702,2.0702,2.0702,505.0
1987-11-25,2.0231,2.0702,2.0702,2.0231,350.0
1987-12-18,2.0231,1.882,2.0231,1.882,2800.0
1987-12-21,1.9761,1.9761,1.9761,1.9761,1670.0
1988-01-12,1.9761,1.9761,1.9761,1.9761,630.0
1988-01-21,1.9761,1.9761,1.9761,1.9761,815.0
