Date,Close,Open,High,Low,Volume
1986-01-03,0.09998,0.09998,0.09998,0.09998,200000.0
1986-01-10,0.09998,0.09998,0.1083,0.09998,11600000.0
1986-01-14,0.1083,0.1083,0.1083,0.1083,2400000.0
1986-01-15,0.1166,0.1166,0.1166,0.1166,200000.0
1986-01-16,0.1166,0.1166,0.1166,0.1166,6000000.0
1986-01-22,0.09998,0.09998,0.09998,0.09998,5000000.0
1986-01-23,0.09998,0.09998,0.09998,0.09998,3000000.0
1986-02-26,0.1416,0.1416,0.1416,0.1416,1000000.0
1986-03-25,0.125,0.125,0.125,0.125,3000000.0
1986-03-26,0.1166,0.1166,0.1166,0.1166,1800000.0
1986-04-02,0.09998,0.09998,0.09998,0.09998,5000000.0
1986-04-03,0.09998,0.09998,0.09998,0.09998,1600000.0
1986-04-04,0.1083,0.1083,0.1083,0.1083,4000000.0
1986-04-11,0.09998,0.09998,0.09998,0.09998,200000.0
1986-04-15,0.09998,0.09998,0.09998,0.09998,2200000.0
1986-04-17,0.1083,0.1083,0.1083,0.1083,600000.0
1986-04-24,0.1166,0.1083,0.1166,0.1083,6000000.0
1986-04-25,0.125,0.125,0.125,0.125,2600000.0
1986-04-29,0.125,0.125,0.125,0.125,1200000.0
1986-05-07,0.09998,0.09998,0.09998,0.09998,10200000.0
1986-05-09,0.1083,0.1083,0.1083,0.1083,1000000.0
1986-05-15,0.09998,0.09998,0.125,0.09998,17400000.0
1986-05-16,0.09998,0.09998,0.09998,0.09998,18400000.0
1986-05-19,0.09998,0.09998,0.09998,0.09998,11000000.0
1986-05-23,0.09998,0.09998,0.09998,0.09998,10000000.0
1986-05-26,0.09998,0.09998,0.09998,0.09998,7400000.0
1986-05-27,0.09164,0.09998,0.09998,0.09164,1200000.0
1986-05-29,0.09998,0.09998,0.09998,0.09998,10000000.0
1986-05-30,0.09998,0.09998,0.09998,0.09998,18000000.0
1986-06-05,0.09998,0.09998,0.09998,0.09998,1000000.0
1986-06-06,0.09998,0.09998,0.09998,0.09998,3000000.0
1986-06-09,0.1083,0.1083,0.1083,0.1083,1000000.0
1986-06-13,0.1083,0.1083,0.1083,0.1083,600000.0
1986-06-16,0.125,0.125,0.125,0.125,2800000.0
1986-06-17,0.125,0.125,0.125,0.125,3000000.0
1986-06-18,0.125,0.125,0.125,0.125,200000.0
1986-06-19,0.09998,0.09998,0.09998,0.09998,800000.0
1986-06-20,0.125,0.125,0.125,0.125,9000000.0
1986-06-23,0.1333,0.125,0.1333,0.125,2800000.0
1986-06-24,0.1333,0.1333,0.1333,0.1333,1000000.0
1986-06-25,0.1333,0.1333,0.1333,0.1333,5000000.0
1986-06-26,0.1333,0.125,0.1333,0.125,34800000.0
1986-06-27,0.1083,0.1083,0.1083,0.1083,600000.0
1986-06-30,0.1166,0.1166,0.1166,0.1166,1000000.0
1986-07-02,0.125,0.125,0.125,0.125,11800000.0
1986-07-03,0.125,0.1333,0.1333,0.125,3400000.0
1986-07-07,0.125,0.125,0.125,0.125,5000000.0
1986-07-09,0.1333,0.125,0.1333,0.125,10600000.0
1986-07-11,0.1583,0.1583,0.1583,0.1583,5000000.0
1986-07-15,0.1583,0.1583,0.1583,0.1583,2800000.0
1986-07-16,0.1833,0.1583,0.1833,0.1583,9400000.0
1986-07-17,0.2499,0.1833,0.2499,0.1833,58000000.0
1986-07-18,0.2291,0.2916,0.2916,0.2083,63600000.0
1986-07-21,0.2291,0.2291,0.2499,0.2291,28600000.0
1986-07-22,0.2291,0.2291,0.2291,0.2291,13000000.0
1986-07-23,0.2083,0.2083,0.2083,0.2083,5800000.0
1986-07-24,0.2,0.2,0.2083,0.2,5600000.0
1986-07-25,0.2,0.2,0.2,0.2,4800000.0
1986-07-28,0.1666,0.1666,0.2,0.1666,3600000.0
1986-07-29,0.1583,0.1583,0.1666,0.1583,19000000.0
1986-07-30,0.175,0.1666,0.175,0.1666,13800000.0
1986-08-01,0.1833,0.1833,0.1833,0.1666,7200000.0
1986-08-04,0.1833,0.1833,0.1833,0.1833,1400000.0
1986-08-05,0.1833,0.1833,0.1833,0.1833,4600000.0
1986-08-08,0.1833,0.1833,0.1833,0.1833,2000000.0
1986-08-12,0.1916,0.1916,0.1916,0.1916,200000.0
1986-08-13,0.2,0.2,0.2,0.2,2000000.0
1986-08-14,0.2083,0.2083,0.2083,0.2083,3600000.0
1986-08-15,0.2083,0.2083,0.2083,0.2083,13200000.0
1986-08-18,0.2083,0.2083,0.2083,0.2083,18600000.0
1986-08-19,0.2083,0.2083,0.2083,0.2083,8800000.0
1986-08-20,0.1916,0.1916,0.1916,0.1916,600000.0
1986-08-22,0.1916,0.1916,0.2083,0.1916,3600000.0
1986-09-01,0.2083,0.2083,0.2083,0.2083,1000000.0
1986-09-03,0.2083,0.2083,0.2083,0.2,3000000.0
1986-09-04,0.2083,0.2083,0.2083,0.2083,10300000.0
1986-09-05,0.2083,0.2083,0.2083,0.2083,2400000.0
1986-09-08,0.2083,0.2083,0.2083,0.2083,3000000.0
1986-09-09,0.2083,0.2083,0.2083,0.2083,3600000.0
1986-09-10,0.2083,0.2083,0.2083,0.2083,2800000.0
1986-09-11,0.2083,0.2083,0.2083,0.2083,20600000.0
1986-09-12,0.2083,0.2083,0.2083,0.2,33300000.0
1986-09-18,0.2083,0.2083,0.2083,0.2083,10200000.0
1986-09-22,0.2291,0.2291,0.2291,0.2083,18800000.0
1986-09-23,0.2291,0.2291,0.2291,0.2291,5000000.0
1986-09-24,0.2291,0.2291,0.2291,0.2291,3400000.0
1986-09-26,0.2499,0.2499,0.2499,0.2499,21400000.0
1986-09-29,0.3124,0.2708,0.3124,0.2708,19400000.0
1986-09-30,0.3124,0.3333,0.3333,0.3124,31200000.0
1986-10-01,0.3124,0.2916,0.3124,0.2916,18400000.0
1986-10-02,0.3124,0.2916,0.3124,0.2916,13400000.0
1986-10-03,0.3541,0.3333,0.3541,0.3333,32200000.0
1986-10-07,0.4582,0.3957,0.4582,0.3541,83300000.0
1986-10-08,0.3957,0.4582,0.4582,0.3957,57500000.0
1986-10-09,0.4166,0.3957,0.4582,0.3957,32500000.0
1986-10-10,0.4166,0.4166,0.4166,0.4166,9000000.0
1986-10-13,0.4166,0.4166,0.4166,0.3957,44200000.0
1986-10-14,0.3957,0.4166,0.4166,0.3957,12400000.0
1986-10-15,0.3749,0.3957,0.3957,0.3749,4800000.0
1986-10-16,0.3541,0.3541,0.3749,0.3541,9000000.0
1986-10-17,0.3541,0.3541,0.3541,0.3541,4000000.0
