Date,Close,Open,High,Low,Volume
2017-06-02,5.16,5.2,5.39,5.13,82639500.0
2017-06-05,5.22,5.23,5.27,5.17,14277700.0
2017-06-06,5.45,5.22,5.45,5.2,34398900.0
2017-06-07,5.67,5.45,5.67,5.45,35915800.0
2017-06-08,5.62,5.7,5.74,5.52,22296600.0
2017-06-09,5.42,5.6,5.62,5.41,12483300.0
2017-06-13,5.33,5.43,5.5,5.31,6188600.0
2017-06-14,5.41,5.34,5.44,5.31,3472800.0
2017-06-15,5.46,5.42,5.56,5.41,8792000.0
2017-06-16,5.37,5.47,5.49,5.33,4637300.0
2017-06-19,5.39,5.37,5.44,5.37,4905700.0
2017-06-20,5.59,5.41,5.62,5.39,16616700.0
2017-06-21,5.9,5.62,5.92,5.54,34320500.0
2017-06-22,5.65,5.95,5.98,5.64,20699100.0
2017-06-23,5.65,5.69,5.78,5.65,11729200.0
2017-06-27,5.6,5.7,5.83,5.58,7101700.0
2017-06-28,5.54,5.63,5.7,5.54,8432000.0
2017-06-29,5.36,5.56,5.64,5.31,18543900.0
2017-06-30,5.34,5.36,5.44,5.27,7458400.0
2017-07-03,5.4,5.39,5.55,5.32,6440200.0
2017-07-04,5.41,5.47,5.48,5.41,2656200.0
2017-07-05,5.41,5.44,5.47,5.35,5349300.0
2017-07-06,5.41,5.4,5.58,5.4,3577300.0
2017-07-07,5.36,5.41,5.45,5.34,3622000.0
2017-07-10,5.38,5.37,5.4,5.33,2603900.0
2017-07-11,5.36,5.4,5.45,5.33,2642800.0
2017-07-12,5.3,5.34,5.36,5.22,12850700.0
2017-07-13,5.23,5.3,5.3,5.2,6520900.0
2017-07-14,5.31,5.25,5.38,5.23,4688300.0
2017-07-17,5.33,5.35,5.51,5.33,12004600.0
2017-07-18,5.33,5.34,5.45,5.3,3989900.0
2017-07-19,5.32,5.33,5.4,5.29,3498000.0
2017-07-20,5.29,5.3,5.35,5.23,7532500.0
2017-07-21,5.25,5.29,5.3,5.19,3253900.0
2017-07-24,5.21,5.25,5.25,5.19,2423800.0
2017-07-25,4.85,5.21,5.23,4.84,25127600.0
2017-07-26,4.89,4.87,4.97,4.87,3273000.0
2017-07-27,4.75,4.92,4.95,4.62,8998000.0
2017-07-28,4.69,4.76,4.9,4.67,5522000.0
2017-07-31,4.61,4.7,4.76,4.61,1867000.0
2017-08-01,4.64,4.65,4.7,4.58,1307000.0
2017-08-02,4.75,4.67,4.83,4.66,2035000.0
2017-08-03,4.9,4.75,4.9,4.75,1321000.0
2017-08-04,4.76,4.9,4.96,4.75,1103000.0
2017-08-07,4.82,4.79,4.89,4.79,859000.0
2017-08-08,4.66,4.82,4.84,4.65,4664000.0
2017-08-09,4.8,4.66,4.86,4.66,6429000.0
2017-08-10,4.87,4.95,5.05,4.87,12150000.0
2017-08-11,4.9,4.86,4.99,4.74,4492000.0
2017-08-14,5.1,4.91,5.15,4.91,10229000.0
2017-08-15,5.0,5.12,5.23,5.0,6330700.0
2017-08-16,5.0,5.05,5.1,5.0,3188700.0
2017-08-17,5.03,5.08,5.09,5.0,4223100.0
2017-08-18,5.02,5.01,5.07,5.01,2305700.0
2017-08-22,5.18,5.02,5.2,4.98,8423300.0
2017-08-23,5.22,5.2,5.27,5.18,8038200.0
2017-08-24,5.16,5.22,5.23,5.1,3528900.0
2017-08-25,5.08,5.18,5.2,5.08,4586200.0
2017-08-29,5.02,5.08,5.08,5.02,1989600.0
2017-08-30,5.03,5.0,5.1,5.0,3575200.0
2017-08-31,5.04,5.04,5.04,4.93,2785000.0
2017-09-04,5.03,5.04,5.05,4.97,1481900.0
2017-09-05,4.9,4.98,5.03,4.9,3904500.0
2017-09-06,4.85,4.89,4.97,4.85,1503000.0
2017-09-07,4.89,4.86,4.93,4.84,878000.0
2017-09-08,4.92,4.94,5.03,4.9,1740000.0
2017-09-11,5.05,4.9,5.06,4.89,2377000.0
2017-09-13,5.1,5.05,5.11,5.0,2312400.0
2017-09-14,5.09,5.15,5.18,5.09,3995000.0
2017-09-15,5.12,5.09,5.12,5.0,3490400.0
2017-09-18,5.15,5.1,5.2,5.08,1754800.0
2017-09-19,5.04,5.15,5.16,5.04,1553600.0
2017-09-20,5.09,5.1,5.1,5.04,717800.0
2017-09-21,5.05,5.09,5.1,5.02,1813500.0
2017-09-22,5.23,5.05,5.32,5.05,22238100.0
2017-09-25,5.4,5.3,5.5,5.3,9949200.0
2017-09-26,5.29,5.41,5.41,5.15,4238700.0
2017-09-27,5.25,5.29,5.3,5.16,1889300.0
2017-09-28,5.16,5.22,5.25,5.13,1177200.0
2017-09-29,5.07,5.2,5.2,5.07,1702100.0
2017-10-02,5.08,5.14,5.15,5.04,1240900.0
2017-10-03,5.1,5.08,5.16,5.08,2042100.0
2017-10-04,5.04,5.14,5.17,5.03,3785500.0
2017-10-05,5.07,5.09,5.09,5.05,1420100.0
2017-10-06,5.03,5.1,5.13,5.03,2290500.0
2017-10-09,5.03,5.05,5.1,5.0,2414800.0
2017-10-10,5.04,5.03,5.16,5.02,3159200.0
