Date,Close,Open,High,Low,Volume
2017-05-29,15.3,16.0,16.12,15.2,61648200.0
2017-05-30,15.56,15.32,15.68,15.32,17042400.0
2017-05-31,15.62,15.62,15.74,15.46,12034200.0
2017-06-01,15.98,15.7,16.04,15.68,19361200.0
2017-06-02,15.78,15.9,16.02,15.7,8458800.0
2017-06-05,15.94,15.8,16.18,15.78,11312700.0
2017-06-06,15.96,16.0,16.04,15.96,7813900.0
2017-06-07,15.98,16.0,16.0,15.78,8257300.0
2017-06-08,15.9,15.96,16.0,15.86,4313300.0
2017-06-09,15.8,15.96,15.96,15.8,1503500.0
2017-06-13,15.58,15.8,15.86,15.58,5172900.0
2017-06-14,15.6,15.6,15.66,15.58,1367400.0
2017-06-15,15.66,15.68,15.8,15.6,3639300.0
2017-06-16,15.58,15.68,15.7,15.52,2898100.0
2017-06-19,15.56,15.6,15.6,15.4,3215200.0
2017-06-20,16.24,15.58,16.24,15.56,13613500.0
2017-06-21,16.1,16.22,16.56,16.1,13327100.0
2017-06-22,16.1,16.12,16.4,16.04,4407700.0
2017-06-23,16.08,16.1,16.28,16.04,1590400.0
2017-06-27,16.2,16.12,16.2,16.08,2270100.0
2017-06-28,16.3,16.12,16.36,16.12,7388200.0
2017-06-29,16.0,16.36,16.6,16.0,14276100.0
2017-06-30,15.8,16.02,16.04,15.76,7368800.0
2017-07-03,15.8,15.8,15.94,15.8,1793200.0
2017-07-04,15.9,15.9,16.0,15.86,3286300.0
2017-07-05,15.78,15.9,15.9,15.76,2115800.0
2017-07-06,15.84,15.8,15.92,15.78,1839600.0
2017-07-07,15.86,15.96,15.96,15.84,825300.0
2017-07-10,15.8,15.92,15.92,15.78,1395000.0
2017-07-11,15.6,15.8,15.8,15.58,4661900.0
2017-07-12,15.6,15.6,15.64,15.5,2697300.0
2017-07-13,15.52,15.6,15.6,15.52,2980000.0
2017-07-14,15.54,15.6,15.6,15.52,2212600.0
2017-07-17,15.52,15.56,15.56,15.5,2670500.0
2017-07-18,15.4,15.5,15.5,15.34,3641800.0
2017-07-19,15.42,15.42,15.6,15.4,2552900.0
2017-07-20,15.58,15.48,15.7,15.44,3709300.0
2017-07-21,15.64,15.68,15.7,15.58,1130300.0
2017-07-24,15.6,15.66,15.66,15.54,1611200.0
2017-07-25,15.4,15.6,15.66,15.4,1912000.0
2017-07-26,15.42,15.4,15.54,15.34,5761800.0
2017-07-27,14.98,15.42,15.44,14.76,10604300.0
2017-07-28,14.92,14.98,14.98,14.86,4877000.0
2017-07-31,14.94,14.92,14.98,14.86,2124800.0
2017-08-01,14.88,14.96,14.96,14.84,1352600.0
2017-08-02,14.9,14.88,14.9,14.86,1393700.0
2017-08-03,14.94,14.94,14.96,14.9,1235500.0
2017-08-04,15.2,14.94,15.22,14.94,2213600.0
2017-08-07,15.2,15.22,15.24,14.96,865100.0
2017-08-08,15.0,15.18,15.18,14.96,1993300.0
2017-08-09,15.02,15.0,15.1,14.78,2218700.0
2017-08-10,15.0,15.06,15.08,14.98,416800.0
2017-08-11,15.0,15.0,15.0,14.88,910100.0
2017-08-14,14.98,15.0,15.0,14.9,211900.0
2017-08-15,15.0,14.98,15.0,14.94,1404100.0
2017-08-16,15.14,15.02,15.2,14.98,1213700.0
2017-08-17,15.14,15.14,15.14,15.1,457000.0
2017-08-18,15.1,15.12,15.12,14.98,1506100.0
2017-08-22,15.1,15.1,15.1,15.0,386900.0
2017-08-23,15.1,15.1,15.1,14.98,1671000.0
2017-08-24,15.1,15.1,15.24,15.1,1299300.0
2017-08-25,15.6,15.1,15.66,15.1,7502100.0
2017-08-29,15.38,15.6,15.6,15.38,2462300.0
2017-08-30,15.1,15.4,15.4,15.02,2093300.0
2017-08-31,15.18,15.12,15.18,15.0,481900.0
2017-09-04,15.12,15.18,15.2,15.1,612200.0
2017-09-05,15.06,15.18,15.2,14.98,1413900.0
2017-09-06,15.0,15.06,15.06,14.94,906600.0
2017-09-07,15.06,15.0,15.06,14.94,983800.0
2017-09-08,15.04,15.06,15.08,14.96,422600.0
2017-09-11,15.1,15.04,15.1,14.98,386100.0
2017-09-13,15.32,15.2,15.34,15.14,1985100.0
2017-09-14,15.36,15.4,15.4,15.1,1738100.0
2017-09-15,15.36,15.36,15.42,15.28,2019900.0
2017-09-18,15.4,15.36,15.68,15.28,3416900.0
2017-09-19,15.36,15.5,15.58,15.3,1409200.0
2017-09-20,15.32,15.44,15.44,15.28,1210500.0
2017-09-21,15.18,15.3,15.3,15.0,1449400.0
2017-09-22,15.16,15.24,15.24,15.02,830600.0
2017-09-25,15.1,15.16,15.16,15.02,1674800.0
2017-09-26,15.04,15.08,15.08,14.98,572800.0
2017-09-27,15.0,15.18,15.18,15.0,2356600.0
2017-09-28,15.02,15.0,15.12,15.0,182900.0
2017-09-29,15.12,15.04,15.14,15.0,178000.0
2017-10-02,15.18,15.14,15.18,15.1,57300.0
2017-10-03,15.1,15.18,15.18,15.08,194800.0
2017-10-04,15.02,15.1,15.12,15.02,129000.0
2017-10-05,15.1,15.02,15.1,15.02,368900.0
2017-10-06,15.02,15.1,15.1,15.0,1572500.0
2017-10-09,15.0,15.04,15.1,14.94,2190100.0
2017-10-10,15.0,15.04,15.04,14.94,521900.0
2017-10-11,15.0,14.94,15.02,14.92,1778700.0
2017-10-12,14.96,15.0,15.0,14.9,1738800.0
2017-10-13,14.84,14.96,14.96,14.82,1560100.0
2017-10-17,14.82,14.82,14.84,14.8,1189900.0
2017-10-18,14.78,14.8,14.82,14.72,859500.0
2017-10-19,14.8,14.78,14.8,14.7,801400.0
2017-10-20,14.88,14.9,14.9,14.8,295200.0
2017-10-23,15.0,14.8,15.0,14.8,257500.0
2017-10-24,14.9,15.0,15.0,14.8,226400.0
2017-10-25,14.8,14.84,14.9,14.74,447700.0
2017-10-26,14.76,14.76,14.8,14.72,487100.0
2017-10-27,14.66,14.96,14.96,14.1,4920200.0
2017-10-30,14.6,14.66,14.84,14.5,2593500.0
2017-11-02,14.88,14.6,14.94,14.54,402500.0
2017-11-03,14.96,14.88,14.96,14.8,2629900.0
2017-11-06,14.96,14.94,15.02,14.88,6205800.0
2017-11-07,14.96,14.9,15.0,14.88,413600.0
2017-11-08,14.92,14.9,14.98,14.8,405100.0
2017-11-09,14.88,14.92,14.92,14.86,1359000.0
2017-11-10,14.92,14.9,14.98,14.88,821900.0
2017-11-13,14.92,14.92,14.92,14.88,482200.0
2017-11-14,14.9,14.94,14.94,14.78,2735700.0
2017-11-15,14.88,14.7,14.9,14.7,188500.0
2017-11-16,14.84,14.86,14.86,14.76,394100.0
2017-11-17,14.8,14.8,14.8,14.6,170000.0
2017-11-20,14.8,14.8,14.8,14.44,747900.0
2017-11-21,14.76,14.8,14.8,14.6,188300.0
2017-11-22,14.7,14.7,14.78,14.5,524900.0
2017-11-23,14.76,14.78,14.8,14.5,313800.0
2017-11-24,14.7,14.76,14.88,14.6,537600.0
2017-11-27,14.76,14.8,14.8,14.72,140500.0
2017-11-28,14.8,14.76,14.86,14.68,295500.0
2017-11-29,14.8,14.8,14.8,14.6,282800.0
2017-12-01,14.8,14.8,14.8,14.58,380300.0
2017-12-04,14.76,14.58,14.76,14.54,1165500.0
2017-12-05,14.9,14.76,14.98,14.76,2615000.0
2017-12-06,14.84,14.94,14.98,14.82,330600.0
2017-12-07,14.88,14.84,14.88,14.7,150100.0
2017-12-08,14.9,14.82,14.9,14.7,107300.0
2017-12-11,14.84,14.9,14.9,14.8,690100.0
2017-12-12,14.66,14.8,14.82,14.62,67100.0
2017-12-13,14.68,14.8,14.8,14.66,557500.0
