Date,Close,Open,High,Low,Volume
1995-03-27,0.1176,0.1176,0.1176,0.1176,20000.0
1995-06-02,0.1131,0.1131,0.1131,0.1131,10000.0
1995-07-11,0.1312,0.1312,0.1312,0.1312,10000.0
1995-11-17,0.941,0.941,0.941,0.941,20000.0
1995-11-24,0.941,0.941,0.941,0.941,20000.0
1995-11-28,0.9591,0.9591,0.9591,0.9591,10000.0
1995-12-05,0.9772,0.9772,0.9772,0.9772,20000.0
1995-12-07,0.9953,0.9953,0.9953,0.9953,10000.0
1995-12-14,1.0134,1.0134,1.0134,1.0134,10000.0
1995-12-20,1.0315,1.0315,1.0315,1.0315,20000.0
1995-12-29,1.0496,1.0496,1.0496,1.0496,5000.0
1996-01-05,1.122,1.122,1.122,1.122,2000.0
1996-01-15,1.122,1.122,1.122,1.122,2000.0
1996-01-22,1.2125,1.2125,1.2125,1.2125,15000.0
1996-02-02,1.3211,1.3211,1.3211,1.3211,10000.0
1996-02-07,1.4658,1.4658,1.4658,1.4658,15000.0
1996-02-16,1.4658,1.4658,1.4658,1.4658,20000.0
1996-02-20,1.6287,1.6287,1.6287,1.6287,50000.0
1996-03-01,1.9001,1.9001,1.9001,1.9001,10000.0
1996-03-13,1.9001,1.9001,1.9001,1.9001,20000.0
1996-03-21,1.9001,1.9001,1.9001,1.9001,50000.0
1996-03-29,1.9001,1.9001,1.9001,1.9001,20000.0
1996-04-01,1.9001,1.9001,1.9001,1.9001,50000.0
1996-04-12,1.9001,1.9001,1.9001,1.9001,20000.0
1996-04-17,1.9001,1.9001,1.9001,1.9001,30000.0
1996-04-25,1.9001,1.9001,1.9001,1.9001,20000.0
1996-05-02,1.9001,1.9001,1.9001,1.9001,20000.0
1996-05-03,1.9001,1.9001,1.9001,1.9001,20000.0
1996-05-09,1.9001,1.9001,1.9001,1.9001,20000.0
1996-05-16,1.9001,1.9001,1.9001,1.9001,15000.0
1996-05-23,1.9001,1.9001,1.9001,1.9001,15000.0
1996-05-29,1.9001,1.9001,1.9001,1.9001,20000.0
1996-06-05,1.9001,1.9001,1.9001,1.9001,6000.0
