Date,Close,Open,High,Low,Volume
2010-11-23,1.5172,1.4712,1.5761,1.4621,25050400.0
2010-11-24,1.5466,1.5135,1.5706,1.5062,23774700.0
2010-11-25,1.4952,1.5687,1.5742,1.4933,22953200.0
2010-11-26,1.4731,1.4988,1.508,1.4602,9851700.0
2010-11-30,1.4657,1.4712,1.4712,1.4473,3742300.0
2010-12-01,1.4712,1.4621,1.5319,1.4621,8881700.0
2010-12-02,1.4694,1.4933,1.4988,1.4676,6150200.0
2010-12-03,1.4694,1.4786,1.4804,1.4694,2257900.0
2010-12-06,1.4712,1.4694,1.4841,1.4676,3383700.0
2010-12-07,1.4621,1.4712,1.4749,1.4529,2694100.0
2010-12-08,1.4547,1.4639,1.4712,1.4529,1249900.0
2010-12-09,1.4216,1.4602,1.4657,1.4216,4658800.0
2010-12-10,1.4069,1.4234,1.4234,1.3958,3058500.0
2010-12-13,1.4069,1.4124,1.4124,1.3885,1341700.0
2010-12-14,1.4455,1.4087,1.4455,1.4087,1572100.0
2010-12-15,1.4161,1.4363,1.4363,1.4069,975500.0
2010-12-16,1.4014,1.4161,1.4161,1.3885,2389900.0
2010-12-17,1.4069,1.4069,1.4069,1.3958,1431600.0
2010-12-20,1.4731,1.4179,1.5007,1.4179,5181500.0
2010-12-21,1.4676,1.4731,1.4915,1.4584,1400900.0
2010-12-22,1.4731,1.4694,1.4915,1.4694,5895100.0
2010-12-23,1.4804,1.4768,1.4804,1.4657,2103300.0
2010-12-28,1.4786,1.4804,1.4896,1.4731,1442300.0
2010-12-29,1.5264,1.486,1.5356,1.4786,4942600.0
2010-12-30,1.4988,1.5338,1.5448,1.4988,2402300.0
2011-01-03,1.5908,1.5154,1.5926,1.5025,9440400.0
2011-01-04,1.5926,1.6184,1.6276,1.5816,9694700.0
2011-01-05,1.6165,1.5908,1.6221,1.554,4655100.0
2011-01-06,1.6975,1.6276,1.6975,1.6276,17690100.0
2011-01-07,1.7361,1.7103,1.7361,1.6938,14334700.0
2011-01-10,1.7195,1.7379,1.7434,1.6827,4807100.0
2011-01-11,1.7011,1.7269,1.7287,1.6754,2869900.0
2011-01-12,1.7563,1.7103,1.7747,1.7085,7338000.0
2011-01-13,1.7857,1.7655,1.817,1.7655,6208800.0
2011-01-14,1.7747,1.7894,1.7931,1.7011,3392400.0
2011-01-17,1.7839,1.7839,1.8041,1.7747,3539500.0
2011-01-18,1.7839,1.7912,1.8004,1.7747,3833300.0
2011-01-19,1.8437,1.7876,1.862,1.7876,7887100.0
2011-01-20,1.9126,1.8391,1.9264,1.8004,4682100.0
2011-01-21,1.8372,1.885,1.8942,1.8207,2491100.0
2011-01-24,1.782,1.8354,1.8354,1.7379,3030500.0
2011-01-25,1.8225,1.7876,1.8666,1.7876,3209000.0
2011-01-26,1.8372,1.8115,1.8372,1.8115,1876600.0
2011-01-27,1.9218,1.8483,1.9494,1.8299,5747000.0
2011-01-28,1.885,1.9356,1.9494,1.8575,2068000.0
2011-01-31,1.7968,1.8483,1.8483,1.7471,5759500.0
2011-02-01,1.8115,1.7949,1.8483,1.7931,11524100.0
2011-02-02,1.8299,1.8391,1.8575,1.8115,2346200.0
2011-02-03,1.9126,1.8391,1.9126,1.8354,4539900.0
2011-02-04,1.9678,1.9126,1.977,1.8942,9660500.0
2011-02-07,2.0368,1.9678,2.0506,1.9218,7129100.0
2011-02-08,2.1011,2.046,2.1149,2.0368,5951600.0
2011-02-09,2.0689,2.0873,2.0873,2.0322,3338400.0
2011-02-10,2.023,2.0551,2.0551,1.977,3454900.0
2011-02-11,2.0414,2.0046,2.0506,1.9862,2735200.0
2011-02-14,1.9954,2.0414,2.0689,1.9908,2081700.0
2011-02-15,2.0414,2.023,2.0414,1.9954,861200.0
2011-02-16,2.0551,2.0506,2.0643,2.0368,611900.0
2011-02-17,2.0506,2.0551,2.0643,2.0184,1575200.0
2011-02-18,2.0138,2.0506,2.0506,2.0046,1567000.0
