Date,Close,Open,High,Low,Volume
1986-01-08,2.1824,2.1824,2.1824,2.1824,2000.0
1986-01-09,2.1824,2.1824,2.1824,2.1824,2000.0
1986-01-13,2.2084,2.2084,2.2084,2.2084,22000.0
1986-01-20,2.2344,2.2344,2.2344,2.2344,10000.0
1986-01-23,2.2864,2.2864,2.2864,2.2864,2000.0
1986-01-24,2.3383,2.3123,2.3383,2.3123,26000.0
1986-01-29,2.2604,2.2604,2.2604,2.2604,4000.0
1986-02-05,2.2344,2.2344,2.2344,2.2344,8000.0
1986-02-19,2.2344,2.2864,2.2864,2.2344,504000.0
1986-02-26,2.4942,2.4942,2.4942,2.4942,2000.0
1986-03-04,2.5202,2.5202,2.5202,2.5202,46000.0
1986-03-06,2.5981,2.5981,2.5981,2.5202,76000.0
1986-03-07,2.5981,2.5981,2.5981,2.5981,16000.0
1986-03-11,2.5981,2.5981,2.5981,2.5981,22000.0
1986-03-12,2.4682,2.4682,2.4682,2.4682,2000.0
1986-03-14,2.5462,2.5462,2.5462,2.5462,2000.0
1986-03-19,2.4682,2.4942,2.4942,2.4682,8000.0
1986-03-20,2.4682,2.4682,2.4682,2.4682,20000.0
1986-03-21,2.4682,2.4682,2.4682,2.4682,16000.0
1986-03-24,2.6241,2.5721,2.6241,2.5721,30000.0
1986-03-25,2.6501,2.6501,2.6501,2.5981,16000.0
1986-03-26,2.6501,2.6501,2.6501,2.6501,8000.0
1986-03-31,2.6501,2.6501,2.6501,2.6501,2000.0
1986-04-02,2.6501,2.6501,2.6501,2.6501,12000.0
1986-04-03,2.5981,2.5981,2.5981,2.5981,206000.0
1986-04-04,2.6241,2.6241,2.6241,2.6241,2000.0
1986-04-08,2.6501,2.6501,2.6501,2.6501,10000.0
1986-04-09,2.6501,2.6501,2.6501,2.6501,10000.0
1986-04-10,2.6501,2.6501,2.6501,2.6501,26000.0
1986-04-14,2.6761,2.6761,2.6761,2.6761,2000.0
1986-04-15,2.7021,2.7021,2.7021,2.7021,6000.0
1986-04-16,2.6761,2.7021,2.7021,2.6761,4000.0
1986-04-17,2.5981,2.6761,2.6761,2.5981,6000.0
1986-04-22,2.728,2.728,2.728,2.728,4000.0
1986-04-23,2.728,2.754,2.754,2.728,18000.0
1986-04-24,2.806,2.78,2.806,2.78,14000.0
1986-04-28,2.715,2.7436,2.7436,2.715,6000.0
1986-04-29,2.7436,2.7436,2.7436,2.7436,10000.0
1986-04-30,2.8579,2.8579,2.8579,2.8579,30000.0
1986-05-02,2.8294,2.8008,2.8294,2.7722,14000.0
1986-05-05,2.8579,2.8579,2.8579,2.8579,4000.0
1986-05-08,2.8579,2.8579,2.8579,2.7722,22000.0
1986-05-14,2.9151,2.9151,2.9151,2.9151,4000.0
1986-05-15,3.0008,2.9437,3.0008,2.9437,14000.0
1986-05-16,2.9437,2.9437,2.9437,2.9437,2000.0
1986-05-21,3.0008,2.9723,3.0008,2.9723,134000.0
1986-05-26,3.0008,3.0008,3.0008,3.0008,2000.0
