Date,Close,Open,High,Low,Volume
1999-04-19,0.6566,0.6566,0.6765,0.6566,1440000.0
1999-04-20,0.6666,0.6566,0.6765,0.6566,1027000.0
1999-04-21,0.6566,0.6566,0.6566,0.6566,590000.0
1999-04-22,0.6566,0.6566,0.6566,0.6566,286000.0
1999-04-23,0.6666,0.6566,0.6666,0.6566,240000.0
1999-04-26,0.6666,0.6666,0.6666,0.6666,205000.0
1999-04-27,0.6666,0.6666,0.6666,0.6666,300000.0
1999-04-28,0.6765,0.6666,0.6765,0.6666,820000.0
1999-04-29,0.6666,0.6765,0.6865,0.6666,450000.0
1999-04-30,0.6765,0.6865,0.6964,0.6765,540000.0
1999-05-03,0.6765,0.6765,0.6765,0.6765,482000.0
1999-05-04,0.6765,0.6765,0.6765,0.6765,327000.0
1999-05-05,0.6765,0.6765,0.6765,0.6765,400000.0
1999-05-06,0.6765,0.6964,0.6964,0.6765,345000.0
1999-05-07,0.6765,0.6765,0.6765,0.6765,400000.0
1999-05-10,0.6765,0.6765,0.6765,0.6765,350000.0
1999-05-11,0.6865,0.6765,0.6964,0.6765,265000.0
1999-05-12,0.6865,0.6865,0.6865,0.6865,200000.0
1999-05-13,0.6964,0.6964,0.6964,0.6964,200000.0
1999-05-14,0.6964,0.6964,0.6964,0.6964,137000.0
1999-05-17,0.6865,0.6865,0.6865,0.6865,200000.0
1999-05-18,0.6865,0.6964,0.6964,0.6865,117000.0
1999-05-19,0.6765,0.6865,0.6865,0.6765,450000.0
1999-05-20,0.6765,0.6765,0.6765,0.6765,200000.0
1999-05-21,0.6765,0.6765,0.6765,0.6765,250000.0
1999-05-24,0.6964,0.6964,0.6964,0.6865,175000.0
1999-05-25,0.6765,0.6765,0.6765,0.6765,200000.0
1999-05-28,0.6765,0.6765,0.6765,0.6765,200000.0
1999-05-31,0.6865,0.6865,0.6865,0.6865,200000.0
1999-06-01,0.6865,0.6865,0.6865,0.6865,200000.0
1999-06-02,0.6865,0.6865,0.6865,0.6865,167000.0
1999-06-03,0.6865,0.6964,0.6964,0.6865,200000.0
1999-06-04,0.6865,0.6865,0.6865,0.6865,210000.0
1999-06-07,0.6865,0.6865,0.6865,0.6865,200000.0
1999-06-08,0.6765,0.6765,0.6765,0.6765,100000.0
1999-06-09,0.6765,0.6765,0.6765,0.6765,100000.0
1999-06-10,0.6765,0.6964,0.6964,0.6765,180000.0
1999-06-11,0.6765,0.6765,0.6765,0.6765,80000.0
1999-06-14,0.6765,0.6765,0.6765,0.6765,200000.0
1999-06-16,0.6765,0.6964,0.6964,0.6765,190000.0
1999-06-18,0.6765,0.6765,0.6765,0.6765,200000.0
1999-06-28,0.6765,0.6765,0.6765,0.6765,200000.0
1999-06-29,0.6765,0.6765,0.6765,0.6765,220000.0
1999-07-02,0.6765,0.6765,0.6765,0.6765,110000.0
1999-07-09,0.6765,0.6765,0.6765,0.6765,10000.0
1999-07-12,0.6765,0.7462,0.7462,0.6765,120000.0
1999-07-16,0.6964,0.6964,0.6964,0.6964,50000.0
