Date,Close,Open,High,Low,Volume
2021-11-03,0.9,0.9,0.9,0.9,450806000.0
2021-11-04,0.74,1.1,1.1,0.71,3558008000.0
2021-11-05,0.77,0.78,0.8,0.74,591397000.0
2021-11-08,0.71,0.78,0.8,0.7,478290000.0
2021-11-09,0.72,0.71,0.75,0.68,415343000.0
2021-11-10,0.71,0.73,0.74,0.69,173560000.0
2021-11-11,0.74,0.71,0.75,0.71,196088000.0
2021-11-12,0.82,0.75,0.82,0.74,492763000.0
2021-11-15,0.8,0.82,0.85,0.79,434372000.0
2021-11-16,0.82,0.8,0.84,0.8,190188000.0
2021-11-17,0.81,0.82,0.84,0.81,126990000.0
2021-11-18,0.77,0.81,0.82,0.77,269446000.0
2021-11-19,0.74,0.78,0.78,0.74,164066000.0
2021-11-22,0.76,0.74,0.77,0.72,120665000.0
2021-11-23,0.76,0.76,0.76,0.74,54228000.0
2021-11-24,0.74,0.75,0.76,0.74,48309000.0
2021-11-25,0.74,0.74,0.75,0.73,50673000.0
2021-11-26,0.73,0.74,0.77,0.73,107890000.0
2021-11-29,0.72,0.71,0.72,0.69,125220000.0
2021-12-01,0.7,0.71,0.72,0.69,105919000.0
2021-12-02,0.7,0.7,0.71,0.69,71141000.0
2021-12-03,0.71,0.71,0.73,0.7,43516000.0
2021-12-06,0.71,0.7,0.72,0.7,40267000.0
2021-12-07,0.69,0.71,0.71,0.68,104536000.0
2021-12-09,0.68,0.69,0.7,0.67,88663000.0
2021-12-10,0.68,0.68,0.7,0.67,89646000.0
2021-12-13,0.63,0.68,0.69,0.62,155366000.0
2021-12-14,0.58,0.63,0.64,0.58,195229000.0
2021-12-15,0.57,0.57,0.61,0.55,233016000.0
2021-12-16,0.6,0.58,0.61,0.58,77303000.0
2021-12-17,0.61,0.6,0.62,0.59,58262000.0
2021-12-20,0.61,0.61,0.63,0.6,32142000.0
2021-12-21,0.63,0.61,0.63,0.6,56375000.0
2021-12-22,0.64,0.63,0.66,0.63,58045000.0
2021-12-23,0.65,0.65,0.66,0.63,27379000.0
2021-12-24,0.64,0.64,0.65,0.63,12791000.0
2021-12-27,0.64,0.64,0.65,0.63,24699000.0
2021-12-28,0.62,0.64,0.64,0.62,33649000.0
2021-12-29,0.61,0.63,0.63,0.61,16755000.0
2021-12-31,0.61,0.61,0.63,0.6,8882000.0
2022-01-03,0.6,0.61,0.61,0.58,33655000.0
2022-01-05,0.58,0.6,0.61,0.57,37976000.0
2022-01-06,0.58,0.58,0.59,0.57,20166000.0
2022-01-07,0.6,0.58,0.62,0.57,63294000.0
2022-01-10,0.6,0.59,0.61,0.59,35518000.0
2022-01-11,0.58,0.6,0.6,0.57,30607000.0
2022-01-12,0.57,0.58,0.59,0.57,38060000.0
2022-01-13,0.61,0.58,0.61,0.57,74002000.0
2022-01-14,0.63,0.62,0.64,0.61,74797000.0
2022-01-17,0.62,0.63,0.64,0.61,29694000.0
2022-01-18,0.62,0.62,0.63,0.61,39584000.0
2022-01-19,0.59,0.61,0.62,0.59,24746000.0
2022-01-20,0.59,0.59,0.61,0.59,29166000.0
