Date,Close,Open,High,Low,Volume
2020-08-13,24.9,27.0,27.25,24.9,31704900.0
2020-08-14,24.1,25.0,25.7,23.85,10001500.0
2020-08-17,25.95,24.65,26.45,24.65,14178700.0
2020-08-18,25.8,25.95,25.95,25.5,10494600.0
2020-08-19,25.95,25.8,26.0,25.65,4667200.0
2020-08-20,25.9,25.95,26.1,25.75,5656800.0
2020-08-24,25.7,26.0,26.0,25.65,2616100.0
2020-08-25,25.8,25.7,25.95,25.55,5669800.0
2020-08-26,26.05,25.85,26.45,25.75,4829400.0
2020-08-27,25.75,25.5,25.85,25.05,1529600.0
2020-08-28,25.6,25.75,25.75,25.6,1329900.0
2020-09-01,25.5,25.6,25.7,25.5,1402500.0
2020-09-02,25.4,25.5,25.5,25.3,1349800.0
2020-09-03,25.45,25.4,25.45,25.4,943200.0
2020-09-04,25.25,25.4,25.45,25.25,1813400.0
2020-09-07,25.55,25.3,25.6,25.3,1173300.0
2020-09-08,25.8,25.55,25.85,25.5,1355600.0
2020-09-09,25.8,25.8,25.8,25.75,332900.0
2020-09-10,25.75,25.8,25.85,25.75,413900.0
2020-09-11,25.7,25.7,25.75,25.65,706400.0
2020-09-14,25.65,25.7,25.75,25.6,363000.0
2020-09-15,25.65,25.65,25.7,25.6,615200.0
2020-09-16,25.7,25.65,25.75,25.55,472700.0
2020-09-17,25.8,25.7,26.0,25.7,4088400.0
2020-09-18,25.95,25.85,26.0,25.85,607100.0
2020-09-21,25.65,25.9,25.95,25.6,1403700.0
2020-09-22,25.6,25.65,25.75,25.45,1118000.0
2020-09-23,25.65,25.75,25.8,25.5,1440500.0
2020-09-24,25.6,25.65,26.0,25.55,1094500.0
2020-09-25,25.55,25.6,25.65,25.5,1698700.0
2020-09-28,25.6,25.55,25.65,25.45,1570300.0
2020-09-29,25.7,25.6,25.8,25.55,7622200.0
2020-09-30,25.8,25.8,25.8,25.6,370200.0
2020-10-01,25.95,25.8,25.95,25.6,908600.0
2020-10-02,25.9,25.9,25.9,25.6,1845400.0
2020-10-05,25.75,25.9,25.9,25.6,1118400.0
2020-10-06,25.6,25.75,25.75,25.55,1811800.0
2020-10-07,25.65,25.6,25.7,25.5,950600.0
2020-10-08,25.65,25.6,25.75,25.5,539600.0
2020-10-09,25.6,25.65,25.65,25.5,319700.0
2020-10-12,25.65,25.6,25.7,25.5,1058600.0
2020-10-13,25.7,25.55,25.75,25.55,1375700.0
2020-10-14,25.7,25.7,25.75,25.55,657700.0
2020-10-15,25.7,25.75,25.75,25.6,698000.0
2020-10-16,25.8,25.65,25.85,25.6,498000.0
2020-10-19,25.7,25.8,25.85,25.7,667800.0
2020-10-20,25.65,25.7,25.85,25.6,525000.0
2020-10-21,25.75,25.75,25.8,25.65,414800.0
2020-10-22,25.7,25.75,25.8,25.65,497400.0
2020-10-23,25.65,25.75,25.75,25.5,2425400.0
2020-10-26,25.7,25.7,25.8,25.65,1253000.0
2020-10-27,25.7,25.7,25.7,25.55,714200.0
2020-10-28,25.75,25.7,25.75,25.65,387200.0
2020-10-29,25.65,25.7,25.7,25.6,302200.0
2020-10-30,25.55,25.65,25.7,25.55,631700.0
2020-11-03,25.6,25.65,25.7,25.5,1180600.0
2020-11-04,25.65,25.65,25.65,25.55,1661200.0
2020-11-05,25.6,25.65,25.65,25.5,2057200.0
2020-11-06,25.6,25.65,25.65,25.55,1138800.0
2020-11-09,25.75,25.6,25.8,25.6,383500.0
2020-11-10,25.9,25.85,25.9,25.5,2350900.0
2020-11-11,25.95,25.9,25.95,25.85,647200.0
2020-11-13,26.0,25.95,26.0,25.85,757500.0
2020-11-16,26.2,26.0,26.25,25.95,876400.0
2020-11-17,26.1,26.2,26.5,26.1,2114600.0
2020-11-18,26.5,26.3,26.5,26.3,1164100.0
2020-11-19,26.55,26.5,26.65,26.45,1253800.0
2020-11-20,27.0,26.6,27.0,26.55,1561100.0
2020-11-23,27.5,27.1,27.6,27.05,1658800.0
2020-11-24,27.25,27.5,27.55,27.15,918500.0
2020-11-25,27.35,27.5,27.5,27.25,1659300.0
2020-11-26,27.3,27.45,27.45,27.0,887600.0
2020-11-27,27.35,27.25,27.5,27.15,844500.0
2020-12-01,27.75,27.4,27.95,27.4,1118900.0
2020-12-02,27.55,27.45,27.7,27.3,869300.0
2020-12-03,27.5,27.55,27.6,27.5,1244600.0
2020-12-04,27.55,27.55,27.6,27.5,688800.0
2020-12-07,27.55,27.55,27.7,27.5,531400.0
2020-12-09,27.7,27.75,27.75,27.6,584700.0
2020-12-10,28.1,27.75,28.15,27.7,2547100.0
2020-12-11,29.0,28.1,29.0,28.1,1303000.0
2020-12-14,29.0,29.0,29.2,28.95,966500.0
2020-12-15,29.8,29.0,29.8,29.0,3462300.0
2020-12-16,29.9,29.8,30.0,29.6,2434100.0
2020-12-17,29.9,30.0,30.0,29.75,1184100.0
2020-12-18,29.75,29.95,30.0,29.75,3466200.0
2020-12-21,29.55,29.75,29.75,29.5,1088900.0
2020-12-22,29.3,29.4,29.45,28.8,2943300.0
2020-12-23,29.2,29.3,29.3,28.7,3045000.0
2020-12-28,29.25,29.1,29.25,28.45,2755700.0
2020-12-29,29.35,29.3,29.35,28.9,655900.0
2021-01-04,29.25,29.35,29.4,29.2,586700.0
2021-01-05,29.0,29.25,29.3,28.95,2695600.0
2021-01-06,28.95,29.0,29.15,28.9,1449800.0
2021-01-07,29.25,29.0,29.3,28.95,1319700.0
2021-01-08,29.5,29.25,29.5,29.2,885100.0
2021-01-11,30.0,29.5,30.15,29.5,1555100.0
2021-01-12,29.95,30.0,30.0,29.9,319300.0
2021-01-13,30.05,30.0,30.05,29.9,1338900.0
2021-01-14,29.9,30.0,30.05,29.9,1483900.0
2021-01-15,30.15,30.0,30.15,29.9,576200.0
2021-01-18,30.85,30.1,30.9,30.1,510700.0
2021-01-19,31.6,30.9,31.6,30.9,1111800.0
2021-01-20,32.05,31.6,33.1,31.6,2047100.0
2021-01-21,31.9,32.15,32.75,31.5,1046800.0
2021-01-22,31.6,31.95,32.25,31.6,996700.0
2021-01-25,32.0,31.6,32.15,31.5,522100.0
2021-01-26,31.75,32.0,32.0,31.6,1191000.0
2021-01-27,31.5,31.65,31.85,31.35,3494500.0
2021-01-28,31.8,31.5,31.9,31.3,303200.0
2021-01-29,32.0,31.8,32.1,31.8,1166700.0
2021-02-01,32.0,32.0,32.05,31.95,1778200.0
2021-02-02,32.9,32.1,32.95,32.05,1418000.0
2021-02-03,32.5,32.95,33.0,32.4,1697700.0
2021-02-04,32.3,32.5,32.5,32.2,574600.0
2021-02-05,32.6,32.45,32.75,32.45,766300.0
2021-02-08,32.9,32.8,32.95,32.7,1080300.0
2021-02-09,32.75,32.9,33.0,32.6,725700.0
2021-02-10,33.0,32.8,33.0,32.8,612400.0
2021-02-11,33.1,33.0,33.15,32.95,604500.0
2021-02-15,33.9,33.15,33.9,33.15,867400.0
2021-02-16,34.0,33.9,35.0,33.85,2012300.0
2021-02-17,34.0,34.0,34.45,33.95,540900.0
2021-02-18,34.2,34.05,34.9,34.05,162200.0
2021-02-19,34.45,34.5,34.9,34.1,679900.0
2021-02-22,34.7,34.5,34.9,34.5,230200.0
2021-02-23,34.2,34.5,34.5,34.0,671200.0
2021-02-24,33.9,34.3,34.45,33.5,1079800.0
2021-02-26,33.7,34.0,34.0,33.7,1378100.0
2021-03-01,33.9,33.95,34.4,33.9,1176100.0
2021-03-02,34.4,33.9,34.7,33.8,434400.0
2021-03-03,34.25,34.5,34.5,34.2,321000.0
2021-03-04,33.95,34.4,34.6,33.9,788100.0
2021-03-05,33.95,34.1,34.4,33.95,1030800.0
2021-03-08,33.55,33.95,34.0,33.45,779000.0
2021-03-09,33.05,33.55,34.0,32.8,1730100.0
2021-03-10,33.0,33.0,33.0,32.4,542600.0
2021-03-11,32.2,33.0,33.0,32.0,2131600.0
2021-03-12,32.1,32.05,32.4,31.7,1043900.0
2021-03-15,31.75,32.1,32.5,31.0,1802000.0
2021-03-16,32.5,31.75,32.8,31.75,611000.0
2021-03-17,32.8,32.8,32.8,32.0,343500.0
2021-03-18,33.05,32.85,33.5,32.8,1325200.0
2021-03-19,32.65,33.2,33.5,32.55,922300.0
2021-03-22,32.5,32.65,32.65,31.9,410700.0
2021-03-23,32.8,32.5,33.0,32.4,418900.0
2021-03-24,33.0,32.8,33.05,32.8,898000.0
2021-03-25,33.15,33.0,33.55,33.0,848900.0
2021-03-26,33.2,33.15,34.25,33.0,1089800.0
2021-03-29,33.45,33.1,33.5,33.0,364400.0
2021-03-30,33.7,33.4,33.7,33.3,625800.0
2021-03-31,34.0,33.8,34.3,33.8,690700.0
2021-04-05,34.65,34.0,34.7,33.95,779500.0
2021-04-06,34.85,34.7,35.0,34.7,702300.0
2021-04-07,34.9,34.95,35.0,34.45,1110400.0
2021-04-08,34.5,34.9,34.95,34.3,457100.0
2021-04-12,34.0,34.5,34.5,33.75,1160900.0
2021-04-13,33.9,34.0,34.1,33.7,547700.0
2021-04-14,34.0,33.9,34.3,33.85,680700.0
2021-04-15,33.9,34.0,34.0,33.9,716500.0
2021-04-16,33.9,33.9,34.0,33.6,337800.0
2021-04-19,33.5,33.9,33.9,33.5,1055700.0
2021-04-20,33.7,33.5,34.1,33.5,636300.0
2021-04-21,34.0,33.7,34.55,33.7,142400.0
2021-04-22,34.0,34.3,34.3,34.0,393400.0
2021-04-23,34.05,34.0,34.2,33.95,250500.0
2021-04-26,34.0,34.05,34.45,33.95,649000.0
2021-04-27,34.4,34.0,34.65,34.0,813200.0
2021-04-28,34.5,34.4,35.0,34.4,1070900.0
2021-04-29,34.55,34.5,34.6,34.4,816200.0
2021-04-30,34.3,34.0,34.65,34.0,2252700.0
2021-05-03,34.5,34.2,34.5,34.1,1773300.0
2021-05-04,34.15,34.45,34.45,34.0,835300.0
2021-05-05,34.0,34.05,34.1,33.85,1678200.0
2021-05-06,33.65,34.0,34.0,33.0,1246400.0
2021-05-07,32.8,33.6,33.6,32.4,3322800.0
2021-05-11,34.15,33.6,34.5,33.6,1033800.0
2021-05-12,34.55,34.15,34.85,34.1,1474500.0
2021-05-14,34.75,34.55,34.75,34.0,878200.0
2021-05-17,34.9,34.75,35.0,34.4,1285600.0
2021-05-18,35.1,35.0,35.25,34.2,2455700.0
2021-05-19,35.9,35.25,36.5,35.25,1888300.0
2021-05-20,35.5,36.3,36.3,35.5,935000.0
2021-05-21,35.6,35.5,36.0,35.5,630500.0
2021-05-24,35.6,35.6,36.1,35.6,203900.0
2021-05-25,35.65,35.9,36.2,35.65,402400.0
2021-05-26,36.0,35.7,36.2,35.7,132800.0
2021-05-27,36.15,36.15,36.5,36.1,213400.0
2021-05-28,36.5,36.2,36.5,36.2,1259600.0
2021-05-31,36.0,36.5,36.5,35.95,679900.0
2021-06-01,36.25,36.0,36.8,36.0,328900.0
2021-06-02,36.6,36.5,36.7,36.35,292300.0
2021-06-03,36.25,36.8,36.8,36.25,447100.0
2021-06-04,36.45,36.25,36.6,36.25,426400.0
2021-06-07,36.6,36.55,36.95,36.55,1178700.0
2021-06-08,36.35,36.6,36.6,36.25,202700.0
2021-06-09,35.65,36.35,36.75,35.65,695400.0
2021-06-10,35.7,35.7,36.0,35.6,1117000.0
2021-06-11,36.5,35.8,36.75,35.8,211500.0
2021-06-14,36.8,36.5,37.0,36.45,338100.0
2021-06-15,36.7,36.8,36.95,36.7,193300.0
2021-06-16,36.5,36.9,36.9,36.5,469600.0
2021-06-17,36.4,36.5,36.6,36.3,481800.0
2021-06-18,36.4,36.4,36.5,36.25,504900.0
2021-06-21,36.0,36.45,36.6,35.95,735500.0
2021-06-22,36.35,36.05,36.35,36.05,313600.0
2021-06-23,36.2,36.35,36.4,36.15,800700.0
2021-06-24,36.2,36.3,36.4,36.15,558800.0
2021-06-25,36.2,36.2,36.3,36.15,315300.0
2021-06-28,36.5,36.3,36.7,36.3,403800.0
2021-06-29,36.65,36.55,36.75,36.5,327500.0
2021-06-30,36.4,36.65,36.65,36.4,637500.0
2021-07-01,36.65,36.5,36.7,36.4,1019500.0
2021-07-02,36.8,36.65,36.85,36.4,621200.0
