Date,Close,Open,High,Low,Volume
2000-10-17,0.9874,1.0269,1.0269,0.9677,300000.0
2000-10-18,0.938,0.938,0.938,0.938,70000.0
2000-10-19,0.6912,0.7998,0.7998,0.6912,170000.0
2000-10-25,0.7899,0.7406,0.7899,0.7406,40000.0
2000-10-30,0.7109,0.7109,0.7899,0.7109,70000.0
2000-10-31,0.6912,0.6912,0.6912,0.6912,10000.0
2000-11-06,0.8887,0.8887,0.8887,0.8887,20000.0
2000-11-09,0.8887,0.8887,0.8887,0.8887,100000.0
2000-11-16,0.8887,0.8887,0.8887,0.8887,70000.0
2000-11-17,0.8887,0.8887,0.8887,0.8887,30000.0
2000-11-21,0.8887,0.8887,0.8887,0.8887,20000.0
2000-11-22,0.9775,0.8887,0.9775,0.8887,140000.0
2000-12-05,0.9578,0.9578,0.9578,0.9578,20000.0
2000-12-18,0.6714,0.7406,0.7406,0.6714,350000.0
2001-01-02,0.7109,0.6517,0.7109,0.6517,90000.0
2001-01-03,0.7109,0.7109,0.7109,0.7109,20000.0
2001-01-09,0.6221,0.6221,0.6221,0.6221,30000.0
2001-01-15,0.6221,0.6221,0.6221,0.6221,50000.0
2001-02-07,0.6221,0.6221,0.6221,0.6221,10000.0
2001-02-08,0.5925,0.5925,0.5925,0.5925,10000.0
2001-02-09,0.8887,0.8887,0.8887,0.8887,10000.0
2001-02-15,0.5332,0.5332,0.5332,0.5332,20000.0
2001-02-16,0.5332,0.5332,0.5332,0.5332,10000.0
2001-02-20,0.3258,0.3258,0.3258,0.3258,30000.0
2001-03-05,0.4838,0.4838,0.4838,0.4838,40000.0
2001-03-07,0.7208,0.7208,0.7208,0.7208,10000.0
2001-03-09,0.5925,0.5925,0.5925,0.5925,50000.0
2001-03-14,0.6418,0.6418,0.6418,0.6418,10000.0
2001-04-24,0.6912,0.6912,0.6912,0.6912,20000.0
2001-05-02,0.5925,0.5925,0.5925,0.5925,20000.0
2001-05-24,0.5925,0.5925,0.5925,0.5925,10000.0
2001-06-14,0.5925,0.5925,0.5925,0.5925,20000.0
2001-06-18,0.3555,0.3555,0.3555,0.3555,320000.0
2001-07-09,0.4937,0.4937,0.4937,0.4937,20000.0
2001-08-01,0.4937,0.4937,0.4937,0.4937,20000.0
2001-08-03,0.4937,0.4937,0.4937,0.4937,40000.0
2001-09-13,0.5036,0.5036,0.5036,0.5036,50000.0
2001-09-19,0.5925,0.5925,0.5925,0.5925,10000.0
2001-10-26,0.4937,0.4937,0.4937,0.4937,50000.0
2001-10-29,0.4443,0.4443,0.4443,0.4443,70000.0
2001-11-14,0.395,0.395,0.395,0.395,10000.0
2001-11-29,0.395,0.395,0.395,0.395,10000.0
2001-12-28,0.395,0.395,0.395,0.395,10000.0
2002-01-24,0.5925,0.5925,0.5925,0.5925,50000.0
2002-02-28,0.5925,0.5925,0.5925,0.5925,10000.0
2002-03-14,0.3752,0.3752,0.3752,0.3752,100000.0
2002-04-16,0.3752,0.3752,0.3752,0.3752,10000.0
2002-05-10,0.3752,0.3752,0.3752,0.3752,10000.0
2002-06-11,0.3752,0.3752,0.3752,0.3752,10000.0
2002-06-28,0.3752,0.3752,0.3752,0.3752,20000.0
2002-07-12,0.3752,0.3752,0.3752,0.3752,10000.0
2002-08-01,0.3752,0.3752,0.3752,0.3752,50000.0
2002-08-19,0.3752,0.3752,0.3752,0.3752,20000.0
2002-08-22,0.2962,0.2962,0.2962,0.2962,20000.0
2002-08-26,0.3752,0.3752,0.3752,0.3752,10000.0
2002-09-25,0.3752,0.3752,0.3752,0.3752,10000.0
2002-10-17,0.3752,0.3752,0.3752,0.3752,10000.0
2002-11-27,0.3851,0.3851,0.3851,0.3851,10000.0
2003-01-27,0.3752,0.3752,0.3752,0.3752,10000.0
2003-06-26,0.3258,0.3258,0.3258,0.3258,60000.0
2003-07-28,0.316,0.316,0.316,0.316,10000.0
2003-08-12,0.316,0.316,0.316,0.316,10000.0
2003-08-13,0.316,0.316,0.316,0.316,30000.0
2003-09-22,0.316,0.316,0.316,0.316,7000000.0
2004-03-31,0.316,0.316,0.316,0.316,20000.0
2004-06-30,0.1975,0.1925,0.316,0.1925,30000.0
2004-07-16,0.1185,0.1185,0.1185,0.1185,100000.0
2004-09-20,0.158,0.158,0.158,0.158,20000.0
2004-09-21,0.2172,0.2172,0.2172,0.2172,20000.0
2004-11-08,0.2469,0.2469,0.2469,0.2469,50000.0
2004-12-17,0.316,0.316,0.316,0.316,20000.0
2004-12-21,0.474,0.474,0.474,0.474,10000.0
2004-12-22,0.4147,0.4147,0.4147,0.4147,10000.0
2005-01-07,0.4937,0.4937,0.4937,0.4937,20000.0
2005-01-10,0.6122,0.6122,0.6122,0.6122,30000.0
2005-01-13,0.6912,0.6912,0.6912,0.6912,10000.0
2005-01-18,0.6912,0.6912,0.6912,0.6912,50000.0
2005-01-25,0.6912,0.6912,0.6912,0.6912,100000.0
2005-01-26,1.0072,0.7406,1.0072,0.7406,230000.0
2005-01-27,1.0072,0.7899,1.0072,0.7899,50000.0
2005-02-04,0.9874,1.1849,1.1849,0.9874,21000.0
2005-02-07,0.9874,0.9874,0.9874,0.9874,100000.0
2005-02-15,1.0072,1.0072,1.0072,1.0072,100000.0
2005-02-16,0.9479,1.0072,1.0072,0.9479,210000.0
2005-02-18,1.0862,0.9874,1.0862,0.9874,390000.0
2005-02-21,1.0862,1.0862,1.0862,1.0862,40000.0
2005-02-22,1.2836,1.1849,1.4219,1.1849,125000.0
2005-02-24,1.1849,1.1849,1.1849,1.1849,19000.0
2005-03-01,1.1849,1.1849,1.1849,1.1849,210000.0
2005-03-07,1.2836,1.2836,1.2836,1.2836,20000.0
2005-03-09,1.3824,1.3824,1.3824,1.3824,50000.0
2005-03-15,1.4811,1.4811,1.4811,1.4811,60000.0
2005-04-04,1.0862,0.9874,1.0862,0.9874,110000.0
2005-04-07,1.3824,1.2836,1.3824,1.2836,120000.0
2005-04-11,1.4811,1.4811,1.4811,1.4811,120000.0
2005-04-12,1.7774,1.5009,1.7774,1.5009,235000.0
2005-04-13,1.7774,1.8563,2.0143,1.7774,432000.0
2005-04-14,1.7774,1.6786,1.7774,1.6786,521000.0
2005-04-15,1.7971,1.7774,1.9156,1.7774,754000.0
2005-04-19,1.7181,1.7181,1.7181,1.7181,8000.0
2005-04-22,1.7774,1.7774,1.7774,1.7774,10000.0
2005-04-25,1.7971,1.7971,1.7971,1.7971,5000.0
2005-04-26,1.7774,1.7971,1.7971,1.7774,30000.0
2005-04-29,1.7774,1.7774,1.7774,1.7774,10000.0
2005-05-05,1.7971,1.7971,1.7971,1.7971,40000.0
2005-05-12,1.7971,1.7971,1.7971,1.7971,40000.0
2005-05-23,1.7774,1.7774,1.7774,1.7774,10000.0
2005-06-06,1.7774,1.7774,1.7774,1.7774,10000.0
2005-11-21,1.7576,1.7379,1.7576,1.7379,50000.0
2005-11-22,1.6786,1.6786,1.6786,1.6786,60000.0
2006-01-31,1.6984,1.6984,1.6984,1.6984,75000.0
2006-02-01,1.6391,1.6391,1.6391,1.6391,10000.0
2006-02-02,1.6589,1.6589,1.6589,1.6589,120000.0
2006-04-19,1.7774,1.5799,1.7774,1.5799,90000.0
2006-04-20,1.7774,1.7774,1.7774,1.7774,150000.0
2006-04-21,1.7774,1.7774,1.7774,1.7774,100000.0
2006-04-24,1.7576,1.7576,1.7576,1.7576,30000.0
2006-04-28,1.7576,1.7576,1.7576,1.7576,560000.0
2006-05-16,1.7774,1.7774,1.7774,1.7774,200000.0
2006-05-17,1.7774,1.7774,1.7774,1.7774,100000.0
2006-05-30,1.6786,1.6786,1.6786,1.6786,30000.0
2006-06-30,1.3824,1.3824,1.3824,1.3824,1000.0
2006-07-04,1.3824,1.3824,1.3824,1.3824,9000.0
2006-08-02,1.7774,1.7774,1.7774,1.7774,60000.0
2006-08-03,1.7774,1.7774,1.7774,1.7774,20000.0
2006-08-04,1.7774,1.7774,1.7774,1.7774,90000.0
2006-09-07,1.7379,1.7379,1.7379,1.7379,20000.0
2006-10-20,1.9748,1.9748,1.9748,1.9748,20000.0
2007-01-04,2.4685,2.4685,2.4685,2.4685,10000.0
2007-02-07,2.7648,2.7648,2.7648,2.7648,20000.0
2007-02-08,2.7648,2.7648,2.7648,2.7648,20000.0
2007-02-14,2.9623,2.9623,2.9623,2.9623,20000.0
2007-02-21,2.9623,2.9623,2.9623,2.9623,1000.0
2007-02-22,2.7648,2.7648,2.7648,2.7648,70000.0
2007-03-02,2.7648,2.7648,2.7648,2.7648,10000.0
2007-03-05,2.7648,2.7648,2.7648,2.7648,10000.0
2007-03-06,2.9623,2.9623,2.9623,2.9623,20000.0
2007-03-07,2.9623,2.9623,2.9623,2.9623,20000.0
2007-03-13,2.9623,2.9623,2.9623,2.9623,10000.0
2007-04-20,3.1597,3.1597,3.1597,3.1597,10000.0
2007-08-24,3.9497,2.9623,3.9497,2.9623,70000.0
2007-09-05,3.7028,3.7028,3.7028,3.7028,5000.0
2007-12-17,3.7028,3.7028,3.7028,3.7028,5000.0
2007-12-28,2.4685,2.4685,2.4685,2.4685,10000.0
2008-02-01,2.4685,2.4685,2.4685,2.4685,40000.0
2008-02-08,2.9623,2.9623,2.9623,2.9623,175000.0
2009-01-14,2.7648,2.7648,2.7648,2.7648,2000.0
2009-06-09,4.1472,4.1472,4.1472,4.1472,1000.0
2009-09-09,3.9497,2.5673,3.9497,2.5673,51000.0
2009-09-10,5.0358,4.4434,5.0358,4.4434,20000.0
2009-10-06,4.7396,4.7396,4.7396,4.7396,20000.0
2009-10-07,7.0107,6.4182,7.0107,6.4182,17000.0
2009-10-08,10.121,7.1094,10.121,7.1094,61000.0
2009-10-09,8.8868,8.9855,9.8742,8.788,95000.0
2009-10-13,6.7144,6.2207,6.7144,6.2207,65000.0
2009-10-14,9.7754,6.9119,9.8742,6.9119,156000.0
2009-10-15,9.183,9.7754,10.121,8.8868,127000.0
2009-10-16,9.0842,8.9855,9.183,8.9855,34000.0
2009-10-19,8.8868,8.788,8.8868,8.788,14000.0
2009-10-20,8.8868,8.8868,8.8868,8.8868,22000.0
2009-10-21,8.788,8.8868,8.8868,8.788,24000.0
2009-10-28,7.4056,7.4056,7.4056,7.4056,10000.0
2009-11-03,6.3195,6.7144,6.8132,6.3195,13000.0
2009-11-06,6.9119,6.9119,6.9119,6.9119,1000.0
2009-11-09,7.8993,7.8993,9.4792,7.8993,7000.0
2009-11-19,8.8868,6.9119,8.8868,6.9119,6000.0
2009-11-24,8.6893,7.0107,8.6893,7.0107,6000.0
2009-12-01,8.9855,8.4918,8.9855,8.4918,3000.0
2009-12-02,10.121,8.9855,10.8616,8.9855,113000.0
2009-12-03,13.8238,10.8616,13.8238,10.121,39700.0
2009-12-04,19.0078,18.7609,20.7358,17.2798,48900.0
2009-12-07,14.0707,13.0833,14.0707,13.0833,8000.0
2009-12-08,13.8238,12.0959,16.2924,12.0959,41900.0
2009-12-09,13.0833,12.3427,15.7987,12.3427,12800.0
2009-12-10,13.8238,13.8238,15.0581,11.849,5400.0
2009-12-11,15.0581,13.8238,15.7987,13.8238,17700.0
2009-12-14,13.8238,13.8238,14.8113,13.8238,1600.0
2009-12-15,12.8364,12.8364,13.0833,12.8364,600.0
2009-12-16,12.3427,9.8742,12.3427,9.8742,600.0
2009-12-17,10.3679,11.3553,11.849,10.3679,9200.0
2009-12-18,9.8742,9.8742,9.8742,9.8742,100.0
2009-12-21,12.8364,12.8364,12.8364,12.8364,3000.0
2009-12-22,9.8742,12.8364,12.8364,9.8742,22100.0
2009-12-23,9.8742,9.8742,9.8742,9.8742,9000.0
2009-12-28,11.3553,11.3553,11.3553,11.3553,1000.0
2009-12-29,11.849,11.849,11.849,11.849,100.0
2010-01-05,9.8742,9.8742,9.8742,9.4792,11500.0
2010-01-06,9.8742,9.8742,9.8742,9.8742,1000.0
2010-01-07,9.3805,9.3805,9.3805,9.3805,4000.0
2010-01-11,9.3805,9.3805,9.3805,9.3805,3000.0
2010-01-12,9.8742,9.8742,9.8742,9.8742,2000.0
2010-01-18,8.8868,8.8868,8.8868,8.8868,4000.0
2010-01-21,7.1094,9.3805,9.8742,7.1094,9000.0
2010-01-28,7.8993,5.1346,7.8993,5.1346,3000.0
2010-02-01,7.8993,6.7144,7.8993,6.7144,3000.0
2010-02-02,10.3679,8.5905,10.3679,8.5905,4000.0
2010-02-03,9.8742,6.9119,9.8742,6.9119,5000.0
2010-02-05,9.7754,9.7754,9.7754,9.7754,7000.0
2010-02-08,8.393,8.788,8.788,8.393,9000.0
2010-02-09,6.9119,6.2207,7.4056,6.2207,10000.0
2010-02-11,8.393,8.393,8.393,8.393,5000.0
2010-02-12,8.8868,8.8868,8.8868,8.8868,2000.0
2010-03-02,7.0107,7.0107,7.0107,7.0107,2000.0
2010-03-04,8.0968,8.0968,8.0968,8.0968,1000.0
2010-03-08,7.1094,7.1094,7.1094,7.1094,1000.0
2010-03-12,5.0358,5.0358,5.0358,5.0358,1000.0
2010-03-17,7.5044,7.5044,7.5044,7.5044,1000.0
2010-03-22,5.3321,5.3321,5.3321,5.3321,1000.0
2010-03-24,7.0107,3.2585,7.0107,3.2585,2000.0
2010-03-25,8.788,5.0358,8.788,5.0358,4000.0
2010-04-12,5.5295,5.5295,5.5295,5.5295,1000.0
2010-04-14,5.5295,5.5295,5.5295,5.5295,2000.0
2010-04-22,7.8993,7.8993,7.8993,7.8993,1000.0
2010-04-27,11.849,7.8993,11.849,7.8993,42000.0
2010-04-29,15.305,11.3553,15.305,11.3553,107800.0
2010-04-30,14.3176,15.7987,16.2924,14.3176,44800.0
2010-05-04,11.849,13.8238,13.8238,11.849,10900.0
2010-05-05,10.8616,10.8616,10.8616,10.8616,20000.0
2010-05-11,7.8993,7.8993,7.8993,7.8993,2200.0
2010-05-12,7.7019,7.7019,7.7019,7.7019,3000.0
2010-05-14,7.4056,7.4056,7.4056,7.4056,10000.0
2010-05-17,7.4056,7.4056,7.4056,7.4056,1000.0
2010-05-21,7.8993,7.8993,7.8993,7.8993,1000.0
2010-05-27,9.3805,7.8993,10.121,7.8993,10000.0
2010-06-01,8.8868,8.8868,8.8868,8.8868,10000.0
2010-06-10,8.8868,8.8868,8.8868,8.8868,5000.0
2010-06-11,8.8868,8.8868,8.8868,8.8868,1000.0
2010-06-15,13.0833,8.8868,13.3301,8.8868,100000.0
2010-06-16,12.3427,12.8364,12.8364,11.849,12000.0
2010-06-17,11.849,12.8364,12.8364,11.3553,5000.0
2010-06-21,9.578,9.3805,9.8742,9.3805,11500.0
2010-06-28,10.3679,9.8742,10.3679,9.8742,4000.0
2010-06-29,9.8742,9.8742,9.8742,9.8742,9500.0
2010-07-01,9.8742,10.8616,10.8616,9.8742,9000.0
2010-07-02,10.3679,10.3679,10.3679,10.3679,11000.0
2010-07-05,9.8742,9.8742,9.8742,9.8742,1000.0
2010-07-06,10.3679,10.3679,10.3679,10.3679,1000.0
2010-07-07,10.3679,10.3679,10.3679,10.3679,500.0
2010-07-13,10.8616,9.8742,10.8616,9.8742,2400.0
2010-07-14,11.3553,11.3553,11.3553,11.3553,2000.0
2010-07-15,10.8616,10.8616,10.8616,10.8616,3000.0
2010-07-20,10.3679,10.3679,10.3679,10.3679,5000.0
2010-07-22,10.8616,10.3679,10.8616,10.3679,23500.0
2010-07-23,10.8616,10.8616,10.8616,10.8616,1000.0
2010-07-27,12.3427,12.5402,12.5402,12.3427,5100.0
2010-08-18,9.8742,9.8939,9.8939,9.8742,2500.0
2010-08-19,4.9371,9.8742,9.8742,4.9371,600.0
2010-08-23,7.4056,7.4056,7.4056,7.4056,100.0
2010-09-08,8.8868,6.0825,8.8868,6.0825,2700.0
2010-09-09,7.4056,7.4056,7.4056,7.4056,2800.0
2010-09-13,7.1094,7.4056,7.4056,7.1094,23500.0
2010-09-16,9.7754,9.7754,9.7754,9.7754,1500.0
