Date,Close,Open,High,Low,Volume
1986-04-28,0.01599,0.01599,0.01599,0.01599,1000.0
1987-01-06,0.01599,0.01599,0.01599,0.01599,1200.0
1987-01-20,0.01635,0.01635,0.01635,0.01635,200.0
1987-01-26,0.01635,0.01635,0.01635,0.01635,200.0
1987-01-29,0.01635,0.01635,0.01635,0.01635,4000.0
1987-03-12,0.02133,0.02133,0.02133,0.02133,100.0
1987-03-13,0.01706,0.01706,0.01706,0.01706,100.0
1988-03-16,0.02595,0.02595,0.02595,0.02595,1000.0
1988-03-28,0.02595,0.02595,0.02595,0.02595,150.0
1988-04-04,0.02595,0.02595,0.02595,0.02595,150.0
1988-04-12,0.02986,0.02986,0.02986,0.02986,2100.0
1988-04-19,0.02986,0.02986,0.02986,0.02986,300.0
1988-07-26,0.03661,0.03661,0.03661,0.03661,300.0
1988-09-27,0.03839,0.03839,0.03839,0.03839,100.0
1988-10-20,0.03839,0.03839,0.03839,0.03839,200.0
1988-11-16,0.04301,0.04301,0.04301,0.04301,500.0
1989-08-15,0.08175,0.08175,0.08175,0.08175,100.0
1989-09-21,0.1066,0.1066,0.1066,0.1066,500.0
1990-03-09,0.1066,0.1066,0.1066,0.1066,3000.0
1990-03-21,0.1066,0.1066,0.1066,0.1066,500.0
1990-06-01,0.1173,0.1173,0.1173,0.1173,2000.0
1990-06-21,0.128,0.128,0.128,0.128,3000.0
1990-07-02,0.1137,0.1137,0.1137,0.1137,1000.0
1990-08-21,0.1244,0.1208,0.1244,0.1208,2000.0
1990-09-17,0.1208,0.1208,0.1208,0.1208,1000.0
1990-09-25,0.128,0.128,0.128,0.128,1000.0
1990-09-28,0.1244,0.1244,0.1244,0.1244,200.0
1990-10-10,0.128,0.128,0.128,0.128,1000.0
1990-11-19,0.1351,0.1351,0.1351,0.1351,100.0
1991-01-03,0.1422,0.1422,0.1422,0.1422,10000.0
1991-05-21,0.1528,0.1528,0.1528,0.1528,900.0
1991-07-01,0.1528,0.1528,0.1528,0.1528,1000.0
1991-07-08,0.1528,0.1528,0.1528,0.1528,199300.0
1995-03-28,0.5118,0.5118,0.5118,0.5118,400.0
1995-04-03,0.5118,0.5118,0.5118,0.5118,5500.0
1995-04-07,0.5118,0.5118,0.5118,0.5118,1000.0
1995-04-10,0.5118,0.5118,0.5118,0.5118,500.0
1995-04-12,0.5687,0.5687,0.5687,0.5687,100.0
1995-04-20,0.5118,0.5118,0.5118,0.5118,400.0
1995-04-25,0.5545,0.5545,0.5545,0.5545,500.0
1995-04-27,0.563,0.563,0.563,0.563,1000.0
1995-05-11,0.563,0.563,0.563,0.563,700.0
1995-05-16,0.5545,0.5545,0.5545,0.5545,500.0
1995-05-18,0.5545,0.5545,0.5545,0.5545,300.0
1995-05-22,0.5545,0.5545,0.5545,0.5545,100.0
1995-05-24,0.5545,0.5545,0.5545,0.5545,100.0
1995-05-31,0.5545,0.5545,0.5545,0.5545,200.0
1995-06-02,0.5545,0.5545,0.5545,0.5545,1000.0
1995-06-05,0.5545,0.5545,0.5545,0.5545,200000.0
1995-06-06,0.5545,0.5545,0.5545,0.5545,200000.0
1995-06-07,0.5545,0.5545,0.5545,0.5545,200000.0
