Date,Close,Open,High,Low,Volume
2021-03-24,2.25,2.26,2.4,2.24,643472000.0
2021-03-25,2.24,2.27,2.28,2.24,204448000.0
2021-03-26,2.24,2.24,2.25,2.24,102432000.0
2021-03-29,2.23,2.24,2.25,2.15,596594000.0
2021-03-30,2.16,2.21,2.21,2.16,63966000.0
2021-03-31,2.15,2.15,2.17,2.11,76441000.0
2021-04-05,2.15,2.12,2.17,2.12,27462000.0
2021-04-06,2.28,2.17,2.3,2.16,70012000.0
2021-04-07,2.26,2.28,2.28,2.25,16415000.0
2021-04-08,2.26,2.26,2.27,2.23,8482000.0
2021-04-12,2.25,2.27,2.27,2.24,12797000.0
2021-04-13,2.21,2.24,2.24,2.2,14417000.0
2021-04-14,2.21,2.21,2.22,2.2,11047000.0
2021-04-15,2.19,2.21,2.22,2.19,14416000.0
2021-04-16,2.19,2.19,2.2,2.17,15202000.0
2021-04-19,2.18,2.2,2.2,2.17,11100000.0
2021-04-20,2.19,2.18,2.21,2.18,8738000.0
2021-04-21,2.2,2.2,2.21,2.19,5631000.0
2021-04-22,2.19,2.2,2.21,2.19,8883000.0
2021-04-23,2.15,2.18,2.18,2.14,22447000.0
2021-04-26,2.12,2.15,2.16,2.11,19733000.0
2021-04-27,2.12,2.13,2.14,2.11,10173000.0
2021-04-28,2.11,2.12,2.14,2.1,12504000.0
2021-04-29,2.1,2.11,2.12,2.09,17118000.0
2021-04-30,2.08,2.11,2.11,2.07,19990000.0
2021-05-03,1.99,2.07,2.08,1.98,76735000.0
2021-05-04,1.9,2.0,2.02,1.9,67627000.0
2021-05-05,1.97,1.91,1.98,1.91,8929000.0
2021-05-06,1.95,1.98,1.99,1.94,8176000.0
2021-05-07,1.95,1.95,1.97,1.93,7574000.0
2021-05-11,2.0,1.96,2.02,1.96,6355000.0
2021-05-12,1.95,2.0,2.0,1.95,12266000.0
2021-05-14,1.95,1.95,1.97,1.95,9668000.0
2021-05-17,1.95,1.96,1.97,1.95,6950000.0
2021-05-18,1.94,1.95,1.98,1.92,12684000.0
2021-05-19,1.96,1.95,1.97,1.93,7574000.0
2021-05-20,1.97,1.96,1.97,1.94,4265000.0
2021-05-21,1.97,1.98,1.98,1.97,4248000.0
2021-05-24,1.96,1.98,1.98,1.95,4113000.0
2021-05-25,1.95,1.94,1.96,1.93,4636000.0
2021-05-26,1.93,1.95,1.96,1.93,6974000.0
2021-05-27,1.96,1.94,1.96,1.93,9013000.0
2021-05-28,1.96,1.96,1.97,1.94,5624000.0
2021-05-31,1.94,1.96,1.97,1.94,6703000.0
2021-06-01,1.94,1.95,1.95,1.94,4315000.0
2021-06-02,1.94,1.92,1.94,1.91,15697000.0
2021-06-03,1.92,1.94,1.94,1.92,7632000.0
2021-06-04,1.93,1.92,1.94,1.92,6750000.0
2021-06-07,1.93,1.94,1.94,1.92,8081000.0
2021-06-08,1.93,1.93,1.94,1.92,8385000.0
2021-06-09,1.94,1.93,1.94,1.92,4650000.0
2021-06-10,1.92,1.94,1.94,1.92,12696000.0
2021-06-11,1.94,1.93,1.94,1.93,9909000.0
2021-06-14,1.95,1.93,1.97,1.92,19688000.0
2021-06-15,2.0,1.95,2.04,1.94,39604000.0
2021-06-16,2.07,2.01,2.08,2.0,17757000.0
2021-06-17,2.06,2.07,2.16,2.03,20380000.0
2021-06-18,2.11,2.06,2.13,2.06,13046000.0
2021-06-21,2.07,2.11,2.13,2.06,6669000.0
2021-06-22,2.06,2.06,2.07,2.04,3793000.0
2021-06-23,2.03,2.05,2.06,2.03,5071000.0
2021-06-24,2.01,2.03,2.03,2.01,9194000.0
2021-06-25,1.99,2.01,2.02,1.98,13704000.0
2021-06-28,2.0,1.99,2.02,1.99,7816000.0
2021-06-29,2.0,2.0,2.03,2.0,10436000.0
2021-06-30,1.99,2.01,2.03,1.99,11209000.0
2021-07-01,2.01,2.0,2.02,1.98,11714000.0
2021-07-02,1.99,2.01,2.02,1.99,9746000.0
2021-07-05,2.0,2.0,2.0,1.98,5157000.0
2021-07-06,1.99,2.0,2.01,1.99,5856000.0
2021-07-07,1.99,2.0,2.01,1.99,7653000.0
2021-07-08,2.01,2.0,2.04,2.0,12248000.0
2021-07-09,1.99,2.01,2.02,1.99,9973000.0
2021-07-12,2.0,2.0,2.02,1.99,9584000.0
2021-07-13,1.99,2.0,2.01,1.99,11698000.0
2021-07-14,1.98,2.0,2.0,1.98,7655000.0
2021-07-15,1.97,1.98,1.99,1.97,7129000.0
2021-07-16,1.94,1.97,1.99,1.94,12081000.0
2021-07-19,1.94,1.95,1.96,1.92,14311000.0
2021-07-21,1.93,1.93,1.96,1.92,15087000.0
2021-07-22,1.9,1.92,1.94,1.9,24319000.0
2021-07-23,1.87,1.91,1.93,1.86,18238000.0
2021-07-26,1.8,1.88,1.89,1.76,20708000.0
2021-07-27,1.84,1.82,1.86,1.8,8758000.0
2021-07-28,1.85,1.85,1.86,1.83,4143000.0
2021-07-29,1.83,1.82,1.83,1.8,7448000.0
2021-07-30,1.81,1.83,1.83,1.79,10434000.0
2021-08-02,1.77,1.78,1.79,1.75,12736000.0
2021-08-03,1.77,1.75,1.79,1.75,7358000.0
2021-08-04,1.82,1.8,1.83,1.78,5877000.0
2021-08-05,1.81,1.84,1.84,1.8,4109000.0
2021-08-06,1.79,1.8,1.81,1.78,5569000.0
2021-08-09,1.78,1.79,1.81,1.78,5941000.0
2021-08-10,1.8,1.78,1.8,1.77,7606000.0
2021-08-11,1.78,1.8,1.8,1.78,3816000.0
2021-08-12,1.78,1.79,1.8,1.78,7175000.0
2021-08-13,1.77,1.78,1.78,1.77,5988000.0
2021-08-16,1.77,1.77,1.79,1.75,15513000.0
2021-08-17,1.82,1.79,1.84,1.78,11639000.0
2021-08-18,1.83,1.82,1.85,1.8,5715000.0
2021-08-19,1.81,1.83,1.83,1.8,5403000.0
2021-08-20,1.83,1.82,1.85,1.81,6209000.0
2021-08-23,1.86,1.84,1.88,1.84,7920000.0
2021-08-24,1.84,1.87,1.87,1.84,9239000.0
2021-08-25,1.82,1.83,1.83,1.79,8689000.0
2021-08-26,1.8,1.82,1.82,1.79,7978000.0
2021-08-27,1.8,1.79,1.81,1.78,7864000.0
2021-08-31,1.79,1.8,1.81,1.79,7212000.0
2021-09-01,1.79,1.79,1.8,1.78,8489000.0
2021-09-02,1.78,1.79,1.8,1.77,7901000.0
2021-09-03,1.8,1.78,1.8,1.78,8025000.0
2021-09-06,1.79,1.8,1.8,1.78,5694000.0
2021-09-07,1.78,1.78,1.8,1.78,5775000.0
2021-09-08,1.8,1.78,1.8,1.78,5861000.0
2021-09-09,1.79,1.8,1.8,1.78,7803000.0
2021-09-10,1.8,1.8,1.8,1.78,2954000.0
2021-09-13,1.79,1.78,1.79,1.78,4731000.0
2021-09-14,1.84,1.79,1.84,1.79,21051000.0
2021-09-15,1.83,1.84,1.84,1.81,5685000.0
2021-09-16,1.8,1.84,1.84,1.79,12705000.0
2021-09-17,1.78,1.8,1.83,1.78,39718000.0
2021-09-20,1.78,1.8,1.8,1.78,5422000.0
2021-09-21,1.8,1.78,1.84,1.77,10801000.0
2021-09-22,1.83,1.8,1.85,1.8,7074000.0
2021-09-23,1.83,1.83,1.84,1.81,4375000.0
