Date,Close,Open,High,Low,Volume
1995-08-23,0.6298,0.4723,0.6298,0.4723,7500000.0
1995-08-24,0.9446,0.6298,0.9446,0.6298,25200000.0
1995-08-25,0.9446,1.0627,1.0627,0.7478,38000000.0
1995-08-28,0.9053,0.9446,0.9446,0.9053,3500000.0
1995-08-30,1.3383,0.8659,1.3383,0.8659,35500000.0
1995-08-31,1.4563,1.3776,1.5744,1.3776,18300000.0
1995-09-01,1.3776,1.2989,1.4957,1.2989,7700000.0
1995-09-04,1.3383,1.3776,1.3776,1.3383,1500000.0
1995-09-05,1.2989,1.2989,1.2989,1.2989,500000.0
1995-09-06,1.2202,1.2202,1.2202,1.2202,2500000.0
1995-09-07,1.2202,1.2202,1.2202,1.2202,500000.0
1995-09-08,1.1808,1.1808,1.2989,1.1414,25300000.0
1995-09-11,1.1414,1.1808,1.1808,1.1414,3900000.0
1995-09-12,1.1414,1.1414,1.1414,1.1414,1200000.0
1995-09-13,1.1021,1.1414,1.1414,1.1021,4500000.0
1995-09-14,1.0627,1.0627,1.0627,1.0627,4100000.0
1995-09-15,1.1021,1.1021,1.1021,1.1021,2300000.0
1995-09-18,1.0627,1.0627,1.0627,1.0627,5200000.0
1995-09-19,1.0627,1.0627,1.0627,1.0627,2000000.0
1995-09-20,1.0234,1.0234,1.0234,1.0234,7000000.0
1995-09-21,1.0234,1.0234,1.0234,1.0234,7000000.0
1995-09-22,1.0234,1.0627,1.0627,1.0234,5000000.0
1995-09-26,1.0234,1.0234,1.0234,1.0234,600000.0
1995-10-02,0.9446,1.0234,1.0234,0.9446,5400000.0
1995-10-04,0.8659,0.984,0.984,0.8659,2500000.0
1995-10-06,0.8659,0.8659,0.8659,0.8659,500000.0
1995-10-09,0.7478,0.7478,0.7478,0.7478,400000.0
1995-10-10,0.8659,0.7478,0.8659,0.7478,1200000.0
1995-10-11,0.7872,0.7872,0.7872,0.7872,500000.0
1995-10-12,0.984,0.8266,0.984,0.8266,40200000.0
1995-10-13,0.9446,0.984,0.984,0.9446,15700000.0
1995-10-16,0.9053,0.8659,0.9053,0.8266,2900000.0
1995-10-17,0.9053,0.9053,0.9053,0.9053,7900000.0
1995-10-18,1.0627,0.9446,1.0627,0.9446,50500000.0
1995-10-19,1.0627,1.0627,1.1021,1.0234,26600000.0
1995-10-20,1.0234,1.0234,1.0234,1.0234,1000000.0
1995-10-23,0.984,0.9446,1.0234,0.9446,4000000.0
1995-10-24,0.9053,0.9446,0.9446,0.9053,17500000.0
1995-10-25,0.9053,0.8659,0.9053,0.8659,2500000.0
1995-10-27,0.8266,0.8266,0.8266,0.8266,1000000.0
1995-10-30,0.7872,0.7872,0.7872,0.7872,1200000.0
1995-11-06,0.7085,0.7085,0.7085,0.7085,100000.0
1995-11-08,0.8266,0.7478,0.8266,0.7478,2200000.0
1995-11-21,0.8266,0.8266,0.8266,0.8266,2000000.0
1995-11-22,0.7085,0.7085,0.7085,0.7085,1900000.0
1995-11-23,0.7872,0.7872,0.7872,0.7872,500000.0
1995-12-05,0.8266,0.8266,0.8266,0.8266,2000000.0
1995-12-12,0.8266,0.8266,0.8266,0.8266,1100000.0
1995-12-27,0.6691,0.6691,0.6691,0.6691,900000.0
1996-01-03,0.6691,0.6691,0.6691,0.6691,300000.0
1996-01-05,0.7478,0.7085,0.7478,0.7085,2100000.0
1996-01-17,0.8266,0.8266,0.8266,0.8266,3500000.0
1996-01-18,0.8266,0.7872,0.8266,0.7872,2000000.0
1996-01-24,0.7085,0.7085,0.7085,0.7085,2000000.0
1996-01-25,0.8266,0.7085,0.8266,0.7085,2600000.0
1996-01-26,0.8659,0.7478,0.9053,0.7478,4500000.0
1996-01-29,0.9053,0.9053,0.9446,0.9053,19700000.0
1996-01-30,0.7872,0.7872,0.7872,0.7872,4200000.0
1996-01-31,0.8266,0.8266,0.8266,0.8266,2200000.0
1996-02-02,0.8266,0.8266,0.8266,0.8266,1000000.0
1996-02-05,0.7872,0.7872,0.7872,0.7872,100000.0
1996-02-09,0.7872,0.7478,0.7872,0.7478,1100000.0
1996-02-15,0.7478,0.7478,0.7478,0.7478,1000000.0
1996-02-16,0.7872,0.7478,0.7872,0.7478,1100000.0
1996-02-22,0.7085,0.7085,0.7085,0.7085,3000000.0
1996-02-26,0.7085,0.6691,0.7085,0.6691,2200000.0
1996-03-05,0.7085,0.7085,0.7085,0.7085,7700000.0
1996-03-07,0.6691,0.6691,0.6691,0.6691,100000.0
1996-03-12,0.6298,0.6298,0.6298,0.6298,2400000.0
1996-03-19,0.6298,0.6298,0.6298,0.6298,3900000.0
1996-03-25,0.6691,0.6691,0.6691,0.6691,1000000.0
1996-03-26,0.6298,0.6298,0.6298,0.6298,2000000.0
1996-03-29,0.6298,0.6298,0.6298,0.6298,1000000.0
1996-04-01,0.6298,0.6298,0.6298,0.6298,100000.0
1996-04-02,0.551,0.551,0.551,0.551,1000000.0
1996-06-14,0.3542,0.3542,0.3542,0.3542,100000.0
1996-07-02,0.5117,0.5117,0.5117,0.5117,4000000.0
1996-07-03,0.7478,0.5904,0.7478,0.5904,6000000.0
1996-07-05,0.8266,0.8266,0.8266,0.8266,2500000.0
1996-07-08,0.8266,0.7872,0.8266,0.7872,3100000.0
1996-07-09,0.9053,0.8659,0.9446,0.8659,12000000.0
1996-07-10,0.8659,0.8266,0.8659,0.8266,500000.0
1996-07-15,0.7872,0.8659,0.8659,0.7872,2100000.0
1996-07-17,0.8659,0.7872,0.9446,0.7872,17300000.0
1996-07-18,0.9446,0.9053,0.984,0.9053,6000000.0
1996-07-19,0.9053,0.9053,0.9053,0.9053,1600000.0
1996-07-22,0.8659,0.8659,0.8659,0.8659,1800000.0
1996-07-25,0.8659,0.8266,0.8659,0.8266,6300000.0
1996-07-26,0.8659,0.9053,0.9053,0.8266,1600000.0
1996-08-05,0.7872,0.8659,0.8659,0.7872,1200000.0
1996-08-23,0.8266,0.8266,0.8266,0.8266,23800000.0
1996-08-26,0.7478,0.7478,0.7478,0.7478,1200000.0
1996-08-29,0.7478,0.7478,0.7478,0.7478,1000000.0
1996-09-03,0.7478,0.7478,0.7478,0.7478,3000000.0
1996-09-30,0.6298,0.6298,0.6298,0.6298,700000.0
1996-10-04,0.6298,0.6298,0.6298,0.6298,2000000.0
1996-10-07,0.6298,0.6298,0.6298,0.6298,100000.0
1996-10-08,0.6691,0.6691,0.6691,0.6691,2000000.0
1996-10-17,0.6298,0.5904,0.6298,0.5904,3000000.0
1996-10-21,0.5904,0.5904,0.5904,0.5904,1000000.0
1996-10-25,0.7085,0.6691,0.7085,0.6691,2000000.0
1996-10-31,0.6691,0.6691,0.6691,0.6691,2000000.0
1996-11-04,0.6691,0.6691,0.6691,0.6691,1000000.0
1996-11-12,0.7478,0.7478,0.7478,0.7478,1900000.0
1996-11-13,0.7478,0.7478,0.7872,0.7478,15300000.0
1996-11-15,0.8266,0.7478,0.8266,0.7478,3000000.0
1996-11-18,0.7872,0.7872,0.7872,0.7872,2000000.0
1996-11-19,0.7872,0.7872,0.7872,0.7872,5000000.0
1996-11-21,0.9446,0.9053,0.9446,0.9053,21400000.0
1996-11-22,1.0627,0.9053,1.0627,0.9053,26700000.0
1996-11-25,0.984,0.984,0.984,0.984,3000000.0
1996-11-26,0.984,0.984,0.984,0.984,1000000.0
1996-11-28,1.1021,0.984,1.1021,0.984,10600000.0
1996-11-29,1.1414,1.1021,1.1808,1.0627,18400000.0
1996-12-02,1.1021,1.0627,1.1021,1.0627,1100000.0
1996-12-03,1.0627,1.0627,1.0627,1.0627,1200000.0
1996-12-04,1.0234,1.0234,1.0234,1.0234,800000.0
1996-12-05,1.0234,1.0234,1.0234,1.0234,1000000.0
1996-12-11,1.1414,1.1414,1.2595,1.1414,12200000.0
1996-12-12,1.2202,1.1808,1.2595,1.1808,6000000.0
1996-12-16,1.2202,1.2595,1.2595,1.2202,8500000.0
1997-01-07,0.984,0.984,0.984,0.984,100000.0
1997-01-09,1.2595,1.2202,1.2989,1.2202,7000000.0
1997-01-10,1.2202,1.2595,1.2595,1.2202,11000000.0
1997-01-13,1.1808,1.2202,1.2202,1.1808,3000000.0
1997-01-14,1.3383,1.2595,1.417,1.2202,41500000.0
1997-01-15,1.6925,1.3776,1.6925,1.3776,52400000.0
1997-01-16,2.46,1.968,2.46,1.968,33300000.0
1997-01-17,3.6408,3.6408,3.6408,3.1488,104000000.0
1997-01-20,4.3296,4.92,5.3136,3.936,146900000.0
1997-01-21,6.4944,4.7232,6.4944,4.5264,150280000.0
1997-01-22,9.6433,9.6433,9.6433,9.4465,191800000.0
1997-01-23,4.7232,6.6913,9.0529,4.7232,160590000.0
1997-01-24,4.92,3.936,5.1168,3.7392,96730000.0
1997-01-27,7.2817,5.1168,7.2817,5.1168,139490000.0
1997-01-28,6.6913,9.6433,9.6433,6.2976,185450000.0
1997-01-29,6.4944,6.2976,7.0849,4.92,57120000.0
1997-01-30,6.1008,6.2976,6.6913,5.7072,39790000.0
1997-01-31,5.7072,5.5104,5.904,5.5104,20480000.0
1997-02-03,6.4944,5.7072,6.4944,5.7072,31600000.0
1997-02-04,6.4944,6.6913,6.8881,6.2976,53870000.0
1997-02-05,6.6913,6.6913,7.0849,6.6913,55400000.0
1997-02-06,6.6913,6.8881,6.8881,6.4944,22130000.0
1997-02-07,6.1008,6.6913,6.6913,6.1008,24710000.0
1997-02-10,6.1008,6.2976,6.2976,5.904,17640000.0
1997-02-11,6.1008,6.1008,6.2976,5.904,6460000.0
1997-02-12,6.2976,5.904,6.2976,5.904,36260000.0
1997-02-13,7.0849,7.0849,7.2817,6.8881,92030000.0
1997-02-14,7.2817,7.8721,7.8721,7.0849,78900000.0
1997-02-17,7.4785,7.2817,7.4785,7.2817,30220000.0
1997-02-18,9.0529,7.6753,9.6433,7.6753,220730000.0
1997-02-19,12.9889,9.8401,12.9889,9.6433,375950000.0
1997-02-20,15.3505,17.7121,18.4993,13.7761,421420000.0
1997-02-21,12.2017,16.5313,16.5313,11.4145,257700000.0
1997-02-24,12.9889,12.2017,14.5633,12.2017,184250000.0
1997-02-25,16.1377,13.3825,16.9249,12.9889,497150000.0
1997-02-26,17.7121,17.7121,19.6801,16.9249,861560000.0
1997-02-27,16.5313,17.7121,17.7121,15.7441,40390000.0
1997-02-28,16.9249,16.5313,17.7121,15.7441,280320000.0
1997-03-03,16.9249,17.7121,17.7121,16.1377,81980000.0
1997-03-04,15.3505,16.5313,16.5313,15.3505,172980000.0
1997-03-05,16.1377,13.7761,16.5313,13.3825,211580000.0
1997-03-06,16.1377,16.9249,17.3185,15.7441,310090000.0
1997-03-07,14.5633,15.7441,16.1377,14.5633,150570000.0
1997-03-10,14.9569,14.9569,15.3505,14.1697,108240000.0
1997-03-11,15.3505,15.3505,16.1377,14.9569,295210000.0
1997-03-12,15.7441,15.3505,16.1377,14.9569,147360000.0
1997-03-13,15.3505,15.7441,16.1377,14.9569,91280000.0
1997-03-14,14.9569,15.3505,15.3505,14.5633,66940000.0
1997-03-17,14.1697,14.9569,14.9569,13.3825,85900000.0
1997-03-18,13.7761,13.7761,13.7761,12.5953,106920000.0
1997-03-19,12.5953,13.3825,13.7761,12.5953,43150000.0
1997-03-20,12.9889,12.9889,13.7761,12.5953,122740000.0
1997-03-21,12.5953,12.5953,12.9889,12.2017,39410000.0
1997-03-24,11.8081,12.5953,12.5953,11.4145,59100000.0
1997-03-25,12.5953,11.4145,12.5953,11.4145,140520000.0
1997-03-26,12.9889,12.2017,12.9889,12.2017,43500000.0
1997-03-31,11.8081,12.5953,12.5953,11.8081,32560000.0
1997-04-01,12.2017,11.4145,12.2017,11.0209,52150000.0
1997-04-02,11.4145,11.8081,11.8081,11.4145,22030000.0
1997-04-03,11.0209,11.8081,11.8081,10.6273,52210000.0
1997-04-04,8.4625,10.2337,10.6273,8.0689,101210000.0
1997-04-07,6.4944,8.4625,9.0529,5.904,163700000.0
1997-04-10,7.4785,5.5104,7.6753,5.5104,190470000.0
1997-04-11,8.2657,7.4785,8.6593,7.2817,259740000.0
1997-04-14,7.6753,7.8721,8.0689,7.2817,212490000.0
1997-04-15,7.6753,7.8721,8.0689,7.6753,57660000.0
1997-04-16,7.6753,8.0689,8.0689,7.6753,49930000.0
1997-04-17,7.2817,7.6753,7.6753,7.2817,61350000.0
1997-04-18,7.0849,7.0849,7.0849,6.8881,75240000.0
1997-04-22,6.1008,6.8881,6.8881,6.1008,24300000.0
1997-04-23,6.6913,6.4944,6.6913,6.2976,42520000.0
1997-04-24,7.2817,6.6913,7.6753,6.6913,75560000.0
1997-04-25,6.8881,7.2817,7.2817,6.8881,13590000.0
1997-04-28,6.6913,6.6913,7.0849,6.6913,35160000.0
1997-04-29,6.4944,6.6913,6.6913,6.2976,28020000.0
1997-04-30,6.2976,6.4944,6.8881,6.2976,24060000.0
1997-05-02,6.1008,6.2976,6.2976,5.904,30550000.0
1997-05-05,6.4944,6.1008,6.4944,6.1008,21000000.0
1997-05-06,6.2976,6.4944,6.8881,6.1008,59560000.0
1997-05-07,6.1008,6.2976,6.2976,6.1008,7590000.0
1997-05-08,5.7072,5.904,5.904,5.7072,23130000.0
1997-05-09,5.904,5.5104,6.1008,5.5104,20280000.0
1997-05-13,5.7072,5.7072,5.904,5.5104,23700000.0
1997-05-14,5.3136,5.7072,5.7072,5.3136,25220000.0
1997-05-15,4.5264,5.3136,5.3136,4.1328,55600000.0
1997-05-16,3.3456,3.936,3.936,3.3456,60730000.0
1997-05-19,3.1488,3.1488,3.2472,2.952,22900000.0
1997-05-20,2.46,2.952,3.0504,2.46,43200000.0
1997-05-21,2.7552,2.5584,2.8536,2.5584,67300000.0
1997-05-22,3.444,2.8536,3.444,2.8536,87400000.0
1997-05-23,4.92,3.7392,5.1168,3.7392,349200000.0
1997-05-27,6.2976,6.1008,6.4944,5.5104,349480000.0
1997-05-28,5.5104,6.4944,6.4944,5.3136,187980000.0
1997-05-29,5.5104,5.3136,5.904,5.1168,145060000.0
1997-05-30,4.5264,4.92,5.3136,4.3296,96150000.0
1997-06-02,5.5104,4.3296,5.5104,4.1328,179510000.0
1997-06-03,5.7072,5.904,5.904,5.5104,248460000.0
1997-06-04,5.7072,5.5104,5.904,5.5104,179590000.0
1997-06-05,4.7232,5.5104,5.7072,4.7232,176360000.0
1997-06-06,4.92,4.92,4.92,4.92,46750000.0
1997-06-09,4.92,5.1168,5.1168,4.92,41150000.0
1997-06-10,5.1168,5.1168,5.1168,4.92,29760000.0
1997-06-11,4.7232,4.92,4.92,4.7232,9130000.0
