Date,Close,Open,High,Low,Volume
1995-12-18,0.8675,0.8861,0.8955,0.8582,32076000.0
1995-12-19,0.8582,0.8582,0.8675,0.8488,13045000.0
1995-12-20,0.8582,0.8675,0.8675,0.8488,1388000.0
1995-12-21,0.8582,0.8488,0.8582,0.8395,5759000.0
1995-12-22,0.8582,0.8582,0.8582,0.8488,3231000.0
1995-12-26,0.8488,0.8582,0.8582,0.8395,2827000.0
1995-12-27,0.8582,0.8488,0.8582,0.8488,2276000.0
1995-12-28,0.8675,0.8582,0.8768,0.8582,15678000.0
1995-12-29,0.8768,0.8675,0.8768,0.8675,11196000.0
1996-01-02,0.8675,0.8675,0.8675,0.8582,2177000.0
1996-01-03,0.8675,0.8582,0.8675,0.8582,2235000.0
1996-01-04,0.8675,0.8582,0.8675,0.8582,6976000.0
1996-01-05,0.8675,0.8675,0.8675,0.8582,3760000.0
1996-01-08,0.8675,0.8582,0.8675,0.8582,1009000.0
1996-01-09,0.8675,0.8582,0.8675,0.8582,1526000.0
1996-01-10,0.8582,0.8582,0.8582,0.8488,638000.0
1996-01-11,0.8582,0.8488,0.8582,0.8395,830000.0
1996-01-12,0.8582,0.8488,0.8582,0.8488,1137000.0
1996-01-15,0.8582,0.8582,0.8582,0.8488,4034000.0
1996-01-16,0.8675,0.8488,0.8768,0.8488,12092000.0
1996-01-17,0.8955,0.8675,0.9048,0.8675,29221000.0
1996-01-18,0.9235,0.8861,0.9561,0.8861,44023000.0
1996-01-19,0.9561,0.9561,0.9561,0.9328,12347000.0
1996-01-22,1.0494,0.9794,1.0727,0.9794,44079800.0
1996-01-23,1.1193,1.096,1.1193,1.0727,23816100.0
1996-01-24,1.1193,1.1193,1.1427,1.096,10806600.0
1996-01-25,1.1427,1.1427,1.1893,1.1427,12502100.0
1996-01-26,1.166,1.1427,1.2126,1.1427,13089900.0
1996-01-29,1.166,1.1893,1.1893,1.166,6870200.0
1996-01-30,1.096,1.166,1.1893,1.0727,9468100.0
1996-01-31,1.1427,1.1193,1.1427,1.1193,4087300.0
1996-02-01,1.1893,1.1427,1.1893,1.1427,5925500.0
1996-02-02,1.2126,1.2126,1.2593,1.1893,6464700.0
1996-02-05,1.2126,1.2126,1.2593,1.1893,8395100.0
1996-02-06,1.2593,1.2126,1.2826,1.2126,7984600.0
1996-02-07,1.3059,1.3059,1.3525,1.2826,17162000.0
1996-02-08,1.2826,1.2826,1.3059,1.2359,4983100.0
1996-02-09,1.3525,1.2826,1.3525,1.2826,9255000.0
1996-02-12,1.3759,1.3525,1.3992,1.3525,9032100.0
1996-02-13,1.3759,1.3759,1.3759,1.3525,4270900.0
1996-02-14,1.3759,1.3992,1.3992,1.3759,6483400.0
1996-02-15,1.3759,1.3759,1.3759,1.3292,3046800.0
1996-02-16,1.3759,1.3759,1.3992,1.3525,1709300.0
1996-02-19,1.3759,1.3759,1.3992,1.3525,6510600.0
1996-02-20,1.3759,1.3992,1.3992,1.3759,2269500.0
1996-02-21,1.4458,1.3759,1.4924,1.3759,7088400.0
1996-02-22,1.4924,1.4691,1.4924,1.4458,7514400.0
1996-02-23,1.5158,1.5391,1.5391,1.5158,6031000.0
1996-02-26,1.5391,1.5158,1.5624,1.5158,4814100.0
1996-02-27,1.4924,1.5391,1.5624,1.4924,12323100.0
1996-02-28,1.4924,1.5158,1.5158,1.4691,7993700.0
1996-02-29,1.5158,1.4691,1.5158,1.4691,4884800.0
1996-03-01,1.5391,1.5158,1.5391,1.5158,1893800.0
1996-03-04,1.4924,1.5158,1.5158,1.4924,1654400.0
1996-03-05,1.4225,1.4691,1.4691,1.4225,2807900.0
1996-03-06,1.4924,1.4225,1.4924,1.4225,2433700.0
1996-03-07,1.4458,1.4691,1.4691,1.4225,2494100.0
1996-03-08,1.4458,1.4458,1.4458,1.3992,875500.0
1996-03-11,1.3525,1.3992,1.3992,1.3525,3218500.0
1996-03-12,1.2593,1.3525,1.3759,1.2593,3831100.0
1996-03-13,1.3059,1.2593,1.3059,1.2126,5598100.0
1996-03-14,1.3759,1.3059,1.3759,1.2826,5169400.0
1996-03-15,1.3759,1.3759,1.3992,1.3525,3115700.0
1996-03-18,1.3525,1.3759,1.3759,1.3525,220100.0
1996-03-19,1.4225,1.3992,1.4924,1.3759,3788700.0
1996-03-20,1.5158,1.4458,1.5391,1.4458,13565700.0
1996-03-21,1.5158,1.5158,1.5624,1.4924,4840300.0
1996-03-22,1.5158,1.5158,1.5158,1.5158,1753600.0
1996-03-25,1.4924,1.5158,1.5158,1.4691,2530600.0
1996-03-26,1.4924,1.4924,1.5158,1.4924,1267500.0
1996-03-27,1.4924,1.4924,1.4924,1.4691,2446300.0
1996-03-28,1.4924,1.4691,1.5158,1.4691,2294600.0
1996-03-29,1.5857,1.5158,1.609,1.5158,7344400.0
1996-04-01,1.5391,1.5624,1.5624,1.5391,1182800.0
1996-04-02,1.5857,1.5391,1.609,1.5391,7663700.0
1996-04-03,1.679,1.609,1.7023,1.609,9713400.0
1996-04-10,1.6557,1.6557,1.6557,1.6324,895800.0
1996-04-11,1.609,1.6557,1.6557,1.5857,3521500.0
1996-04-12,1.609,1.609,1.6324,1.609,2641300.0
1996-04-15,1.679,1.6324,1.7023,1.6324,3200300.0
1996-04-16,1.679,1.679,1.679,1.6557,2321700.0
1996-04-17,1.6557,1.6557,1.6557,1.609,3552500.0
1996-04-18,1.6324,1.6557,1.6557,1.609,656000.0
1996-04-19,1.6324,1.6324,1.6324,1.609,3253100.0
1996-04-22,1.6557,1.6324,1.7023,1.6324,4864400.0
1996-04-23,1.6557,1.6557,1.6557,1.6324,2032000.0
1996-04-24,1.6557,1.6557,1.6557,1.6324,3607100.0
1996-04-25,1.6557,1.6324,1.6557,1.6324,1537500.0
1996-04-26,1.679,1.6557,1.679,1.6557,759800.0
1996-04-29,1.6324,1.679,1.679,1.6324,1644500.0
1996-04-30,1.6324,1.6557,1.6557,1.6324,751000.0
1996-05-02,1.6557,1.6557,1.7256,1.6557,5008800.0
1996-05-03,1.6557,1.679,1.679,1.6557,1133900.0
1996-05-07,1.679,1.679,1.679,1.679,1796900.0
1996-05-08,1.679,1.679,1.679,1.679,2075200.0
1996-05-09,1.6324,1.679,1.679,1.6324,1675600.0
1996-05-10,1.6557,1.6557,1.679,1.6557,1431100.0
1996-05-13,1.6557,1.6557,1.6557,1.6557,1225500.0
1996-05-14,1.679,1.679,1.7023,1.6557,1298300.0
1996-05-15,1.679,1.679,1.7023,1.6557,1223000.0
1996-05-16,1.679,1.679,1.7023,1.679,1139500.0
1996-05-17,1.679,1.679,1.7023,1.679,914000.0
1996-05-20,1.679,1.7023,1.7023,1.679,1426700.0
1996-05-21,1.8189,1.7023,1.8189,1.7023,2815700.0
1996-05-22,1.7723,1.7956,1.7956,1.7723,216000.0
1996-05-23,1.7956,1.7723,1.8189,1.7723,2820500.0
1996-05-24,1.7956,1.7956,1.7956,1.7723,386100.0
1996-05-27,1.7723,1.7956,1.7956,1.749,1065600.0
1996-05-28,1.749,1.7956,1.7956,1.7256,207800.0
1996-05-29,1.7956,1.749,1.8189,1.749,802200.0
1996-05-30,1.7956,1.7956,1.7956,1.7723,1111800.0
1996-05-31,1.7956,1.8189,1.8189,1.7723,915000.0
1996-06-03,1.7723,1.7956,1.7956,1.7723,111700.0
1996-06-04,1.749,1.7723,1.7723,1.7256,1847200.0
1996-06-05,1.7256,1.749,1.749,1.7256,2580100.0
1996-06-06,1.7256,1.7023,1.749,1.7023,459400.0
1996-06-07,1.7956,1.749,1.8189,1.7256,3553500.0
1996-06-10,1.7956,1.7956,1.8189,1.7956,2033100.0
1996-06-11,1.7956,1.7956,1.8189,1.7723,1660500.0
1996-06-13,1.7956,1.7723,1.7956,1.749,2736900.0
1996-06-14,1.749,1.7723,1.7723,1.749,1682500.0
1996-06-17,1.7256,1.749,1.749,1.7023,728700.0
1996-06-18,1.7023,1.7256,1.7256,1.679,1919900.0
1996-06-19,1.7023,1.7256,1.7256,1.7023,697300.0
1996-06-20,1.7023,1.7256,1.7256,1.7023,792100.0
1996-06-21,1.7023,1.7023,1.7023,1.7023,1842100.0
1996-06-24,1.749,1.7256,1.7723,1.7256,602800.0
1996-06-25,1.7723,1.749,1.7956,1.749,2190900.0
1996-06-26,1.749,1.7723,1.7723,1.7256,1422700.0
1996-06-27,1.749,1.749,1.749,1.749,1780300.0
1996-06-28,1.749,1.749,1.7723,1.749,4377000.0
1996-07-01,1.749,1.749,1.749,1.7256,1096500.0
1996-07-02,1.7723,1.749,1.7723,1.749,708900.0
1996-07-03,1.7956,1.7723,1.8189,1.7723,2178200.0
1996-07-05,1.8889,1.7956,1.9122,1.7956,3603100.0
1996-07-08,1.8422,1.8422,1.8656,1.8189,2713100.0
1996-07-09,1.8422,1.8656,1.8656,1.8422,3065500.0
1996-07-10,1.8889,1.8656,1.8889,1.8656,1843000.0
1996-07-11,1.8422,1.8889,1.8889,1.8189,627000.0
1996-07-12,1.8189,1.8189,1.8422,1.7956,1252500.0
1996-07-15,1.8656,1.8422,1.8656,1.8189,1390000.0
1996-07-16,1.8656,1.8422,1.8656,1.8422,1065500.0
1996-07-17,1.8656,1.8656,1.8656,1.8656,698000.0
1996-07-18,1.8422,1.8656,1.8656,1.8422,1139100.0
1996-07-19,1.7956,1.8422,1.8422,1.7723,4085100.0
1996-07-22,1.7956,1.7956,1.7956,1.7723,90800.0
1996-07-23,1.7723,1.7723,1.7956,1.7723,791200.0
1996-07-24,1.7023,1.749,1.749,1.7023,1844500.0
1996-07-25,1.7256,1.7023,1.749,1.7023,622500.0
