Date,Close,Open,High,Low,Volume
1996-06-17,8.8399,8.8399,9.0556,8.5381,38693000.0
1996-06-18,8.8399,9.0556,9.0556,8.6243,23641700.0
1996-06-19,8.8399,8.8399,8.8399,8.6243,9034000.0
1996-06-20,8.6243,8.6243,8.8399,8.6243,9470200.0
1996-06-21,8.6243,8.6243,8.8399,8.6243,11189000.0
1996-06-24,8.6243,8.6243,8.8399,8.6243,4103000.0
1996-06-25,8.8399,8.6243,8.8399,8.6243,5615000.0
1996-06-26,8.6243,8.6243,8.8399,8.4519,14100500.0
1996-06-27,8.5381,8.5381,8.6243,8.4519,5149000.0
1996-06-28,8.5381,8.5381,8.6243,8.4519,6929000.0
1996-07-01,8.4519,8.4519,8.4519,8.1931,6098000.0
1996-07-02,8.4519,8.4519,8.5381,8.4519,7116000.0
1996-07-03,8.4519,8.5381,8.5381,8.4519,7310000.0
1996-07-05,8.8399,8.5381,9.0556,8.4519,10497000.0
1996-07-08,8.5381,8.6243,8.6243,8.4519,4954500.0
1996-07-09,8.4519,8.5381,8.5381,8.4519,1901000.0
1996-07-10,8.4519,8.4519,8.5381,8.3656,7317000.0
1996-07-11,8.1931,8.4519,8.4519,8.1931,2991000.0
1996-07-12,8.1931,8.1069,8.2794,7.9344,3571000.0
1996-07-15,7.9344,8.1931,8.2794,7.9344,1728000.0
1996-07-16,7.8481,7.8481,7.9344,7.7619,2820000.0
1996-07-17,7.7619,7.9344,7.9344,7.6757,858000.0
1996-07-18,7.8481,7.7619,7.8481,7.7619,833000.0
1996-07-19,8.0206,7.9344,8.0206,7.8481,1988000.0
1996-07-22,7.8481,7.9344,8.0206,7.7619,1775000.0
1996-07-23,7.8481,7.7619,8.0206,7.7619,2425000.0
1996-07-24,7.5894,7.7619,7.7619,7.5894,766000.0
1996-07-25,7.6757,7.6757,7.7619,7.6757,382000.0
1996-07-26,7.5894,7.6757,7.6757,7.3307,1915000.0
1996-07-29,7.1582,7.5894,7.5894,6.9857,1651000.0
1996-07-30,7.1582,6.9857,7.1582,6.9857,671000.0
1996-07-31,7.1582,7.1582,7.1582,6.9857,1849000.0
1996-08-01,7.3307,7.1582,7.4169,7.072,2089000.0
1996-08-02,7.5032,7.3307,7.5032,7.3307,1253000.0
1996-08-05,7.4169,7.5032,7.5894,7.072,962000.0
1996-08-06,7.3307,7.4169,7.4169,7.3307,1916000.0
1996-08-07,7.2444,7.4169,7.4169,7.2444,378000.0
