Date,Close,Open,High,Low,Volume
1992-06-15,2.4691,2.6274,2.6591,2.4375,695500.0
1992-06-16,2.4375,2.4691,2.5324,2.4375,382500.0
1992-06-17,2.5008,2.4691,2.5324,2.4375,479500.0
1992-06-18,2.5324,2.5008,2.5958,2.4691,716000.0
1992-06-19,2.5008,2.5008,2.5324,2.5008,803500.0
1992-06-22,2.4375,2.5324,2.5641,2.4375,345500.0
1992-06-23,2.4375,2.4375,2.4691,2.3425,736500.0
1992-06-24,2.5008,2.5008,2.5008,2.4375,508500.0
1992-06-25,2.5008,2.5008,2.5008,2.5008,265500.0
1992-06-26,2.849,2.5324,2.849,2.5324,974500.0
1992-06-29,3.0073,3.0389,3.1656,2.9123,1057500.0
1992-07-01,2.849,3.0389,3.0389,2.849,846500.0
1992-07-02,2.849,2.849,2.944,2.8174,542000.0
1992-07-03,2.754,2.8174,2.8174,2.6591,855000.0
1992-07-06,2.7857,2.8174,2.8174,2.754,355000.0
1992-07-08,2.7224,2.8174,2.8174,2.7224,306000.0
1992-07-09,2.6274,2.6907,2.6907,2.6274,679000.0
1992-07-10,2.6907,2.5958,2.7224,2.5958,1563000.0
1992-07-13,2.5958,2.7857,2.7857,2.5958,447000.0
1992-07-14,2.5324,2.5958,2.6274,2.5324,314000.0
1992-07-15,2.6274,2.5641,2.6591,2.5324,812000.0
1992-07-16,2.6591,2.6591,2.6591,2.5641,506500.0
1992-07-17,2.6274,2.6907,2.6907,2.6274,353000.0
1992-07-20,2.6907,2.5958,2.7224,2.5958,490000.0
1992-07-21,2.7224,2.6591,2.754,2.6591,625000.0
1992-07-22,2.7224,2.6907,2.754,2.6907,669000.0
1992-07-23,2.754,2.7224,2.754,2.6907,553000.0
1992-07-24,2.754,2.754,2.754,2.7224,372000.0
1992-07-27,2.8174,2.754,2.8807,2.754,949000.0
1992-07-28,2.849,2.8807,2.9123,2.8174,400000.0
1992-07-29,2.8174,2.8807,2.8807,2.8174,148500.0
1992-07-30,2.849,2.8174,2.849,2.8174,314000.0
1992-07-31,2.8174,2.8807,2.8807,2.8174,187500.0
1992-08-03,2.7857,2.8174,2.8174,2.754,311000.0
1992-08-04,2.754,2.754,2.8174,2.754,388000.0
1992-08-05,2.7857,2.7857,2.7857,2.754,340000.0
1992-08-06,2.7224,2.754,2.754,2.6907,107000.0
1992-08-07,2.6907,2.6591,2.6907,2.6591,279000.0
1992-08-10,2.6907,2.6907,2.7224,2.6591,374500.0
1992-08-11,2.6591,2.6591,2.6591,2.6591,767500.0
1992-08-12,2.7224,2.6591,2.754,2.6591,715000.0
1992-08-13,2.754,2.754,2.754,2.7224,318000.0
1992-08-14,2.8174,2.7857,2.8807,2.7857,505000.0
1992-08-17,2.9123,2.8174,2.944,2.8174,1436000.0
1992-08-18,2.9756,2.9123,3.0389,2.9123,441000.0
1992-08-19,2.944,2.9756,2.9756,2.944,289500.0
1992-08-20,2.9123,2.9756,2.9756,2.8807,540000.0
1992-08-21,2.9123,2.9123,2.9123,2.8807,337000.0
1992-08-24,2.849,2.9123,2.9123,2.8174,471500.0
1992-08-25,2.925,2.849,2.925,2.849,240500.0
1992-08-26,3.001,2.925,3.001,2.925,763500.0
1992-08-27,2.925,3.001,3.001,2.887,619500.0
1992-08-28,2.811,2.849,2.887,2.811,484000.0
1992-08-31,2.735,2.811,2.811,2.6591,539000.0
1992-09-01,2.773,2.6971,2.811,2.6971,245500.0
1992-09-02,2.849,2.773,2.849,2.773,389500.0
1992-09-03,2.887,2.887,2.887,2.811,237000.0
1992-09-04,2.887,2.849,2.925,2.849,211000.0
1992-09-07,2.963,2.887,2.963,2.887,652000.0
1992-09-08,2.887,2.963,3.001,2.887,502100.0
1992-09-09,2.811,2.849,2.849,2.811,548500.0
1992-09-10,2.887,2.849,2.887,2.849,224500.0
1992-09-11,2.925,2.887,2.925,2.887,631000.0
1992-09-14,2.963,2.963,3.0389,2.963,6128500.0
1992-09-15,3.0769,3.001,3.1149,3.001,458000.0
1992-09-16,3.0769,3.0769,3.0769,3.0389,926000.0
1992-09-17,3.1149,3.1149,3.1149,3.0769,1260000.0
1992-09-18,3.0769,3.1149,3.1529,3.0769,602000.0
1992-09-21,3.0769,3.1149,3.1149,3.0769,587500.0
1992-09-22,3.1149,3.0769,3.1149,3.0769,611000.0
1992-09-23,3.0769,3.0769,3.0769,3.0389,1006000.0
1992-09-24,3.0769,3.0769,3.0769,3.0389,495500.0
1992-09-25,3.1149,3.0769,3.1149,3.0389,856500.0
1992-09-28,3.1149,3.0769,3.1149,3.0769,692500.0
1992-09-29,3.1529,3.1149,3.1909,3.1149,714000.0
