Date,Close,Open,High,Low,Volume
1997-10-06,3.0,3.0,3.0,3.0,10000.0
1997-10-07,4.0,4.0,4.0,4.0,10000.0
1997-10-09,5.5,5.5,5.5,5.5,10000.0
1997-10-13,7.0,7.0,7.0,7.0,6000.0
1997-10-14,9.5,8.5,9.5,8.5,6000.0
1997-10-15,12.5,11.0,12.5,11.0,9000.0
1997-10-16,16.0,14.0,16.0,14.0,8000.0
1997-10-21,15.0,15.0,15.0,15.0,5000.0
1997-10-24,16.5,16.5,16.5,16.5,5000.0
1997-10-29,16.5,16.5,16.5,16.5,1000.0
1997-11-06,16.5,16.5,16.5,16.5,5000.0
1997-11-07,20.0,17.5,20.0,17.5,6000.0
1997-11-13,20.0,20.0,20.0,20.0,1000.0
1997-11-17,18.75,18.75,18.75,18.75,5000.0
1997-11-18,18.75,18.75,18.75,18.75,6000.0
1997-11-19,19.5,19.5,19.5,19.5,5000.0
1997-11-21,20.0,20.0,20.0,20.0,3000.0
1997-11-25,20.0,20.0,20.0,20.0,4000.0
1997-12-02,20.0,20.0,20.0,20.0,3000.0
1997-12-05,20.0,20.0,20.0,20.0,4000.0
1997-12-09,20.0,20.0,20.0,20.0,3000.0
1997-12-10,20.0,20.0,20.0,20.0,5000.0
1997-12-12,19.5,19.5,19.5,19.5,4000.0
1997-12-16,20.0,20.0,20.0,20.0,3000.0
1997-12-19,20.0,20.0,20.0,20.0,4000.0
1997-12-23,21.0,21.0,21.0,21.0,4000.0
1998-01-15,21.0,20.0,21.0,20.0,6000.0
1998-01-16,20.0,20.0,20.0,20.0,4000.0
1998-01-28,19.5,19.5,19.5,19.5,3000.0
1998-02-02,20.5,20.5,20.5,20.5,3000.0
1998-02-03,21.5,21.5,21.5,21.5,3000.0
1998-02-13,22.5,22.5,22.5,22.5,4000.0
1998-02-24,22.5,22.5,22.5,22.5,3000.0
1998-02-27,23.5,23.5,23.5,23.5,3000.0
1998-03-04,22.5,22.5,22.5,22.5,3000.0
1998-03-13,24.0,24.0,24.0,24.0,3000.0
1998-03-16,24.0,24.0,24.0,24.0,3000.0
1998-03-20,24.0,24.0,24.0,24.0,3000.0
1998-04-16,23.0,23.0,23.0,23.0,3000.0
1998-04-28,23.5,23.5,23.5,23.5,3000.0
1998-04-29,23.5,23.5,23.5,23.5,3000.0
1998-05-08,23.0,23.0,23.0,23.0,3000.0
1999-05-24,23.0,23.0,23.0,23.0,5000.0
1999-06-09,23.5,23.5,23.5,23.5,2000.0
1999-08-20,22.5,22.5,22.5,22.5,1000.0
1999-09-20,23.5,23.5,23.5,23.5,1000.0
1999-12-09,23.5,23.5,23.5,23.5,1000.0
2003-10-10,14.25,14.25,14.25,14.25,263000.0
2005-09-08,3.0,3.0,3.0,3.0,636000.0
2006-04-26,3.0,3.0,3.0,3.0,145000.0
2013-07-25,2.99,0.34,5.99,0.01,11719000.0
2013-07-26,2.64,2.9,2.9,2.5,55000.0
2013-07-29,2.19,2.52,2.52,1.7,1285000.0
2013-07-30,1.96,2.19,2.19,1.94,151000.0
2013-07-31,1.99,1.78,1.99,1.78,10000.0
2013-08-05,1.96,1.79,1.96,1.77,82000.0
2013-08-07,1.68,1.98,1.98,1.68,6000.0
2013-08-08,1.95,1.95,1.95,1.95,1000.0
2013-08-12,1.93,1.94,1.94,1.72,9000.0
2013-08-14,1.75,1.73,1.75,1.7,59000.0
2013-08-15,1.89,1.88,1.89,1.86,37000.0
2013-08-16,1.72,1.73,1.73,1.72,3000.0
2013-08-22,1.75,1.9,1.92,1.75,104000.0
2013-08-23,2.3,1.86,2.3,1.82,67000.0
2013-08-28,2.2,2.2,2.25,2.2,10000.0
2013-08-29,1.9,2.06,2.06,1.9,35000.0
2013-08-30,2.2,2.2,2.2,2.2,1000.0
2013-09-03,2.2,2.1,3.04,2.05,1027000.0
2013-09-04,2.19,2.2,2.2,2.02,86000.0
2013-09-05,2.02,2.07,2.07,2.02,14000.0
2013-09-06,2.02,2.03,2.29,2.0,160000.0
2013-09-09,2.13,2.42,2.42,2.0,55000.0
2013-09-10,2.03,2.02,2.13,2.02,35000.0
2013-09-11,2.1,2.02,2.23,2.0,39000.0
2013-09-13,2.01,2.03,2.19,2.01,33000.0
2013-09-16,2.15,2.01,2.2,2.0,20000.0
2013-09-17,2.0,2.0,2.0,2.0,2000.0
2013-09-18,1.99,2.0,2.0,1.93,93000.0
2013-09-19,2.15,2.15,2.15,2.15,1000.0
2013-09-20,1.95,1.95,1.95,1.95,6000.0
2013-09-25,1.95,2.0,2.0,1.95,12000.0
2013-09-26,2.03,2.03,2.12,2.03,5000.0
2013-09-27,2.03,2.03,2.03,2.03,6000.0
2013-09-30,1.98,1.99,1.99,1.98,8000.0
2013-10-01,1.96,1.96,1.96,1.96,3000.0
2013-10-04,1.98,1.98,1.98,1.98,3000.0
2013-10-07,1.95,1.96,1.96,1.95,2000.0
2013-10-09,2.09,2.0,2.09,2.0,22000.0
2013-10-10,2.15,2.09,2.2,2.05,19000.0
2013-10-11,2.06,2.2,2.2,2.06,6000.0
2013-10-14,2.2,2.2,2.2,2.19,19000.0
2013-10-16,2.1,2.1,2.1,2.1,10000.0
2013-10-18,2.08,2.09,2.09,2.08,22000.0
2013-10-21,2.03,2.09,2.09,2.03,4000.0
2013-10-22,2.08,2.05,2.08,2.05,7000.0
2013-10-24,2.18,2.12,2.5,2.12,242000.0
2013-10-25,2.22,2.22,2.22,2.22,47000.0
2013-10-29,2.16,2.17,2.35,2.16,31000.0
2013-10-30,2.39,2.2,2.39,2.2,137000.0
2013-10-31,2.34,2.48,2.48,2.23,29000.0
2013-11-04,2.25,2.23,2.34,2.23,8000.0
2013-11-05,2.34,2.24,2.48,2.24,72000.0
2013-11-06,2.31,2.46,2.46,2.25,92000.0
2013-11-07,2.36,2.26,2.36,2.26,15000.0
2013-11-08,3.0,2.3,3.45,2.3,1441000.0
2013-11-11,4.47,3.05,4.5,3.05,1227000.0
2013-11-12,6.02,4.65,6.5,4.65,1121000.0
