Date,Close,Open,High,Low,Volume
1993-10-01,6.2222,6.303,6.303,6.1414,741500.0
1993-10-04,5.9798,6.2222,6.2222,5.8182,660500.0
1993-10-05,6.1414,6.0606,6.2222,5.9798,1130000.0
1993-10-06,6.2222,6.1414,6.303,6.1414,667500.0
1993-10-07,6.3354,6.3354,6.3838,6.3354,517000.0
1993-10-08,6.3838,6.3838,6.3838,6.303,904000.0
1993-10-11,6.5455,6.3838,6.5455,6.3838,881000.0
1993-10-12,6.6263,6.6263,6.7879,6.5455,1443000.0
1993-10-13,6.4647,6.7071,6.7071,6.4647,1510000.0
1993-10-14,6.6263,6.4647,6.6263,6.4647,159000.0
1993-10-15,6.6263,6.6263,6.7071,6.5455,1045500.0
1993-10-18,6.3838,6.6263,6.6263,6.3838,486000.0
1993-10-19,6.3838,6.4647,6.4647,6.303,505000.0
1993-10-20,6.6263,6.303,6.6263,6.2222,456500.0
1993-10-21,6.5455,6.5455,6.6263,6.4647,640000.0
1993-10-22,6.5455,6.6263,6.6263,6.4647,724500.0
1993-10-25,6.3838,6.4647,6.5455,6.303,487000.0
1993-10-26,6.5455,6.3838,6.5455,6.3838,325000.0
1993-10-27,6.3838,6.4647,6.5455,6.3838,577500.0
1993-10-28,6.4647,6.4647,6.5455,6.3838,545500.0
1993-10-29,6.7879,6.4647,6.9495,6.4647,1228000.0
1993-11-03,7.0303,7.1111,7.2727,6.9495,1930000.0
1993-11-04,6.8687,7.0303,7.1111,6.7879,791500.0
1993-11-05,6.7071,6.8687,6.8687,6.7071,969000.0
1993-11-08,6.5455,6.6263,6.6263,6.3838,657500.0
1993-11-09,6.6263,6.7071,6.8687,6.6263,1294500.0
1993-11-10,6.5455,6.6263,6.6263,6.5455,700500.0
1993-11-11,6.4647,6.6263,6.6263,6.4647,508000.0
1993-11-12,6.5455,6.5455,6.5455,6.3838,750500.0
1993-11-15,6.4647,6.5455,6.5455,6.4647,662000.0
1993-11-16,6.4647,6.4647,6.5455,6.3838,731000.0
1993-11-17,6.5455,6.5455,6.5455,6.4647,543500.0
1993-11-18,6.5455,6.5455,6.6263,6.4647,463000.0
1993-11-19,6.7879,6.5455,6.8687,6.5455,1276000.0
1993-11-23,6.7879,6.9495,7.0303,6.7071,1080000.0
1993-11-24,6.7879,6.7879,6.7879,6.5455,3129500.0
1993-11-25,6.7071,6.7879,6.7879,6.6263,788500.0
1993-11-26,6.7071,6.7071,6.7879,6.5455,430000.0
1993-11-29,6.5455,6.6263,6.7071,6.4647,1576000.0
1993-12-01,6.6263,6.5455,6.6263,6.4647,666500.0
1993-12-02,6.7879,6.6263,6.7879,6.6263,519500.0
1993-12-03,6.7071,6.7879,6.7879,6.6263,313500.0
1993-12-07,6.7071,6.7071,6.7879,6.7071,774000.0
1993-12-08,7.0303,7.0303,7.2727,6.9495,1694500.0
1993-12-09,7.5152,6.9495,7.5152,6.9495,3778000.0
1993-12-10,7.596,7.7576,7.8384,7.5152,2389000.0
1993-12-13,7.3535,7.6768,7.6768,7.2727,1205500.0
1993-12-14,7.2727,7.3535,7.4343,7.1919,589500.0
1993-12-15,7.1111,7.2727,7.2727,6.9495,508500.0
1993-12-16,7.1919,7.1111,7.3535,7.0303,592000.0
1993-12-17,7.3535,7.2727,7.4343,7.2727,1671500.0
1993-12-20,7.3535,7.4343,7.5152,7.1919,1289500.0
1993-12-21,7.1919,7.3535,7.4343,7.1111,963000.0
1993-12-22,7.2727,7.1919,7.3535,7.1111,744500.0
1993-12-23,7.4343,7.3535,7.4343,7.2727,807500.0
1993-12-27,7.3535,7.4343,7.5152,7.3535,912000.0
1993-12-28,7.3535,7.5152,7.5152,7.1919,1078000.0
1993-12-29,7.1919,7.3535,7.4343,7.1919,752500.0
1994-01-03,7.4343,7.2727,7.5152,7.1919,1555500.0
1994-01-04,7.6768,7.5152,7.9192,7.5152,2243500.0
1994-01-05,7.6768,7.6768,7.8869,7.2727,940500.0
1994-01-06,7.596,7.3535,7.6768,7.2727,947000.0
1994-01-07,7.4343,7.596,7.6768,7.3535,1031000.0
1994-01-10,7.1919,7.2727,7.3535,7.1919,154500.0
1994-01-19,6.8687,6.7879,6.9495,6.6263,610000.0
1994-01-20,7.1111,7.0303,7.1919,6.8687,1258000.0
1994-01-24,7.1919,7.1111,7.2727,7.1111,952000.0
1994-01-25,7.1919,7.2727,7.2727,7.1919,1398500.0
1994-01-26,6.9495,7.1919,7.1919,6.9495,1707800.0
