Date,Close,Open,High,Low,Volume
2021-06-01,13.48,13.48,13.56,13.46,238439900.0
2021-06-02,13.48,13.48,13.5,13.46,68682500.0
2021-06-03,13.1,13.5,13.5,12.68,148213200.0
2021-06-04,13.4,13.1,13.42,13.1,22601300.0
2021-06-07,13.46,13.4,13.48,13.38,8020600.0
2021-06-08,13.46,13.46,13.48,13.38,9874000.0
2021-06-09,13.7,13.46,13.76,13.42,29222800.0
2021-06-10,13.92,13.78,14.16,13.74,23897500.0
2021-06-11,14.04,13.92,14.1,13.8,6237200.0
2021-06-14,14.68,14.1,14.7,14.06,11431800.0
2021-06-15,14.66,14.66,14.76,14.42,13586500.0
2021-06-16,14.74,14.7,14.76,14.5,9832500.0
2021-06-17,14.6,14.76,14.78,14.42,8647800.0
2021-06-18,14.3,14.6,14.66,14.3,3183800.0
2021-06-21,14.5,14.3,14.54,14.3,3689000.0
2021-06-22,14.58,14.48,14.58,14.32,10730600.0
2021-06-23,14.74,14.58,14.76,14.52,10198600.0
2021-06-24,15.34,14.76,15.6,14.76,30903700.0
2021-06-25,15.34,15.6,15.98,15.24,21668300.0
2021-06-28,15.6,15.5,15.8,15.5,4113100.0
2021-06-29,16.04,15.62,16.08,15.62,23143600.0
2021-06-30,16.52,16.12,16.8,16.12,29927900.0
2021-07-01,17.0,16.68,17.0,16.52,38308900.0
2021-07-02,17.0,16.86,17.16,16.84,11106800.0
2021-07-05,16.88,17.0,17.12,16.74,13795300.0
2021-07-06,16.44,16.9,17.0,16.3,13180400.0
2021-07-07,16.2,16.5,16.58,16.18,8270200.0
2021-07-08,16.7,16.2,16.7,16.2,10136300.0
2021-07-09,17.0,16.7,17.06,16.4,16747000.0
2021-07-12,16.92,16.9,17.02,16.8,5044300.0
2021-07-13,16.64,16.92,16.94,16.42,10100900.0
2021-07-14,16.34,16.64,16.64,16.24,7214400.0
2021-07-15,16.4,16.36,16.6,16.22,6353200.0
2021-07-16,15.68,16.48,16.56,15.56,18880200.0
2021-07-19,15.18,15.68,15.68,14.42,36547300.0
2021-07-21,15.02,15.1,15.1,14.66,14341800.0
2021-07-22,15.26,15.02,15.52,15.02,7100900.0
2021-07-23,15.0,15.38,15.4,14.88,7938900.0
2021-07-26,14.9,15.06,15.06,14.74,4691400.0
2021-07-27,15.08,14.9,15.18,14.88,5082500.0
2021-07-28,14.88,14.9,15.0,14.76,4131900.0
2021-07-29,15.26,14.88,15.46,14.86,16289900.0
2021-07-30,14.78,15.26,15.46,14.66,13607300.0
2021-08-02,14.78,14.8,15.06,14.68,6395700.0
2021-08-03,15.0,14.84,15.18,14.78,8105800.0
2021-08-04,15.58,15.12,15.6,15.12,7020100.0
2021-08-05,15.3,15.58,15.58,15.1,4852700.0
2021-08-06,15.7,15.34,15.98,15.34,21234500.0
2021-08-09,16.78,15.72,16.96,15.72,21145800.0
2021-08-10,16.92,16.78,16.96,16.52,32059000.0
2021-08-11,17.0,16.96,17.4,16.72,27392300.0
2021-08-12,16.52,16.88,16.9,16.28,11926900.0
2021-08-13,15.54,15.92,16.1,15.4,29126400.0
2021-08-16,15.9,15.4,16.0,15.2,14681300.0
2021-08-17,15.98,15.92,16.2,15.88,5225600.0
2021-08-18,16.04,16.08,16.36,15.9,7220900.0
