Date,Close,Open,High,Low,Volume
2021-10-01,16.7,16.12,17.16,16.12,33478300.0
2021-10-04,17.4,16.94,17.54,16.82,13305500.0
2021-10-05,17.68,17.46,17.9,17.4,11766000.0
2021-10-06,17.48,17.78,17.78,17.4,5415600.0
2021-10-07,17.16,17.56,17.68,17.1,3890200.0
2021-10-08,17.5,17.2,17.6,17.2,2155000.0
2021-10-11,17.7,17.6,17.82,17.52,3376300.0
2021-10-12,17.8,17.68,17.82,17.62,3411300.0
2021-10-13,17.8,17.78,17.82,17.6,1257100.0
2021-10-14,17.22,17.82,17.82,17.2,2918700.0
2021-10-15,17.74,17.3,17.8,17.3,3129300.0
2021-10-18,17.7,17.62,17.82,17.62,2006200.0
2021-10-19,17.8,17.82,17.82,17.7,1497500.0
2021-10-20,17.78,17.82,17.84,17.78,1785500.0
2021-10-21,17.8,17.78,17.8,17.74,2554000.0
2021-10-22,17.8,17.8,17.84,17.76,1636800.0
2021-10-25,17.82,17.84,17.86,17.8,1770000.0
2021-10-26,17.88,17.88,17.88,17.82,7001600.0
2021-10-27,17.9,17.88,17.96,17.88,4378800.0
2021-10-28,18.02,17.92,18.06,17.92,11378700.0
2021-10-29,18.1,18.04,18.1,18.0,8857600.0
2021-11-02,18.18,18.1,18.26,18.08,10557700.0
2021-11-03,18.3,18.2,18.82,18.18,18902900.0
2021-11-04,18.12,18.3,18.34,18.1,1664700.0
2021-11-05,18.24,18.12,18.24,18.08,708500.0
2021-11-08,18.22,18.24,18.36,18.2,9491800.0
2021-11-09,18.18,18.26,18.5,18.18,2378500.0
2021-11-10,18.18,18.2,18.24,18.16,1668500.0
2021-11-11,18.16,18.2,18.22,18.16,2104500.0
2021-11-12,18.02,18.14,18.2,18.02,2603000.0
2021-11-15,18.24,18.02,18.26,18.02,9330000.0
2021-11-16,18.3,18.3,18.34,18.26,1756100.0
2021-11-17,18.3,18.3,18.32,18.24,3508100.0
2021-11-18,18.3,18.3,18.32,18.26,2314500.0
2021-11-19,18.3,18.3,18.38,18.28,5166800.0
2021-11-22,18.32,18.3,18.34,18.3,1295800.0
2021-11-23,18.32,18.3,18.32,18.3,1128900.0
2021-11-24,18.32,18.32,18.34,18.3,3002000.0
2021-11-25,18.28,18.32,18.32,18.28,3012800.0
2021-11-26,18.32,18.32,18.34,18.28,876200.0
2021-11-29,18.32,18.24,18.32,18.02,2493500.0
2021-12-01,18.28,18.34,18.34,18.24,2041000.0
2021-12-02,18.3,18.28,18.34,18.26,7934500.0
2021-12-03,18.32,18.34,18.36,18.3,1207100.0
2021-12-06,18.3,18.32,18.32,18.28,2562500.0
2021-12-07,18.3,18.3,18.32,18.2,3307100.0
2021-12-09,18.3,18.3,18.34,18.26,5815500.0
2021-12-10,18.32,18.3,18.34,18.26,1662300.0
2021-12-13,18.32,18.32,18.34,18.28,2784800.0
2021-12-14,18.32,18.32,18.36,18.28,4520600.0
2021-12-15,18.34,18.32,18.7,18.3,17511300.0
2021-12-16,18.32,18.34,18.5,18.32,4161800.0
2021-12-17,18.34,18.36,18.36,18.32,3068700.0
2021-12-20,18.32,18.34,18.36,18.32,1864500.0
2021-12-21,18.32,18.32,18.34,18.3,2253600.0
2021-12-22,18.32,18.32,18.6,18.3,3626000.0
2021-12-23,18.32,18.32,18.38,18.3,1077800.0
2021-12-24,18.32,18.32,18.36,18.3,1376100.0
2021-12-27,18.32,18.32,18.34,18.24,713900.0
2021-12-28,18.48,18.32,18.48,18.3,9673200.0
2021-12-29,19.18,18.48,19.2,18.46,2519700.0
2021-12-31,19.7,19.1,19.7,18.82,3714300.0
2022-01-03,19.32,19.36,19.5,19.06,1224100.0
2022-01-05,19.48,19.34,19.5,19.34,1845900.0
2022-01-06,19.58,19.48,19.6,19.44,2225500.0
2022-01-07,19.48,19.56,19.6,19.48,1173500.0
2022-01-10,19.5,19.48,19.5,19.44,847000.0
2022-01-11,19.48,19.5,19.5,19.46,802200.0
2022-01-12,20.15,19.5,20.15,19.46,3569300.0
2022-01-13,20.25,20.15,20.6,20.0,972400.0
2022-01-14,21.8,20.4,23.2,20.4,3436100.0
2022-01-17,22.2,21.8,22.55,21.55,3087400.0
2022-01-18,22.45,22.2,22.7,22.0,1409300.0
2022-01-19,22.1,22.1,22.5,21.85,1294800.0
2022-01-20,22.4,22.1,22.75,22.0,4893300.0
2022-01-21,22.4,22.4,23.0,22.25,2554700.0
2022-01-24,22.0,22.4,22.6,21.95,2941800.0
2022-01-25,22.1,22.0,22.4,21.85,5359600.0
2022-01-26,22.1,22.15,22.2,22.05,1734300.0
2022-01-27,22.15,22.2,22.45,22.15,3751300.0
2022-01-28,22.5,22.05,23.4,22.05,5281500.0
2022-01-31,22.5,22.8,23.0,22.4,2070500.0
2022-02-02,22.0,22.5,22.6,22.0,3651600.0
2022-02-03,22.0,22.0,22.45,21.95,2849500.0
2022-02-04,21.25,22.0,22.05,21.1,4574900.0
2022-02-07,20.8,21.0,21.0,20.4,4800000.0
2022-02-08,20.2,20.85,21.65,20.2,5570400.0
2022-02-09,20.3,20.5,20.8,20.25,2623600.0
2022-02-10,19.92,20.8,20.8,19.92,6456700.0
2022-02-11,19.48,19.94,20.5,19.4,6199500.0
2022-02-14,21.0,19.44,21.0,19.1,3075300.0
2022-02-15,19.9,20.1,20.85,19.86,1592000.0
2022-02-16,20.15,20.0,20.5,20.0,3146500.0
2022-02-17,20.3,20.15,20.35,20.15,890500.0
2022-02-18,19.98,20.3,20.3,19.94,1693000.0
2022-02-21,20.45,19.96,20.5,19.8,2554900.0
2022-02-22,20.05,20.45,20.5,19.5,3497900.0
2022-02-23,19.98,20.0,20.0,19.8,2337500.0
2022-02-24,19.78,19.98,20.0,19.48,4908500.0
2022-02-28,19.92,19.68,20.0,19.42,1815800.0
2022-03-01,20.0,19.92,20.1,19.7,2755300.0
2022-03-02,20.1,20.0,20.2,19.92,1966500.0
2022-03-03,19.8,20.1,20.1,19.8,1939400.0
2022-03-04,19.64,19.92,19.92,19.6,1545400.0
2022-03-07,19.3,19.64,19.64,19.18,2840600.0
2022-03-08,18.58,19.28,19.28,18.48,4821700.0
2022-03-09,18.66,18.5,18.8,18.38,3278500.0
2022-03-10,19.3,18.7,19.5,18.7,1435600.0
2022-03-11,18.96,19.5,19.9,18.8,2154500.0
2022-03-14,18.82,19.0,19.1,18.78,2777900.0
2022-03-15,18.8,18.8,18.84,18.02,2100900.0
2022-03-16,19.0,18.8,19.1,18.78,3720100.0
2022-03-17,19.0,19.0,19.42,19.0,1582600.0
2022-03-18,18.62,19.3,19.3,18.62,8590900.0
2022-03-21,18.54,19.0,19.0,18.54,1558000.0
2022-03-22,19.18,18.54,19.3,18.54,1028400.0
2022-03-23,19.0,19.18,19.18,18.66,2947300.0
2022-03-24,18.5,19.0,19.2,18.5,637300.0
2022-03-25,18.94,18.7,19.1,18.7,1553500.0
2022-03-28,18.68,18.9,19.0,18.68,563300.0
2022-03-29,18.8,19.0,19.0,18.76,1957100.0
2022-03-30,18.5,18.8,18.9,18.5,2662400.0
2022-03-31,18.7,18.72,18.9,18.32,1311000.0
2022-04-01,18.4,18.7,18.78,18.4,837400.0
2022-04-04,18.58,18.7,18.78,18.54,2013100.0
