Date,Close,Open,High,Low,Volume
1986-09-17,14.0,13.5,14.0,13.5,1698900.0
1987-03-04,12.0,12.0,12.0,12.0,500.0
1987-04-30,14.5,14.5,14.5,14.5,200.0
1988-02-22,12.0,12.0,12.0,12.0,400.0
1989-04-27,12.0,12.0,12.0,12.0,100.0
1996-06-28,2.18,1.5,2.18,1.5,1409000.0
1996-07-01,3.25,3.25,3.25,3.25,570000.0
1996-07-02,4.85,4.85,4.85,4.85,260000.0
1996-07-03,6.4,6.9,7.1,5.7,1123000.0
1996-07-05,5.8,6.4,6.4,5.8,391000.0
1996-07-08,6.0,5.8,6.2,5.8,432000.0
1996-07-09,5.8,5.8,5.8,5.8,11000.0
1996-07-10,6.0,5.8,6.0,5.8,90000.0
1996-07-11,5.9,5.9,6.0,5.8,144000.0
1996-07-12,6.0,5.8,6.0,5.8,270000.0
1996-07-15,6.1,6.1,6.1,6.1,120000.0
1996-07-16,6.2,6.1,6.2,6.1,248000.0
1996-07-17,6.2,6.0,6.2,6.0,120000.0
1996-07-18,6.2,6.1,6.5,6.1,231000.0
1996-07-19,6.2,6.2,6.2,6.2,115000.0
1996-07-22,6.3,6.3,6.4,6.3,233000.0
1996-07-23,6.2,6.3,6.3,6.0,140000.0
1996-07-24,6.1,6.0,6.1,6.0,152000.0
1996-07-25,6.1,6.1,6.1,6.1,110000.0
1996-07-26,6.1,6.0,6.1,6.0,109000.0
1996-07-29,6.2,6.2,6.2,6.2,123000.0
1996-07-30,6.1,6.0,6.1,6.0,63000.0
1996-07-31,6.1,6.1,6.1,6.1,110000.0
1996-08-01,6.2,6.2,6.2,6.2,107000.0
1996-08-05,6.0,6.1,6.2,6.0,165000.0
1996-08-06,6.2,6.1,6.2,6.1,125000.0
1996-08-07,6.2,6.1,6.2,6.1,120000.0
1996-08-08,6.2,6.1,6.2,6.1,110000.0
1996-08-09,6.1,6.1,6.1,6.1,110000.0
1996-08-12,6.1,6.1,6.1,6.1,23000.0
1996-08-13,6.0,6.0,6.0,6.0,15000.0
1996-08-14,6.0,6.0,6.0,6.0,20000.0
1996-08-15,6.0,5.9,6.0,5.9,20000.0
1996-08-16,6.0,6.0,6.0,6.0,20000.0
1996-08-19,6.2,6.0,6.2,6.0,87000.0
1996-08-20,6.0,6.0,6.0,6.0,20000.0
1996-08-21,6.0,6.0,6.0,6.0,20000.0
1996-08-22,6.0,6.0,6.0,6.0,15000.0
1996-08-23,6.0,6.0,6.0,6.0,33000.0
1996-08-26,6.0,6.0,6.1,6.0,133000.0
1996-08-27,6.0,6.0,6.1,6.0,21000.0
1996-08-28,6.2,6.0,6.2,6.0,124000.0
1996-08-29,6.1,6.1,6.1,6.1,10000.0
1996-08-30,6.3,6.1,6.3,6.1,120000.0
1996-09-02,6.2,6.1,6.2,6.1,113000.0
1996-09-03,6.1,6.1,6.1,6.1,40000.0
1996-09-04,6.1,6.1,6.1,6.1,40000.0
1996-09-05,6.1,6.1,6.1,6.1,20000.0
1996-09-06,6.1,6.0,6.1,6.0,22000.0
1996-09-09,6.1,6.1,6.1,6.1,30000.0
1996-09-10,6.1,6.1,6.1,6.1,20000.0
1996-09-11,6.1,6.1,6.1,6.1,20000.0
1996-09-12,6.1,6.1,6.1,6.1,50000.0
1996-09-13,6.1,6.1,6.1,6.1,45000.0
1996-09-16,6.1,6.1,6.1,6.1,20000.0
1996-09-17,6.2,6.1,6.2,6.1,54000.0
1996-09-18,6.1,6.1,6.1,6.1,35000.0
1996-09-19,6.1,6.1,6.1,6.1,45000.0
1996-09-23,6.0,6.0,6.0,6.0,200000.0
1996-09-24,6.0,6.0,6.1,6.0,1070000.0
1996-09-25,6.1,6.1,6.1,6.1,50000.0
1996-09-26,6.2,6.1,6.2,6.1,230000.0
1996-09-27,6.1,6.1,6.1,6.1,110000.0
1996-09-30,6.4,6.1,6.5,6.1,126000.0
1996-10-01,6.5,6.3,6.5,6.3,897000.0
1996-10-02,6.4,6.4,6.4,6.4,2000.0
1996-10-03,6.4,6.4,6.4,6.4,20000.0
1996-10-04,6.3,6.3,6.3,6.3,14000.0
1996-10-07,6.4,6.4,6.4,6.4,7000.0
1996-10-08,6.4,6.4,6.4,6.4,20000.0
1996-10-10,6.2,6.2,6.2,6.2,5000.0
1996-10-11,6.2,6.2,6.2,6.2,10000.0
1996-10-14,6.2,6.0,6.2,5.9,27000.0
1996-10-15,6.2,6.1,6.2,6.1,35000.0
1996-10-16,6.2,6.2,6.2,6.2,30000.0
1996-10-17,6.2,6.2,6.2,6.2,35000.0
1996-10-18,6.2,6.2,6.2,6.2,50000.0
1996-10-21,6.2,6.2,6.2,6.2,20000.0
1996-10-22,6.6,6.2,6.8,6.1,136000.0
1996-10-23,6.7,6.6,6.7,6.6,100000.0
1996-10-24,6.8,6.7,6.8,6.7,58000.0
1996-10-25,6.8,6.7,6.8,6.7,52000.0
1996-10-28,6.6,6.8,6.8,6.6,53000.0
1996-10-29,6.8,6.7,6.8,6.7,114000.0
1996-10-30,6.9,6.8,6.9,6.8,119000.0
1996-10-31,6.6,6.8,6.8,6.6,105000.0
1996-11-04,6.6,6.7,6.7,6.6,171000.0
1996-11-05,6.6,6.7,6.7,6.6,70000.0
1996-11-06,6.6,6.6,6.6,6.6,70000.0
1996-11-07,6.8,6.6,6.9,6.6,110000.0
1996-11-08,6.8,6.9,7.0,6.8,100000.0
1996-11-11,6.8,6.8,6.8,6.8,90000.0
1996-11-12,6.8,6.8,6.8,6.8,50000.0
1996-11-14,6.5,6.5,6.5,6.5,10000.0
1996-11-18,6.5,6.5,6.5,6.5,815000.0
1996-11-19,6.5,6.5,6.5,6.5,1010000.0
1996-11-20,6.5,6.5,6.5,6.5,1012000.0
1996-11-21,6.3,6.3,6.3,6.3,30000.0
1996-11-26,6.3,6.3,6.3,6.3,20000.0
1996-11-27,6.2,6.2,6.3,6.0,161000.0
1996-11-28,6.4,6.3,6.4,6.3,100000.0
1996-11-29,6.5,6.4,6.5,6.4,75000.0
1996-12-02,6.7,6.5,6.7,6.5,159000.0
1996-12-03,6.7,6.7,6.9,6.7,196000.0
1996-12-04,6.4,6.5,6.5,6.4,193000.0
1996-12-05,6.3,6.0,6.4,6.0,247000.0
1996-12-06,6.4,6.2,6.4,6.2,53000.0
1996-12-09,6.5,6.4,6.5,6.4,90000.0
1996-12-10,6.5,6.4,6.6,6.4,234000.0
1996-12-11,6.6,6.5,6.7,6.5,232000.0
1996-12-12,6.3,6.6,6.7,6.3,164000.0
1996-12-13,6.1,6.2,6.2,6.1,1005000.0
1996-12-16,6.1,6.0,6.1,6.0,296000.0
1996-12-17,6.4,6.1,6.4,6.1,197000.0
1996-12-18,6.6,6.4,6.6,6.4,187000.0
1996-12-19,6.8,6.6,6.9,6.6,346000.0
1996-12-20,6.9,6.9,7.0,6.9,246000.0
1996-12-23,6.9,6.8,6.9,6.8,51000.0
1996-12-24,6.8,6.8,6.8,6.8,10000.0
1996-12-26,6.7,6.8,6.8,6.7,53000.0
1996-12-27,6.9,6.7,6.9,6.7,90000.0
