Date,Close,Open,High,Low,Volume
2016-12-15,12.1,12.0,12.36,11.66,49585200.0
2016-12-16,12.24,12.16,12.26,11.78,21287500.0
2016-12-19,11.98,12.24,12.24,11.88,7482500.0
2016-12-20,11.58,11.98,11.98,11.5,13615300.0
2016-12-21,11.7,11.62,11.82,11.62,6161600.0
2016-12-22,11.24,11.7,11.7,11.24,8418900.0
2016-12-23,11.2,11.24,11.26,10.9,4136300.0
2016-12-27,11.3,11.22,11.34,11.22,1212100.0
2016-12-28,11.3,11.32,11.4,11.28,2431200.0
2016-12-29,11.5,11.3,11.68,11.2,10836500.0
2017-01-03,11.48,11.58,11.58,11.38,727600.0
2017-01-04,11.68,11.48,11.9,11.48,3234700.0
2017-01-05,11.68,11.76,11.76,11.6,2812300.0
2017-01-06,11.66,11.76,11.76,11.56,4044200.0
2017-01-09,11.66,11.6,11.68,11.54,1845800.0
2017-01-10,11.5,11.66,11.92,11.5,10208300.0
2017-01-11,11.68,11.6,11.92,11.54,7567100.0
2017-01-12,11.6,11.7,11.84,11.6,4263700.0
2017-01-13,11.76,11.68,11.76,11.62,2320300.0
2017-01-16,12.28,11.76,12.48,11.76,19390900.0
2017-01-17,12.4,12.28,12.6,12.14,6026200.0
2017-01-18,12.0,12.36,12.36,11.96,4678200.0
2017-01-19,12.24,12.2,12.36,12.1,3820700.0
2017-01-20,12.56,12.24,12.66,12.24,7443300.0
2017-01-23,12.38,12.6,12.6,12.32,2835900.0
2017-01-24,12.36,12.4,12.56,12.3,6369400.0
2017-01-25,12.6,12.38,12.8,12.34,8032900.0
2017-01-26,12.7,12.76,12.88,12.56,5311900.0
2017-01-27,12.9,12.8,12.98,12.66,5854200.0
2017-01-30,12.82,12.96,13.0,12.8,1024000.0
2017-01-31,12.82,12.7,12.82,12.58,4047800.0
2017-02-01,12.9,12.82,12.94,12.68,1585600.0
2017-02-02,12.86,12.9,13.12,12.84,4512200.0
2017-02-03,12.7,12.84,12.86,12.64,3498400.0
2017-02-06,12.76,12.7,12.86,12.6,3980100.0
2017-02-07,12.66,12.76,12.76,12.66,2269900.0
2017-02-08,12.28,12.66,12.66,12.24,6308700.0
2017-02-09,12.36,12.28,12.46,12.26,1017500.0
2017-02-10,12.36,12.48,12.48,12.2,521900.0
2017-02-13,12.3,12.36,12.5,12.3,554300.0
2017-02-14,12.7,12.32,12.78,12.32,3610600.0
2017-02-15,12.68,12.7,12.84,12.66,2043400.0
2017-02-16,12.6,12.68,12.68,12.56,380700.0
2017-02-17,12.68,12.6,12.7,12.5,2242300.0
2017-02-20,12.7,12.68,12.72,12.54,251300.0
2017-02-21,12.64,12.72,12.72,12.58,342400.0
2017-02-22,12.1,12.64,12.68,12.1,4990300.0
2017-02-23,12.2,12.08,12.3,12.0,3796500.0
2017-02-24,12.1,12.2,12.28,12.06,1775700.0
2017-02-27,12.28,12.2,12.4,12.18,5378200.0
2017-02-28,12.3,12.28,12.34,12.1,4460400.0
2017-03-01,12.42,12.3,12.42,12.28,1239900.0
2017-03-02,12.34,12.38,12.42,12.26,979300.0
2017-03-03,12.66,12.48,12.7,12.2,5833500.0
2017-03-06,12.9,12.66,12.98,12.56,3052200.0
2017-03-07,12.74,12.9,12.9,12.68,925700.0
2017-03-08,13.08,12.78,13.42,12.74,10422900.0
2017-03-09,13.76,13.08,13.76,13.08,6811900.0
2017-03-10,13.98,13.74,13.98,13.5,3768500.0
2017-03-13,14.4,14.0,14.52,14.0,7506900.0
2017-03-14,14.56,14.4,14.6,14.12,3199400.0
2017-03-15,14.46,14.5,14.8,14.46,5358700.0
2017-03-16,13.9,14.4,14.4,13.9,3805700.0
2017-03-17,14.26,13.84,14.4,13.8,2078400.0
2017-03-20,14.26,14.28,14.48,14.1,1179700.0
2017-03-21,13.6,14.26,14.5,13.6,8151800.0
2017-03-22,13.3,13.7,13.9,13.2,5092100.0
2017-03-23,14.1,13.3,14.1,13.3,5263600.0
2017-03-24,13.74,14.0,14.2,13.7,3702200.0
2017-03-27,13.32,13.88,13.88,13.3,2272000.0
2017-03-28,13.7,13.46,13.9,13.46,619600.0
2017-03-29,13.7,13.8,13.9,13.54,1595500.0
2017-03-30,13.66,13.66,13.76,13.58,688600.0
2017-03-31,13.6,13.5,13.7,13.4,481500.0
2017-04-03,13.44,13.6,13.6,13.32,189000.0
2017-04-04,13.52,13.44,13.8,13.32,1287300.0
2017-04-05,13.52,13.58,13.84,13.34,1459700.0
2017-04-06,13.2,13.8,13.8,13.2,1527200.0
2017-04-07,13.2,13.3,13.4,13.2,1029100.0
2017-04-10,13.42,13.2,13.5,13.2,160800.0
2017-04-11,13.54,13.42,13.54,13.22,1071800.0
2017-04-12,13.5,13.6,13.66,13.5,567200.0
2017-04-17,13.7,13.56,13.76,13.4,514700.0
2017-04-18,14.0,13.8,14.14,13.8,3862400.0
2017-04-19,14.0,14.06,14.1,13.9,1796700.0
2017-04-20,13.98,14.02,14.06,13.9,635100.0
2017-04-21,13.94,13.98,14.0,13.9,393800.0
2017-04-24,13.78,13.9,13.94,13.7,240500.0
2017-04-25,13.74,13.8,13.8,13.62,2176600.0
2017-04-26,13.86,13.74,13.92,13.72,692800.0
2017-04-27,13.72,13.86,13.9,13.66,719400.0
2017-05-02,13.9,13.72,13.92,13.6,1633300.0
2017-05-03,13.78,13.98,14.06,13.76,774400.0
2017-05-04,13.76,13.78,13.9,13.64,173000.0
2017-05-05,13.68,13.78,13.84,13.62,743700.0
2017-05-08,13.6,13.64,13.7,13.58,1960300.0
2017-05-09,13.58,13.6,13.66,13.46,764600.0
2017-05-10,13.8,13.6,14.2,13.6,7940300.0
2017-05-11,13.72,13.84,13.96,13.6,1313400.0
2017-05-12,13.66,13.72,13.72,13.64,357900.0
2017-05-15,13.3,13.66,13.78,13.3,3235200.0
2017-05-16,13.3,13.28,13.34,13.22,2425900.0
2017-05-17,13.1,13.36,13.4,13.1,3974100.0
2017-05-18,12.96,13.04,13.04,12.94,1611700.0
2017-05-19,12.96,12.96,13.24,12.9,2759200.0
2017-05-22,13.02,13.18,13.28,13.02,182200.0
2017-05-23,13.32,13.22,13.56,13.14,1168500.0
2017-05-24,13.4,13.32,13.48,13.26,440000.0
2017-05-25,13.42,13.4,13.44,13.38,179100.0
2017-05-26,13.08,13.5,13.56,13.0,2253000.0
2017-05-29,13.2,13.06,13.3,13.0,980600.0
2017-05-30,12.96,13.2,13.2,12.8,3666000.0
2017-05-31,13.1,13.0,13.14,12.98,2822700.0
2017-06-01,13.56,13.1,13.56,13.0,956900.0
2017-06-02,13.3,13.56,13.56,13.28,1235500.0
2017-06-05,13.58,13.4,13.7,13.2,1080600.0
2017-06-06,13.46,13.5,13.68,13.42,2787500.0
2017-06-07,13.62,13.6,13.92,13.46,2608400.0
2017-06-08,13.68,13.62,13.8,13.4,1472500.0
2017-06-09,13.62,13.78,13.78,13.6,286900.0
2017-06-13,13.52,13.62,13.62,13.44,397000.0
2017-06-14,13.52,13.5,13.54,13.48,324900.0
2017-06-15,13.5,13.5,13.64,13.48,1419700.0
2017-06-16,13.5,13.5,13.58,13.42,578100.0
2017-06-19,13.4,13.46,13.5,13.26,767800.0
2017-06-20,13.2,13.5,13.5,13.2,2697300.0
2017-06-21,13.04,13.18,13.18,13.0,2685700.0
2017-06-22,12.9,13.04,13.2,12.88,2029100.0
2017-06-23,12.9,13.04,13.04,12.76,2554200.0
2017-06-27,12.9,12.9,13.2,12.86,3527300.0
2017-06-28,13.1,12.9,13.16,12.9,340000.0
2017-06-29,13.16,13.16,13.18,13.0,788500.0
2017-06-30,12.96,13.16,13.16,12.9,543900.0
2017-07-03,13.16,13.1,13.24,13.0,1783500.0
