Date,Close,Open,High,Low,Volume
1992-07-30,4.5238,4.4445,4.5238,4.3651,217600.0
1992-07-31,4.4445,4.5238,4.5238,4.4445,83400.0
1992-08-03,4.4445,4.5238,4.5238,4.4445,270000.0
1992-08-04,4.4445,4.4445,4.4445,4.3651,271800.0
1992-08-05,4.5238,4.5238,4.5238,4.5238,283200.0
1992-08-06,4.6032,4.5238,4.6032,4.5238,270800.0
1992-08-07,4.5238,4.5238,4.5238,4.4445,237600.0
1992-08-10,4.4445,4.5238,4.5238,4.4445,302800.0
1992-08-11,4.4445,4.4445,4.4445,4.3651,212600.0
1992-08-12,4.5238,4.4445,4.5238,4.4445,328600.0
1992-08-13,4.7619,4.6032,4.7619,4.6032,549000.0
1992-08-14,4.8413,4.8413,5.0,4.8413,521600.0
1992-08-17,4.9206,4.9206,4.9206,4.8413,226800.0
1992-08-18,5.0,4.9206,5.0,4.8413,225000.0
1992-08-19,5.0,4.9206,5.0,4.9206,231200.0
1992-08-20,4.9206,5.0794,5.0794,4.9206,332000.0
1992-08-21,4.9206,4.8413,4.9206,4.8413,221400.0
1992-08-24,4.7619,4.8413,4.8413,4.6825,425200.0
1992-08-25,4.6825,4.7619,4.7619,4.6825,276200.0
1992-08-26,4.8413,4.7619,4.8413,4.7619,335400.0
1992-08-27,4.6825,4.7619,4.8413,4.6825,517000.0
1992-08-28,4.6825,4.6032,4.6825,4.6032,345400.0
1992-08-31,4.6032,4.6032,4.6825,4.5238,107400.0
1992-09-01,4.6032,4.5238,4.6032,4.5238,351800.0
1992-09-02,4.6825,4.6825,4.7619,4.6825,142600.0
1992-09-03,4.6825,4.7619,4.7619,4.6825,127600.0
1992-09-04,4.7619,4.7619,4.7619,4.6825,69400.0
1992-09-07,4.8413,4.7619,4.8413,4.7619,474800.0
1992-09-08,5.2381,4.9206,5.2381,4.8413,872800.0
1992-09-09,5.0794,5.2381,5.2381,5.0794,441200.0
1992-09-10,5.2381,5.1587,5.2381,5.0794,489000.0
1992-09-11,5.4762,5.3968,5.4762,5.3175,935000.0
1992-09-14,5.3175,5.4762,5.4762,5.2381,264600.0
1992-09-15,5.3175,5.3175,5.3968,5.3175,313400.0
1992-09-16,5.4762,5.2381,5.4762,5.2381,627400.0
1992-09-17,5.4762,5.4762,5.4762,5.3968,234400.0
1992-09-18,5.3968,5.3968,5.3968,5.3175,174000.0
1992-09-21,5.3968,5.3175,5.3968,5.3175,161800.0
1992-09-22,5.3968,5.3175,5.3968,5.3175,408000.0
1992-09-23,5.2381,5.3175,5.3175,5.2381,198000.0
1992-09-24,5.2381,5.2381,5.3175,5.2381,278000.0
1992-09-25,5.3968,5.2381,5.3968,5.2381,398800.0
1992-09-28,5.5556,5.3968,5.5556,5.3968,478600.0
1992-09-29,5.5556,5.6349,5.7143,5.5556,516800.0
1992-09-30,5.873,5.6349,5.873,5.5556,845800.0
1992-10-01,5.9524,5.873,5.9524,5.7937,454400.0
1992-10-02,5.9524,5.9524,6.0318,5.873,330200.0
1992-10-05,6.1111,5.9524,6.1111,5.873,403400.0
1992-10-06,5.873,6.1111,6.1111,5.873,413000.0
1992-10-07,5.7937,5.9524,5.9524,5.7937,321800.0
1992-10-08,6.0318,5.7937,6.0318,5.7937,350200.0
1992-10-09,6.0318,5.9524,6.0318,5.9524,299400.0
1992-10-12,6.1111,6.0318,6.1111,5.9524,331200.0
1992-10-13,6.2699,6.1111,6.3492,6.1111,282800.0
1992-10-14,6.1111,6.2699,6.3492,6.1111,236000.0
1992-10-15,6.1111,6.1111,6.1905,6.0318,236800.0
1992-10-16,6.1111,6.1111,6.1111,6.0318,137400.0
1992-10-19,5.9524,6.1111,6.1111,5.873,245200.0
1992-10-20,5.873,5.9524,5.9524,5.7937,248400.0
1992-10-21,5.9524,5.9524,6.0318,5.873,219400.0
1992-10-22,5.7937,5.873,5.9524,5.7143,243600.0
