Date,Close,Open,High,Low,Volume
1986-01-06,0.8,0.8,0.8,0.8,1000000.0
1986-01-07,0.8,0.8,0.8,0.8,2200000.0
1986-01-08,0.8,0.8,0.8,0.8,400000.0
1986-01-21,0.8,0.8,0.8,0.8,3000000.0
1986-01-23,0.85,0.85,0.85,0.85,4000000.0
1986-01-24,0.9,0.85,0.9,0.85,3700000.0
1986-01-27,0.95,0.9,0.95,0.9,10000000.0
1986-01-28,0.9,0.9,0.9,0.9,2400000.0
1986-01-29,0.85,0.9,0.9,0.85,22600000.0
1986-01-30,0.9,0.9,0.9,0.9,6400000.0
1986-02-04,0.85,0.85,0.85,0.85,600000.0
1986-02-12,0.85,0.85,0.85,0.85,3000000.0
1986-02-13,0.8,0.85,0.85,0.8,1000000.0
1986-02-17,0.8,0.8,0.8,0.8,5000000.0
1986-02-18,0.8,0.8,0.8,0.8,3200000.0
1986-02-19,0.8,0.8,0.8,0.8,2400000.0
1986-02-26,0.9,0.9,0.9,0.9,200000.0
1986-03-07,0.9,0.9,0.9,0.9,1000000.0
1986-03-10,0.9,0.9,0.9,0.9,4200000.0
1986-03-12,0.9,0.9,0.9,0.85,6000000.0
1986-03-13,0.9,0.9,0.9,0.85,4400000.0
1986-03-14,0.9,0.9,0.9,0.9,200000.0
1986-03-17,0.9,0.9,0.9,0.9,9000000.0
1986-03-18,0.9,0.9,0.9,0.9,2400000.0
1986-03-19,0.9,0.9,0.9,0.9,4000000.0
1986-03-21,0.9,0.9,0.9,0.9,25600000.0
1986-03-25,0.85,0.85,0.85,0.85,1400000.0
1986-03-26,0.85,0.85,0.85,0.85,800000.0
1986-04-01,0.95,0.95,0.95,0.95,1000000.0
1986-04-03,0.9,0.9,0.9,0.9,5000000.0
1986-04-04,0.85,0.85,0.85,0.85,400000.0
1986-04-07,0.85,0.85,0.85,0.85,200000.0
1986-04-09,0.85,0.85,0.85,0.85,1600000.0
1986-04-10,0.85,0.9,0.9,0.85,2400000.0
1986-04-18,0.85,0.85,0.85,0.85,5000000.0
1986-04-28,0.85,0.85,0.85,0.85,600000.0
1986-05-02,0.85,0.85,0.85,0.85,400000.0
1986-05-07,0.85,0.85,0.85,0.85,800000.0
1986-05-20,0.85,0.85,0.85,0.85,400000.0
1986-05-21,0.85,0.85,0.85,0.85,1400000.0
1986-06-09,0.85,0.85,0.85,0.85,1000000.0
1986-06-13,0.9,0.9,0.9,0.9,800000.0
1986-06-17,0.9,0.9,0.9,0.9,400000.0
1986-06-18,0.9,0.9,0.9,0.9,1400000.0
1986-06-19,0.9,0.9,0.9,0.9,5800000.0
1986-06-20,0.9,0.9,0.9,0.9,1000000.0
1986-06-23,0.9,0.9,0.9,0.9,1000000.0
1986-06-30,1.0,1.0,1.0,1.0,2200000.0
1986-07-02,1.3,1.2,1.3,1.0,14400000.0
1986-07-03,1.2,1.2,1.2,1.2,400000.0
1986-07-07,1.1,1.1,1.1,1.1,1400000.0
1986-07-08,1.2,1.2,1.2,1.2,6700000.0
1986-07-09,1.3,1.3,1.3,1.3,2000000.0
1986-07-10,1.3,1.3,1.3,1.3,1400000.0
