Date,Close,Open,High,Low,Volume
1994-11-16,4.1026,4.9359,4.9359,4.1026,93684000.0
1994-11-17,4.0385,4.1667,4.2949,3.9744,46694000.0
1994-11-18,4.1667,4.1026,4.2949,4.0385,25238000.0
1994-11-21,4.0385,4.2308,4.2949,4.0385,18044000.0
1994-11-22,3.9744,3.9744,3.9744,3.7179,17006000.0
1994-11-23,3.5897,3.7821,3.7821,3.4615,35742000.0
1994-11-24,3.8462,3.7179,3.8462,3.7179,22572000.0
1994-11-25,3.8462,3.7821,3.8462,3.7179,12479000.0
1994-11-28,3.7821,3.8462,3.8462,3.7179,18673000.0
1994-11-29,3.6538,3.7821,3.8462,3.5897,10748000.0
1994-12-01,3.6538,3.6538,3.6538,3.5897,1795000.0
1994-12-02,3.5256,3.5256,3.5256,3.3974,4856000.0
1994-12-05,3.5256,3.5897,3.5897,3.5256,3152000.0
1994-12-06,3.5256,3.5256,3.5897,3.4615,2913000.0
1994-12-07,3.5256,3.5897,3.5897,3.4615,4295000.0
1994-12-08,3.3974,3.5256,3.5256,3.3333,5687000.0
1994-12-09,3.3333,3.3333,3.3333,3.2051,2193000.0
1994-12-12,3.3333,3.2692,3.3333,3.2051,2410000.0
1994-12-13,3.2692,3.3333,3.3974,3.2692,4064000.0
1994-12-14,3.3333,3.3333,3.3974,3.2692,4233000.0
1994-12-15,3.5897,3.4615,3.6538,3.3974,8985000.0
1994-12-16,3.5897,3.6538,3.7179,3.5256,6507000.0
1994-12-19,3.5256,3.6538,3.6538,3.4615,6328000.0
1994-12-20,3.5256,3.4615,3.5897,3.4615,3058000.0
1994-12-21,3.5256,3.5256,3.5256,3.4615,2804000.0
1994-12-22,3.4615,3.5256,3.5897,3.4615,3911000.0
1994-12-23,3.5256,3.5256,3.6538,3.5256,3836000.0
1994-12-26,3.5897,3.5897,3.6538,3.5256,2905000.0
1994-12-27,3.5897,3.5897,3.6538,3.5897,3728000.0
1994-12-28,3.5256,3.6538,3.7179,3.5256,3398000.0
1994-12-29,3.6538,3.5256,3.6538,3.4615,6829000.0
1995-01-02,3.5897,3.6538,3.6538,3.5256,1176000.0
1995-01-03,3.5256,3.5897,3.5897,3.5256,2001000.0
1995-01-04,3.3974,3.5256,3.5256,3.3974,3560000.0
1995-01-05,3.3974,3.4615,3.4615,3.3333,1395000.0
1995-01-06,3.3974,3.4615,3.4615,3.3333,2938000.0
1995-01-09,3.2692,3.3974,3.3974,3.2692,2552000.0
1995-01-10,3.3974,3.2692,3.7179,3.2051,7968000.0
1995-01-11,3.2692,3.3333,3.3974,3.2051,2946000.0
1995-01-13,3.141,3.2692,3.2692,3.0128,13624000.0
1995-01-16,3.2051,3.141,3.2051,3.141,6925000.0
1995-01-17,3.2051,3.2051,3.2692,3.2051,3156000.0
1995-01-18,3.2692,3.2692,3.3333,3.2692,4311000.0
1995-01-19,3.3333,3.2692,3.3333,3.2692,3331000.0
1995-01-20,3.141,3.2692,3.2692,3.0449,5387000.0
1995-01-23,3.109,3.109,3.109,3.0128,4205000.0
1995-01-24,3.0769,3.109,3.109,3.0449,3813000.0
1995-01-25,3.141,3.109,3.141,3.0769,3207000.0
1995-01-26,3.141,3.1731,3.1731,3.109,4005000.0
1995-01-27,3.0449,3.141,3.141,3.0128,3435000.0
1995-01-30,2.9808,3.0449,3.0449,2.9487,1387000.0
1995-01-31,3.109,2.9808,3.109,2.9808,2039000.0
1995-02-01,3.109,3.109,3.141,3.0769,1361000.0
1995-02-02,3.0128,3.141,3.141,3.0128,1345000.0
1995-02-03,3.0769,3.0449,3.0769,2.9808,3306000.0
1995-02-06,3.109,3.141,3.141,3.109,3279000.0
1995-02-07,3.2692,3.141,3.3333,3.109,10642000.0
1995-02-08,3.2051,3.2692,3.2692,3.141,3872000.0
1995-02-09,3.2051,3.1731,3.2692,3.1731,1614000.0
1995-02-10,3.2692,3.2692,3.2692,3.2051,4302000.0
1995-02-13,3.3974,3.3333,3.3974,3.3333,7309000.0
1995-02-14,3.5256,3.3333,3.5256,3.3333,10505000.0
1995-02-15,3.3974,3.5256,3.5897,3.3333,3966000.0
1995-02-16,3.3333,3.4615,3.4615,3.3333,2668000.0
