Date,Close,Open,High,Low,Volume
1986-01-15,2.8458,2.8458,2.8458,2.8458,300.0
1986-03-05,3.7945,3.7945,3.7945,3.7945,3600.0
1986-03-06,4.585,4.2688,4.585,4.2688,700.0
1986-03-07,4.4269,4.4269,4.4269,4.4269,200.0
1986-06-04,3.9526,3.9526,3.9526,3.9526,2000.0
1986-06-09,3.9526,3.9526,3.9526,3.9526,1200.0
1986-06-10,3.9526,3.9526,3.9526,3.9526,2200.0
1986-06-11,4.7431,4.4269,4.7431,4.2688,10100.0
1986-06-13,5.3755,4.664,5.3755,4.585,23150.0
1986-06-16,5.6917,5.6917,5.7708,5.5336,9500.0
1986-06-17,5.5336,5.3755,5.5336,5.2964,7000.0
1986-06-18,5.2964,5.3755,5.3755,5.2964,900.0
1986-06-19,5.2174,5.0593,5.2174,5.0593,1700.0
1986-06-20,5.2174,5.2174,5.2174,5.2174,600.0
1986-06-23,5.0593,5.0593,5.0593,5.0593,1050.0
1986-06-24,4.8221,4.9012,4.9012,4.8221,300.0
1986-06-25,4.7431,4.7431,4.7431,4.7431,100.0
1986-06-26,4.664,4.664,4.664,4.664,200.0
1986-06-30,4.664,4.664,4.664,4.664,2400.0
1986-07-01,4.8221,4.7431,4.8221,4.664,2350.0
1986-07-02,5.0593,4.9012,5.0593,4.9012,24600.0
1986-07-03,5.0593,5.0593,5.0593,5.0593,19450.0
1986-07-09,5.0593,4.9802,5.0593,4.9802,15900.0
1986-07-10,5.0593,5.0593,5.1383,5.0593,19950.0
1986-07-11,4.9802,5.0593,5.1383,4.9802,5800.0
1986-07-14,4.9802,4.9802,4.9802,4.9802,700.0
1986-07-15,5.2964,4.9012,5.2964,4.9012,1500.0
1986-07-16,4.9802,4.9802,4.9802,4.9802,150.0
1986-07-17,4.9012,4.9012,5.0593,4.9012,9300.0
1986-07-18,4.7431,4.9012,4.9012,4.7431,9650.0
1986-07-21,4.8221,4.8221,4.8221,4.7431,43100.0
1986-07-22,4.7431,4.7431,4.8221,4.7431,8150.0
1986-07-23,4.664,4.664,4.664,4.664,1300.0
1986-07-24,4.585,4.585,4.585,4.585,50.0
1986-07-25,4.5059,4.585,4.664,4.5059,17650.0
1986-07-29,3.7945,4.2688,4.2688,3.7945,3200.0
1986-07-30,3.7945,3.7945,3.7945,3.7945,600.0
1986-07-31,4.3478,4.2688,4.585,4.2688,1000.0
1986-08-01,4.585,4.4269,4.585,4.4269,2900.0
1986-08-11,4.8221,4.8221,4.9012,4.8221,2700.0
1986-08-12,5.1383,5.0593,5.2174,5.0593,9000.0
1986-08-13,5.1383,5.1383,5.1383,5.1383,18300.0
1986-08-14,5.1383,5.2174,5.2174,5.1383,33100.0
1986-08-15,4.9012,5.0593,5.0593,4.9012,12750.0
1986-08-18,5.0593,5.0593,5.0593,5.0593,100.0
1986-08-19,4.8221,4.8221,4.8221,4.8221,400.0
1986-08-20,4.8221,4.8221,4.8221,4.8221,650.0
1986-08-26,9.6443,9.6443,9.6443,9.6443,4000.0
1986-08-27,9.6443,9.6443,9.6443,9.6443,7800.0
1986-08-28,9.6443,9.6443,9.6443,9.6443,3000.0
1986-08-29,9.8024,9.8024,9.8024,9.8024,1000.0
1986-09-01,9.8024,9.8024,9.8024,9.8024,4500.0
1986-09-03,10.1186,10.1186,10.1186,10.1186,11200.0
1986-09-04,10.1186,10.1186,10.4348,10.1186,88950.0
1986-09-05,10.5929,10.751,10.9091,10.4348,49850.0
1986-09-08,10.751,11.0672,11.3834,10.751,108150.0
1986-09-09,10.4348,10.1186,10.5929,10.1186,15100.0
1986-09-10,10.1186,10.2767,10.2767,10.1186,60500.0
1986-09-11,10.1186,10.2767,10.4348,10.1186,23350.0
1986-09-12,10.1186,9.9605,10.1186,9.9605,51750.0
1986-09-15,10.1186,9.9605,10.2767,9.9605,54850.0
1986-09-16,9.9605,10.1186,10.1186,9.9605,67650.0
1986-09-17,10.1186,9.8024,10.1186,9.8024,10300.0
1986-09-18,10.1186,10.1186,10.2767,10.1186,19600.0
1986-09-19,10.751,10.1186,10.751,10.1186,118850.0
1986-09-22,11.6996,11.3834,11.8577,11.0672,134450.0
1986-09-23,11.5415,12.1739,12.1739,11.5415,111850.0
1986-09-24,11.6996,11.0672,11.6996,11.0672,32450.0
1986-09-25,11.6996,11.6996,11.6996,11.5415,29800.0
1986-09-26,12.332,11.6996,12.4901,11.6996,50500.0
1986-09-29,14.2292,12.6482,14.2292,12.6482,134800.0
1986-09-30,13.913,14.2292,15.1779,13.7549,223950.0
1986-10-01,14.0711,13.913,14.2292,13.4387,145350.0
1986-10-02,13.913,13.7549,13.913,13.4387,124850.0
1986-10-03,14.3873,14.5455,14.5455,14.2292,299950.0
1986-10-07,17.0751,15.0198,18.1818,15.0198,276500.0
1986-10-08,17.5494,17.8656,18.498,17.2332,181500.0
1986-10-09,17.3913,17.5494,17.7075,17.2332,224600.0
1986-10-10,17.7075,17.2332,17.8656,17.0751,241100.0
1986-10-13,18.6561,18.0237,18.8142,18.0237,153350.0
1986-10-14,18.6561,18.8142,18.9723,18.3399,174550.0
1986-10-15,18.0237,18.6561,18.6561,17.8656,162300.0
1986-10-16,18.0237,18.0237,18.0237,17.8656,104650.0
1986-10-17,18.3399,18.0237,18.3399,17.8656,88250.0
