Date,Close,Open,High,Low,Volume
1991-03-19,1.02,1.1,1.1,1.02,458000.0
1991-03-20,1.0,1.02,1.02,0.99,175000.0
1991-03-21,0.99,1.0,1.0,0.99,100000.0
1991-03-22,1.0,1.0,1.0,1.0,135000.0
1991-03-25,1.0,1.0,1.0,1.0,455000.0
1991-03-26,1.02,1.02,1.02,1.02,60000.0
1991-03-27,1.0,1.02,1.02,1.0,150000.0
1991-04-01,1.0,1.0,1.0,1.0,30000.0
1991-04-03,1.0,1.0,1.0,1.0,100000.0
1991-04-04,1.0,1.0,1.0,1.0,3050000.0
1991-04-08,0.99,0.99,0.99,0.99,5000.0
1991-04-11,0.99,0.99,0.99,0.99,10000.0
1991-04-17,0.99,0.99,0.99,0.99,180000.0
1991-04-23,0.98,0.97,0.98,0.97,375000.0
1991-04-29,0.97,0.97,0.97,0.97,10000.0
1991-05-03,0.98,0.98,0.98,0.98,105000.0
1991-05-13,0.97,0.97,0.97,0.97,20000.0
1991-05-15,0.94,0.94,0.94,0.94,40000.0
1991-05-17,0.95,0.95,0.95,0.95,10000.0
1991-05-20,0.95,0.95,0.95,0.95,10000.0
1991-05-21,0.95,0.95,0.95,0.95,175000.0
1991-05-22,0.94,0.94,0.94,0.94,150000.0
1991-05-23,0.94,0.94,0.94,0.94,50000.0
1991-05-27,0.94,0.94,0.94,0.94,120000.0
1991-05-31,0.9,0.9,0.9,0.9,40000.0
1991-06-03,0.91,0.9,0.91,0.9,35000.0
1991-06-04,0.9,0.9,0.9,0.9,50000.0
1991-06-06,0.89,0.9,0.9,0.89,120000.0
1991-06-07,0.89,0.89,0.89,0.89,200000.0
1991-06-10,0.9,0.9,0.9,0.9,150000.0
1991-06-14,0.9,0.9,0.9,0.9,110000.0
1991-06-18,0.8,0.8,0.8,0.8,1000000.0
1991-07-05,0.85,0.85,0.85,0.85,10000.0
1991-07-15,0.85,0.85,0.85,0.85,10000.0
1991-07-18,0.85,0.86,0.86,0.85,125000.0
1991-07-19,0.85,0.85,0.85,0.85,20000.0
1991-07-31,0.87,0.87,0.87,0.87,205000.0
1991-08-06,0.86,0.86,0.86,0.86,10000.0
1991-08-07,0.85,0.85,0.85,0.85,5000.0
1991-08-16,0.82,0.82,0.82,0.82,5000.0
1991-08-28,0.8,0.8,0.8,0.8,5000.0
1991-08-30,0.86,0.86,0.86,0.86,5000.0
1991-09-02,0.8,0.8,0.8,0.8,10000.0
1991-09-17,0.86,0.86,0.86,0.86,35000.0
1991-09-18,0.87,0.86,0.87,0.86,140000.0
