Date,Close,Open,High,Low,Volume
2012-12-12,2.1511,2.161,2.2251,2.1412,68451000.0
2012-12-13,2.1906,2.1412,2.1955,2.1314,28146000.0
2012-12-14,2.2054,2.1906,2.2448,2.1758,27942000.0
2012-12-17,2.1807,2.2202,2.2202,2.1758,8524000.0
2012-12-18,2.1856,2.1955,2.2202,2.161,12263000.0
2012-12-19,2.1708,2.1807,2.1906,2.1708,3816000.0
2012-12-20,2.1708,2.1708,2.1955,2.1659,3268000.0
2012-12-21,2.1708,2.1708,2.1955,2.1659,4425000.0
2012-12-26,2.1758,2.1708,2.1906,2.161,2610000.0
2012-12-27,2.1758,2.1708,2.1758,2.1659,2621000.0
2012-12-28,2.1708,2.1758,2.1807,2.1511,8394000.0
2013-01-02,2.156,2.156,2.1708,2.156,3389000.0
2013-01-03,2.161,2.161,2.1906,2.156,5949000.0
2013-01-04,2.1511,2.161,2.1708,2.1511,3449000.0
2013-01-07,2.1807,2.161,2.1955,2.161,13950000.0
2013-01-08,2.1906,2.1807,2.2004,2.1758,4570000.0
2013-01-09,2.1955,2.1758,2.2054,2.1758,9363000.0
2013-01-10,2.2744,2.2103,2.3188,2.2103,34940000.0
2013-01-11,2.457,2.2892,2.4619,2.2744,38147000.0
2013-01-14,2.4718,2.4619,2.5409,2.3928,31203000.0
2013-01-15,2.457,2.4718,2.5409,2.4076,28959600.0
2013-01-16,2.457,2.4668,2.4915,2.4076,15088000.0
2013-01-17,2.6198,2.4619,2.6346,2.4619,28320000.0
2013-01-18,2.6494,2.6247,2.6642,2.5902,30596000.0
2013-01-21,2.6642,2.6593,2.6889,2.6149,7734700.0
2013-01-22,2.6346,2.6642,2.679,2.5902,13903000.0
2013-01-23,2.6198,2.6346,2.6642,2.5853,5275700.0
2013-01-24,2.7037,2.6099,2.7333,2.605,17953400.0
2013-01-25,2.8615,2.7086,2.8615,2.7086,27578400.0
2013-01-28,2.8763,2.8813,2.9109,2.8171,15570400.0
2013-01-29,2.8911,2.8862,2.9109,2.8813,15461700.0
2013-01-30,2.8566,2.8862,2.9109,2.8319,16709200.0
2013-01-31,2.8615,2.8615,2.8763,2.8221,9797800.0
2013-02-01,3.0145,2.8615,3.0194,2.8615,15010300.0
2013-02-04,3.1329,3.0145,3.1428,3.0145,18769100.0
2013-02-05,3.1724,3.1329,3.197,3.0688,21741500.0
2013-02-06,3.1033,3.1724,3.3253,2.9602,29649100.0
2013-02-07,2.9454,3.1033,3.1082,2.8615,24554100.0
2013-02-08,2.9207,2.9454,2.9602,2.901,11021400.0
2013-02-11,2.98,2.9207,3.0589,2.9207,5166800.0
2013-02-12,2.9701,3.0046,3.0046,2.9454,4602200.0
2013-02-13,2.9602,2.9948,2.9997,2.9454,6404000.0
2013-02-14,3.049,2.9602,3.0638,2.9454,11047100.0
2013-02-15,3.1822,3.0392,3.3056,3.0392,37725100.0
2013-02-18,3.3352,3.3302,3.3648,3.3056,26614400.0
2013-02-19,3.4289,3.3796,3.4487,3.3796,25986800.0
2013-02-20,3.3697,3.498,3.5473,3.3598,30711100.0
2013-02-21,3.3796,3.4042,3.5029,3.3648,19392600.0
2013-02-22,3.2118,3.4042,3.4289,3.2118,45641200.0
2013-02-25,3.2562,3.2562,3.3302,3.2464,13441400.0
2013-02-26,3.2266,3.2513,3.3253,3.197,20879100.0
2013-02-27,3.2316,3.2414,3.2809,3.2316,7921000.0
2013-02-28,3.2069,3.2612,3.3056,3.197,20062200.0
2013-03-01,3.3352,3.2168,3.35,3.2168,10184100.0
2013-03-04,3.4388,3.345,3.4536,3.3154,14472200.0
2013-03-05,3.5128,3.4437,3.5177,3.4289,13608200.0
2013-03-06,3.4684,3.5276,3.5523,3.4684,8822500.0
2013-03-07,3.4339,3.4684,3.4684,3.3993,3758800.0
2013-03-08,3.3796,3.4289,3.4437,3.3648,11809800.0
2013-03-11,3.4092,3.3796,3.4536,3.3746,8910200.0
2013-03-12,3.3352,3.4388,3.4536,3.3302,6112800.0
2013-03-13,3.3105,3.345,3.3697,3.2365,11219500.0
2013-03-14,3.4339,3.3154,3.4339,3.2809,11923500.0
2013-03-15,3.424,3.4536,3.4733,3.4092,4000800.0
2013-03-18,3.2562,3.4339,3.4339,3.1576,13439600.0
2013-03-19,3.2957,3.2464,3.3056,2.9948,15756000.0
2013-03-20,3.419,3.2957,3.419,3.1921,11878000.0
2013-03-21,3.3796,3.4042,3.4585,3.3302,5557200.0
2013-03-22,3.3401,3.3993,3.424,3.3401,2117700.0
2013-03-25,3.424,3.35,3.4536,3.345,6090100.0
2013-03-26,3.4042,3.4289,3.4733,3.3944,7077400.0
2013-03-27,3.4487,3.4042,3.4783,3.4042,7808400.0
2013-04-01,3.4487,3.498,3.5523,3.4092,10494200.0
2013-04-02,3.4042,3.4536,3.4536,3.3796,2918100.0
2013-04-03,3.3697,3.4388,3.4733,3.3549,5401400.0
2013-04-04,3.3549,3.3697,3.424,3.345,6778100.0
2013-04-05,3.3302,3.3549,3.4042,3.3204,5553300.0
2013-04-08,3.2809,3.3302,3.3302,3.2562,4933300.0
2013-04-10,3.2957,3.2957,3.3697,3.2957,4358500.0
2013-04-11,3.3796,3.3056,3.4141,3.2908,10364900.0
2013-04-12,3.4437,3.4141,3.4684,3.3944,9643500.0
2013-04-15,3.4388,3.4536,3.4635,3.4042,5984700.0
2013-04-16,3.4536,3.4042,3.4931,3.3549,6905400.0
2013-04-17,3.4042,3.4536,3.5276,3.4042,13840400.0
2013-04-18,3.4437,3.4289,3.4536,3.4042,2303700.0
2013-04-19,3.4487,3.4783,3.4783,3.4437,7197500.0
2013-04-22,3.4635,3.4487,3.5079,3.4289,7819700.0
2013-04-23,3.6263,3.4881,3.6509,3.4536,16788600.0
2013-04-24,3.5375,3.6559,3.7003,3.5325,13260000.0
2013-04-25,3.5276,3.5671,3.5671,3.4832,10150300.0
2013-04-26,3.6509,3.5375,3.6756,3.5325,21769900.0
2013-04-29,3.7447,3.7003,3.7891,3.7003,9788300.0
2013-04-30,3.7447,3.7693,3.8187,3.7447,6608100.0
2013-05-02,3.8039,3.7644,3.8335,3.7496,4132600.0
2013-05-03,3.9124,3.8236,3.9174,3.8236,12142900.0
2013-05-06,3.9371,3.9371,3.9519,3.9124,10282400.0
2013-05-07,3.8532,3.947,3.9716,3.8433,6773600.0
2013-05-08,3.9026,3.8729,3.942,3.8729,6214300.0
2013-05-09,4.0062,3.9272,4.0703,3.9223,6482100.0
2013-05-10,4.0999,4.0703,4.1147,4.0308,4011900.0
2013-05-14,4.1838,4.1295,4.2331,4.0999,5634600.0
2013-05-15,4.09,4.2035,4.243,4.09,13665500.0
2013-05-16,4.1986,4.1542,4.243,4.095,11689900.0
2013-05-17,4.1048,4.2183,4.243,4.1048,7779900.0
2013-05-20,4.1492,4.1196,4.1788,4.1196,3495300.0
2013-05-21,4.1196,4.164,4.1788,4.1196,1672900.0
2013-05-22,4.1246,4.1344,4.2331,4.1147,3882800.0
2013-05-23,4.021,4.1443,4.1936,3.9223,7511500.0
2013-05-24,4.0555,4.0259,4.0703,4.021,4220300.0
2013-05-27,3.9963,4.0555,4.0555,3.947,6483500.0
2013-05-28,4.0555,3.9963,4.0703,3.9815,3865500.0
2013-05-29,4.095,4.0999,4.1048,3.9963,2054300.0
2013-05-30,3.942,4.1048,4.1048,3.8828,7428500.0
2013-05-31,4.095,3.942,4.095,3.7743,29915500.0
2013-06-03,3.942,4.0308,4.0308,3.8779,4014500.0
2013-06-04,3.8976,3.947,3.9963,3.7989,3629000.0
2013-06-05,3.8236,3.8976,3.9075,3.8088,2250200.0
2013-06-06,3.8236,3.7989,3.9223,3.5029,13783000.0
2013-06-07,3.8631,3.8828,3.8927,3.7891,3134500.0
2013-06-10,4.021,3.8828,4.021,3.8828,5259000.0
2013-06-11,3.9371,4.021,4.021,3.8483,2894400.0
2013-06-13,3.6016,3.7891,3.7891,3.5276,9712600.0
2013-06-14,3.6411,3.6509,3.7496,3.5967,5411500.0
2013-06-17,3.7249,3.6411,3.7397,3.5523,1538100.0
2013-06-18,3.7891,3.7348,3.8187,3.7348,2661300.0
2013-06-19,3.7743,3.8335,3.8335,3.6509,1768500.0
2013-06-20,3.6016,3.6756,3.72,3.5917,3955000.0
2013-06-21,3.4783,3.572,3.572,3.4783,7549500.0
2013-06-24,3.128,3.4931,3.5424,2.9997,8506600.0
2013-06-25,3.0096,3.128,3.1773,2.8615,11503700.0
2013-06-26,3.2069,3.0836,3.2316,3.0836,7599700.0
2013-06-27,3.3056,3.3006,3.3549,3.2365,5660200.0
2013-06-28,3.1576,3.3845,3.4042,3.1082,4936000.0
2013-07-01,3.3549,3.2069,3.3549,3.202,2199300.0
2013-07-02,3.2957,3.3598,3.4092,3.2562,2696500.0
2013-07-03,3.2464,3.3302,3.3549,3.2316,2133500.0
2013-07-04,3.3302,3.3154,3.3648,3.2957,1028500.0
2013-07-05,3.2908,3.345,3.3549,3.2858,1792200.0
2013-07-08,3.3056,3.3204,3.35,3.2266,2018200.0
2013-07-09,3.3056,3.3154,3.3549,3.2908,951000.0
2013-07-10,3.2069,3.3253,3.3352,3.2069,1846500.0
2013-07-11,3.2858,3.3056,3.3056,3.2858,4645600.0
2013-07-12,3.3253,3.3549,3.4042,3.3204,8554600.0
2013-07-15,3.4437,3.3845,3.5227,3.3746,4738300.0
2013-07-16,3.4585,3.4931,3.5029,3.4042,1630800.0
2013-07-17,3.4635,3.4881,3.4881,3.4141,2786100.0
2013-07-18,3.5375,3.4783,3.5375,3.4733,3030200.0
2013-07-19,3.4635,3.5276,3.5276,3.4437,3301300.0
2013-07-22,3.4487,3.4733,3.5029,3.4437,3017000.0
2013-07-23,3.4585,3.4585,3.4783,3.4437,2691900.0
2013-07-24,3.5276,3.4931,3.5671,3.4635,5419900.0
2013-07-25,3.5325,3.5227,3.5671,3.5079,3388600.0
2013-07-26,3.498,3.5276,3.5325,3.4733,2494600.0
2013-07-29,3.4536,3.498,3.498,3.4339,1657900.0
2013-07-30,3.4487,3.4536,3.4585,3.3993,2640300.0
2013-07-31,3.4289,3.4536,3.4635,3.3549,1717800.0
2013-08-01,3.4339,3.4388,3.4437,3.424,297000.0
2013-08-02,3.345,3.4339,3.4487,3.345,1176100.0
