Date,Close,Open,High,Low,Volume
2017-12-01,3.48,3.55,3.8,3.31,872000.0
2017-12-04,3.54,3.54,3.65,3.33,116000.0
2017-12-05,3.3,3.33,3.64,3.3,251000.0
2017-12-06,3.27,3.3,3.3,3.11,220000.0
2017-12-07,3.2,3.2,3.35,3.2,164000.0
2017-12-08,3.2,3.15,3.27,3.12,101000.0
2017-12-11,3.51,3.1,3.55,3.1,205000.0
2017-12-12,3.45,3.51,3.51,3.32,199000.0
2017-12-13,3.36,3.45,3.47,3.24,344000.0
2017-12-14,3.35,3.33,3.38,3.3,52000.0
2017-12-15,3.38,3.31,3.4,3.22,87000.0
2017-12-18,3.34,3.24,3.37,3.17,81000.0
2017-12-19,3.35,3.32,3.41,3.14,62000.0
2017-12-20,3.36,3.2,3.36,3.2,48000.0
2017-12-21,3.49,3.36,3.55,3.3,165000.0
2017-12-22,3.4,3.44,3.48,3.32,80000.0
2017-12-27,3.34,3.4,3.4,3.34,109000.0
2017-12-28,3.35,3.45,3.45,3.25,33000.0
2017-12-29,3.4,3.27,3.46,3.27,69000.0
2018-01-03,3.45,3.4,3.45,3.39,14000.0
2018-01-04,3.35,3.4,3.43,3.35,66000.0
2018-01-05,3.4,3.42,3.42,3.35,59000.0
2018-01-08,3.3,3.42,3.42,3.2,139000.0
2018-01-09,3.17,3.4,3.4,3.07,526000.0
2018-01-10,3.13,3.08,3.23,3.02,718000.0
2018-01-11,3.1,3.05,3.1,3.03,168000.0
2018-01-12,3.18,3.1,3.2,3.0,282000.0
2018-01-15,3.3,3.07,3.44,3.06,8294000.0
2018-01-16,3.31,3.3,3.31,3.24,166000.0
2018-01-17,3.96,3.35,3.96,3.24,1156000.0
2018-01-18,3.7,3.98,4.45,3.6,1594000.0
2018-01-19,3.83,3.83,4.0,3.6,179000.0
2018-01-22,3.6,3.89,3.89,3.5,280000.0
2018-01-23,3.47,3.55,3.6,3.46,178000.0
2018-01-24,3.38,3.5,3.5,3.22,411000.0
2018-01-25,3.5,3.38,3.57,3.28,282000.0
2018-01-26,3.6,3.5,3.7,3.42,115000.0
2018-01-29,3.6,3.52,3.75,3.51,243000.0
2018-01-30,3.58,3.65,3.65,3.5,212000.0
2018-01-31,3.6,3.55,3.6,3.43,142000.0
2018-02-01,3.59,3.66,3.68,3.5,303000.0
2018-02-02,3.51,3.58,3.58,3.51,25000.0
2018-02-05,3.47,3.47,3.65,3.33,404000.0
2018-02-06,3.57,3.34,3.57,3.21,160000.0
2018-02-07,3.48,3.53,3.57,3.24,176000.0
2018-02-08,3.43,3.48,3.48,3.37,27000.0
2018-02-09,3.79,3.35,3.9,3.3,541000.0
2018-02-12,4.28,3.87,4.46,3.8,2141000.0
2018-02-13,4.0,4.44,4.48,3.88,1172000.0
2018-02-14,3.9,4.09,4.15,3.82,525000.0
2018-02-15,3.94,3.82,4.0,3.78,287000.0
2018-02-19,3.69,3.94,3.94,3.63,487000.0
2018-02-20,3.71,3.65,3.8,3.62,106000.0
2018-02-21,3.7,3.85,3.85,3.6,227000.0
2018-02-22,3.7,3.81,3.87,3.59,112000.0
2018-02-23,3.7,3.7,3.77,3.58,88000.0
2018-02-26,3.75,3.59,3.83,3.57,168000.0
2018-02-27,3.72,3.75,3.84,3.57,118000.0
2018-02-28,3.64,3.75,3.75,3.57,36000.0
2018-03-01,3.57,3.58,3.58,3.56,46000.0
2018-03-02,3.6,3.6,3.67,3.53,711000.0
2018-03-05,3.63,3.5,3.63,3.48,74000.0
2018-03-06,3.49,3.5,3.5,3.4,347000.0
2018-03-07,3.4,3.55,3.55,3.28,381000.0
2018-03-08,3.39,3.4,3.7,3.28,143000.0
2018-03-09,3.5,3.4,3.56,3.35,85000.0
2018-03-12,3.49,3.5,3.6,3.39,36000.0
2018-03-13,3.42,3.37,3.42,3.34,59000.0
2018-03-14,3.53,3.6,3.6,3.36,35000.0
2018-03-15,3.56,3.57,3.57,3.56,5000.0
2018-03-16,3.41,3.58,3.58,3.41,15000.0
2018-03-19,3.41,3.55,3.55,3.38,42000.0
2018-03-20,3.36,3.5,3.5,3.27,62000.0
2018-03-21,3.45,3.49,3.49,3.29,10000.0
2018-03-22,3.39,3.28,3.39,3.26,48000.0
2018-03-23,3.4,3.4,3.4,3.4,1000.0
2018-03-26,3.49,3.49,3.49,3.49,2000.0
2018-03-27,3.47,3.4,3.47,3.4,17000.0
2018-04-02,3.38,3.47,3.47,3.25,11000.0
2018-04-03,3.39,3.39,3.39,3.39,1000.0
2018-04-04,3.39,3.26,3.39,3.26,15000.0
2018-04-05,3.39,3.43,3.43,3.39,2000.0
2018-04-06,3.5,3.43,3.57,3.33,175000.0
2018-04-10,3.49,3.4,3.5,3.3,40000.0
2018-04-12,3.4,3.39,3.4,3.32,12000.0
2018-04-13,3.4,3.32,3.4,3.31,22000.0
2018-04-16,3.47,3.47,3.47,3.47,1000.0
2018-04-18,3.4,3.3,3.4,3.3,17000.0
2018-04-19,3.4,3.26,3.4,3.2,49000.0
2018-04-20,3.4,3.4,3.4,3.4,1000.0
2018-04-23,3.47,3.47,3.47,3.4,43000.0
2018-04-24,3.5,3.25,3.5,3.25,30000.0
2018-04-26,3.48,3.47,3.53,3.3,62000.0
2018-04-30,3.42,3.44,3.44,3.28,62000.0
2018-05-02,3.44,3.3,3.45,3.3,38000.0
2018-05-03,3.42,3.43,3.43,3.33,3000.0
2018-05-04,3.49,3.42,3.58,3.34,154000.0
2018-05-07,3.54,3.36,3.64,3.36,189000.0
2018-05-08,3.52,3.54,3.54,3.46,28000.0
2018-05-09,3.46,3.52,3.52,3.41,72000.0
2018-05-10,3.51,3.45,3.51,3.45,6000.0
2018-05-11,3.64,3.53,3.68,3.51,184000.0
2018-05-15,3.89,3.6,3.99,3.6,543000.0
2018-05-16,3.88,3.89,4.02,3.7,528000.0
2018-05-17,3.8,3.72,3.85,3.7,213000.0
2018-05-18,3.76,3.79,3.79,3.62,75000.0
2018-05-21,3.78,3.75,3.8,3.62,82000.0
2018-05-22,3.76,3.66,3.76,3.65,10000.0
2018-05-23,3.73,3.64,3.73,3.55,175000.0
2018-05-25,3.75,3.77,3.77,3.58,20000.0
2018-05-28,3.74,3.74,3.74,3.57,43000.0
2018-05-29,3.72,3.77,3.77,3.58,40000.0
2018-05-30,3.62,3.62,3.62,3.62,1000.0
2018-05-31,3.6,3.57,3.68,3.55,187000.0
2018-06-01,3.58,3.52,3.58,3.52,3000.0
2018-06-04,3.59,3.51,3.59,3.51,4000.0
2018-06-05,3.6,3.51,3.6,3.5,59000.0
2018-06-06,3.6,3.53,3.6,3.52,32000.0
2018-06-07,3.59,3.55,3.65,3.5,95000.0
2018-06-08,3.5,3.51,3.51,3.5,56000.0
2018-06-11,3.6,3.55,3.6,3.55,65000.0
2018-06-13,3.65,3.62,3.65,3.5,28000.0
2018-06-14,3.58,3.45,3.65,3.45,6000.0
2018-06-18,3.46,3.64,3.64,3.46,36000.0
2018-06-19,3.67,3.58,3.68,3.47,107000.0
2018-06-20,3.78,3.67,3.86,3.6,274000.0
2018-06-21,3.74,3.78,3.78,3.51,48000.0
2018-06-22,3.69,3.49,3.69,3.49,30000.0
2018-06-25,3.55,3.49,3.55,3.47,72000.0
2018-06-26,3.54,3.46,3.54,3.46,9000.0
2018-06-27,3.58,3.54,3.58,3.47,68000.0
2018-06-28,3.54,3.5,3.54,3.5,9000.0
2018-07-02,3.58,3.53,3.58,3.5,42000.0
2018-07-03,3.53,3.45,3.57,3.38,87000.0
2018-07-04,3.51,3.43,3.52,3.43,19000.0
2018-07-05,3.41,3.41,3.41,3.41,1000.0
2018-07-06,3.52,3.41,3.54,3.39,61000.0
2018-07-09,3.52,3.4,3.52,3.39,22000.0
2018-07-10,3.52,3.38,3.52,3.38,65000.0
2018-07-11,3.55,3.52,3.55,3.41,12000.0
2018-07-12,3.55,3.55,3.55,3.55,1000.0
2018-07-16,3.55,3.42,3.55,3.42,105000.0
2018-07-17,3.55,3.44,3.55,3.44,133000.0
2018-07-18,3.54,3.47,3.54,3.47,141000.0
2018-07-19,3.67,3.47,3.8,3.44,290000.0
2018-07-20,3.65,3.66,3.7,3.45,394000.0
2018-07-23,3.64,3.65,3.72,3.55,114000.0
2018-07-24,3.5,3.5,3.53,3.5,26000.0
2018-07-25,3.59,3.47,3.61,3.46,177000.0
2018-07-26,4.11,4.21,4.6,3.95,7347000.0
2018-07-27,3.99,4.0,4.15,3.88,884000.0
2018-07-30,3.8,3.88,3.9,3.8,494000.0
2018-07-31,3.86,3.76,3.99,3.72,317000.0
2018-08-01,3.88,3.74,4.06,3.71,930000.0
2018-08-02,3.9,3.87,3.92,3.76,243000.0
2018-08-03,3.86,3.9,3.9,3.8,244000.0
2018-08-06,3.81,3.89,3.89,3.72,157000.0
2018-08-07,3.83,3.73,3.84,3.73,79000.0
2018-08-08,3.67,3.74,3.82,3.67,220000.0
2018-08-09,3.73,3.76,3.76,3.64,269000.0
2018-08-10,3.78,3.67,3.78,3.67,134000.0
2018-08-13,3.8,3.77,3.82,3.7,107000.0
2018-08-14,3.83,3.8,3.87,3.73,180000.0
2018-08-15,3.82,3.83,3.83,3.77,148000.0
2018-08-16,4.05,3.82,4.15,3.76,478000.0
2018-08-17,3.99,4.05,4.14,3.93,609000.0
2018-08-20,3.89,3.89,4.0,3.86,79000.0
2018-08-22,3.86,4.0,4.0,3.81,93000.0
2018-08-23,4.08,3.82,4.1,3.82,443000.0
2018-08-24,4.12,4.08,4.15,4.01,189000.0
2018-08-28,4.08,4.12,4.12,4.02,128000.0
2018-08-29,3.99,4.08,4.2,3.98,461000.0
2018-08-30,4.05,4.0,4.06,3.98,91000.0
2018-08-31,4.18,4.07,4.2,4.0,167000.0
2018-09-03,4.17,4.19,4.2,4.01,208000.0
2018-09-04,4.12,4.03,4.17,4.03,212000.0
2018-09-05,4.03,4.05,4.15,4.03,314000.0
2018-09-06,4.07,4.0,4.1,3.94,285000.0
2018-09-07,4.07,4.1,4.1,4.0,168000.0
2018-09-10,4.06,4.06,4.07,3.96,160000.0
2018-09-11,4.1,4.06,4.12,3.97,342000.0
2018-09-12,4.11,4.0,4.11,4.0,551000.0
2018-09-13,4.24,4.11,4.35,4.05,417000.0
2018-09-14,4.19,4.31,4.4,4.19,313000.0
2018-09-17,4.27,4.2,4.35,4.13,93000.0
2018-09-18,4.29,4.28,4.36,4.15,117000.0
2018-09-19,4.28,4.3,4.3,4.2,271000.0
2018-09-20,4.24,4.28,4.28,4.1,329000.0
2018-09-21,4.24,4.24,4.24,4.15,26000.0
2018-09-24,4.4,4.24,4.43,4.17,214000.0
2018-09-25,4.44,4.39,4.46,4.28,238000.0
2018-09-26,4.5,4.46,4.75,4.46,1354000.0
2018-09-27,4.35,4.5,4.59,4.35,322000.0
2018-09-28,4.3,4.26,4.3,4.25,137000.0
2018-10-01,4.2,4.29,4.3,4.05,340000.0
2018-10-02,4.3,4.07,4.3,4.07,179000.0
2018-10-03,4.28,4.25,4.3,4.2,55000.0
2018-10-04,4.27,4.3,4.3,4.21,63000.0
2018-10-05,4.27,4.29,4.29,4.21,84000.0
2018-10-08,4.25,4.15,4.25,4.12,38000.0
2018-10-09,4.22,4.26,4.26,4.13,49000.0
2018-10-10,4.17,4.13,4.17,4.13,28000.0
2018-10-11,3.99,4.1,4.1,3.71,173000.0
2018-10-12,4.0,3.99,4.0,3.6,49000.0
2018-10-15,4.1,4.0,4.1,4.0,53000.0
2018-10-16,4.19,4.1,4.2,4.1,5000.0
2018-10-17,4.04,4.16,4.17,3.95,139000.0
2018-10-18,4.0,4.09,4.09,3.88,37000.0
2018-10-19,4.1,4.1,4.1,4.1,1000.0
2018-10-22,4.2,4.1,4.2,4.1,13000.0
2018-10-23,4.13,4.01,4.18,4.01,53000.0
2018-10-24,4.11,3.88,4.11,3.88,11000.0
2018-10-25,4.1,4.12,4.12,3.91,4000.0
2018-10-26,3.9,3.91,4.08,3.8,116000.0
2018-10-29,3.98,3.97,4.09,3.7,176000.0
2018-10-30,3.98,3.99,3.99,3.8,37000.0
2018-10-31,4.0,3.97,4.0,3.9,254000.0
2018-11-05,4.0,4.05,4.05,3.84,20000.0
2018-11-06,4.0,3.85,4.0,3.85,7000.0
2018-11-07,3.95,4.0,4.0,3.81,23000.0
2018-11-08,3.93,3.97,3.97,3.8,82000.0
2018-11-09,4.0,3.93,4.05,3.85,123000.0
2018-11-12,4.0,3.9,4.0,3.86,14000.0
2018-11-13,3.97,3.87,3.97,3.87,12000.0
2018-11-14,3.96,3.96,3.96,3.88,33000.0
2018-11-15,3.97,3.88,3.97,3.86,8000.0
