Date,Close,Open,High,Low,Volume
2021-08-12,7.02,6.97,7.14,6.96,29690200.0
2021-08-13,7.16,7.05,7.18,7.03,4225900.0
2021-08-16,7.4,7.2,7.58,7.2,11781600.0
2021-08-17,7.4,7.45,7.49,7.37,5917600.0
2021-08-18,7.31,7.4,7.4,7.28,1544700.0
2021-08-19,7.3,7.35,7.4,7.27,3904400.0
2021-08-20,7.3,7.35,7.4,7.3,2207400.0
2021-08-23,7.15,7.32,7.32,7.1,10103700.0
2021-08-24,7.14,7.2,7.25,7.14,4666900.0
2021-08-25,7.2,7.15,7.23,7.15,2104900.0
2021-08-26,7.25,7.25,7.34,7.16,1426000.0
2021-08-27,7.19,7.25,7.27,7.18,1303000.0
2021-08-31,7.06,7.18,7.18,7.06,8437500.0
2021-09-01,7.18,7.2,7.26,7.14,4126200.0
2021-09-02,7.16,7.19,7.2,7.14,4932200.0
2021-09-03,7.19,7.2,7.21,7.18,7145500.0
2021-09-06,7.24,7.23,7.24,7.18,2926000.0
2021-09-07,7.25,7.25,7.27,7.23,2043300.0
2021-09-08,7.26,7.27,7.32,7.26,5284400.0
2021-09-09,7.26,7.3,7.32,7.24,6735500.0
2021-09-10,7.21,7.26,7.27,7.14,3870000.0
2021-09-13,7.24,7.21,7.24,7.19,1273100.0
2021-09-14,7.24,7.23,7.24,7.2,2357300.0
2021-09-15,7.25,7.25,7.26,7.22,2650900.0
2021-09-16,7.21,7.24,7.27,7.21,22598100.0
2021-09-17,7.23,7.25,7.25,7.19,8457600.0
2021-09-20,7.19,7.22,7.23,7.17,14463200.0
2021-09-21,7.19,7.2,7.2,7.15,2621700.0
2021-09-22,7.19,7.2,7.21,7.18,2287000.0
2021-09-23,7.21,7.22,7.25,7.2,2000600.0
2021-09-24,7.21,7.21,7.23,7.19,4633600.0
2021-09-27,7.2,7.22,7.28,7.19,6089500.0
2021-09-28,7.2,7.25,7.25,7.2,3482600.0
2021-09-29,7.2,7.22,7.23,7.2,3606900.0
2021-09-30,7.22,7.21,7.22,7.21,3633000.0
2021-10-01,7.32,7.24,7.45,7.24,7210300.0
2021-10-04,7.46,7.42,7.49,7.39,5760800.0
2021-10-05,7.45,7.47,7.47,7.4,2487600.0
2021-10-06,7.42,7.44,7.46,7.42,3242100.0
2021-10-07,7.25,7.4,7.41,7.25,4428700.0
2021-10-08,7.3,7.33,7.35,7.25,1409800.0
2021-10-11,7.3,7.3,7.41,7.28,2630400.0
2021-10-12,7.35,7.32,7.4,7.3,3950900.0
2021-10-13,7.35,7.4,7.4,7.34,3440000.0
2021-10-14,7.37,7.39,7.4,7.36,3813400.0
2021-10-15,7.4,7.37,7.4,7.35,6388800.0
2021-10-18,7.41,7.4,7.42,7.38,3270100.0
2021-10-19,7.4,7.4,7.41,7.39,5943800.0
2021-10-20,7.31,7.4,7.4,7.31,2886300.0
2021-10-21,7.31,7.32,7.4,7.3,1562100.0
2021-10-22,7.32,7.31,7.4,7.3,2322300.0
2021-10-25,7.31,7.31,7.38,7.3,2488900.0
2021-10-26,7.3,7.32,7.35,7.3,1510800.0
2021-10-27,7.37,7.3,7.4,7.3,1177800.0
2021-10-28,7.4,7.28,7.44,7.28,2675900.0
2021-10-29,7.4,7.45,7.45,7.38,1645900.0
2021-11-02,7.4,7.4,7.4,7.3,3265700.0
2021-11-03,7.4,7.4,7.4,7.36,1087900.0
2021-11-04,7.41,7.4,7.42,7.36,2330000.0
2021-11-05,7.35,7.36,7.41,7.35,2097200.0
2021-11-08,7.34,7.4,7.4,7.34,1037000.0
2021-11-09,7.39,7.35,7.39,7.33,1893500.0
2021-11-10,7.36,7.39,7.39,7.34,1479900.0
2021-11-11,7.4,7.36,7.4,7.34,3873600.0
2021-11-12,7.68,7.4,7.7,7.4,9675300.0
2021-11-15,7.7,7.7,7.75,7.69,5165700.0
2021-11-16,7.73,7.7,7.75,7.69,3378800.0
2021-11-17,7.7,7.73,7.74,7.69,3772000.0
2021-11-18,7.98,7.7,7.98,7.68,3370200.0
2021-11-19,7.97,7.93,7.99,7.85,9538900.0
2021-11-22,7.85,7.9,7.96,7.85,4593700.0
2021-11-23,7.94,7.94,7.94,7.93,3184900.0
2021-11-24,7.94,7.94,7.95,7.92,4514600.0
2021-11-25,7.92,7.94,7.95,7.85,4132200.0
2021-11-26,7.93,7.93,7.94,7.88,6584000.0
2021-11-29,7.65,7.85,7.85,7.47,30855300.0
2021-12-01,7.56,7.83,7.83,7.45,9968400.0
2021-12-02,7.57,7.56,7.57,7.46,3705600.0
2021-12-03,7.72,7.6,7.73,7.59,5651900.0
2021-12-06,7.75,7.72,7.77,7.69,6831900.0
2021-12-07,7.59,7.77,7.77,7.56,6065000.0
2021-12-09,7.55,7.59,7.6,7.55,1731300.0
2021-12-10,7.57,7.6,7.6,7.5,3340600.0
2021-12-13,7.58,7.6,7.6,7.51,3414200.0
2021-12-14,7.54,7.55,7.57,7.53,23388900.0
2021-12-15,7.42,7.51,7.53,7.42,4103700.0
2021-12-16,7.4,7.42,7.44,7.3,6069000.0
2021-12-17,7.2,7.4,7.4,7.2,13515900.0
2021-12-20,7.31,7.39,7.39,7.26,1156100.0
2021-12-21,7.4,7.39,7.4,7.34,4963000.0
2021-12-22,7.4,7.4,7.41,7.4,4166100.0
2021-12-23,7.4,7.39,7.45,7.39,7629800.0
2021-12-24,7.4,7.4,7.44,7.39,184500.0
2021-12-27,7.35,7.4,7.4,7.34,825200.0
2021-12-28,7.39,7.39,7.4,7.35,962400.0
2021-12-29,7.4,7.39,7.43,7.35,5878700.0
2021-12-31,7.4,7.4,7.41,7.36,865700.0
2022-01-03,7.4,7.35,7.4,7.35,5062700.0
2022-01-05,7.4,7.4,7.4,7.38,3199200.0
2022-01-06,7.45,7.4,7.45,7.4,2118400.0
2022-01-07,7.5,7.45,7.51,7.45,4394300.0
2022-01-10,7.6,7.5,7.6,7.5,5663500.0
2022-01-11,7.7,7.65,7.7,7.65,524100.0
2022-01-12,7.75,7.7,7.8,7.68,1752400.0
2022-01-13,7.75,7.75,7.85,7.75,4152900.0
2022-01-14,7.8,7.74,7.8,7.74,3881100.0
2022-01-17,7.85,7.84,7.86,7.8,14869700.0
2022-01-18,7.7,7.85,7.85,7.6,3834000.0
2022-01-19,7.55,7.7,7.7,7.55,3737600.0
2022-01-20,7.6,7.59,7.69,7.55,2851100.0
2022-01-21,7.64,7.6,7.65,7.6,1314800.0
2022-01-24,7.78,7.65,7.8,7.65,1807400.0
2022-01-25,7.75,7.78,7.78,7.72,2044100.0
2022-01-26,7.6,7.75,7.77,7.6,2572500.0
2022-01-27,7.59,7.6,7.74,7.59,1850100.0
2022-01-28,7.54,7.59,7.67,7.49,8866900.0
2022-01-31,7.61,7.58,7.63,7.58,1399200.0
2022-02-02,7.52,7.61,7.61,7.51,2388700.0
2022-02-03,7.5,7.52,7.6,7.5,5743600.0
2022-02-04,7.51,7.5,7.6,7.5,3272300.0
2022-02-07,7.51,7.51,7.6,7.51,3741700.0
2022-02-08,7.57,7.51,7.59,7.51,1629000.0
2022-02-09,7.5,7.59,7.59,7.5,4657700.0
2022-02-10,7.53,7.5,7.55,7.5,2073500.0
2022-02-11,7.51,7.5,7.54,7.5,5609700.0
2022-02-14,7.45,7.5,7.51,7.43,1315700.0
2022-02-15,7.43,7.45,7.45,7.41,322200.0
2022-02-16,7.43,7.45,7.51,7.43,2384500.0
2022-02-17,7.5,7.51,7.51,7.46,5920000.0
2022-02-18,7.53,7.51,7.54,7.5,3652400.0
2022-02-21,7.55,7.52,7.58,7.5,8152800.0
2022-02-22,7.55,7.55,7.55,7.49,7351100.0
2022-02-23,7.52,7.55,7.55,7.49,2477100.0
2022-02-24,7.39,7.48,7.49,7.18,1851200.0
2022-02-28,7.55,7.31,7.6,7.29,6444800.0
2022-03-01,7.51,7.55,7.55,7.45,8965900.0
2022-03-02,7.4,7.53,7.53,7.4,615800.0
2022-03-03,7.42,7.45,7.48,7.38,778900.0
2022-03-04,7.4,7.42,7.42,7.36,2568200.0
2022-03-07,7.2,7.36,7.4,7.2,3974300.0
2022-03-08,7.15,7.22,7.3,7.0,4536300.0
2022-03-09,7.13,7.15,7.2,6.98,2667000.0
2022-03-10,7.35,7.15,7.44,7.15,1181400.0
2022-03-11,7.12,7.35,7.35,7.07,2497000.0
2022-03-14,7.07,7.15,7.2,7.05,2900200.0
2022-03-15,7.07,7.07,7.1,7.0,3935400.0
2022-03-16,7.1,7.08,7.24,7.08,775100.0
2022-03-17,7.15,7.11,7.2,7.1,1591700.0
2022-03-18,7.13,7.15,7.16,7.13,1220900.0
2022-03-21,7.14,7.13,7.19,7.13,647400.0
2022-03-22,7.12,7.14,7.19,7.1,1676600.0
2022-03-23,7.12,7.12,7.17,7.12,671000.0
2022-03-24,7.15,7.12,7.16,7.1,3123600.0
2022-03-25,7.16,7.16,7.19,7.14,6574300.0
2022-03-28,7.3,7.18,7.3,7.18,993900.0
2022-03-29,7.19,7.3,7.3,7.18,769500.0
2022-03-30,7.2,7.24,7.3,7.18,10171000.0
2022-03-31,7.1,7.2,7.21,7.1,1205700.0
2022-04-01,7.19,7.11,7.26,7.11,897800.0
2022-04-04,7.2,7.19,7.24,7.18,2385500.0
2022-04-05,7.2,7.2,7.29,7.13,1396500.0
2022-04-06,7.2,7.2,7.24,7.11,2765100.0
2022-04-07,7.3,7.2,7.37,7.2,1942100.0
2022-04-08,7.37,7.38,7.38,7.35,3213900.0
2022-04-11,7.33,7.37,7.37,7.23,131900.0
2022-04-12,7.31,7.33,7.35,7.27,391700.0
2022-04-13,7.32,7.37,7.37,7.31,398800.0
2022-04-18,7.35,7.32,7.35,7.3,427700.0
2022-04-19,7.35,7.35,7.36,7.34,1230400.0
2022-04-20,7.33,7.35,7.35,7.33,5678100.0
2022-04-21,7.34,7.36,7.36,7.34,1639100.0
2022-04-22,7.37,7.35,7.38,7.33,2157500.0
2022-04-25,7.33,7.37,7.37,7.33,2840300.0
2022-04-26,7.35,7.35,7.37,7.33,2659500.0
2022-04-27,7.35,7.36,7.36,7.33,755600.0
2022-04-28,7.4,7.36,7.4,7.34,2124100.0
2022-04-29,7.31,7.4,7.4,7.3,2552900.0
2022-05-02,7.35,7.31,7.36,7.31,715900.0
2022-05-04,7.32,7.3,7.34,7.25,763000.0
2022-05-05,7.31,7.3,7.33,7.3,213700.0
2022-05-06,7.31,7.31,7.32,7.28,1066400.0
2022-05-10,7.13,7.18,7.18,7.07,2585300.0
2022-05-11,7.1,7.13,7.13,7.1,646400.0
2022-05-12,7.33,7.1,7.33,7.09,781500.0
2022-05-13,7.24,7.33,7.33,7.2,157400.0
2022-05-16,7.24,7.29,7.29,7.13,247600.0
2022-05-17,7.25,7.25,7.26,7.24,458300.0
2022-05-18,7.33,7.3,7.37,7.25,1157800.0
2022-05-19,7.32,7.33,7.35,7.32,2191000.0
2022-05-20,7.39,7.33,7.4,7.33,922600.0
2022-05-23,7.35,7.39,7.4,7.35,132100.0
2022-05-24,7.38,7.35,7.43,7.34,1366200.0
2022-05-25,7.33,7.39,7.5,7.33,3603200.0
2022-05-26,7.33,7.33,7.39,7.33,1087100.0
2022-05-27,7.34,7.33,7.34,7.32,3131100.0
2022-05-30,7.33,7.34,7.38,7.3,1878700.0
