Date,Close,Open,High,Low,Volume
1993-10-25,0.9217,0.9572,0.9572,0.8863,36181000.0
1993-10-26,0.9335,0.9217,0.9454,0.9099,18142000.0
1993-10-27,0.9099,0.9335,0.9454,0.8981,8755000.0
1993-10-28,0.8981,0.9099,0.9217,0.8745,5135000.0
1993-10-29,0.9217,0.8981,0.9572,0.8863,16383000.0
1993-11-03,0.9572,0.9454,0.969,0.9335,17605000.0
1993-11-04,1.0045,0.9572,1.0281,0.9572,21058000.0
1993-11-05,0.9808,1.0045,1.0281,0.969,12053000.0
1993-11-08,0.969,0.9454,0.9808,0.8981,7531000.0
1993-11-09,0.9335,0.9808,0.9808,0.9335,3229000.0
1993-11-10,0.9454,0.9454,0.969,0.9335,4236000.0
1993-11-11,0.9926,0.9572,1.0163,0.9572,7797000.0
1993-11-12,1.0399,1.0281,1.0517,1.0045,16748000.0
1993-11-15,1.0517,1.0635,1.0754,1.0399,4124000.0
1993-11-16,1.1344,1.0517,1.1463,1.0399,4881000.0
1993-11-17,1.2999,1.1581,1.2999,1.1581,28541000.0
1993-11-18,1.2112,1.2703,1.2999,1.1817,7073500.0
1993-11-19,1.2408,1.2112,1.2408,1.2112,8120500.0
1993-11-23,1.1817,1.2112,1.2112,1.1344,5082000.0
1993-11-24,1.1463,1.1581,1.1699,1.1226,4502000.0
1993-11-25,1.1699,1.1463,1.1699,1.1108,9187000.0
1993-11-26,1.1581,1.1699,1.1817,1.1463,2466000.0
1993-11-29,1.1108,1.1581,1.1581,1.099,5163000.0
1993-12-01,1.1226,1.1226,1.1344,1.0872,3885000.0
1993-12-02,1.1817,1.1344,1.2112,1.1226,5751000.0
1993-12-03,1.1699,1.2112,1.2112,1.1581,3163000.0
1993-12-07,1.1699,1.1817,1.2112,1.1581,5554000.0
1993-12-08,1.1581,1.1817,1.2112,1.1463,3366000.0
1993-12-09,1.1463,1.1699,1.1699,1.1463,2039000.0
1993-12-10,1.1344,1.1463,1.1581,1.1226,2270000.0
1993-12-13,1.1699,1.1581,1.1817,1.1226,5651000.0
1993-12-14,1.1699,1.1817,1.2112,1.1581,3191000.0
1993-12-15,1.1699,1.1699,1.1817,1.1463,3005000.0
1993-12-16,1.2703,1.1817,1.2703,1.1817,11328000.0
1993-12-17,1.3294,1.3294,1.3885,1.2999,12340000.0
1993-12-20,1.4771,1.359,1.5362,1.359,8477800.0
1993-12-21,1.3885,1.5067,1.5362,1.3885,5953000.0
1993-12-22,1.4771,1.418,1.5067,1.359,4893000.0
1993-12-23,1.5067,1.5362,1.5658,1.4771,3518000.0
1993-12-27,1.4771,1.5362,1.5658,1.418,3048600.0
1993-12-28,1.4476,1.5362,1.5658,1.418,2504500.0
1993-12-29,1.4476,1.4771,1.5362,1.418,4389500.0
1994-01-04,1.418,1.4476,1.4771,1.418,2183000.0
1994-01-05,1.3885,1.418,1.4476,1.359,2238000.0
1994-01-06,1.7726,1.5362,1.8021,1.3885,11270000.0
1994-01-07,1.6839,1.8316,1.8907,1.6544,11198000.0
1994-01-10,1.6839,1.6839,1.7135,1.5953,9369000.0
1994-01-11,1.6544,1.7135,1.7726,1.6248,3655000.0
1994-01-12,1.5067,1.6544,1.6544,1.5067,3174500.0
1994-01-13,1.4771,1.5067,1.5362,1.4476,2810100.0
1994-01-14,1.4771,1.4771,1.5658,1.418,5693000.0
1994-01-17,1.5067,1.5067,1.5362,1.4476,4946500.0
1994-01-18,1.5362,1.5067,1.5362,1.4476,2901000.0
1994-01-19,1.5658,1.5658,1.5658,1.5067,2951500.0
1994-01-20,1.6544,1.5953,1.6544,1.5953,4440500.0
1994-01-21,1.6248,1.6544,1.6544,1.5658,2908500.0
1994-01-24,1.6248,1.5953,1.6248,1.5658,2815500.0
1994-01-25,1.6544,1.6248,1.6544,1.5658,5274000.0
1994-01-26,1.4771,1.6248,1.6248,1.4771,2907000.0
1994-01-27,1.5067,1.4771,1.5362,1.4771,7706000.0
1994-01-28,1.3885,1.5067,1.5067,1.359,4263500.0
1994-01-31,1.418,1.2999,1.418,1.2112,7741500.0
1994-02-01,1.2408,1.359,1.359,1.2112,3970500.0
1994-02-02,1.359,1.2703,1.359,1.2703,4832500.0
1994-02-03,1.3294,1.3885,1.3885,1.2999,4688000.0
1994-02-04,1.359,1.3294,1.359,1.2999,1069500.0
1994-02-07,1.2999,1.3294,1.3294,1.2999,1387000.0
1994-02-08,1.359,1.359,1.3885,1.3294,1929000.0
1994-02-09,1.4476,1.359,1.4771,1.359,2743500.0
1994-02-10,1.4476,1.4771,1.5067,1.4476,2760500.0
1994-02-11,1.5953,1.4771,1.6248,1.4771,5369000.0
1994-02-14,1.5067,1.5953,1.6544,1.4771,3692000.0
1994-02-15,1.5067,1.4771,1.5067,1.4476,4285500.0
1994-02-16,1.4476,1.5362,1.5362,1.418,4335000.0
1994-02-17,1.4771,1.4771,1.5067,1.4476,1418000.0
1994-02-18,1.4476,1.4771,1.5067,1.4476,1604500.0
1994-02-21,1.418,1.4476,1.4771,1.3885,1793500.0
1994-02-22,1.3885,1.418,1.4476,1.3885,1709000.0
1994-02-23,1.418,1.4476,1.4476,1.3885,2040500.0
1994-02-24,1.3885,1.418,1.418,1.359,1674500.0
1994-02-28,1.2999,1.3885,1.3885,1.2703,1497000.0
1994-03-01,1.2703,1.2999,1.2999,1.2112,3967000.0
1994-03-02,1.2112,1.2112,1.2408,1.1699,5005000.0
1994-03-03,1.1581,1.2112,1.2112,1.1463,6587500.0
1994-03-04,1.099,1.1581,1.1581,1.0872,4007500.0
1994-03-07,1.1344,1.099,1.1463,1.099,1189000.0
1994-03-08,1.0517,1.1581,1.1581,1.0281,2445000.0
1994-03-09,1.0045,1.0281,1.0517,0.969,7144500.0
1994-03-10,1.0635,1.0045,1.0754,0.9926,7192500.0
1994-03-11,1.0635,1.0754,1.0754,1.0517,4191500.0
1994-03-14,1.1463,1.0872,1.1699,1.0872,3514000.0
1994-03-15,1.1226,1.1699,1.1699,1.0872,8132000.0
1994-03-16,1.1108,1.099,1.1226,1.0754,4210000.0
1994-03-17,1.1226,1.1108,1.1344,1.1108,4820500.0
1994-03-18,1.0399,1.1226,1.1226,1.0163,9752000.0
1994-03-21,0.9808,1.0163,1.0281,0.969,11196000.0
1994-03-22,0.9749,0.8863,0.9926,0.8686,7158000.0
1994-03-23,0.9926,1.0104,1.0104,0.9572,5441500.0
1994-03-24,1.0458,0.9926,1.0458,0.9926,3082000.0
1994-03-25,1.0458,1.0104,1.0635,0.9926,3192500.0
1994-03-28,1.1876,1.0458,1.1876,1.0458,3659500.0
1994-03-29,1.1344,1.1876,1.1876,1.1344,3781000.0
1994-03-30,1.1167,1.1167,1.1344,1.1167,3001000.0
1994-04-04,1.1167,1.1344,1.1344,1.099,1037000.0
1994-04-05,1.1167,1.099,1.1167,1.099,1050000.0
1994-04-06,1.1522,1.1167,1.1876,1.1167,4079000.0
1994-04-07,1.099,1.1699,1.1699,1.099,2485000.0
1994-04-08,1.0813,1.099,1.1167,1.0813,1073000.0
1994-04-11,1.0813,1.0813,1.099,1.0813,1421000.0
1994-04-12,1.099,1.099,1.099,1.0813,1973000.0
1994-04-13,1.099,1.099,1.1167,1.099,2581000.0
1994-04-14,1.1167,1.0813,1.1344,1.0813,4945000.0
1994-04-15,1.1344,1.1344,1.1522,1.1167,2956000.0
1994-04-18,1.2053,1.1522,1.2231,1.1522,5490000.0
1994-04-19,1.294,1.1876,1.3117,1.1699,5963000.0
1994-04-20,1.2762,1.2585,1.294,1.2408,4867000.0
1994-04-21,1.2231,1.2408,1.2585,1.2231,3029000.0
1994-04-22,1.2231,1.2408,1.2585,1.2231,2253000.0
1994-04-25,1.2231,1.2408,1.2585,1.2231,3079000.0
1994-04-26,1.2408,1.2585,1.2585,1.2408,3963000.0
1994-04-27,1.2231,1.2408,1.2585,1.2053,1708000.0
1994-04-28,1.3117,1.2231,1.3117,1.2231,6023000.0
1994-04-29,1.3294,1.3117,1.3649,1.3117,11305000.0
1994-05-02,1.3471,1.3471,1.3471,1.3294,2939000.0
1994-05-03,1.3294,1.3471,1.3471,1.3294,2072000.0
1994-05-04,1.3117,1.3294,1.3294,1.294,2988000.0
1994-05-05,1.3117,1.3294,1.3471,1.294,2033000.0
1994-05-06,1.2762,1.3117,1.3117,1.2762,1062000.0
1994-05-10,1.2408,1.2585,1.294,1.2231,1860000.0
1994-05-11,1.2762,1.2585,1.2762,1.2408,1318000.0
1994-05-12,1.2408,1.2762,1.2762,1.2408,1059000.0
1994-05-13,1.2585,1.2408,1.2585,1.2408,1250000.0
1994-05-16,1.2585,1.2585,1.2585,1.2408,1228000.0
1994-05-17,1.2408,1.2585,1.3294,1.2408,6531000.0
1994-05-18,1.2231,1.2408,1.2585,1.2053,2758000.0
1994-05-19,1.1344,1.2231,1.2231,1.1167,1548000.0
1994-05-20,1.1876,1.1344,1.2053,1.1344,3360000.0
1994-05-23,1.2408,1.1699,1.2408,1.1699,4166000.0
1994-05-24,1.2231,1.2408,1.2408,1.2053,2989000.0
1994-05-25,1.2053,1.2053,1.2231,1.1699,1358000.0
1994-05-26,1.1876,1.2053,1.2053,1.1876,950000.0
1994-05-27,1.2053,1.2053,1.2231,1.1876,1057000.0
1994-05-30,1.1876,1.2053,1.2053,1.1699,769500.0
1994-05-31,1.1876,1.1876,1.1876,1.1699,1435000.0
1994-06-01,1.2053,1.1699,1.2231,1.1522,1308000.0
1994-06-02,1.2585,1.2231,1.2762,1.2231,5245000.0
1994-06-03,1.2408,1.2408,1.294,1.2408,3617000.0
1994-06-06,1.2408,1.2408,1.2408,1.2231,1751000.0
1994-06-07,1.2231,1.2231,1.2408,1.2053,1833000.0
1994-06-08,1.2053,1.2231,1.2408,1.2053,1036000.0
1994-06-09,1.2408,1.2231,1.2408,1.2053,1417000.0
1994-06-10,1.2053,1.2231,1.2408,1.2053,1345000.0
1994-06-13,1.2053,1.2053,1.2231,1.2053,732000.0
1994-06-14,1.2053,1.2231,1.2231,1.2053,1526000.0
1994-06-15,1.2231,1.2053,1.2408,1.2053,819000.0
1994-06-16,1.2231,1.2231,1.2231,1.2053,720000.0
1994-06-17,1.1876,1.2053,1.2053,1.1876,789000.0
1994-06-20,1.2053,1.1876,1.2053,1.1876,637000.0
1994-06-21,1.1699,1.1876,1.2053,1.1699,613000.0
1994-06-22,1.1522,1.1699,1.1699,1.1522,1016000.0
1994-06-23,1.1522,1.1699,1.1699,1.1522,82000.0
1994-06-24,1.1344,1.1522,1.1699,1.1167,76400.0
1994-06-27,1.0813,1.1522,1.1522,1.0813,807000.0
1994-06-28,1.0458,1.099,1.1167,1.0458,527000.0
1994-06-29,1.0635,1.0635,1.0813,1.0458,2461000.0
1994-06-30,1.099,1.0635,1.1167,1.0635,2106000.0
1994-07-01,1.099,1.1167,1.1167,1.0813,1335000.0
1994-07-04,1.0813,1.099,1.099,1.0813,356000.0
1994-07-05,1.0813,1.0813,1.0813,1.0635,1009000.0
1994-07-06,1.0635,1.0813,1.0813,1.0635,561000.0
1994-07-07,1.0281,1.0635,1.0635,1.0281,557000.0
1994-07-08,1.0281,1.0458,1.0635,0.9926,1414000.0
1994-07-11,0.9926,1.0281,1.0281,0.9749,677000.0
1994-07-12,0.9926,0.9749,1.0104,0.9749,367000.0
1994-07-13,1.0281,0.9926,1.0281,0.9926,582000.0
1994-07-14,1.0813,1.0458,1.0813,1.0458,1483000.0
1994-07-15,1.099,1.099,1.1344,1.099,2141000.0
1994-07-18,1.1344,1.1167,1.1522,1.1167,1608000.0
1994-07-19,1.099,1.1344,1.1522,1.099,2558000.0
1994-07-20,1.0813,1.099,1.099,1.0813,2389000.0
