Date,Close,Open,High,Low,Volume
1995-04-18,33.5,34.0,34.5,33.5,2561200.0
1995-04-19,34.0,33.5,34.0,33.5,881500.0
1995-04-20,34.0,33.5,34.0,33.5,614900.0
1995-04-21,34.0,33.5,34.0,33.5,401800.0
1995-04-24,33.5,33.5,33.5,33.5,711200.0
1995-04-25,33.5,33.5,33.5,32.5,981600.0
1995-04-26,33.5,32.5,33.5,31.5,403500.0
1995-04-27,33.5,33.0,33.5,32.5,78100.0
1995-04-28,33.0,32.5,33.5,32.5,62000.0
1995-05-02,32.5,32.5,33.0,32.0,480200.0
1995-05-03,33.0,32.5,33.5,32.5,502700.0
1995-05-04,33.0,32.5,33.5,32.5,502700.0
1995-05-05,34.0,33.0,34.0,33.0,178800.0
1995-05-09,34.0,33.5,34.0,33.5,95400.0
1995-05-10,34.0,33.5,34.0,33.5,133000.0
1995-05-11,34.0,33.0,34.0,33.0,659300.0
1995-05-12,34.0,34.0,34.0,33.5,249900.0
1995-05-15,34.0,33.5,34.0,33.5,110100.0
1995-05-16,33.5,33.5,33.5,33.5,28900.0
1995-05-17,33.5,33.5,33.5,33.5,243700.0
1995-05-18,33.5,33.0,33.5,33.0,112000.0
1995-05-19,33.5,33.0,33.5,33.0,350000.0
1995-05-22,33.5,33.5,33.5,33.0,157800.0
1995-05-23,33.5,33.5,33.5,33.5,78100.0
1995-05-24,34.0,33.5,34.0,33.5,951400.0
1995-05-25,34.0,34.0,34.0,33.5,271300.0
1995-05-26,33.5,33.5,33.5,33.5,51500.0
1995-05-29,33.5,33.5,33.5,33.5,387200.0
1995-05-30,33.5,33.5,34.0,33.5,454900.0
1995-05-31,34.0,33.5,34.0,33.5,255100.0
1995-06-01,34.0,34.0,34.5,34.0,290300.0
1995-06-02,34.0,34.5,34.5,34.0,548300.0
1995-06-05,34.0,34.0,34.0,34.0,372000.0
1995-06-06,33.5,34.0,34.0,32.0,573400.0
1995-06-07,33.5,33.5,33.5,33.5,475900.0
1995-06-08,33.5,33.5,33.5,33.5,260000.0
1995-06-09,33.5,33.0,33.5,33.0,29000.0
