Date,Close,Open,High,Low,Volume
2012-04-20,473.5479,481.2478,481.2478,463.1529,6738310.0
2012-04-23,473.7404,472.5854,476.4354,471.6229,1104740.0
2012-04-24,472.7779,472.5854,473.5479,468.3504,682830.0
2012-04-25,493.7603,473.3554,497.129,473.3554,1399920.0
2012-04-26,488.9478,495.6853,500.4978,487.0228,413670.0
2012-04-27,483.6541,490.8728,490.8728,482.2103,643190.0
2012-04-30,489.9103,484.6166,490.8728,482.2103,200570.0
2012-05-02,490.8728,490.8728,495.6853,490.8728,328120.0
2012-05-03,481.7291,489.9103,490.8728,476.0504,1317560.0
2012-05-04,492.3165,492.7978,492.7978,482.2103,465260.0
2012-05-07,481.2478,490.8728,490.8728,481.2478,408800.0
2012-05-08,484.1353,481.2478,487.0228,481.2478,182320.0
2012-05-09,483.1728,484.1353,485.0978,481.7291,209710.0
2012-05-10,474.5104,481.2478,482.2103,470.6604,382220.0
2012-05-11,472.5854,474.8752,481.2478,471.6229,210990.0
2012-05-14,452.373,450.833,471.6229,450.833,210090.0
2012-05-15,448.138,452.373,452.373,438.3205,769630.0
2012-05-16,452.373,452.373,461.9979,449.4855,232470.0
2012-05-17,463.9229,457.1855,474.5104,452.373,222770.0
2012-05-18,447.5605,457.1855,457.1855,445.6355,181160.0
2012-05-21,454.298,444.8655,460.0729,443.518,283660.0
2012-05-22,454.4905,461.9979,471.6229,454.4905,139720.0
2012-05-23,461.9979,461.0354,461.9979,458.1479,117010.0
2012-05-24,461.0354,450.448,461.9979,450.448,52810.0
2012-05-25,461.0354,461.0354,461.8054,460.0729,235560.0
2012-05-28,464.8854,461.9979,464.8854,460.0729,68630.0
2012-05-29,479.3229,465.0779,482.2103,462.9604,760220.0
2012-05-30,481.2478,479.3229,481.2478,476.4354,344940.0
2012-05-31,481.2478,476.4354,484.1353,463.9229,166840.0
2012-06-01,480.2853,479.3229,480.8628,478.3604,148160.0
2012-06-04,458.3404,478.3604,478.3604,458.1479,106130.0
2012-06-05,459.1104,458.5329,462.9604,458.5329,109190.0
2012-06-06,460.0729,460.0729,462.9604,459.1104,55660.0
2012-06-07,461.0354,460.2654,469.6979,460.2654,213640.0
2012-06-08,462.9604,457.378,464.8854,457.378,10320.0
2012-06-11,464.8854,461.0354,464.8854,461.0354,47230.0
2012-06-13,466.0404,464.8854,471.6229,464.8854,41860.0
2012-06-14,465.8479,465.8479,468.7354,465.8479,125230.0
2012-06-15,463.9229,463.9229,464.5004,463.9229,36640.0
2012-06-18,477.5904,464.1154,480.8628,464.1154,247570.0
2012-06-19,473.7404,478.3604,478.3604,471.6229,11470.0
2012-06-20,474.5104,474.5104,475.0879,474.5104,146500.0
2012-06-21,475.4729,473.5479,476.4354,473.5479,136130.0
2012-06-22,471.6229,473.5479,476.4354,471.6229,597810.0
2012-06-25,470.6604,475.4729,475.4729,470.6604,7830.0
2012-06-26,469.6979,463.3454,474.3179,463.3454,62510.0
2012-06-27,485.0978,465.8479,485.0978,465.8479,542420.0
2012-06-28,486.0603,481.2478,490.8728,481.2478,172640.0
2012-06-29,486.0603,486.0603,489.4291,486.0603,143680.0
2012-07-02,490.8728,487.9853,496.1665,487.9853,326870.0
2012-07-03,497.129,490.8728,498.0915,490.8728,296190.0
2012-07-04,495.6853,497.6103,497.6103,494.2415,157250.0
2012-07-05,496.6478,490.8728,496.6478,490.8728,59890.0
2012-07-06,494.7228,493.7603,496.1665,493.7603,183980.0
2012-07-09,490.8728,493.7603,493.7603,482.2103,30370.0
2012-07-10,489.9103,481.2478,489.9103,480.2853,93550.0
2012-07-11,487.9853,487.9853,487.9853,486.5416,205220.0
2012-07-12,511.5665,490.8728,512.0477,490.8728,856370.0
2012-07-13,514.9352,503.3852,521.6727,503.3852,322770.0
2012-07-16,519.7477,519.7477,525.5226,517.8227,335430.0
2012-07-17,514.9352,519.7477,523.5977,514.9352,223410.0
2012-07-18,506.2727,512.0477,514.9352,505.3102,70780.0
2012-07-19,508.679,508.679,515.8977,506.2727,263860.0
2012-07-20,517.8227,509.1602,522.6352,509.1602,457190.0
2012-07-23,510.1227,517.8227,517.8227,508.679,53150.0
2012-07-24,507.2352,509.6415,510.1227,505.3102,99200.0
2012-07-25,505.3102,507.2352,507.2352,505.3102,117280.0
2012-07-26,505.3102,508.1977,508.1977,504.829,291470.0
2012-07-27,511.0852,508.1977,513.9727,508.1977,26620.0
2012-07-30,524.0789,517.8227,527.4476,517.8227,252070.0
2012-07-31,525.5226,524.0789,528.4101,520.7102,324380.0
2012-08-01,530.3351,525.5226,531.2976,525.5226,346040.0
2012-08-02,527.4476,530.3351,530.3351,527.4476,132570.0
2012-08-03,527.4476,524.5601,528.4101,519.7477,27550.0
2012-08-06,527.4476,529.3726,534.1851,526.4851,49980.0
2012-08-08,533.2226,527.4476,535.1476,519.7477,201770.0
2012-08-09,527.4476,529.3726,529.3726,527.4476,62250.0
2012-08-10,521.6727,527.4476,527.4476,517.8227,94400.0
2012-08-13,522.1539,524.5601,524.5601,521.6727,54030.0
2012-08-14,522.6352,521.6727,523.1164,520.7102,16100.0
2012-08-15,523.1164,522.6352,526.4851,522.6352,10850.0
2012-08-16,521.1914,527.4476,527.4476,517.8227,163380.0
2012-08-17,517.8227,521.1914,523.1164,508.1977,68410.0
2012-08-22,514.9352,517.8227,517.8227,512.0477,135140.0
2012-08-23,526.4851,517.8227,527.4476,516.8602,61180.0
2012-08-24,523.1164,524.5601,524.5601,521.6727,79180.0
2012-08-28,515.8977,526.4851,526.4851,515.8977,46720.0
2012-08-29,519.7477,515.8977,520.7102,515.8977,76000.0
2012-08-30,515.8977,519.7477,519.7477,514.9352,53190.0
2012-08-31,516.8602,514.9352,518.3039,514.9352,50190.0
2012-09-03,516.8602,516.8602,519.2664,515.8977,27030.0
2012-09-04,517.3414,516.8602,519.7477,516.8602,233080.0
2012-09-05,517.8227,517.3414,519.7477,516.3789,314200.0
2012-09-06,518.3039,517.3414,519.7477,517.3414,27080.0
2012-09-07,529.3726,519.7477,533.2226,519.7477,210630.0
2012-09-10,537.0726,530.3351,542.8476,530.3351,62860.0
2012-09-11,537.0726,537.0726,538.0351,534.1851,93880.0
2012-09-12,538.9976,538.0351,540.9226,537.0726,246020.0
2012-09-13,541.4038,538.9976,541.8851,538.9976,97980.0
2012-09-14,541.8851,541.8851,543.8101,541.4038,232910.0
2012-09-17,529.3726,541.8851,542.8476,529.3726,220410.0
2012-09-18,530.3351,535.1476,542.8476,528.4101,21120.0
2012-09-19,524.5601,529.3726,543.8101,524.5601,90450.0
2012-09-20,520.7102,524.5601,524.5601,519.7477,128790.0
2012-09-21,529.3726,519.7477,529.3726,519.7477,128060.0
2012-09-24,524.5601,524.5601,528.8914,524.5601,32880.0
2012-09-25,529.3726,529.3726,529.8539,528.4101,51720.0
2012-09-26,533.2226,538.9976,538.9976,527.9289,186800.0
2012-09-27,524.5601,533.2226,533.2226,524.5601,49260.0
2012-09-28,524.5601,534.1851,538.0351,524.5601,232020.0
2012-10-01,527.4476,524.5601,534.1851,524.5601,48170.0
2012-10-02,529.3726,532.7414,532.7414,525.5226,120570.0
2012-10-03,534.1851,532.7414,534.1851,529.3726,35420.0
2012-10-04,537.0726,534.1851,538.0351,534.1851,157480.0
2012-10-05,536.1101,535.1476,537.0726,534.1851,206110.0
2012-10-08,535.1476,535.1476,535.1476,534.1851,69060.0
2012-10-09,534.1851,537.0726,537.0726,534.1851,184500.0
2012-10-10,529.3726,529.3726,534.1851,519.7477,77020.0
2012-10-11,526.9664,527.4476,528.8914,526.9664,6800.0
2012-10-12,523.1164,524.5601,525.0414,522.1539,23840.0
2012-10-15,524.0789,533.7039,534.1851,523.1164,33720.0
2012-10-16,533.2226,526.4851,533.2226,526.0039,201960.0
2012-10-17,526.9664,529.3726,529.3726,526.4851,176500.0
2012-10-18,520.2289,525.5226,526.4851,520.2289,45810.0
2012-10-19,513.0102,522.6352,523.5977,510.1227,160730.0
2012-10-22,508.1977,516.8602,516.8602,502.4227,255040.0
2012-10-23,513.4914,508.1977,522.6352,508.1977,451700.0
2012-10-24,502.4227,513.0102,513.0102,501.4603,169670.0
2012-10-25,503.8665,502.4227,504.3477,502.4227,62460.0
2012-10-29,502.4227,504.3477,504.3477,502.4227,98480.0
2012-10-30,507.2352,502.4227,511.5665,502.4227,141510.0
2012-10-31,510.1227,507.2352,510.1227,505.7915,58490.0
2012-11-05,520.2289,519.7477,520.2289,517.8227,509470.0
2012-11-06,521.6727,520.7102,523.5977,520.2289,360700.0
2012-11-07,520.7102,521.6727,523.5977,518.7852,162060.0
2012-11-08,517.8227,519.7477,519.7477,515.8977,218840.0
2012-11-09,521.6727,519.2664,522.1539,518.3039,237150.0
2012-11-12,529.3726,522.1539,530.3351,522.1539,291950.0
2012-11-13,529.3726,529.3726,529.3726,527.9289,175320.0
2012-11-14,529.8539,528.8914,531.2976,528.8914,206930.0
2012-11-15,533.2226,531.7789,534.6664,529.3726,245700.0
2012-11-16,546.6976,533.2226,546.6976,532.7414,271300.0
2012-11-19,549.1038,546.6976,563.06,546.6976,581050.0
2012-11-20,552.4725,553.435,554.3975,551.9913,47740.0
2012-11-21,572.6849,553.435,578.4599,553.435,217140.0
2012-11-22,571.7224,572.6849,577.4974,571.7224,69370.0
2012-11-23,569.7974,567.3912,575.5724,567.3912,138560.0
2012-11-26,573.6474,567.8725,574.6099,567.8725,233970.0
2012-11-27,582.3099,567.8725,585.1974,567.8725,255540.0
2012-11-28,578.4599,582.3099,586.6411,572.6849,1010510.0
2012-11-29,573.6474,578.4599,589.0474,573.6474,670190.0
2012-12-03,575.5724,581.3474,581.3474,574.6099,289250.0
2012-12-04,570.7599,575.5724,580.8661,568.835,132550.0
2012-12-05,567.8725,570.7599,570.7599,558.2475,471620.0
2012-12-06,581.3474,572.6849,583.7536,572.6849,174560.0
2012-12-07,625.6222,583.2724,626.5847,583.2724,330100.0
2012-12-10,616.4785,625.6222,625.6222,610.2223,263870.0
2012-12-11,635.2472,624.6597,664.122,622.7347,115750.0
2012-12-12,635.2472,635.2472,644.8721,635.2472,108000.0
2012-12-13,641.0221,636.2096,649.6846,636.2096,65970.0
2012-12-14,652.0908,641.0221,657.8658,641.0221,272980.0
2012-12-17,640.0596,652.0908,658.3471,637.1721,82820.0
2012-12-18,625.6222,640.0596,657.8658,625.6222,134230.0
2012-12-19,625.6222,630.4347,635.2472,623.6972,64110.0
2012-12-20,628.5097,635.2472,635.2472,627.5472,80150.0
2012-12-21,620.8097,630.4347,639.0971,620.8097,51250.0
2012-12-26,620.8097,620.8097,634.2847,620.8097,35390.0
2012-12-27,620.8097,630.9159,631.3972,620.8097,31960.0
2012-12-28,596.7473,620.8097,621.291,596.7473,139870.0
2013-01-02,629.4722,607.3348,630.9159,607.3348,228730.0
2013-01-03,648.7221,630.9159,648.7221,630.9159,140860.0
2013-01-04,648.7221,648.7221,649.6846,644.3909,183400.0
2013-01-07,654.4971,652.5721,667.972,652.5721,264330.0
2013-01-08,649.6846,667.972,667.972,649.6846,130040.0
2013-01-09,646.7971,649.6846,659.3095,646.7971,110030.0
2013-01-10,641.0221,623.6972,641.0221,620.8097,1564160.0
2013-01-11,620.8097,627.5472,635.2472,619.8472,600050.0
2013-01-14,625.6222,625.6222,627.5472,622.7347,454320.0
2013-01-15,630.4347,625.6222,635.2472,621.7722,556490.0
2013-01-16,633.3222,625.6222,635.2472,625.6222,214980.0
2013-01-17,641.9846,635.2472,647.7596,633.3222,114290.0
2013-01-18,654.4971,644.8721,658.3471,644.8721,608350.0
2013-01-21,644.8721,656.4221,659.3095,643.9096,58060.0
2013-01-22,641.0221,644.8721,645.8346,640.0596,109590.0
2013-01-23,640.0596,641.9846,641.9846,635.2472,247540.0
2013-01-24,652.5721,644.3909,655.4596,644.3909,310710.0
2013-01-25,644.8721,653.0533,653.0533,643.9096,290800.0
2013-01-28,642.9471,644.8721,664.122,641.9846,203970.0
2013-01-29,653.5346,642.9471,654.4971,642.9471,241790.0
2013-01-30,654.4971,659.3095,659.3095,654.4971,136190.0
2013-01-31,662.6783,659.3095,665.5658,659.3095,285980.0
2013-02-01,677.597,666.047,680.4845,666.047,265810.0
2013-02-04,697.8094,683.3719,697.8094,683.3719,258640.0
2013-02-05,697.8094,692.9969,702.1406,688.1844,112850.0
2013-02-06,715.6155,697.8094,721.8718,697.8094,261910.0
2013-02-07,707.4343,716.0968,726.6842,707.4343,260700.0
2013-02-08,690.1094,709.3593,711.7656,690.1094,222800.0
2013-02-11,697.3281,692.9969,702.1406,692.9969,51800.0
2013-02-12,696.8469,702.6219,702.6219,693.9594,26270.0
2013-02-13,691.0719,696.8469,698.7719,690.1094,101760.0
2013-02-14,691.0719,693.9594,695.8844,688.1844,263640.0
2013-02-15,721.8718,692.9969,728.6092,692.9969,258610.0
2013-02-18,735.3467,726.6842,741.1217,721.8718,132470.0
2013-02-19,721.8718,741.1217,741.1217,721.8718,204490.0
2013-02-20,730.5342,732.4592,732.4592,707.4343,84710.0
