Date,Close,Open,High,Low,Volume
1986-07-22,0.01,0.01,0.01,0.01,800000.0
1986-07-31,0.012,0.012,0.012,0.012,2800000.0
1986-08-07,0.012,0.012,0.012,0.012,1400000.0
1986-08-11,0.016,0.014,0.016,0.014,18200000.0
1986-08-15,0.016,0.016,0.016,0.016,600000.0
1986-10-10,0.02,0.02,0.02,0.02,2000000.0
1986-10-14,0.024,0.024,0.024,0.024,1000000.0
1986-10-16,0.03,0.03,0.03,0.03,900000.0
1986-11-14,0.028,0.028,0.028,0.028,1000000.0
1987-02-23,0.028,0.028,0.028,0.028,600000.0
1987-07-10,0.028,0.028,0.028,0.028,1000000.0
1987-07-13,0.05,0.05,0.05,0.05,1000000.0
1987-07-15,0.04,0.04,0.04,0.04,2200000.0
1987-07-28,0.04,0.04,0.04,0.04,1000000.0
1988-01-19,0.03,0.03,0.03,0.03,400000.0
1988-03-02,0.02,0.02,0.02,0.02,2000000.0
1988-03-16,0.03,0.03,0.03,0.03,200000.0
1988-07-14,0.03,0.03,0.03,0.03,1000000.0
1988-07-22,0.03,0.03,0.03,0.03,1000000.0
1988-07-26,0.04,0.04,0.09,0.04,3000000.0
1989-01-05,0.04,0.04,0.04,0.04,400000.0
1991-11-13,0.1,0.1,0.1,0.1,800000.0
1994-01-12,0.012,0.012,0.012,0.012,5000000.0
1994-01-18,0.018,0.018,0.018,0.018,5000000.0
1994-09-07,0.02,0.02,0.02,0.02,1000000.0
1994-09-30,0.024,0.026,0.026,0.024,4000000.0
1995-07-03,0.036,0.024,0.036,0.024,4000000.0
1995-07-04,0.046,0.046,0.046,0.046,2000000.0
1995-07-05,0.065,0.065,0.065,0.06,3000000.0
1995-07-06,0.095,0.095,0.095,0.095,2000000.0
1995-07-07,0.14,0.13,0.14,0.1,11000000.0
1995-07-10,0.16,0.15,0.16,0.15,3000000.0
1995-07-11,0.24,0.16,0.24,0.16,15000000.0
1995-07-12,0.36,0.28,0.36,0.28,10000000.0
1995-07-13,0.525,0.4,0.525,0.4,40000000.0
1995-07-14,0.5,0.55,0.75,0.49,44000000.0
1995-07-17,0.46,0.5,0.5,0.44,18000000.0
1995-07-18,0.525,0.46,0.525,0.46,29000000.0
1995-07-19,0.5,0.5,0.5,0.5,8000000.0
1995-07-20,0.5,0.5,0.5,0.5,4000000.0
1995-07-21,0.5,0.5,0.5,0.5,2000000.0
1995-07-24,0.525,0.5,0.55,0.5,23000000.0
1995-07-25,0.55,0.525,0.55,0.525,30000000.0
1995-07-26,0.525,0.525,0.525,0.525,1000000.0
1995-07-27,0.49,0.5,0.5,0.49,3000000.0
1995-07-28,0.5,0.5,0.5,0.5,4000000.0
1995-07-31,0.45,0.46,0.46,0.45,5000000.0
1995-08-01,0.5,0.43,0.5,0.43,6700000.0
1995-08-02,0.48,0.48,0.525,0.48,18800000.0
1995-08-03,0.49,0.5,0.5,0.49,2100000.0
1995-08-04,0.49,0.48,0.49,0.48,1500000.0
1995-08-07,0.49,0.49,0.49,0.48,11200000.0
1995-08-08,0.46,0.46,0.46,0.46,400000.0
1995-08-09,0.48,0.46,0.48,0.46,3800000.0
1995-08-10,0.45,0.44,0.45,0.44,300000.0
1995-08-11,0.45,0.45,0.45,0.45,2800000.0
1995-08-14,0.44,0.45,0.45,0.44,3700000.0
1995-08-15,0.4,0.42,0.42,0.4,11800000.0
1995-08-16,0.38,0.4,0.4,0.38,5600000.0
1995-08-17,0.35,0.37,0.37,0.35,8000000.0
1995-08-18,0.36,0.35,0.36,0.34,3300000.0
1995-08-21,0.43,0.35,0.44,0.35,9900000.0
1995-08-22,0.5,0.45,0.5,0.45,36900000.0
1995-08-23,0.49,0.5,0.525,0.49,13200000.0
1995-08-24,0.5,0.48,0.5,0.48,6000000.0
1995-08-25,0.4,0.4,0.4,0.4,800000.0
1995-08-28,0.49,0.42,0.49,0.42,2100000.0
1995-08-29,0.49,0.48,0.5,0.48,2100000.0
1995-08-30,0.5,0.5,0.5,0.5,9000000.0
1995-08-31,0.5,0.5,0.5,0.5,6000000.0
1995-09-01,0.5,0.5,0.55,0.5,10500000.0
1995-09-04,0.5,0.5,0.5,0.5,2000000.0
1995-09-05,0.5,0.5,0.5,0.5,3100000.0
1995-09-06,0.5,0.5,0.5,0.5,3900000.0
1995-09-08,0.5,0.5,0.5,0.5,1100000.0
1995-09-11,0.5,0.5,0.5,0.5,1500000.0
1995-09-12,0.5,0.5,0.5,0.5,1800000.0
1995-09-13,0.5,0.5,0.5,0.5,3700000.0
1995-09-14,0.5,0.5,0.5,0.5,3200000.0
1995-09-15,0.5,0.5,0.5,0.5,4300000.0
1995-09-18,0.525,0.5,0.525,0.5,9400000.0
1995-09-19,0.5,0.525,0.525,0.5,1600000.0
1995-09-20,0.5,0.525,0.525,0.5,700000.0
1995-09-21,0.5,0.5,0.5,0.5,1200000.0
1995-09-22,0.675,0.525,0.7,0.525,37400000.0
1995-09-25,0.675,0.675,0.7,0.6,10200000.0
1995-09-26,0.7,0.7,0.75,0.675,39500000.0
1995-09-27,0.675,0.7,0.7,0.675,1500000.0
1995-09-28,0.65,0.65,0.65,0.65,1200000.0
1995-09-29,0.65,0.65,0.65,0.65,1500000.0
1995-10-03,0.65,0.65,0.65,0.65,2700000.0
1995-10-04,0.6,0.6,0.6,0.6,400000.0
1995-10-05,0.6,0.625,0.625,0.6,300000.0
1995-10-06,0.6,0.6,0.6,0.6,1000000.0
1995-10-09,0.6,0.6,0.6,0.6,300000.0
1995-10-10,0.6,0.625,0.625,0.6,2000000.0
1995-10-11,0.675,0.625,0.675,0.625,13400000.0
1995-10-12,0.65,0.675,0.675,0.65,1300000.0
1995-10-13,0.7,0.65,0.7,0.65,5500000.0
1995-10-16,0.725,0.7,0.725,0.7,7700000.0
1995-10-17,0.9,0.75,0.9,0.75,25300000.0
1995-10-18,1.05,0.925,1.15,0.9,30600000.0
1995-10-19,1.05,1.05,1.1,0.975,8550000.0
1995-10-20,1.1,1.0,1.1,1.0,8970000.0
1995-10-23,0.9,0.9,0.975,0.9,2530000.0
1995-10-24,0.975,0.925,0.975,0.925,5000000.0
1995-10-25,0.975,0.975,0.975,0.95,12600000.0
1995-10-26,0.975,0.95,0.975,0.95,400000.0
1995-10-27,0.925,0.875,0.925,0.875,1000000.0
1995-10-30,1.0,0.925,1.0,0.925,18300000.0
1995-10-31,0.95,0.975,0.975,0.95,500000.0
1995-11-02,0.95,0.925,0.95,0.925,800000.0
1995-11-06,0.9,0.95,0.95,0.9,26000000.0
1995-11-14,0.9,0.9,0.9,0.9,3100000.0
1995-11-15,0.55,0.6,0.6,0.55,900000.0
1995-11-16,0.55,0.55,0.55,0.55,300000.0
1995-11-17,0.5,0.5,0.5,0.5,1000000.0
1995-11-20,0.45,0.45,0.45,0.45,100000.0
1995-11-23,0.47,0.45,0.47,0.45,1000000.0
1995-11-28,0.47,0.47,0.47,0.47,800000.0
1995-12-04,0.5,0.5,0.5,0.5,100000.0
1995-12-05,0.525,0.5,0.525,0.48,2200000.0
1995-12-06,0.525,0.5,0.525,0.5,500000.0
1995-12-07,0.575,0.55,0.575,0.55,2100000.0
1995-12-08,0.5,0.5,0.5,0.5,800000.0
1995-12-11,0.45,0.45,0.45,0.45,500000.0
1995-12-12,0.45,0.45,0.45,0.45,700000.0
1995-12-13,0.45,0.45,0.45,0.45,800000.0
1995-12-14,0.36,0.34,0.36,0.34,1300000.0
1995-12-22,0.4,0.4,0.4,0.4,500000.0
1995-12-27,0.4,0.4,0.4,0.4,500000.0
1996-01-02,0.4,0.4,0.4,0.34,1900000.0
1996-01-03,0.4,0.4,0.4,0.4,200000.0
1996-01-04,0.55,0.45,0.55,0.45,900000.0
1996-01-05,0.49,0.47,0.49,0.47,800000.0
1996-01-09,0.48,0.48,0.48,0.48,1300000.0
1996-01-10,0.48,0.48,0.48,0.48,1500000.0
1996-01-11,0.48,0.48,0.48,0.48,700000.0
1996-01-12,0.48,0.48,0.48,0.48,900000.0
1996-01-15,0.47,0.48,0.48,0.47,900000.0
1996-01-16,0.37,0.42,0.42,0.37,2200000.0
1996-01-17,0.41,0.42,0.42,0.41,1200000.0
1996-01-18,0.42,0.42,0.42,0.42,1300000.0
1996-01-19,0.44,0.43,0.44,0.43,1500000.0
1996-01-22,0.43,0.42,0.43,0.42,9500000.0
1996-01-23,0.42,0.42,0.42,0.42,400000.0
1996-01-24,0.42,0.43,0.43,0.42,2200000.0
1996-01-25,0.43,0.43,0.43,0.43,1100000.0
1996-01-29,0.43,0.43,0.43,0.43,200000.0
1996-01-31,0.42,0.42,0.42,0.42,2100000.0
1996-02-02,0.42,0.42,0.42,0.42,7500000.0
1996-02-06,0.41,0.41,0.41,0.41,100000.0
1996-02-13,0.42,0.42,0.42,0.42,600000.0
1996-02-14,0.41,0.41,0.41,0.41,200000.0
1996-02-15,0.41,0.41,0.41,0.41,1200000.0
1996-02-28,0.41,0.41,0.41,0.41,100000.0
1996-03-15,0.42,0.42,0.42,0.42,300000.0
1996-03-19,0.4,0.4,0.4,0.4,200000.0
1996-03-21,0.4,0.4,0.4,0.4,200000.0
