Date,Close,Open,High,Low,Volume
2000-12-18,0.88,0.88,0.88,0.88,92000.0
2000-12-20,0.84,0.75,0.86,0.75,165000.0
2000-12-21,0.85,0.85,0.85,0.85,80000.0
2000-12-22,0.8,0.84,0.84,0.8,10000.0
2000-12-27,0.77,0.85,0.85,0.77,34000.0
2000-12-28,0.78,0.79,0.79,0.78,26000.0
2000-12-29,0.84,0.84,0.84,0.84,2000.0
2001-01-02,0.78,0.79,0.79,0.78,46000.0
2001-01-03,0.78,0.79,0.79,0.78,64000.0
2001-01-05,0.8,0.8,0.8,0.8,50000.0
2001-01-08,0.82,0.82,0.82,0.82,1000.0
2001-01-09,0.82,0.82,0.82,0.82,1000.0
2001-01-10,0.81,0.78,0.81,0.78,51000.0
2001-01-12,0.81,0.78,0.81,0.78,11000.0
2001-01-15,0.81,0.81,0.81,0.81,2000.0
2001-01-16,0.82,0.82,0.82,0.82,2000.0
2001-01-18,0.78,0.78,0.78,0.78,21000.0
2001-01-22,0.8,0.8,0.8,0.79,166000.0
2001-01-23,0.79,0.79,0.79,0.79,50000.0
2001-01-25,0.8,0.8,0.8,0.8,2000.0
2001-01-26,0.8,0.79,0.8,0.79,52000.0
2001-01-29,0.8,0.8,0.8,0.8,11000.0
2001-01-30,0.79,0.79,0.81,0.79,115000.0
2001-01-31,0.81,0.79,0.81,0.78,100000.0
2001-02-01,0.79,0.8,0.8,0.79,62000.0
2001-02-06,0.85,0.79,0.85,0.79,20000.0
2001-02-07,0.85,0.85,0.85,0.85,2000.0
2001-02-08,0.85,0.84,0.85,0.84,4000.0
2001-02-09,0.85,0.85,0.85,0.85,2000.0
2001-02-14,0.79,0.79,0.79,0.79,50000.0
2001-02-15,0.8,0.8,0.8,0.8,5000.0
2001-02-16,0.79,0.79,0.79,0.79,50000.0
2001-02-21,0.79,0.79,0.79,0.79,11000.0
2001-02-22,0.79,0.79,0.79,0.79,50000.0
2001-02-23,0.8,0.79,0.8,0.79,31000.0
2001-03-05,0.79,0.79,0.79,0.79,50000.0
