Date,Close,Open,High,Low,Volume
1990-04-18,1.5742,1.5548,1.5742,1.5548,9034000.0
1990-04-19,1.5548,1.5548,1.5742,1.5548,84000.0
1990-04-20,1.5159,1.5548,1.5548,1.5159,113000.0
1990-04-23,1.5159,1.5548,1.5548,1.4965,81000.0
1990-04-24,1.3993,1.4771,1.4771,1.3993,8000.0
1990-04-25,1.341,1.3993,1.3993,1.2827,82000.0
1990-04-26,1.4576,1.341,1.4576,1.341,152000.0
1990-04-27,1.5937,1.4382,1.5937,1.3993,83000.0
1990-04-30,1.4965,1.5548,1.5548,1.4576,27000.0
1990-05-02,1.5159,1.5354,1.5354,1.4965,46000.0
1990-05-03,1.4771,1.5159,1.5159,1.4576,52000.0
1990-05-04,1.4771,1.4576,1.4771,1.4576,16000.0
1990-05-07,1.4576,1.4771,1.4771,1.4576,19000.0
1990-05-08,1.4771,1.4771,1.4771,1.4576,8000.0
1990-05-09,1.4382,1.4576,1.4576,1.4382,25000.0
1990-05-10,1.4382,1.3993,1.4576,1.3993,22000.0
1990-05-11,1.4382,1.4382,1.5548,1.4188,271000.0
1990-05-14,1.4771,1.4771,1.4771,1.4382,13000.0
1990-05-15,1.4382,1.4382,1.4771,1.4188,26000.0
1990-05-16,1.4382,1.4382,1.4576,1.4382,24000.0
1990-05-17,1.4382,1.4188,1.4576,1.3993,15000.0
1990-05-18,1.4188,1.4188,1.4188,1.3605,147000.0
1990-05-21,1.4188,1.3993,1.4382,1.3605,28000.0
1990-05-22,1.4188,1.4188,1.4188,1.3993,4000.0
1990-05-23,1.3799,1.3605,1.3799,1.3605,22000.0
1990-05-24,1.3993,1.3993,1.3993,1.3605,22000.0
1990-05-25,1.4188,1.3799,1.4188,1.3605,20000.0
1990-05-28,1.3993,1.3993,1.4382,1.3993,222000.0
1990-05-29,1.3993,1.4382,1.4382,1.3799,15000.0
1990-05-30,1.4188,1.4188,1.4188,1.4188,3000.0
1990-05-31,1.3799,1.3605,1.4188,1.3605,29000.0
1990-06-01,1.4188,1.4382,1.4382,1.341,23000.0
1990-06-04,1.3993,1.4382,1.4382,1.3605,51000.0
1990-06-05,1.3993,1.4382,1.4382,1.3799,28000.0
1990-06-06,1.3993,1.4382,1.4382,1.341,36000.0
1990-06-07,1.3993,1.4382,1.4382,1.3605,53000.0
1990-06-08,1.3993,1.3993,1.5548,1.3605,35000.0
1990-06-11,1.3993,1.5548,1.5548,1.3605,47000.0
1990-06-13,1.3799,1.4382,1.5548,1.3605,76000.0
1990-06-14,1.3605,1.5742,1.5742,1.3605,45000.0
1990-06-15,1.3605,1.5742,1.5742,1.3605,31000.0
1990-06-18,1.4188,1.5742,1.5742,1.3605,104000.0
1990-06-19,1.3993,1.5937,1.5937,1.3799,37000.0
1990-06-20,1.3605,1.3993,1.4382,1.3605,62000.0
1990-06-21,1.4188,1.5937,1.5937,1.3605,1063000.0
1990-06-22,1.4771,1.5937,1.5937,1.3993,2112000.0
1990-06-25,1.6516,1.7548,1.7548,1.5483,25000.0
1990-06-26,1.5483,1.7548,1.7548,1.4967,64000.0
1990-06-27,1.4451,1.7032,1.7032,1.4451,18000.0
1990-06-28,1.4967,1.6516,1.6516,1.4967,13000.0
1990-06-29,1.4451,1.6516,1.6516,1.4451,33000.0
1990-07-02,1.4451,1.6516,1.6516,1.3935,17000.0
1990-07-03,1.3419,1.6516,1.6516,1.3419,17000.0
1990-07-04,1.3419,1.6516,1.6516,1.3161,15000.0
1990-07-05,1.4193,1.6516,1.6516,1.3161,28000.0
1990-07-06,1.4709,1.6516,1.6516,1.3935,18000.0
1990-07-09,1.7032,1.7032,1.7032,1.4193,19000.0
1990-07-10,1.4451,1.7032,1.7032,1.4451,24000.0
1990-07-11,1.4451,1.7032,1.7032,1.4451,8000.0
1990-07-12,1.4451,1.5483,1.5483,1.4451,7000.0
1990-07-13,1.4967,1.4967,1.4967,1.4451,3000.0
1990-07-16,1.4451,1.4451,1.4451,1.4451,4000.0
1990-07-17,1.3935,1.4193,1.4193,1.3935,14000.0
1990-07-18,1.5483,1.5483,1.5483,1.3419,2000.0
1990-07-20,1.3419,1.3419,1.3419,1.3419,5000.0
1990-07-23,1.3419,1.3419,1.3677,1.3419,3000.0
1990-07-24,1.3419,1.5483,1.5483,1.3419,14000.0
1990-07-25,1.4451,1.4451,1.4451,1.4451,1000.0
1990-07-26,1.3419,1.3419,1.3419,1.3419,15000.0
1990-07-27,1.3419,1.3419,1.3419,1.3161,10000.0
1990-07-30,1.3419,1.3419,1.3419,1.3419,1000.0
1990-07-31,1.3419,1.5483,1.5483,1.3419,5000.0
1990-08-01,1.3419,1.4709,1.4709,1.3161,4000.0
1990-08-02,1.3161,1.3161,1.3161,1.3161,1000.0
1990-08-03,1.2903,1.5483,1.5483,1.2903,5000.0
1990-08-06,1.4193,1.4193,1.4193,1.3161,5000.0
1990-08-07,1.4193,1.4193,1.4193,1.2645,4000.0
1990-08-08,1.2387,1.4193,1.4193,1.2387,9000.0
1990-08-09,1.2387,1.5483,1.5483,1.2387,10000.0
1990-08-10,1.2645,1.4967,1.4967,1.2645,4000.0
1990-08-13,1.2387,1.5483,1.5483,1.2387,4000.0
1990-08-14,1.2129,1.2387,1.2387,1.2129,3000.0
1990-08-15,1.2387,1.4967,1.4967,1.1871,8000.0
1990-08-16,1.2129,1.5483,1.5483,1.1871,9000.0
1990-08-17,1.2129,1.4967,1.4967,1.1871,8000.0
1990-08-20,1.4967,1.4967,1.4967,1.1355,5000.0
1990-08-21,1.1355,1.4967,1.4967,1.1355,5000.0
1990-08-22,1.3419,1.3419,1.3419,1.0838,6000.0
1990-08-23,1.0322,1.2387,1.2387,1.0322,9000.0
1990-08-24,1.0322,1.2387,1.2387,1.0322,5000.0
1990-08-27,1.3419,1.3419,1.3419,1.0322,6000.0
