Date,Close,Open,High,Low,Volume
2005-03-18,6.7828,7.3727,7.471,6.6845,180926000.0
2005-03-21,6.7828,6.8811,7.0777,6.7828,59189000.0
2005-03-22,6.2913,6.6845,6.6845,6.2913,42036000.0
2005-03-28,6.3896,6.5862,6.5862,6.2913,18997000.0
2005-03-29,6.2913,6.3896,6.3896,6.2913,19727000.0
2005-03-30,6.0947,6.193,6.193,5.9964,44781000.0
2005-03-31,6.4879,6.2913,6.5862,6.193,24088000.0
2005-04-01,6.4879,6.4879,6.5862,6.3896,7095000.0
2005-04-04,6.4879,6.4879,6.4879,6.3896,11035000.0
2005-04-05,6.3896,6.4879,6.4879,6.3896,7350000.0
2005-04-06,6.3896,6.3896,6.4879,6.2913,8918000.0
2005-04-07,6.2913,6.3896,6.3896,6.193,2610000.0
2005-04-08,6.2913,6.2913,6.3896,6.2913,1942000.0
2005-04-11,6.3896,6.2913,6.3896,6.2913,5231000.0
2005-04-12,6.2913,6.3896,6.3896,6.2913,1321000.0
2005-04-13,6.2913,6.2913,6.3896,6.2913,2935000.0
2005-04-14,6.2913,6.2913,6.3896,6.2913,8232000.0
2005-04-15,6.193,6.2913,6.2913,6.193,3327000.0
2005-04-18,5.8981,6.193,6.193,5.8981,30505000.0
2005-04-19,6.193,5.9964,6.2913,5.9964,6092000.0
2005-04-20,6.0947,6.193,6.193,6.0947,4807000.0
2005-04-21,6.0947,6.0947,6.0947,6.0947,1400000.0
2005-04-22,6.193,6.193,6.193,6.193,1975000.0
2005-04-25,6.0947,6.193,6.193,6.0947,2171000.0
2005-04-26,5.9964,6.0947,6.0947,5.9964,1483000.0
2005-04-27,5.7998,5.9964,5.9964,5.7998,5258000.0
2005-04-28,5.7998,5.7998,5.8981,5.7015,2127000.0
2005-04-29,5.9964,5.8981,5.9964,5.8981,4365000.0
2005-05-03,5.8981,6.0947,6.0947,5.8981,2211000.0
2005-05-04,5.8981,5.8981,5.8981,5.7998,4934000.0
2005-05-05,5.9964,5.7998,5.9964,5.7998,3734000.0
2005-05-06,5.9964,5.9964,5.9964,5.9964,4475000.0
2005-05-09,6.0947,5.9964,6.0947,5.9964,3896000.0
2005-05-10,5.8981,5.9964,6.0947,5.8981,4659000.0
2005-05-11,5.9964,5.9964,6.0947,5.8981,1703000.0
2005-05-12,5.8981,5.9964,5.9964,5.7998,1920000.0
2005-05-13,5.7015,5.8981,5.8981,5.7015,3535000.0
2005-05-16,5.7015,5.7015,5.7015,5.7015,658000.0
2005-05-17,5.5049,5.7015,5.7015,5.5049,4707000.0
2005-05-18,5.6032,5.6032,5.7998,5.6032,8900000.0
2005-05-19,5.7998,5.7015,5.7998,5.7015,11728000.0
2005-05-20,5.9964,5.7998,5.9964,5.7998,6014000.0
2005-05-23,5.9964,5.9964,5.9964,5.8981,990000.0
2005-05-24,5.9964,5.9964,5.9964,5.8981,3204000.0
2005-05-25,5.9964,5.9964,6.0947,5.8981,2786000.0
2005-05-26,5.9964,5.9964,5.9964,5.9964,7001000.0
2005-05-27,5.9964,5.9964,5.9964,5.9964,7141000.0
2005-05-30,5.9964,5.9964,5.9964,5.9964,4501000.0
2005-05-31,6.193,5.9964,6.193,5.8981,8827000.0
2005-06-01,6.2913,6.193,6.3896,6.193,2717000.0
2005-06-02,6.4879,6.3896,6.5862,6.2913,17946000.0
2005-06-03,6.5862,6.3896,6.5862,6.3896,8598000.0
2005-06-06,6.7828,6.5862,6.7828,6.5862,11578000.0
2005-06-07,6.5862,6.7828,6.7828,6.5862,7135000.0
2005-06-08,6.4879,6.5862,6.5862,6.2913,5106000.0
2005-06-09,6.2913,6.3896,6.3896,6.2913,6766000.0
2005-06-10,6.3896,6.2913,6.4879,6.2913,9583000.0
2005-06-14,6.2913,6.4879,6.4879,6.2913,993000.0
2005-06-15,6.4879,6.2913,6.4879,6.2913,5988000.0
2005-06-16,6.6845,6.7828,6.7828,6.5862,13766000.0
2005-06-17,6.6845,6.6845,6.6845,6.5862,11702000.0
2005-06-20,6.5862,6.6845,6.6845,6.5862,1232000.0
2005-06-21,6.3896,6.5862,6.5862,6.3896,4176000.0
2005-06-22,6.4879,6.3896,6.4879,6.3896,649000.0
2005-06-23,6.3896,6.4879,6.4879,6.3896,2634000.0
2005-06-24,6.4879,6.3896,6.4879,6.3896,929000.0
2005-06-27,6.2913,6.3896,6.3896,6.2913,5553000.0
2005-06-28,6.2913,6.2913,6.2913,6.2913,2825000.0
2005-06-29,6.3896,6.2913,6.3896,6.2913,5302000.0
2005-06-30,6.193,6.3896,6.3896,6.0947,2859000.0
2005-07-01,6.2913,6.0947,6.2913,6.0947,1558000.0
2005-07-04,5.9964,5.9964,5.9964,5.7998,8612000.0
2005-07-05,5.9964,5.9964,6.0947,5.8981,1577000.0
2005-07-06,6.0947,6.0947,6.193,5.9964,2453000.0
2005-07-07,6.193,6.0947,6.2913,6.0947,4745000.0
2005-07-08,6.0947,6.0947,6.0947,5.9964,1278000.0
2005-07-11,6.0947,6.0947,6.0947,5.9964,1480000.0
2005-07-12,5.9964,5.9964,6.0947,5.9964,916000.0
