Date,Close,Open,High,Low,Volume
2011-02-18,3.1537,3.1617,3.198,3.1537,18326700.0
2011-02-21,3.2784,3.1537,3.2864,3.1537,11849400.0
2011-02-22,3.3307,3.2985,3.3307,3.2784,7411900.0
2011-02-23,3.387,3.3066,3.3991,3.3025,4412100.0
2011-02-24,3.3347,3.379,3.379,3.3106,2904500.0
2011-02-25,3.4393,3.3186,3.4594,3.2583,4345000.0
2011-02-28,3.3629,3.4192,3.4594,3.3589,267400.0
2011-03-01,3.4594,3.379,3.5198,3.379,2598200.0
2011-03-02,3.4111,3.4594,3.4956,3.4111,398800.0
2011-03-03,3.4313,3.4514,3.4514,3.3589,565700.0
2011-03-04,3.3669,3.4192,3.4554,3.3589,1804000.0
2011-03-07,3.2985,3.379,3.379,3.2985,1496000.0
2011-03-08,3.2985,3.3146,3.3146,3.2985,1826500.0
2011-03-09,3.3387,3.3025,3.3387,3.3025,871800.0
2011-03-10,3.3307,3.3548,3.3629,3.3146,792700.0
2011-03-11,3.3347,3.2985,3.3347,3.2985,1033300.0
2011-03-14,3.2985,3.3025,3.3066,3.2985,1880700.0
2011-03-15,3.2985,3.3347,3.3347,3.2985,1924200.0
2011-03-16,3.2985,3.2985,3.3066,3.2985,310500.0
2011-03-17,3.2985,3.2985,3.3025,3.2985,1095800.0
2011-03-18,3.3025,3.2985,3.3106,3.2985,211500.0
2011-03-21,3.3066,3.3347,3.3347,3.3025,244500.0
2011-03-22,3.3025,3.3066,3.3146,3.3025,256400.0
2011-03-23,3.3146,3.3025,3.3146,3.2985,369700.0
2011-03-24,3.383,3.3186,3.383,3.3186,774300.0
2011-03-25,3.4111,3.383,3.4755,3.383,1286600.0
2011-03-28,3.4272,3.4192,3.4272,3.4152,240000.0
2011-03-29,3.4675,3.4353,3.5198,3.4353,2479400.0
2011-03-30,3.4433,3.4675,3.4675,3.4393,649900.0
2011-03-31,3.4675,3.4715,3.4795,3.4393,1093200.0
2011-04-01,3.4755,3.4715,3.4996,3.4594,208300.0
2011-04-04,3.5399,3.4836,3.5439,3.4836,1519300.0
2011-04-05,3.4996,3.5399,3.5399,3.4996,771000.0
2011-04-06,3.5037,3.4996,3.5157,3.4996,2437500.0
2011-04-07,3.4795,3.5157,3.5157,3.4795,222100.0
2011-04-08,3.4594,3.4795,3.4795,3.4594,1068200.0
2011-04-11,3.4393,3.4393,3.4594,3.4393,1599400.0
2011-04-12,3.4071,3.4514,3.4514,3.4071,715000.0
2011-04-13,3.4071,3.4071,3.4554,3.3951,407800.0
2011-04-14,3.4594,3.4192,3.4836,3.4192,921600.0
2011-04-15,3.4594,3.4916,3.4916,3.4353,467500.0
2011-04-18,3.4353,3.4594,3.4795,3.4313,268200.0
