Date,Close,Open,High,Low,Volume
2013-02-19,19.3867,18.5333,19.7333,18.4,19373100.0
2013-02-20,18.8267,19.44,19.5467,18.6667,4353400.0
2013-02-21,19.28,18.7733,19.3067,18.4,4112200.0
2013-02-22,20.0267,19.2533,20.2667,19.2,4874500.0
2013-02-25,20.0533,20.0267,20.2667,19.8933,2190300.0
2013-02-26,19.92,19.9467,20.08,19.68,2289000.0
2013-02-27,20.0533,20.0,20.1867,19.92,2703700.0
2013-02-28,20.6133,20.16,20.6667,20.16,5533500.0
2013-03-01,20.4533,20.64,20.64,20.2933,768800.0
2013-03-04,20.2933,20.5333,20.6667,20.0,3216300.0
2013-03-05,20.5333,20.2667,20.72,20.1867,2305000.0
2013-03-06,20.48,20.5333,20.5867,20.4,1890900.0
2013-03-07,20.3467,20.4533,20.48,20.32,908800.0
2013-03-08,20.0,20.3467,20.3467,19.9467,2128100.0
2013-03-11,19.7333,20.0,20.1333,19.6267,1680600.0
2013-03-12,19.36,19.68,19.68,19.3333,1593200.0
2013-03-13,19.52,19.36,19.7333,19.0667,971800.0
2013-03-14,19.3867,19.7067,19.7333,19.36,367800.0
2013-03-15,19.0933,19.3867,19.3867,19.0933,514700.0
2013-03-18,18.4533,19.0667,19.3867,18.4,1740500.0
2013-03-19,18.0267,18.4533,18.4533,17.8667,1704100.0
2013-03-20,18.1333,17.8667,18.2933,17.76,1038500.0
2013-03-21,18.1067,18.32,18.32,17.8667,595700.0
2013-03-22,18.1867,18.16,18.4,18.1067,1134700.0
2013-03-25,18.4533,18.5067,18.5067,18.2933,304900.0
2013-03-26,18.24,18.4,18.4533,18.2133,425300.0
2013-03-27,18.2933,18.24,18.4533,18.24,561000.0
2013-04-01,18.0267,18.3467,18.3733,18.0267,948200.0
2013-04-02,18.0533,18.0533,18.1067,17.92,359000.0
2013-04-03,18.1867,18.0,18.2933,17.9733,346900.0
2013-04-04,18.2667,18.16,18.32,18.1067,243000.0
2013-04-05,18.6133,18.2667,18.72,18.1333,1267600.0
2013-04-08,18.9867,18.6667,19.0667,18.6133,960900.0
2013-04-10,19.1467,18.9867,19.1733,18.9867,1195200.0
2013-04-11,19.2533,19.1467,19.3067,19.1467,1347500.0
2013-04-12,19.68,19.3067,19.7333,19.3067,1123100.0
2013-04-15,19.4667,19.7333,19.7333,19.3067,545000.0
2013-04-16,19.4667,19.2,19.4933,18.9867,451500.0
2013-04-17,19.6533,19.52,19.84,19.52,695800.0
2013-04-18,19.4933,19.4667,19.68,19.2,485300.0
2013-04-19,19.2,19.4667,19.4933,19.1467,383900.0
2013-04-22,19.0933,19.2,19.2533,19.0933,804500.0
2013-04-23,19.0667,19.2,19.2,19.04,455200.0
2013-04-24,18.6133,19.0667,19.1733,18.6133,365100.0
2013-04-25,18.5067,18.6667,18.6667,18.48,306000.0
2013-04-26,18.5867,18.48,18.6667,18.48,548900.0
2013-04-29,18.1333,18.6133,18.6133,18.0533,987300.0
2013-04-30,18.1333,18.16,18.4533,18.0533,994400.0
2013-05-02,18.16,18.1333,18.4,18.1333,731000.0
2013-05-03,18.2133,18.1867,18.4,18.1867,315400.0
2013-05-06,18.56,18.24,18.56,18.24,685700.0
2013-05-07,18.4533,18.56,18.56,18.4,310900.0
2013-05-08,18.1867,18.4533,18.4533,18.1867,361200.0
2013-05-09,18.1333,18.1333,18.1867,18.08,1920400.0
2013-05-10,18.1333,18.1333,18.4,18.08,1860400.0
2013-05-14,18.2133,18.16,18.2667,18.16,90200.0
2013-05-15,18.32,18.2133,18.4,18.2133,332000.0
2013-05-16,18.16,18.32,18.3467,18.1067,492400.0
2013-05-17,18.16,18.1333,18.16,18.0267,629100.0
2013-05-20,18.1333,18.24,18.24,18.1333,376700.0
2013-05-21,18.5067,18.1867,18.5067,18.1333,635400.0
2013-05-22,18.4,18.5067,18.5067,18.2667,206900.0
2013-05-23,17.44,18.24,18.24,17.44,2661500.0
2013-05-24,17.6267,17.4667,17.84,17.44,267500.0
2013-05-27,17.4133,17.6267,17.6267,17.3333,371600.0
2013-05-28,17.2,17.3867,17.3867,17.0133,305100.0
2013-05-29,17.3067,17.2,17.36,17.2,102100.0
2013-05-30,16.9333,17.3067,17.3067,16.88,166800.0
2013-05-31,16.96,16.9333,17.0667,16.5333,664400.0
2013-06-03,16.48,16.5333,16.8,16.4267,586800.0
2013-06-04,16.1067,16.5333,16.5867,16.1067,215200.0
2013-06-05,16.08,16.1067,16.8,16.08,71900.0
2013-06-06,16.4267,16.08,16.4267,15.6,548100.0
2013-06-07,16.0,16.5333,16.5333,16.0,197100.0
2013-06-10,16.8,16.0533,16.8533,16.0533,276200.0
2013-06-11,16.16,16.8,16.8,16.1067,251800.0
2013-06-13,15.4133,16.16,16.16,15.2,351700.0
2013-06-14,15.36,16.0,16.0,15.36,113300.0
2013-06-17,15.4667,15.36,15.52,15.36,216300.0
2013-06-18,15.4667,15.52,15.5733,15.4133,151200.0
2013-06-19,15.7867,15.4933,16.0,15.4933,106400.0
2013-06-20,15.52,15.4933,15.7333,15.2,464500.0
2013-06-21,14.64,15.2,15.2,14.4,475700.0
2013-06-24,13.0933,14.4,14.4,13.0667,155800.0
2013-06-25,12.7467,13.0933,13.3333,12.64,329100.0
2013-06-26,13.3067,12.9067,13.8667,12.9067,278900.0
2013-06-27,13.76,13.8667,14.3733,13.76,126000.0
2013-06-28,13.76,13.8667,13.8667,13.76,201200.0
2013-07-01,13.68,13.8667,13.9733,13.6533,52100.0
2013-07-02,13.9467,13.7067,14.4,13.7067,62500.0
2013-07-03,13.8667,13.8667,13.92,13.8667,6700.0
2013-07-04,13.7067,13.76,13.76,13.68,17300.0
2013-07-05,13.8133,13.9467,13.9467,13.8133,37700.0
2013-07-08,13.8667,13.8133,13.8667,13.7067,21500.0
2013-07-09,13.3333,13.8133,13.8667,13.3333,74900.0
2013-07-10,13.3333,13.3333,13.3333,13.3333,120500.0
2013-07-11,13.44,13.3333,13.84,13.3333,93200.0
2013-07-12,13.6,13.4667,13.84,13.4667,45900.0
2013-07-15,13.8667,13.6267,13.8667,13.6,86200.0
2013-07-16,13.7067,13.8933,13.8933,13.7067,25700.0
2013-07-17,13.7067,13.8667,13.8667,13.6533,16600.0
2013-07-18,13.76,13.7867,13.8133,13.76,17500.0
2013-07-19,13.7067,13.7067,13.76,13.7067,53400.0
2013-07-22,13.6533,13.6533,13.6533,13.6533,14500.0
2013-07-23,14.08,13.7067,14.08,13.7067,54300.0
2013-07-24,13.84,14.0267,14.0267,13.84,27000.0
2013-07-25,13.8667,13.84,13.8933,13.84,23800.0
2013-07-26,13.8667,13.8667,14.08,13.8667,18900.0
2013-07-29,13.76,13.84,14.08,13.6267,60800.0
2013-07-30,13.8667,13.8667,13.8667,13.8133,16200.0
2013-07-31,13.6533,13.7067,13.7067,13.6533,24100.0
2013-08-01,13.6,13.6533,13.7333,13.5733,68600.0
2013-08-02,13.5467,13.6,13.6267,13.5467,72300.0
2013-08-05,13.5467,13.6,13.6267,13.5467,19600.0
2013-08-06,13.44,13.5467,13.5467,13.44,1924100.0
2013-08-07,13.44,13.4133,13.44,13.3867,24600.0
2013-08-08,13.1733,13.3867,13.3867,13.1733,129400.0
2013-08-12,13.2533,13.6,13.6,13.2,15200.0
2013-08-13,13.3067,13.2533,13.3067,13.2533,151500.0
2013-08-14,13.6,13.28,13.6,13.28,82300.0
2013-08-15,13.3333,13.44,13.44,13.3067,162000.0
2013-08-16,13.3067,13.3333,13.3333,13.2533,469300.0
2013-08-22,12.7467,13.2267,13.2267,12.7467,192500.0
2013-08-23,12.72,12.8267,12.8267,12.72,101100.0
2013-08-27,12.4533,12.8,12.8,12.4,78000.0
2013-08-28,11.7333,12.2667,12.2667,11.6533,325400.0
2013-08-29,11.7333,11.7333,11.7333,11.7333,10000.0
