Date,Close,Open,High,Low,Volume
2021-09-14,6.46,6.55,6.55,6.44,77276500.0
2021-09-15,6.44,6.45,6.46,6.44,32911900.0
2021-09-16,6.46,6.45,6.49,6.45,23734100.0
2021-09-17,6.45,6.46,6.46,6.45,12388900.0
2021-09-20,6.46,6.46,6.48,6.45,16327100.0
2021-09-21,6.45,6.46,6.46,6.44,14635200.0
2021-09-22,6.45,6.45,6.46,6.45,4378600.0
2021-09-23,6.47,6.45,6.47,6.45,3434100.0
2021-09-24,6.49,6.48,6.55,6.47,10230200.0
2021-09-27,6.58,6.5,6.64,6.5,7769600.0
2021-09-28,6.6,6.6,6.77,6.6,11106800.0
2021-09-29,6.73,6.62,6.76,6.58,4465200.0
2021-09-30,6.88,6.75,6.89,6.75,12426500.0
2021-10-01,7.0,6.88,7.09,6.85,15500900.0
2021-10-04,6.98,7.05,7.14,6.97,9912300.0
2021-10-05,7.03,7.0,7.05,6.99,6853800.0
2021-10-06,7.05,7.05,7.07,7.01,7874200.0
2021-10-07,6.8,7.04,7.04,6.8,12704600.0
2021-10-08,6.95,6.9,7.0,6.85,4432300.0
2021-10-11,6.85,6.96,7.02,6.85,5497500.0
2021-10-12,6.75,6.9,6.96,6.75,11459600.0
2021-10-13,6.85,6.77,6.9,6.76,1968400.0
2021-10-14,6.64,6.89,6.89,6.62,18204100.0
2021-10-15,6.75,6.65,6.87,6.65,11861100.0
2021-10-18,6.7,6.75,6.8,6.69,12839300.0
2021-10-19,6.68,6.7,6.72,6.66,9602200.0
2021-10-20,6.7,6.7,6.71,6.68,5571400.0
2021-10-21,6.79,6.73,6.79,6.69,9381000.0
2021-10-22,6.85,6.79,6.91,6.78,3025000.0
2021-10-25,6.83,6.85,6.86,6.81,3136900.0
2021-10-26,6.81,6.84,6.89,6.8,4967200.0
2021-10-27,6.83,6.83,6.87,6.82,12970000.0
2021-10-28,6.95,6.82,7.01,6.82,18813800.0
2021-10-29,6.99,7.03,7.03,6.96,5401900.0
2021-11-02,7.22,6.99,7.22,6.97,12615400.0
2021-11-03,7.22,7.21,7.24,7.08,6065000.0
2021-11-04,7.21,7.22,7.22,7.11,4180900.0
2021-11-05,7.21,7.23,7.23,7.12,5896300.0
2021-11-08,7.08,7.22,7.22,7.05,16242400.0
2021-11-09,7.15,7.08,7.2,7.08,3813300.0
2021-11-10,7.15,7.2,7.2,7.09,3070000.0
2021-11-11,7.19,7.18,7.2,7.17,1923000.0
