Date,Close,Open,High,Low,Volume
1989-10-16,4.6591,4.7756,4.7756,4.6009,7732000.0
1989-10-17,4.9503,4.8338,5.2415,4.8338,5082000.0
1989-10-18,4.7174,5.0668,5.125,4.7174,2987500.0
1989-10-19,4.8921,4.8921,4.9503,4.7756,3588000.0
1989-10-20,5.0668,4.9503,5.1833,4.9503,4063000.0
1989-10-23,5.5327,5.125,5.5327,5.125,8048000.0
1989-10-24,5.5909,5.6492,5.7074,5.5327,8635000.0
1989-10-25,5.5327,5.5327,5.5327,5.4745,1913000.0
1989-10-26,5.4162,5.5327,5.5327,5.358,1737000.0
1989-10-27,5.2997,5.358,5.358,5.125,1313000.0
1989-10-30,5.2997,5.2997,5.2997,5.2415,501500.0
1989-10-31,5.4745,5.358,5.5327,5.358,1045500.0
1989-11-02,5.4745,5.5909,5.5909,5.4745,1487500.0
1989-11-03,5.4162,5.4745,5.4745,5.358,541000.0
1989-11-06,5.5327,5.4745,5.5909,5.4745,1370500.0
1989-11-07,5.5327,5.4745,5.5327,5.4745,1426000.0
1989-11-08,5.4745,5.5909,5.5909,5.4745,339000.0
1989-11-09,5.4745,5.5327,5.5327,5.4162,1015000.0
1989-11-10,5.2997,5.4162,5.4162,5.2997,394500.0
1989-11-13,5.2997,5.358,5.358,5.2415,506500.0
1989-11-14,5.2997,5.358,5.4162,5.2997,733500.0
1989-11-15,5.2415,5.2997,5.2997,5.2415,874000.0
1989-11-16,5.1833,5.2415,5.2415,5.125,629500.0
1989-11-17,5.2415,5.1833,5.2415,5.1833,399000.0
1989-11-20,5.1833,5.2415,5.2415,5.1833,356500.0
1989-11-21,4.9503,5.1833,5.1833,4.9503,1527500.0
1989-11-23,4.8921,4.7756,4.8921,4.7756,847500.0
1989-11-24,4.7756,4.8338,4.8338,4.7756,639500.0
1989-11-27,4.7756,4.7174,4.7756,4.7174,792000.0
1989-11-28,4.7756,4.7174,4.7756,4.7174,861500.0
1989-11-29,4.8338,4.7756,4.8338,4.7756,905500.0
1989-12-11,3.902,4.1932,4.1932,3.5526,1749500.0
1989-12-12,3.7273,3.9602,4.0185,3.7273,2347500.0
1989-12-13,3.6108,3.6108,3.6108,3.5526,2837500.0
1989-12-14,3.4361,3.6108,3.6108,3.4361,745000.0
1989-12-15,3.2614,3.3779,3.3779,3.0284,628000.0
1989-12-18,3.1449,3.2614,3.3196,3.1449,350500.0
1989-12-19,3.1449,3.0867,3.1449,3.0867,177500.0
1989-12-20,3.2031,3.2614,3.2614,3.2031,497000.0
1989-12-21,3.3196,3.2614,3.3196,3.2031,1013000.0
1989-12-22,3.4361,3.3196,3.4361,3.3196,357500.0
1989-12-26,3.3779,3.4943,3.4943,3.3779,1573000.0
1989-12-27,3.3779,3.3779,3.4361,3.3779,302500.0
1989-12-28,3.3779,3.3779,3.3779,3.3196,281000.0
1989-12-29,3.2614,3.2614,3.2614,3.2614,147500.0
1990-01-02,3.3196,3.3196,3.3196,3.2614,284500.0
1990-01-03,3.2614,3.2614,3.3196,3.2614,137000.0
1990-01-04,3.0867,3.2614,3.3196,3.0867,1175000.0
1990-01-05,3.3779,3.1449,3.3779,3.0867,1058500.0
1990-01-08,3.2614,3.3779,3.3779,3.2614,667500.0
1990-01-09,3.2031,3.2031,3.2031,3.2031,24500.0
1990-01-10,3.1449,3.2031,3.2031,3.0867,462500.0
1990-01-11,3.0867,3.0867,3.1449,3.0284,696000.0
1990-01-12,3.0867,3.0284,3.0867,2.9702,960000.0
1990-01-15,3.0284,2.9702,3.0284,2.9119,1191000.0
1990-01-16,2.9702,2.9702,2.9702,2.9702,390000.0
1990-01-17,3.0284,2.9702,3.0284,2.9702,1158000.0
1990-01-18,2.9702,2.9702,2.9702,2.9119,384000.0
1990-01-19,3.0867,2.9702,3.1449,2.9702,400500.0
1990-01-22,3.0867,3.0867,3.0867,3.0867,331000.0
1990-01-23,3.0284,3.0284,3.0867,3.0284,423500.0
1990-01-24,2.9702,3.0284,3.0867,2.9702,1565500.0
1990-01-25,2.9702,3.0284,3.0284,2.9702,176000.0
1990-01-26,3.0284,2.9702,3.0284,2.9702,564000.0
1990-01-29,3.0867,3.0284,3.0867,3.0284,233000.0
1990-01-30,3.0284,3.0867,3.0867,3.0284,191500.0
1990-01-31,3.0284,3.0284,3.0284,3.0284,365000.0
1990-02-01,3.0284,2.9702,3.0284,2.9702,88000.0
