Date,Close,Open,High,Low,Volume
2012-05-11,4.9,7.71,7.71,4.02,8191000.0
2012-05-14,3.75,5.09,5.15,3.65,2730000.0
2012-05-15,3.05,3.73,3.73,2.51,1388000.0
2012-05-16,2.6,3.16,3.3,2.6,2546000.0
2012-05-17,3.48,2.7,3.6,2.7,2972000.0
2012-05-18,3.6,3.39,4.0,3.13,2298000.0
2012-05-21,3.7,3.6,3.9,3.6,947000.0
2012-05-22,3.55,3.7,3.89,3.5,847000.0
2012-05-23,3.48,3.55,3.55,3.39,244000.0
2012-05-24,3.3,3.55,3.6,3.28,434000.0
2012-05-25,3.23,3.46,3.5,3.23,683000.0
2012-05-28,3.14,3.25,3.25,3.12,529000.0
2012-05-29,3.15,3.15,3.37,3.14,623000.0
2012-05-30,3.1,3.16,3.17,3.0,789000.0
2012-05-31,3.02,3.2,3.2,3.0,743000.0
2012-06-01,3.15,3.0,3.35,3.0,672000.0
2012-06-04,3.14,3.15,3.15,3.04,126000.0
2012-06-05,3.06,3.14,3.14,3.05,86000.0
2012-06-06,3.2,3.06,3.25,3.06,599000.0
2012-06-07,3.18,3.25,3.25,3.18,371000.0
2012-06-08,3.15,3.16,3.16,3.1,93000.0
2012-06-11,3.16,3.24,3.24,3.12,130000.0
2012-06-13,3.12,3.2,3.2,3.12,180000.0
2012-06-14,3.12,3.14,3.19,3.12,63000.0
2012-06-15,3.08,3.16,3.18,3.08,85000.0
2012-06-18,3.1,3.16,3.16,3.1,66000.0
2012-06-19,3.09,3.05,3.1,3.05,136000.0
2012-06-20,3.09,3.1,3.12,3.07,401000.0
2012-06-21,3.08,3.08,3.11,3.08,450000.0
2012-06-22,3.08,3.08,3.09,3.07,163000.0
2012-06-25,3.08,3.08,3.1,3.07,318000.0
2012-06-26,3.08,3.08,3.09,3.08,61000.0
2012-06-27,3.07,3.07,3.09,3.06,110000.0
2012-06-28,3.13,3.09,3.25,3.05,378000.0
2012-06-29,3.1,3.13,3.13,3.08,241000.0
2012-07-02,3.1,3.09,3.17,3.09,127000.0
2012-07-03,3.13,3.1,3.17,3.1,229000.0
2012-07-04,3.14,3.15,3.17,3.13,74000.0
2012-07-05,3.14,3.15,3.17,3.14,250000.0
2012-07-06,3.55,3.14,3.55,3.14,1296000.0
2012-07-09,3.45,3.5,3.53,3.35,448000.0
2012-07-10,3.3,3.35,3.36,3.2,441000.0
2012-07-11,3.22,3.3,3.5,3.18,578000.0
2012-07-12,3.32,3.22,3.39,3.16,101000.0
2012-07-13,3.44,3.2,3.5,3.2,100000.0
2012-07-16,3.26,3.4,3.4,3.21,141000.0
2012-07-17,3.25,3.26,3.3,3.2,218000.0
2012-07-18,3.09,3.4,3.4,3.02,1298000.0
2012-07-19,3.12,3.15,3.17,3.11,141000.0
2012-07-20,3.17,3.12,3.2,3.12,33000.0
2012-07-23,3.09,3.17,3.17,3.05,72000.0
2012-07-24,3.09,3.06,3.15,3.05,134000.0
2012-07-25,3.16,3.09,3.25,3.09,109000.0
2012-07-26,3.13,3.16,3.16,3.1,45000.0
2012-07-27,3.12,3.13,3.13,3.11,73000.0
2012-07-30,3.13,3.13,3.16,3.12,89000.0
2012-07-31,3.1,3.13,3.13,3.09,368000.0
2012-08-01,3.14,3.18,3.18,3.08,101000.0
2012-08-02,3.09,3.08,3.09,3.05,255000.0
2012-08-03,4.0,3.08,4.1,3.08,6696000.0
2012-08-06,4.31,4.33,4.63,4.2,3980000.0
2012-08-08,4.05,4.31,4.31,4.05,1292000.0
2012-08-09,3.98,4.1,4.14,3.98,1007000.0
2012-08-10,4.06,4.1,4.42,4.05,1556000.0
2012-08-13,4.06,4.07,4.2,4.05,262000.0
2012-08-14,4.09,4.03,4.25,4.03,651000.0
2012-08-15,4.09,4.1,4.2,4.09,115000.0
2012-08-16,3.98,4.09,4.09,3.98,266000.0
2012-08-17,3.85,3.92,3.94,3.85,471000.0
2012-08-22,3.85,3.86,4.0,3.85,105000.0
2012-08-23,3.85,3.96,3.96,3.85,43000.0
2012-08-24,3.58,3.8,3.8,3.57,543000.0
2012-08-28,3.63,3.58,3.74,3.58,179000.0
2012-08-29,3.58,3.62,3.62,3.58,198000.0
2012-08-30,3.6,3.56,3.6,3.56,164000.0
2012-08-31,3.57,3.6,3.6,3.55,128000.0
2012-09-03,3.65,3.59,3.68,3.59,114000.0
2012-09-04,3.56,3.65,3.7,3.56,137000.0
2012-09-05,3.45,3.57,3.57,3.45,438000.0
2012-09-06,3.41,3.46,3.46,3.41,108000.0
2012-09-07,3.4,3.45,3.5,3.4,292000.0
2012-09-10,3.39,3.54,3.54,3.39,127000.0
2012-09-11,3.33,3.38,3.38,3.32,486000.0
2012-09-12,3.33,3.33,3.35,3.3,245000.0
2012-09-13,3.29,3.33,3.33,3.28,405000.0
2012-09-14,3.29,3.3,3.32,3.28,241000.0
2012-09-17,3.3,3.29,3.33,3.29,311000.0
2012-09-18,3.28,3.3,3.3,3.27,319000.0
2012-09-19,3.35,3.28,3.48,3.27,906000.0
2012-09-20,3.38,3.36,3.42,3.34,156000.0
2012-09-21,3.34,3.4,3.4,3.33,217000.0
2012-09-24,3.3,3.34,3.34,3.29,280000.0
2012-09-25,3.29,3.29,3.3,3.29,261000.0
2012-09-26,3.28,3.29,3.3,3.28,152000.0
2012-09-27,3.28,3.29,3.3,3.28,494000.0
2012-09-28,3.29,3.29,3.48,3.29,428000.0
2012-10-01,3.38,3.3,3.4,3.3,501000.0
2012-10-02,3.41,3.45,3.45,3.37,256000.0
2012-10-03,3.36,3.4,3.41,3.36,341000.0
2012-10-04,3.36,3.36,3.4,3.33,254000.0
2012-10-05,3.38,3.36,3.5,3.36,425000.0
2012-10-08,3.38,3.36,3.45,3.36,424000.0
2012-10-09,3.36,3.32,3.37,3.32,99000.0
2012-10-10,3.34,3.37,3.37,3.31,321000.0
2012-10-11,3.36,3.3,3.36,3.3,51000.0
2012-10-12,3.32,3.31,3.33,3.3,83000.0
2012-10-15,3.34,3.36,3.4,3.34,301000.0
2012-10-16,3.32,3.33,3.35,3.32,331000.0
2012-10-17,3.32,3.32,3.41,3.32,211000.0
2012-10-18,3.3,3.32,3.33,3.29,556000.0
2012-10-19,3.17,3.31,3.32,3.1,1198000.0
2012-10-22,3.17,3.17,3.27,3.17,167000.0
2012-10-23,3.17,3.17,3.24,3.16,110000.0
2012-10-24,3.16,3.16,3.17,3.15,80000.0
2012-10-25,3.15,3.16,3.17,3.15,170000.0
2012-10-29,3.13,3.15,3.15,3.13,111000.0
2012-10-30,3.1,3.1,3.13,3.09,199000.0
2012-10-31,3.09,3.1,3.11,3.09,250000.0
2012-11-05,3.08,3.09,3.1,3.07,196000.0
2012-11-06,3.11,3.08,3.11,3.07,168000.0
2012-11-07,3.09,3.11,3.11,3.08,70000.0
2012-11-08,3.08,3.09,3.09,3.05,269000.0
2012-11-09,3.03,3.03,3.06,3.03,231000.0
2012-11-12,3.04,3.07,3.07,3.03,126000.0
2012-11-13,3.0,3.07,3.08,3.0,453000.0
2012-11-14,2.99,3.03,3.04,2.99,522000.0
2012-11-15,2.96,2.99,3.0,2.96,221000.0
2012-11-16,2.96,3.0,3.0,2.96,163000.0
2012-11-19,2.9,2.96,2.96,2.9,431000.0
2012-11-20,2.7,2.9,2.9,2.6,3391000.0
2012-11-21,2.87,2.7,3.05,2.66,680000.0
2012-11-22,2.87,2.99,2.99,2.87,241000.0
2012-11-23,2.9,2.8,2.9,2.8,74000.0
2012-11-26,2.92,2.9,2.93,2.9,92000.0
2012-11-27,2.94,2.92,3.0,2.92,364000.0
2012-11-28,2.96,2.99,3.0,2.95,393000.0
2012-11-29,2.92,2.96,3.0,2.92,388000.0
2012-12-03,2.88,2.93,2.93,2.88,319000.0
2012-12-04,2.88,2.88,2.98,2.88,532000.0
2012-12-05,2.88,2.89,2.89,2.86,73000.0
2012-12-06,2.88,2.87,2.89,2.87,163000.0
2012-12-07,2.85,2.88,2.88,2.85,330000.0
2012-12-10,2.81,2.85,2.86,2.81,337000.0
2012-12-11,2.8,2.86,2.86,2.75,374000.0
2012-12-12,2.78,2.8,2.81,2.75,216000.0
2012-12-13,2.65,2.8,2.85,2.6,1738000.0
2012-12-14,2.63,2.67,2.78,2.5,3129000.0
2012-12-17,2.6,2.69,2.69,2.52,413000.0
2012-12-18,2.57,2.7,2.7,2.57,263000.0
2012-12-19,2.5,2.57,2.6,2.4,3124000.0
2012-12-20,2.5,2.6,2.6,2.41,3450000.0
2012-12-21,2.51,2.48,2.51,2.44,82000.0
2012-12-26,2.49,2.5,2.51,2.49,430000.0
2012-12-27,2.39,2.49,2.65,2.35,2811000.0
2012-12-28,2.43,2.48,2.49,2.38,206000.0
2013-01-02,2.49,2.4,2.65,2.4,407000.0
2013-01-03,2.52,2.5,2.55,2.5,410000.0
2013-01-04,2.58,2.52,2.64,2.52,366000.0
2013-01-07,2.85,2.6,2.87,2.6,1777000.0
2013-01-08,2.9,2.86,2.97,2.76,2212000.0
2013-01-09,2.92,2.82,2.93,2.82,2435000.0
2013-01-10,2.78,2.92,2.92,2.75,569000.0
2013-01-11,2.79,2.81,2.89,2.79,638000.0
2013-01-14,2.96,2.8,2.96,2.8,1564000.0
2013-01-15,3.38,2.97,3.48,2.96,17104000.0
2013-01-16,3.2,3.4,3.46,3.09,8636000.0
2013-01-17,3.31,3.2,3.37,3.15,7039000.0
2013-01-18,3.29,3.39,3.42,3.29,2057000.0
2013-01-21,3.24,3.3,3.33,3.23,759000.0
2013-01-22,3.21,3.24,3.33,3.19,886000.0
