Date,Close,Open,High,Low,Volume
2011-05-31,326.0,326.0,326.0,326.0,410.0
2011-06-01,489.0,489.0,489.0,489.0,1020.0
2011-06-02,733.5,733.5,733.5,733.5,210.0
2011-06-03,1049.0,1100.0,1100.0,1000.0,2100.0
2011-06-06,700.0,760.0,760.0,700.0,390.0
2011-06-07,600.0,700.0,700.0,600.0,300.0
2011-06-08,700.0,580.5,700.0,540.0,920.0
2011-06-09,740.0,750.0,750.0,720.0,130.0
2011-06-10,670.0,670.0,670.0,670.0,30.0
2011-06-13,570.5,670.0,670.0,570.5,210.0
2011-06-14,610.0,580.5,610.0,550.0,480.0
2011-06-16,600.0,591.5,600.0,580.0,190.0
2011-06-22,600.0,600.0,600.0,600.0,70.0
2011-06-23,570.0,600.0,600.0,570.0,100.0
2011-06-27,560.0,578.0,578.0,540.0,250.0
2011-06-30,579.5,579.5,579.5,579.5,10.0
2011-07-04,530.0,560.0,560.0,530.0,200.0
2011-07-06,520.0,520.5,520.5,500.0,430.0
2011-07-08,609.5,501.5,609.5,500.0,220.0
2011-07-11,520.0,498.2,520.0,498.2,20.0
2011-07-13,500.0,500.0,500.0,500.0,70.0
2011-07-14,500.0,500.0,500.0,500.0,30.0
2011-07-15,500.0,500.0,500.0,500.0,50.0
2011-07-18,595.0,589.0,595.0,589.0,60.0
2011-07-21,505.0,505.5,506.0,505.0,100.0
2011-07-22,600.0,600.0,600.0,600.0,10.0
2011-07-25,558.0,558.0,558.0,558.0,20.0
2011-07-28,530.0,530.0,530.0,530.0,30.0
2011-07-29,553.5,554.5,554.5,553.5,30.0
2011-08-03,530.0,530.0,530.0,530.0,20.0
2011-08-08,491.0,501.0,501.0,491.0,60.0
2011-08-09,480.2,495.0,495.0,480.0,220.0
2011-08-10,483.0,483.0,483.0,483.0,10.0
2011-08-12,485.2,485.2,485.2,485.2,20.0
2011-08-15,599.5,599.5,599.5,599.5,10.0
2011-08-16,799.5,599.5,850.0,599.5,520.0
2011-08-17,779.0,779.0,779.0,779.0,50.0
2011-08-18,500.0,550.0,550.0,500.0,1200.0
2011-08-19,580.0,550.0,580.0,550.0,60.0
2011-08-22,600.0,650.0,650.0,600.0,20.0
2011-08-23,501.0,599.5,600.0,500.0,350.0
2011-08-24,598.0,597.5,598.0,597.5,50.0
2011-08-31,607.0,605.0,607.0,605.0,60.0
2011-09-01,516.0,550.0,550.0,515.0,690.0
2011-09-02,520.0,525.0,530.0,516.0,8150.0
2011-09-06,520.0,516.0,520.0,516.0,3030.0
2011-09-12,515.5,516.5,516.5,515.5,80.0
2011-09-15,599.5,599.5,599.5,599.5,10.0
2011-09-20,514.0,519.0,519.0,514.0,200.0
2011-09-23,515.0,515.0,515.0,515.0,60.0
2011-09-26,512.5,514.0,514.0,512.5,80.0
2011-09-28,515.0,516.0,516.0,515.0,90.0
2011-09-29,515.0,515.0,515.0,515.0,20.0
2011-10-03,510.0,513.0,513.0,510.0,100.0
2011-10-04,508.0,509.0,509.0,508.0,120.0
2011-10-10,508.0,512.0,512.0,508.0,90.0
2011-10-12,501.0,507.5,507.5,501.0,590.0
2011-11-02,505.5,505.5,505.5,505.5,10.0
2011-11-14,503.0,503.0,503.0,503.0,10.0
2011-11-16,540.0,540.0,540.0,540.0,10.0
2011-11-22,509.0,513.0,513.0,509.0,60.0
2011-11-23,510.0,510.0,510.0,510.0,20.0
2011-12-12,503.0,510.0,510.0,503.0,170.0
2011-12-13,501.5,501.5,501.5,501.5,30.0
2011-12-23,500.5,503.0,503.0,500.5,100.0
2011-12-27,510.0,510.0,510.0,510.0,20.0
2012-01-02,530.0,530.0,530.0,530.0,30.0
2012-01-03,501.0,505.5,505.5,501.0,60.0
2012-01-05,530.0,530.0,530.0,530.0,20.0
2012-01-09,530.0,530.0,530.0,530.0,80.0
2012-01-13,526.0,526.0,526.0,526.0,20.0
2012-01-17,522.0,520.0,522.0,520.0,550.0
2012-01-18,510.0,510.0,510.0,510.0,40.0
2012-01-19,520.0,520.0,520.0,520.0,20.0
2012-01-26,635.0,635.0,635.0,635.0,10.0
2012-02-07,567.0,567.0,567.0,567.0,20.0
2012-02-15,522.0,522.0,522.0,522.0,20.0
2012-02-16,500.0,500.5,500.5,500.0,90.0
2012-02-21,522.0,522.0,522.0,522.0,20.0
2012-02-27,501.0,501.0,501.0,501.0,30.0
2012-03-01,500.0,500.0,500.0,500.0,60.0
2012-03-07,500.0,500.0,500.0,500.0,50.0
2012-03-27,520.0,520.0,520.0,520.0,20.0
2012-03-28,610.0,522.0,610.0,522.0,310.0
