Date,Close,Open,High,Low,Volume
1991-07-05,3.6351,3.7037,3.7037,3.5665,42312800.0
1991-07-08,3.4979,3.5665,3.6351,3.4979,1974000.0
1991-07-09,3.2579,3.4294,3.4294,3.1893,513200.0
1991-07-10,3.2236,3.2236,3.2579,3.1207,1053700.0
1991-07-11,3.155,3.2236,3.2579,3.155,402600.0
1991-07-12,3.0864,3.0864,3.0864,2.9492,516800.0
1991-07-15,3.1207,3.1207,3.155,3.0864,259700.0
1991-07-16,3.1893,3.1207,3.2236,3.1207,506200.0
1991-07-17,3.1207,3.1207,3.155,3.0521,433800.0
1991-07-18,3.1207,3.1207,3.155,3.0864,697900.0
1991-07-19,3.2236,3.155,3.2236,3.155,485500.0
1991-07-23,3.1893,3.2922,3.2922,3.1893,277400.0
1991-07-24,3.155,3.155,3.155,3.1207,234900.0
1991-07-25,3.155,3.1207,3.155,3.1207,405400.0
1991-07-26,3.1893,3.1207,3.1893,3.1207,479900.0
1991-07-29,3.155,3.1893,3.1893,3.1207,86000.0
1991-07-30,3.1893,3.155,3.1893,3.1207,858000.0
1991-07-31,3.1893,3.1893,3.1893,3.155,474300.0
1991-08-01,3.1207,3.155,3.155,3.1207,161900.0
1991-08-02,3.1207,3.1207,3.1207,3.1207,63400.0
1991-08-05,3.1207,3.1207,3.1207,3.1207,156800.0
1991-08-06,3.1207,3.1207,3.1207,3.0864,54500.0
1991-08-07,3.0864,3.1207,3.1207,3.0521,336800.0
1991-08-08,3.0178,3.0521,3.0864,3.0178,467600.0
1991-08-09,2.9835,2.9835,2.9835,2.9492,573900.0
1991-08-12,2.9492,2.9835,2.9835,2.9149,153400.0
1991-08-13,2.8807,2.9492,2.9492,2.8464,75600.0
1991-08-14,2.8464,2.8807,2.9149,2.8121,209900.0
1991-08-15,2.8807,2.8121,2.8807,2.8121,56700.0
1991-08-16,2.9149,2.9149,2.9149,2.8807,101800.0
1991-08-19,2.8807,2.8807,2.8807,2.8807,148400.0
1991-08-20,2.7435,2.8464,2.8464,2.6749,392300.0
1991-08-21,2.7435,2.7435,2.7435,2.7092,256600.0
1991-08-22,2.8807,2.7778,2.8807,2.7778,155300.0
1991-08-23,2.9492,2.8464,2.9492,2.8464,212700.0
1991-08-26,3.0521,2.9492,3.0864,2.9492,179100.0
1991-08-27,3.0521,3.0864,3.1207,3.0521,136000.0
1991-08-28,3.0521,3.0864,3.1207,3.0178,131200.0
1991-08-29,3.0178,3.0178,3.0178,2.9835,120200.0
1991-08-30,2.9492,3.0178,3.0178,2.9492,226100.0
1991-09-02,2.9492,2.9492,2.9835,2.9492,251400.0
1991-09-03,2.9492,2.9835,2.9835,2.9492,190600.0
1991-09-04,2.8807,2.9492,2.9492,2.8807,168300.0
1991-09-05,2.8807,2.8807,2.9149,2.8807,845100.0
1991-09-06,2.9149,2.8807,2.9149,2.8807,355700.0
1991-09-09,2.7778,2.8464,2.8464,2.7435,143900.0
1991-09-11,2.572,2.6749,2.7435,2.5377,814700.0
1991-09-12,2.5377,2.5377,2.572,2.4348,336500.0
1991-09-13,2.6406,2.572,2.6406,2.572,229600.0
1991-09-16,2.6063,2.6406,2.6406,2.6063,392800.0
1991-09-17,2.572,2.6406,2.6406,2.572,324600.0
1991-09-18,2.6406,2.5377,2.6406,2.5377,279700.0
1991-09-19,2.6063,2.6063,2.6406,2.6063,133800.0
1991-09-20,2.6063,2.6063,2.6063,2.6063,145100.0
1991-09-23,2.6749,2.6063,2.6749,2.6063,66300.0
1991-09-24,2.7778,2.6749,2.8121,2.6749,179000.0
1991-09-25,2.7778,2.8121,2.8121,2.7435,143400.0
1991-09-26,2.7435,2.7778,2.7778,2.7435,93200.0
