Date,Close,Open,High,Low,Volume
2002-05-21,17.7335,17.9471,17.9471,17.3061,1205700.0
2002-05-22,17.7335,17.5198,17.7335,17.3061,3323900.0
2002-05-23,17.7335,17.5198,17.7335,17.5198,590200.0
2002-05-24,17.7335,17.7335,17.7335,17.5198,646000.0
2002-05-27,17.5198,17.5198,17.5198,17.5198,1480600.0
2002-05-28,17.7335,17.5198,17.7335,17.5198,1275100.0
2002-05-29,17.7335,17.5198,17.7335,17.5198,762200.0
2002-05-30,17.7335,17.5198,17.7335,17.5198,1161800.0
2002-05-31,17.7335,17.5198,17.7335,17.5198,1752900.0
2002-06-03,17.7335,17.5198,17.7335,17.5198,396700.0
2002-06-04,17.5198,17.5198,17.7335,17.5198,1926900.0
2002-06-05,17.5198,17.5198,17.7335,17.5198,2039700.0
2002-06-06,17.5198,17.5198,17.5198,17.5198,1886000.0
2002-06-07,17.3061,17.5198,17.5198,17.3061,944100.0
2002-06-10,17.3061,17.3061,17.3061,16.8788,1166700.0
2002-06-11,17.0925,17.0925,17.0925,17.0925,1643600.0
2002-06-13,17.0925,17.0925,17.0925,17.0925,1870300.0
2002-06-14,17.0925,17.0925,17.0925,17.0925,795000.0
2002-06-17,17.0925,17.0925,17.0925,17.0925,1003000.0
2002-06-18,17.0925,17.0925,17.0925,17.0925,396100.0
2002-06-19,17.0925,17.0925,17.0925,17.0925,1060500.0
2002-06-20,17.0925,17.0925,17.0925,16.8788,576000.0
2002-06-21,16.8788,16.8788,16.8788,16.6652,548500.0
2002-06-24,16.4515,16.8788,16.8788,16.0242,519000.0
2002-06-25,15.8106,16.2379,16.2379,15.8106,272000.0
2002-06-26,14.9559,15.8106,15.8106,14.9559,492400.0
2002-06-27,15.3832,15.1696,15.3832,14.5286,265700.0
2002-06-28,16.0242,15.1696,16.2379,15.1696,543600.0
2002-07-01,15.5969,15.8106,15.8106,15.3832,47700.0
2002-07-02,15.5969,15.3832,15.5969,15.3832,33100.0
2002-07-03,15.5969,15.3832,15.5969,15.3832,94900.0
2002-07-04,15.3832,15.3832,15.3832,15.3832,105800.0
2002-07-05,15.3832,15.3832,15.3832,15.1696,218500.0
2002-07-08,15.3832,15.3832,15.3832,15.3832,17700.0
2002-07-09,15.1696,15.1696,15.1696,15.1696,9500.0
2002-07-10,15.1696,15.1696,15.1696,14.9559,29300.0
2002-07-11,14.9559,14.9559,14.9559,14.7423,51700.0
2002-07-12,14.5286,14.7423,14.7423,14.315,240000.0
2002-07-16,14.7423,14.5286,14.9559,14.5286,54900.0
2002-07-17,14.7423,14.7423,14.9559,14.7423,26300.0
2002-07-18,14.5286,14.7423,14.7423,14.5286,98300.0
2002-07-19,14.5286,14.5286,14.5286,14.5286,59900.0
2002-07-22,14.7423,14.5286,14.9559,14.315,28300.0
2002-07-23,14.7423,14.7423,14.7423,14.7423,1100.0
2002-07-24,14.5286,14.5286,14.5286,14.5286,31900.0
2002-07-25,14.315,14.5286,14.5286,14.315,14400.0
2002-07-26,13.8876,14.315,14.315,13.8876,133500.0
2002-07-29,14.315,13.8876,14.315,13.674,248000.0
2002-07-30,14.315,14.315,14.315,14.315,19500.0
2002-07-31,14.315,14.1013,14.315,14.1013,158100.0
2002-08-01,14.1013,14.1013,14.315,14.1013,65800.0
2002-08-02,13.8876,14.1013,14.1013,13.8876,245400.0
2002-08-05,13.8876,13.8876,13.8876,13.8876,68300.0
2002-08-06,13.4603,13.8876,13.8876,13.4603,68400.0
2002-08-07,13.033,13.674,13.674,13.033,189400.0
2002-08-08,13.4603,13.2467,13.674,13.2467,250700.0
2002-08-09,13.674,13.2467,13.674,13.2467,58300.0
2002-08-12,13.674,13.4603,13.674,13.4603,24100.0
2002-08-13,13.2467,13.674,13.674,13.2467,368300.0
2002-08-14,13.033,13.4603,13.674,13.033,1727000.0
2002-08-15,13.4603,13.2467,13.4603,13.2467,143400.0
2002-08-16,13.674,13.4603,13.674,13.4603,312600.0
2002-08-19,13.8876,13.674,13.8876,13.674,81800.0
2002-08-20,14.5286,13.8876,14.5286,13.8876,350300.0
2002-08-21,14.5286,14.5286,14.5286,14.315,215000.0
2002-08-22,14.5286,14.315,14.5286,14.315,275300.0
2002-08-23,15.1696,14.315,15.1696,14.315,306000.0
2002-08-26,15.1696,15.1696,15.1696,14.9559,55000.0
2002-08-27,15.1696,14.9559,15.3832,14.9559,742600.0
2002-08-28,16.2379,15.1696,16.2379,14.9559,1431300.0
2002-08-29,16.0242,16.0242,16.0242,15.8106,563600.0
2002-08-30,16.2379,16.0242,16.2379,15.5969,355100.0
2002-09-02,16.0242,16.0242,16.0242,16.0242,20000.0
2002-09-03,15.5969,15.5969,15.5969,15.3832,183900.0
2002-09-04,15.5969,15.3832,15.5969,15.3832,138900.0
2002-09-05,15.5969,15.3832,15.5969,15.1696,178900.0
2002-09-06,15.5969,15.3832,15.5969,15.3832,42700.0
2002-09-09,15.8106,15.3832,15.8106,15.3832,103700.0
2002-09-10,15.5969,15.8106,15.8106,15.3832,55400.0
2002-09-11,15.3832,15.3832,15.3832,15.3832,40600.0
2002-09-12,15.3832,15.3832,15.3832,15.3832,5200.0
2002-09-13,15.8106,15.1696,15.8106,15.1696,18140900.0
2002-09-16,16.0242,15.3832,16.0242,15.3832,76400.0
2002-09-17,16.2379,15.8106,16.2379,15.8106,415000.0
2002-09-18,16.2379,15.8106,16.2379,15.8106,389100.0
2002-09-19,16.4515,16.2379,16.4515,16.0242,751100.0
2002-09-20,16.6652,16.2379,16.6652,16.2379,320000.0
2002-09-23,16.8788,16.6652,16.8788,16.4515,222700.0
2002-09-24,16.6652,16.6652,16.6652,16.4515,68700.0
2002-09-25,16.4515,16.4515,16.4515,16.4515,3900.0
2002-09-26,16.4515,16.2379,16.4515,16.2379,65700.0
2002-09-27,16.2379,16.2379,16.2379,15.8106,184500.0
2002-09-30,16.6652,15.8106,16.6652,15.8106,271300.0
2002-10-01,16.4515,16.2379,16.4515,16.2379,20900.0
2002-10-02,16.2379,16.2379,16.4515,16.2379,59600.0
2002-10-03,16.2379,16.0242,16.2379,16.0242,106000.0
2002-10-04,16.0242,16.0242,16.0242,16.0242,31000.0
2002-10-07,16.2379,16.0242,16.2379,16.0242,107000.0
2002-10-08,15.8106,16.0242,16.0242,15.8106,61000.0
2002-10-09,15.8106,15.8106,15.8106,15.8106,46400.0
2002-10-10,15.8106,15.8106,16.0242,15.8106,106600.0
2002-10-11,15.5969,15.5969,15.8106,15.5969,73000.0
2002-10-14,15.5969,15.5969,15.5969,15.5969,10200.0
2002-10-15,15.3832,15.5969,15.5969,15.3832,82000.0
2002-10-16,15.3832,15.3832,15.3832,15.3832,35000.0
2002-10-17,15.3832,15.1696,15.3832,15.1696,55000.0
2002-10-18,15.3832,15.3832,15.3832,15.1696,131400.0
2002-10-21,15.1696,15.3832,15.3832,15.1696,55000.0
2002-10-22,15.3832,15.1696,15.3832,15.1696,138400.0
2002-10-23,15.5969,15.3832,15.5969,15.3832,52000.0
2002-10-24,15.3832,15.3832,15.3832,15.3832,44200.0
2002-10-25,15.3832,15.3832,15.3832,15.3832,10500.0
2002-10-28,15.1696,15.1696,15.1696,15.1696,2000.0
2002-10-29,15.5969,15.1696,15.5969,15.1696,121500.0
2002-10-30,16.0242,15.3832,16.0242,15.3832,118800.0
2002-11-04,16.0242,15.3832,16.0242,15.3832,25500.0
2002-11-05,16.0242,15.8106,16.0242,15.8106,41100.0
2002-11-06,16.0242,15.8106,16.0242,15.8106,67000.0
2002-11-07,16.2379,15.8106,16.2379,15.8106,157000.0
2002-11-08,16.0242,16.0242,16.0242,16.0242,21000.0
2002-11-11,15.8106,15.8106,15.8106,15.8106,1500.0
2002-11-12,15.8106,15.8106,15.8106,15.8106,11500.0
2002-11-13,16.0242,15.8106,16.0242,15.5969,48000.0
2002-11-14,15.8106,15.8106,15.8106,15.8106,19900.0
2002-11-15,15.5969,15.8106,15.8106,15.5969,26000.0
2002-11-18,15.1696,15.3832,15.3832,15.1696,67000.0
2002-11-19,14.7423,14.9559,14.9559,14.7423,63400.0
2002-11-20,15.3832,14.9559,15.3832,14.9559,65700.0
2002-11-21,14.9559,14.9559,15.1696,14.9559,18000.0
2002-11-22,15.1696,15.1696,15.1696,15.1696,14000.0
2002-11-25,14.9559,15.1696,15.1696,14.9559,33600.0
2002-11-26,15.1696,14.9559,15.1696,14.9559,12000.0
2002-11-27,15.1696,15.1696,15.1696,15.1696,12000.0
2002-11-28,15.1696,15.1696,15.1696,15.1696,8000.0
2002-11-29,15.5969,15.1696,15.5969,15.1696,174800.0
2002-12-02,15.3832,15.1696,15.3832,15.1696,4400.0
2002-12-03,15.3832,15.3832,15.3832,15.3832,47000.0
2002-12-04,15.3832,15.3832,15.3832,15.3832,54000.0
2002-12-05,15.3832,15.3832,15.3832,15.3832,61100.0
2002-12-09,15.1696,15.1696,15.1696,15.1696,26000.0
2002-12-10,14.9559,14.9559,14.9559,14.9559,17300.0
2002-12-11,14.7423,14.7423,14.9559,14.7423,38200.0
2002-12-12,15.1696,14.7423,15.1696,14.1013,290000.0
2002-12-13,14.7423,14.7423,14.7423,14.7423,28900.0
2002-12-16,15.1696,14.7423,15.1696,14.7423,56500.0
2002-12-17,15.3832,15.1696,15.3832,15.1696,32000.0
2002-12-18,15.3832,15.3832,15.3832,15.3832,25000.0
2002-12-19,14.9559,15.3832,15.3832,14.9559,12000.0
2002-12-20,14.9559,14.7423,14.9559,14.7423,27700.0
2002-12-23,14.7423,14.9559,14.9559,14.7423,28900.0
2002-12-26,15.1696,14.9559,15.3832,14.9559,86900.0
2002-12-27,15.8106,14.9559,15.8106,14.9559,795700.0
2003-01-02,15.1696,15.3832,15.3832,15.1696,13000.0
2003-01-03,15.3832,15.3832,15.3832,15.1696,4900.0
2003-01-06,15.1696,15.1696,15.1696,15.1696,7000.0
2003-01-07,15.3832,15.1696,15.3832,14.9559,55300.0
2003-01-08,15.1696,15.1696,15.1696,15.1696,13000.0
2003-01-09,15.1696,15.1696,15.1696,15.1696,15000.0
2003-01-10,15.3832,14.9559,15.3832,14.9559,120500.0
2003-01-13,15.3832,15.3832,15.3832,15.1696,20900.0
2003-01-14,15.3832,15.1696,15.3832,15.1696,12100.0
2003-01-15,15.3832,15.3832,15.3832,15.1696,89900.0
2003-01-16,15.3832,15.3832,15.3832,15.3832,10000.0
2003-01-17,15.1696,15.1696,15.1696,15.1696,8000.0
2003-01-20,15.1696,14.9559,15.1696,14.9559,21000.0
2003-01-22,14.9559,14.9559,14.9559,14.9559,18000.0
2003-01-23,14.7423,14.9559,14.9559,14.7423,52500.0
2003-01-24,14.7423,14.7423,14.7423,14.7423,19000.0
2003-01-27,14.7423,14.7423,14.7423,14.7423,3200.0
2003-01-28,14.5286,14.7423,14.7423,14.5286,7300.0
2003-01-29,14.9559,14.7423,14.9559,14.7423,20100.0
2003-01-30,14.7423,14.7423,14.7423,14.7423,13200.0
2003-01-31,15.3832,14.7423,15.3832,14.7423,66400.0
2003-02-03,15.1696,15.1696,15.1696,15.1696,5000.0
2003-02-04,14.9559,14.7423,14.9559,14.7423,28000.0
2003-02-05,14.7423,14.7423,14.7423,14.7423,17000.0
2003-02-06,14.315,14.5286,14.5286,14.315,94300.0
2003-02-07,14.315,14.5286,14.5286,14.315,84400.0
2003-02-10,14.1013,14.315,14.315,14.1013,16400.0
2003-02-11,14.1013,14.1013,14.315,14.1013,17200.0
2003-02-12,14.315,14.315,14.315,14.315,9800.0
2003-02-13,14.315,14.315,14.315,14.315,1000.0
2003-02-14,14.1013,14.315,14.315,14.1013,29600.0
2003-02-17,13.8876,14.1013,14.1013,13.8876,21000.0
2003-02-18,13.8876,13.674,13.8876,13.674,49500.0
2003-02-19,13.674,13.8876,13.8876,13.674,22700.0
2003-02-20,13.8876,13.674,13.8876,13.674,31000.0
2003-02-21,13.674,13.674,13.8876,13.674,212300.0
2003-02-24,13.4603,13.674,13.674,13.4603,20000.0
2003-02-26,13.674,13.674,13.674,13.674,26000.0
2003-02-27,13.4603,13.4603,13.4603,13.4603,33500.0
2003-02-28,13.8876,13.4603,13.8876,13.4603,150000.0
2003-03-03,13.8876,13.8876,13.8876,13.674,92000.0
2003-03-04,14.1013,13.8876,14.1013,13.674,92000.0
2003-03-05,13.8876,13.8876,13.8876,13.8876,61000.0
2003-03-06,13.8876,13.8876,13.8876,13.674,67300.0
2003-03-07,14.1013,13.674,14.1013,13.674,19000.0
2003-03-10,13.8876,13.8876,13.8876,13.8876,10000.0
2003-03-11,13.4603,13.674,13.674,13.4603,40700.0
2003-03-12,13.4603,13.4603,13.674,13.4603,25900.0
2003-03-13,13.4603,13.4603,13.4603,13.2467,66200.0
2003-03-14,13.674,13.4603,13.674,13.4603,48800.0
2003-03-17,13.4603,13.4603,13.4603,13.4603,26700.0
2003-03-18,13.4603,13.674,13.674,13.4603,52300.0
2003-03-19,13.674,13.4603,13.674,13.4603,33200.0
2003-03-20,13.674,13.674,13.8876,13.674,141000.0
2003-03-21,13.674,13.674,13.674,13.674,10000.0
2003-03-24,13.674,13.674,13.8876,13.4603,111500.0
2003-03-25,13.4603,13.4603,13.4603,13.2467,6600.0
2003-03-26,13.674,13.4603,13.674,13.4603,25000.0
2003-03-27,13.8876,13.674,13.8876,13.674,38400.0
2003-03-28,13.8876,13.4603,13.8876,13.4603,180500.0
2003-03-31,13.8876,13.674,13.8876,13.4603,329000.0
2003-04-01,13.4603,13.4603,13.674,13.4603,11200.0
2003-04-02,13.674,13.4603,13.674,13.4603,89000.0
2003-04-04,13.8876,13.674,14.1013,13.674,321300.0
2003-04-08,14.1013,13.8876,14.1013,13.8876,250900.0
2003-04-09,13.674,13.8876,14.1013,13.674,72900.0
2003-04-10,13.8876,13.674,13.8876,13.674,66000.0
2003-04-11,13.674,13.674,13.674,13.674,15500.0
2003-04-14,13.8876,13.674,13.8876,13.674,62300.0
2003-04-15,13.8876,13.674,13.8876,13.4603,43600.0
2003-04-16,13.8876,13.8876,13.8876,13.8876,5000.0
2003-04-21,13.674,13.8876,13.8876,13.674,17500.0
2003-04-22,13.674,13.674,13.674,13.674,11000.0
2003-04-23,13.2467,13.674,13.674,13.2467,44300.0
2003-04-24,13.674,13.2467,13.674,13.2467,3800.0
2003-04-25,13.2467,13.4603,13.4603,13.2467,57500.0
2003-04-28,13.2467,13.2467,13.2467,13.2467,22600.0
2003-04-29,13.4603,13.4603,13.674,13.4603,50000.0
2003-04-30,13.8876,13.4603,13.8876,13.4603,123400.0
2003-05-05,13.4603,13.674,13.674,13.4603,51700.0
2003-05-06,13.674,13.674,13.674,13.4603,8500.0
2003-05-07,13.4603,13.4603,13.4603,13.4603,8300.0
2003-05-08,12.8194,13.2467,13.4603,12.8194,277600.0
2003-05-09,12.8194,13.2467,13.2467,12.8194,205400.0
2003-05-12,12.8194,12.8194,12.8194,12.8194,20500.0
2003-05-13,12.8194,12.8194,12.8194,12.8194,10700.0
2003-05-14,13.033,13.033,13.033,13.033,1000.0
2003-05-15,12.8194,13.033,13.033,12.8194,1100.0
2003-05-16,12.8194,12.8194,12.8194,12.8194,11900.0
2003-05-19,12.8194,12.8194,12.8194,12.8194,43000.0
2003-05-20,12.8194,12.6057,12.8194,12.6057,4200.0
2003-05-21,12.8194,12.8194,12.8194,12.8194,66000.0
2003-05-22,12.8194,12.8194,12.8194,12.8194,31000.0
2003-05-23,13.033,12.8194,13.033,12.8194,156000.0
2003-05-26,12.8194,12.8194,12.8194,12.8194,12100.0
2003-05-27,12.8194,12.6057,12.8194,12.6057,11900.0
2003-05-28,12.8194,12.8194,12.8194,12.8194,17900.0
2003-05-29,13.674,13.033,13.674,13.033,70000.0
2003-05-30,13.8876,13.033,13.8876,13.033,335800.0
2003-06-02,13.4603,13.674,13.674,13.4603,16000.0
2003-06-03,13.4603,13.2467,13.4603,13.2467,240000.0
2003-06-04,13.8876,13.674,13.8876,13.674,103600.0
2003-06-05,14.1013,13.8876,14.315,13.8876,537400.0
2003-06-06,13.8876,14.1013,14.1013,13.674,120600.0
2003-06-09,13.8876,13.674,13.8876,13.4603,47100.0
2003-06-10,13.674,13.8876,13.8876,13.674,7000.0
2003-06-11,13.674,13.674,13.674,13.674,56000.0
2003-06-12,13.8876,13.4603,13.8876,13.4603,214900.0
2003-06-16,13.8876,13.8876,13.8876,13.8876,584000.0
2003-06-17,14.7423,14.1013,14.7423,13.8876,793900.0
2003-06-18,17.0925,15.5969,17.0925,15.5969,2782300.0
2003-06-19,16.2379,16.8788,16.8788,15.8106,769700.0
2003-06-20,15.8106,16.2379,16.2379,15.8106,50000.0
2003-06-23,16.0242,16.0242,16.0242,16.0242,134400.0
2003-06-24,15.5969,15.5969,15.8106,15.5969,64000.0
2003-06-25,15.8106,15.8106,16.0242,15.8106,145000.0
2003-06-26,16.2379,15.5969,16.2379,15.5969,109500.0
2003-06-27,16.6652,16.2379,16.6652,15.8106,323200.0
2003-06-30,16.4515,16.4515,16.6652,16.2379,311000.0
2003-07-01,16.0242,16.2379,16.2379,15.8106,21900.0
2003-07-02,16.4515,16.0242,16.4515,16.0242,144000.0
2003-07-03,16.6652,16.2379,16.6652,16.2379,297500.0
2003-07-04,16.6652,16.2379,16.6652,16.2379,646900.0
2003-07-07,16.6652,16.4515,16.6652,16.4515,87400.0
2003-07-08,16.6652,16.6652,16.6652,16.4515,296000.0
