Date,Close,Open,High,Low,Volume
2020-10-26,15.22,16.78,16.8,14.92,229736800.0
2020-10-27,13.92,15.22,15.32,13.2,126173700.0
2020-10-28,14.5,14.04,15.02,13.94,79790500.0
2020-10-29,15.16,14.5,15.2,14.38,26882900.0
2020-10-30,14.78,15.2,15.4,14.42,47400700.0
2020-11-03,14.54,14.78,14.86,14.22,29622100.0
2020-11-04,14.72,14.54,14.82,14.54,10150000.0
2020-11-05,14.98,14.74,15.02,14.72,16903100.0
2020-11-06,15.0,15.0,15.1,14.82,16998000.0
2020-11-09,14.82,15.06,15.22,14.8,10830100.0
2020-11-10,14.86,14.84,14.98,14.82,4946300.0
2020-11-11,15.1,14.86,15.12,14.86,13590200.0
2020-11-13,15.1,15.1,15.2,15.1,12019900.0
2020-11-16,15.24,15.12,15.32,15.1,12299000.0
2020-11-17,15.66,15.3,15.82,15.28,18128200.0
2020-11-18,15.7,15.66,15.76,15.62,20245600.0
2020-11-19,15.84,15.7,15.86,15.7,3935600.0
2020-11-20,16.62,15.86,16.9,15.86,20955300.0
2020-11-23,16.62,16.9,16.98,16.62,8447200.0
2020-11-24,15.98,16.62,16.62,15.8,8453000.0
2020-11-25,16.1,16.04,16.3,15.88,3058800.0
2020-11-26,15.78,16.02,16.3,15.78,3904100.0
2020-11-27,15.9,15.9,15.9,15.34,3768600.0
2020-12-01,16.0,15.9,16.18,15.62,6784600.0
2020-12-02,15.48,16.0,16.0,15.48,3852700.0
2020-12-03,15.68,15.6,15.84,15.6,6353500.0
2020-12-04,16.0,15.7,16.0,15.68,3146000.0
2020-12-07,15.9,16.0,16.0,15.82,2941000.0
2020-12-09,15.7,15.82,15.86,15.68,5610900.0
2020-12-10,15.5,15.7,15.7,15.46,3711800.0
2020-12-11,15.7,15.56,15.9,15.52,1879800.0
2020-12-14,15.7,15.7,15.88,15.66,1827500.0
2020-12-15,15.6,15.7,15.76,15.6,5167100.0
2020-12-16,15.52,15.6,15.6,15.52,4005800.0
2020-12-17,15.74,15.54,15.9,15.52,3048500.0
2020-12-18,15.78,15.74,15.84,15.62,3008700.0
2020-12-21,15.7,15.8,15.84,15.54,8866800.0
2020-12-22,15.3,15.68,15.68,15.04,14258400.0
2020-12-23,15.34,15.24,15.36,15.06,8594400.0
2020-12-28,15.2,15.28,15.28,15.08,1602400.0
2020-12-29,14.9,15.2,15.24,14.9,4100700.0
2021-01-04,15.08,14.9,15.08,14.54,3512900.0
2021-01-05,14.96,15.08,15.08,14.78,3928800.0
2021-01-06,14.84,15.0,15.04,14.74,3413200.0
2021-01-07,15.38,14.96,15.4,14.88,2694100.0
2021-01-08,15.7,15.48,15.7,15.4,5260300.0
2021-01-11,15.96,15.72,15.98,15.7,3252200.0
2021-01-12,15.74,15.96,15.96,15.58,3198800.0
2021-01-13,15.7,15.7,15.74,15.5,4432100.0
2021-01-14,15.66,15.7,15.7,15.54,3767900.0
2021-01-15,15.7,15.7,15.8,15.7,7536700.0
2021-01-18,15.66,15.7,15.72,15.6,2873300.0
2021-01-19,15.46,15.64,15.64,15.42,2259300.0
2021-01-20,15.7,15.4,15.7,15.26,1676200.0
2021-01-21,15.58,15.7,15.7,15.48,5373400.0
2021-01-22,15.56,15.4,15.58,15.4,679000.0
2021-01-25,15.9,15.6,16.02,15.58,6775600.0
2021-01-26,15.5,15.9,15.9,15.48,3165400.0
2021-01-27,15.5,15.5,15.72,15.2,1553400.0
2021-01-28,15.52,15.4,15.72,15.38,1072400.0
2021-01-29,15.54,15.6,15.72,15.4,2186100.0
2021-02-01,16.0,15.52,16.1,15.52,8327900.0
2021-02-02,16.32,16.0,16.5,16.0,7079200.0
2021-02-03,16.5,16.42,16.6,16.3,8436300.0
2021-02-04,17.36,16.5,17.64,16.48,38282500.0
2021-02-05,17.2,17.5,17.6,17.06,16544800.0
2021-02-08,18.12,17.16,18.18,17.16,21929500.0
2021-02-09,18.72,18.12,19.32,18.1,12411500.0
2021-02-10,17.8,18.8,18.8,17.5,15481900.0
2021-02-11,17.74,17.7,18.3,17.7,11923000.0
2021-02-15,18.52,20.0,21.2,18.52,42172400.0
2021-02-16,18.84,18.5,19.1,18.14,11071600.0
2021-02-17,18.14,18.84,18.84,18.04,13459000.0
2021-02-18,18.2,18.16,18.5,18.1,5242200.0
2021-02-19,18.2,18.24,18.26,18.02,6701400.0
2021-02-22,18.0,18.26,18.28,17.8,13555300.0
2021-02-23,17.76,17.74,17.82,17.4,6961800.0
2021-02-24,17.74,17.76,17.92,17.4,7598900.0
2021-02-26,17.5,17.58,17.7,17.44,5079500.0
2021-03-01,18.12,17.6,18.18,17.6,5844000.0
2021-03-02,18.42,18.2,18.58,18.18,5791000.0
2021-03-03,18.1,18.5,18.54,18.1,7967300.0
2021-03-04,17.68,18.1,18.1,17.5,6666500.0
2021-03-05,17.16,17.68,17.7,17.14,4620100.0
2021-03-08,17.12,17.18,17.54,17.12,3495600.0
2021-03-09,16.98,17.12,17.12,16.6,8345100.0
2021-03-10,17.5,16.8,17.6,16.8,5799400.0
2021-03-11,17.18,17.6,17.8,17.1,3362300.0
2021-03-12,17.18,17.5,17.5,17.06,2185500.0
2021-03-15,16.82,17.78,17.78,16.76,4908400.0
2021-03-16,17.08,16.78,17.16,16.58,3684500.0
2021-03-17,17.36,17.08,17.48,17.08,2275800.0
2021-03-18,17.78,17.42,17.78,17.3,3245500.0
2021-03-19,18.3,17.86,18.36,17.82,6395600.0
2021-03-22,19.0,18.0,19.06,17.5,14109400.0
2021-03-23,19.04,19.0,19.18,18.74,9074000.0
2021-03-24,19.0,19.04,19.1,18.7,5408800.0
2021-03-25,18.8,18.98,19.0,18.8,2771300.0
2021-03-26,18.8,18.68,18.86,18.62,1116400.0
2021-03-29,19.12,18.56,19.12,18.18,4790800.0
2021-03-30,19.12,19.12,19.2,18.88,4736400.0
2021-03-31,18.7,19.12,19.12,18.7,7003300.0
2021-04-05,18.4,18.54,19.0,18.34,5387300.0
2021-04-06,18.62,18.42,18.68,18.42,3828900.0
2021-04-07,18.46,18.64,19.02,18.32,4898200.0
2021-04-08,18.4,18.46,18.64,18.34,7446100.0
2021-04-12,18.08,18.38,18.42,17.9,9856200.0
2021-04-13,17.78,18.08,18.24,17.58,5857000.0
2021-04-14,18.1,17.8,18.2,17.74,4016600.0
2021-04-15,18.08,18.2,18.4,18.08,1650200.0
2021-04-16,18.48,18.2,18.5,17.98,2551300.0
2021-04-19,18.8,18.48,18.9,18.48,4001400.0
2021-04-20,19.0,18.86,19.18,18.8,6917600.0
2021-04-21,19.1,19.08,19.34,18.9,6332100.0
2021-04-22,18.8,19.2,19.28,18.62,5164600.0
2021-04-23,18.94,18.8,19.08,18.74,3013100.0
2021-04-26,18.4,18.94,19.18,18.34,3802900.0
2021-04-27,18.26,18.5,18.98,18.1,2175800.0
2021-04-28,18.5,18.4,18.62,18.34,2909500.0
2021-04-29,18.8,18.82,18.84,18.54,2980500.0
2021-04-30,18.66,18.8,19.04,18.62,4135800.0
2021-05-03,19.1,18.66,19.18,18.66,7900700.0
2021-05-04,19.0,19.1,19.56,18.8,8988700.0
2021-05-05,19.16,19.14,19.22,19.0,2963300.0
2021-05-06,19.14,19.18,19.26,19.02,7518400.0
2021-05-07,19.0,19.1,19.12,18.7,8194800.0
2021-05-11,18.9,18.88,19.1,18.78,4641700.0
2021-05-12,18.96,18.84,19.06,18.8,5566500.0
2021-05-14,18.5,18.8,18.82,18.08,5867500.0
2021-05-17,18.78,18.44,18.9,18.44,2514600.0
2021-05-18,19.3,18.96,19.36,18.84,10640200.0
2021-05-19,19.5,19.36,19.64,19.18,11215800.0
2021-05-20,19.96,19.5,19.96,19.5,11653200.0
2021-05-21,20.4,19.96,20.45,19.82,11137900.0
2021-05-24,19.9,20.15,20.2,19.82,6958000.0
2021-05-25,19.5,19.84,19.84,19.5,7378300.0
2021-05-26,19.44,19.46,19.82,19.42,3869800.0
2021-05-27,19.8,19.62,19.82,19.5,2660300.0
2021-05-28,20.0,19.94,20.0,19.84,3540400.0
2021-05-31,19.4,19.98,20.0,19.04,12151100.0
2021-06-01,19.7,19.4,19.74,19.4,896700.0
2021-06-02,19.94,19.76,20.1,19.72,2658000.0
2021-06-03,19.76,20.05,20.3,19.7,10608500.0
2021-06-04,20.35,20.05,20.35,19.86,5725600.0
2021-06-07,20.2,20.35,20.35,19.98,2262100.0
2021-06-08,19.86,20.25,20.25,19.86,1606700.0
2021-06-09,20.2,20.0,20.3,19.9,1872700.0
2021-06-10,20.15,20.2,20.5,19.96,4355000.0
2021-06-11,21.45,20.2,21.65,20.2,13175300.0
2021-06-14,21.6,21.7,21.9,21.4,4978400.0
2021-06-15,22.0,21.65,22.1,21.6,6951600.0
2021-06-16,22.65,22.1,22.85,21.75,8213100.0
2021-06-17,23.05,22.65,23.45,22.55,15644000.0
2021-06-18,22.25,23.0,23.0,22.25,3687500.0
2021-06-21,21.75,22.0,22.4,21.75,5234600.0
2021-06-22,22.0,22.0,22.45,21.8,4651900.0
2021-06-23,22.6,22.0,22.7,22.0,2634800.0
2021-06-24,22.6,22.7,23.05,22.25,3640500.0
2021-06-25,21.7,22.5,22.5,21.7,5250500.0
2021-06-28,22.2,21.85,22.4,21.7,3549700.0
2021-06-29,22.7,22.15,22.7,22.0,1762700.0
2021-06-30,22.7,22.75,23.0,22.2,3340500.0
2021-07-01,22.3,22.65,22.7,22.25,2463700.0
