Date,Close,Open,High,Low,Volume
1986-01-02,172.6575,172.6575,172.6575,172.6575,600.0
1986-01-03,172.6575,172.6575,172.6575,172.6575,1900.0
1986-01-06,175.4879,175.4879,175.4879,175.4879,2800.0
1986-01-07,181.1488,175.4879,181.1488,175.4879,3200.0
1986-01-09,181.1488,181.1488,181.1488,181.1488,2600.0
1986-01-10,181.1488,181.1488,181.1488,181.1488,2400.0
1986-01-13,181.1488,181.1488,181.1488,181.1488,1400.0
1986-01-14,181.1488,181.1488,181.1488,181.1488,100.0
1986-01-15,178.3184,178.3184,178.3184,178.3184,11000.0
1986-01-17,178.3184,178.3184,178.3184,178.3184,2600.0
1986-01-20,178.3184,178.3184,178.3184,178.3184,3600.0
1986-01-21,181.1488,181.1488,181.1488,181.1488,600.0
1986-01-22,181.1488,178.3184,181.1488,178.3184,20800.0
1986-01-23,183.9793,183.9793,183.9793,181.1488,4300.0
1986-01-24,183.9793,183.9793,183.9793,181.1488,7300.0
1986-01-27,181.1488,181.1488,181.1488,181.1488,1100.0
1986-01-28,181.1488,181.1488,181.1488,181.1488,4500.0
1986-01-29,181.1488,181.1488,181.1488,181.1488,6900.0
1986-01-30,181.1488,181.1488,181.1488,181.1488,3500.0
1986-01-31,181.1488,181.1488,181.1488,181.1488,12500.0
1986-02-04,183.9793,183.9793,183.9793,183.9793,21100.0
1986-02-05,183.9793,183.9793,183.9793,183.9793,2500.0
1986-02-10,175.4879,175.4879,175.4879,175.4879,2500.0
1986-02-11,178.3184,178.3184,178.3184,178.3184,1000.0
1986-02-12,178.3184,178.3184,178.3184,178.3184,1100.0
1986-02-13,181.1488,181.1488,181.1488,181.1488,100.0
1986-02-14,181.1488,181.1488,181.1488,181.1488,100.0
1986-02-17,181.1488,181.1488,183.9793,181.1488,1900.0
1986-02-18,178.3184,178.3184,178.3184,178.3184,8200.0
1986-02-19,178.3184,178.3184,178.3184,178.3184,5000.0
1986-02-20,178.3184,178.3184,178.3184,178.3184,1200.0
1986-02-21,175.4879,178.3184,178.3184,175.4879,51500.0
1986-02-26,215.1142,186.8097,215.1142,186.8097,2100.0
1986-02-27,192.4706,215.1142,215.1142,192.4706,25800.0
1986-02-28,200.962,203.7924,203.7924,198.1315,18900.0
1986-03-03,209.4533,203.7924,212.2838,203.7924,124600.0
1986-03-04,198.1315,209.4533,209.4533,198.1315,68000.0
1986-03-05,198.1315,198.1315,200.962,198.1315,27700.0
1986-03-06,198.1315,198.1315,198.1315,198.1315,6600.0
1986-03-07,192.4706,192.4706,192.4706,192.4706,3100.0
1986-03-10,195.3011,192.4706,195.3011,192.4706,4000.0
1986-03-11,198.1315,195.3011,198.1315,195.3011,57000.0
1986-03-12,195.3011,195.3011,195.3011,195.3011,46300.0
1986-03-13,200.962,198.1315,200.962,198.1315,19600.0
1986-03-14,200.962,200.962,200.962,200.962,3100.0
1986-03-17,198.1315,198.1315,200.962,198.1315,40600.0
1986-03-18,203.7924,200.962,209.4533,200.962,5400.0
1986-03-19,212.2838,206.6229,212.2838,206.6229,14800.0
1986-03-20,212.2838,212.2838,212.2838,212.2838,4100.0
1986-03-21,212.2838,212.2838,212.2838,209.4533,5000.0
1986-03-24,217.9447,215.1142,217.9447,209.4533,10100.0
1986-03-25,220.7751,217.9447,220.7751,215.1142,8600.0
1986-03-26,212.2838,215.1142,215.1142,212.2838,11600.0
1986-04-01,209.4533,212.2838,212.2838,209.4533,2900.0
1986-04-02,206.6229,206.6229,206.6229,206.6229,2700.0
1986-04-03,203.7924,203.7924,209.4533,203.7924,9100.0
1986-04-04,209.4533,206.6229,209.4533,203.7924,23100.0
1986-04-07,203.7924,206.6229,206.6229,203.7924,36800.0
