Date,Close,Open,High,Low,Volume
2015-12-07,2.9079,3.721,3.721,2.8665,41301000.0
2015-12-08,2.5082,2.9286,2.9286,2.46,13576000.0
2015-12-09,2.6598,2.5565,2.7287,2.5151,8782000.0
2015-12-10,2.5082,2.6874,2.7218,2.4944,3212000.0
2015-12-11,2.5082,2.5496,2.584,2.4669,2233000.0
2015-12-14,2.2602,2.5427,2.5427,2.2464,2678000.0
2015-12-15,2.2602,2.2326,2.3635,2.2326,1295000.0
2015-12-16,2.2257,2.2739,2.3428,2.2188,1048000.0
2015-12-17,2.1844,2.2395,2.2671,2.1568,1448000.0
2015-12-18,2.1361,2.1844,2.2188,2.1155,1131000.0
2015-12-21,2.0465,2.143,2.143,1.9983,1009000.0
2015-12-22,1.957,2.0465,2.0465,1.957,1113000.0
2015-12-23,2.0465,1.957,2.1155,1.9225,799000.0
2015-12-28,2.3566,2.0465,2.3566,2.0121,2091000.0
2015-12-29,2.2395,2.3635,2.3842,2.205,866000.0
2016-01-04,1.9845,2.205,2.205,1.9845,1069000.0
2016-01-05,2.0328,1.9983,2.0465,1.9845,184000.0
2016-01-06,2.0052,1.9983,2.0672,1.9983,77000.0
2016-01-07,1.9294,2.0121,2.0121,1.9294,285000.0
2016-01-08,1.9225,1.9294,1.9294,1.8605,234000.0
2016-01-11,1.7847,1.895,1.895,1.7709,386000.0
2016-01-12,1.8123,1.7778,1.9639,1.764,183000.0
2016-01-13,1.7985,1.9225,1.9225,1.7778,268000.0
2016-01-14,1.7296,1.7778,1.7916,1.7227,47000.0
2016-01-15,1.7916,1.7296,1.8812,1.7296,341000.0
2016-01-18,1.6538,1.7296,1.7296,1.6538,119000.0
2016-01-19,1.6469,1.6538,1.6676,1.6469,170000.0
2016-01-20,1.6193,1.6469,1.7502,1.6193,255000.0
2016-01-21,1.4746,1.5986,1.5986,1.4746,209000.0
2016-01-22,1.3919,1.4746,1.5229,1.3781,479000.0
2016-01-25,1.6813,1.4264,1.6882,1.4264,559000.0
2016-01-26,1.5229,1.6538,1.6538,1.516,212000.0
2016-01-27,1.5366,1.5366,1.5366,1.5229,52000.0
