Date,Close,Open,High,Low,Volume
1986-01-28,0.3909,0.3909,0.3909,0.3909,70.0
1986-04-25,0.3258,0.3258,0.3258,0.3258,660.0
1986-05-15,0.3258,0.3258,0.3258,0.3258,20.0
1986-05-22,0.3258,0.3258,0.3258,0.3258,400.0
1986-06-09,0.3258,0.3258,0.3258,0.3258,5000.0
1986-06-10,0.3258,0.3258,0.3258,0.3258,2000.0
1986-06-16,0.3258,0.3258,0.3258,0.3258,3100.0
1986-06-17,0.3258,0.3258,0.3258,0.3258,2440.0
1986-06-18,0.3258,0.3258,0.3258,0.3258,500.0
1986-06-19,0.3388,0.3388,0.3388,0.3388,5440.0
1986-06-20,0.3336,0.3388,0.3388,0.3336,7720.0
1986-06-23,0.3388,0.3388,0.3388,0.3388,5280.0
1986-06-24,0.3388,0.3388,0.3388,0.3388,920.0
1986-06-30,0.3127,0.3127,0.3258,0.3127,600.0
1986-07-01,0.2997,0.2997,0.2997,0.2997,1200.0
1986-07-08,0.3127,0.3127,0.3127,0.3127,100.0
1986-07-23,0.3258,0.3388,0.3388,0.3258,1140.0
1986-07-25,0.3258,0.3258,0.3258,0.3258,160.0
1986-07-28,0.3127,0.3127,0.3388,0.3127,520.0
1986-07-29,0.3127,0.3127,0.3127,0.3127,200.0
1986-08-04,0.2867,0.3127,0.3127,0.2867,800.0
1986-08-13,0.2997,0.2997,0.2997,0.2997,100.0
1986-08-15,0.2736,0.2867,0.2867,0.2736,280.0
1986-09-10,0.3388,0.3258,0.3388,0.3258,200.0
1986-09-11,0.3466,0.3388,0.3466,0.3388,380.0
1986-09-12,0.3518,0.3518,0.3518,0.3388,1300.0
1986-10-01,0.3648,0.3648,0.3648,0.3648,2740.0
1986-10-02,0.3648,0.3648,0.3648,0.3648,470.0
1986-10-03,0.3675,0.3779,0.3779,0.3518,4640.0
1986-10-08,0.3675,0.3779,0.3779,0.3675,2400.0
1986-10-14,0.3909,0.3909,0.3909,0.3909,40.0
1986-10-16,0.3805,0.3805,0.3909,0.3805,1570.0
1986-10-17,0.3779,0.3779,0.3779,0.3779,1300.0
1986-10-20,0.3779,0.3779,0.3779,0.3779,50.0
1986-10-21,0.3648,0.3648,0.3648,0.3648,360.0
1986-10-22,0.3648,0.3648,0.3648,0.3648,50.0
1986-10-23,0.3779,0.3779,0.3779,0.3779,20.0
1986-10-27,0.3127,0.3127,0.3127,0.3127,550.0
1986-10-29,0.2606,0.2606,0.2606,0.2606,550.0
1986-10-30,0.3596,0.3596,0.3596,0.3596,280.0
1986-11-03,0.2606,0.2606,0.2606,0.2606,550.0
1986-11-13,0.3388,0.3388,0.3388,0.3388,200.0
1986-11-25,0.3388,0.3388,0.3388,0.3388,50.0
