Date,Close,Open,High,Low,Volume
2021-12-07,1.61,1.99,2.12,1.61,387434000.0
2021-12-09,1.7,1.68,1.7,1.52,201584000.0
2021-12-10,1.64,1.66,1.69,1.56,79139000.0
2021-12-13,1.6,1.58,1.64,1.56,30421000.0
2021-12-14,1.53,1.59,1.59,1.47,56536000.0
2021-12-15,1.41,1.5,1.52,1.41,38565000.0
2021-12-16,1.4,1.41,1.45,1.39,15953000.0
2021-12-17,1.3,1.39,1.39,1.2,31766000.0
2021-12-20,1.34,1.23,1.41,1.23,29363000.0
2021-12-21,1.34,1.35,1.39,1.34,11402000.0
2021-12-22,1.35,1.34,1.42,1.34,16606000.0
2021-12-23,1.34,1.35,1.37,1.34,6383000.0
2021-12-24,1.3,1.35,1.36,1.3,3281000.0
2021-12-27,1.3,1.3,1.33,1.3,7334000.0
2021-12-28,1.2,1.31,1.31,1.2,11358000.0
2021-12-29,1.29,1.2,1.29,1.2,11546000.0
2021-12-31,1.29,1.26,1.29,1.23,19140000.0
2022-01-03,1.24,1.26,1.26,1.23,2585000.0
2022-01-05,1.16,1.24,1.26,1.16,16634000.0
2022-01-06,1.11,1.15,1.16,1.11,3805000.0
2022-01-07,1.08,1.1,1.11,1.08,6719000.0
2022-01-10,1.07,1.07,1.13,1.04,8571000.0
2022-01-11,1.11,1.07,1.15,1.07,5883000.0
2022-01-12,1.15,1.1,1.18,1.1,10135000.0
2022-01-13,1.19,1.15,1.23,1.13,10653000.0
2022-01-14,1.2,1.23,1.24,1.19,5625000.0
2022-01-17,1.18,1.21,1.22,1.16,5030000.0
2022-01-18,1.15,1.18,1.2,1.13,3758000.0
2022-01-19,1.14,1.15,1.18,1.13,3593000.0
2022-01-20,1.13,1.15,1.15,1.12,2930000.0
2022-01-21,1.13,1.13,1.16,1.12,2077000.0
2022-01-24,1.08,1.12,1.13,1.08,6698000.0
2022-01-25,1.06,1.08,1.1,1.06,5017000.0
2022-01-26,1.08,1.07,1.12,1.07,7803000.0
2022-01-27,1.06,1.07,1.1,1.05,6913000.0
2022-01-28,1.05,1.04,1.05,1.02,5818000.0
2022-01-31,1.01,1.04,1.04,1.0,6657000.0
2022-02-02,1.01,1.01,1.05,1.01,3253000.0
2022-02-03,1.02,1.02,1.03,1.0,2142000.0
2022-02-04,1.02,1.02,1.05,1.01,3339000.0
2022-02-07,1.07,1.03,1.09,1.02,5755000.0
2022-02-08,1.08,1.07,1.12,1.06,4665000.0
2022-02-09,1.09,1.08,1.1,1.07,943000.0
2022-02-10,1.08,1.09,1.09,1.07,1763000.0
2022-02-11,1.04,1.08,1.08,1.03,3716000.0
2022-02-14,1.04,1.03,1.05,1.03,586000.0
2022-02-15,1.03,1.03,1.07,1.03,1468000.0
2022-02-16,1.05,1.03,1.05,1.02,1060000.0
2022-02-17,1.14,1.06,1.17,1.06,16176000.0
2022-02-18,1.14,1.15,1.16,1.12,4526000.0
2022-02-21,1.16,1.17,1.18,1.11,8223000.0
2022-02-22,1.14,1.14,1.15,1.1,3886000.0
2022-02-23,1.12,1.13,1.15,1.11,9955000.0
2022-02-24,1.04,1.13,1.16,1.02,6366000.0
2022-02-28,1.04,1.04,1.09,1.04,3984000.0
2022-03-01,1.07,1.04,1.09,1.04,1756000.0
2022-03-02,1.04,1.07,1.07,1.04,1993000.0
2022-03-03,1.04,1.04,1.06,1.02,1065000.0
2022-03-04,1.03,1.04,1.04,1.02,1569000.0
2022-03-07,1.01,1.01,1.02,0.99,4596000.0
2022-03-08,0.97,0.99,1.0,0.97,4313000.0
2022-03-09,0.95,0.95,0.97,0.9,2078000.0
2022-03-10,0.95,0.96,0.96,0.92,1351000.0
2022-03-11,0.94,0.92,0.94,0.9,1714000.0
2022-03-14,0.88,0.91,0.92,0.88,2043000.0
2022-03-15,0.87,0.88,0.88,0.8,1958000.0
2022-03-16,0.9,0.87,0.9,0.85,289000.0
2022-03-17,0.92,0.93,0.93,0.89,897000.0
2022-03-18,0.9,0.9,0.93,0.9,893000.0
2022-03-21,0.91,0.93,0.93,0.87,624000.0
2022-03-22,0.89,0.92,0.92,0.88,444000.0
2022-03-23,0.85,0.89,0.91,0.85,1676000.0
2022-03-24,0.86,0.84,0.89,0.84,684000.0
2022-03-25,0.87,0.85,0.88,0.84,708000.0
