Date,Close,Open,High,Low,Volume
1994-06-15,0.53,0.5144,0.5508,0.5144,26720000.0
1994-06-16,0.5612,0.5404,0.5716,0.5404,17550000.0
1994-06-17,0.5716,0.5612,0.5716,0.5508,13320000.0
1994-06-20,0.6028,0.5716,0.6028,0.5716,15082000.0
1994-06-21,0.5924,0.5924,0.5924,0.5612,9040000.0
1994-06-22,0.5612,0.582,0.582,0.5508,3972000.0
1994-06-23,0.5716,0.5716,0.582,0.5716,5502000.0
1994-06-24,0.5508,0.5716,0.5716,0.5508,6018000.0
1994-06-27,0.5612,0.5508,0.5612,0.5404,10080000.0
1994-06-28,0.5612,0.5612,0.5612,0.5404,3916000.0
1994-06-29,0.5508,0.5404,0.5508,0.5404,1116000.0
1994-06-30,0.5716,0.5404,0.5716,0.5404,5992000.0
1994-07-01,0.5404,0.5508,0.5508,0.5404,2496000.0
1994-07-04,0.5612,0.5508,0.582,0.5404,7878000.0
1994-07-05,0.5612,0.5612,0.5716,0.5612,3616000.0
1994-07-06,0.5716,0.5508,0.5716,0.5508,1198000.0
1994-07-07,0.5508,0.5612,0.5716,0.5508,1654000.0
1994-07-08,0.5612,0.5612,0.5612,0.5508,4698000.0
1994-07-11,0.5612,0.5508,0.5612,0.5508,1406000.0
1994-07-12,0.6547,0.5508,0.6547,0.5508,14268000.0
1994-07-13,0.6547,0.6547,0.6651,0.6339,16992000.0
1994-07-14,0.6651,0.6547,0.6963,0.6443,25478000.0
1994-07-15,0.6651,0.6651,0.6755,0.6547,18276000.0
1994-07-18,0.6547,0.6651,0.6755,0.6547,3040000.0
1994-07-19,0.6547,0.6547,0.6651,0.6443,6150000.0
1994-07-20,0.6547,0.6547,0.6651,0.6547,3818000.0
1994-07-21,0.6651,0.6547,0.6651,0.6547,2314000.0
1994-07-22,0.6859,0.6651,0.6859,0.6651,10716000.0
1994-07-25,0.6963,0.6963,0.7171,0.6859,11006000.0
1994-07-26,0.6963,0.6963,0.7067,0.6859,2584000.0
1994-07-27,0.7275,0.6963,0.7379,0.6859,16584000.0
1994-07-28,0.7171,0.7275,0.7483,0.7171,17194000.0
1994-07-29,0.7171,0.7275,0.7275,0.7171,6322000.0
1994-08-01,0.7275,0.7275,0.7379,0.7171,3272000.0
1994-08-02,0.7275,0.7379,0.7587,0.7275,9172000.0
1994-08-03,0.7483,0.7275,0.7483,0.7275,4308000.0
1994-08-04,0.7379,0.7483,0.7483,0.7379,5245000.0
1994-08-05,0.7379,0.7379,0.7483,0.7379,3708000.0
1994-08-08,0.7379,0.7483,0.7483,0.7379,1176000.0
1994-08-09,0.7587,0.7483,0.7587,0.7483,2402000.0
1994-08-10,0.7587,0.7483,0.7587,0.7483,3004000.0
1994-08-11,0.7898,0.769,0.8002,0.7483,7275000.0
1994-08-12,0.8002,0.7898,0.8106,0.7794,6723000.0
1994-08-15,0.8002,0.8002,0.821,0.8002,2810000.0
1994-08-16,0.821,0.8002,0.821,0.8002,2778000.0
1994-08-17,0.821,0.821,0.8314,0.8106,2790000.0
1994-08-18,0.8418,0.8314,0.8626,0.8314,5169000.0
1994-08-19,0.8938,0.8418,0.9145,0.8418,8617000.0
1994-08-22,0.9457,0.9041,0.9561,0.9041,7652000.0
1994-08-23,0.9561,0.9457,0.9665,0.9353,9509000.0
1994-08-24,0.9457,0.9665,0.9665,0.9457,3507000.0
1994-08-25,0.9457,0.9561,0.9561,0.9457,4488000.0
1994-08-26,0.9561,0.9353,0.9561,0.9353,3726000.0
1994-08-29,0.9457,0.9457,0.9457,0.9353,1689000.0
1994-08-30,0.9353,0.9353,0.9457,0.9353,1001000.0
1994-08-31,0.9769,0.9353,0.9873,0.9353,7432000.0
1994-09-01,1.0081,0.9873,1.0185,0.9665,7519000.0
1994-09-02,1.0393,1.0081,1.0393,0.9977,6645000.0
1994-09-05,1.1172,1.0652,1.1432,1.0652,8927000.0
1994-09-06,1.1432,1.1172,1.1951,1.1172,10074000.0
1994-09-07,1.1172,1.1432,1.1692,1.0652,7168000.0
1994-09-08,1.1692,1.1172,1.1951,1.0912,3577000.0
1994-09-09,1.1951,1.1951,1.2211,1.1692,3682000.0
1994-09-12,1.1692,1.1951,1.1951,1.1692,4477000.0
1994-09-13,1.1692,1.1692,1.1692,1.1432,1641000.0
1994-09-14,1.1951,1.1692,1.1951,1.1692,1538000.0
1994-09-15,1.1951,1.1951,1.1951,1.1692,3436000.0
